Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,5.64,5.67,5.64,5.66,275200,5.66
2016-04-18,5.56,5.62,5.56,5.62,195400,5.62
2016-04-15,5.50,5.57,5.50,5.55,251800,5.55
2016-04-14,5.59,5.60,5.54,5.55,232400,5.55
2016-04-13,5.55,5.61,5.55,5.60,282400,5.60
2016-04-12,5.50,5.56,5.49,5.55,155200,5.55
2016-04-11,5.49,5.54,5.48,5.49,185500,5.49
2016-04-08,5.46,5.49,5.43,5.44,255000,5.44
2016-04-07,5.43,5.45,5.40,5.43,258500,5.43
2016-04-06,5.41,5.46,5.37,5.45,202900,5.45
2016-04-05,5.47,5.47,5.40,5.41,223300,5.41
2016-04-04,5.57,5.59,5.48,5.49,269600,5.49
2016-04-01,5.54,5.60,5.51,5.59,254500,5.59
2016-03-31,5.55,5.59,5.52,5.59,423500,5.59
2016-03-30,5.50,5.56,5.48,5.52,261100,5.52
2016-03-29,5.40,5.50,5.38,5.47,259000,5.47
2016-03-28,5.42,5.45,5.38,5.41,180800,5.41
2016-03-24,5.41,5.41,5.36,5.41,129800,5.41
2016-03-23,5.46,5.47,5.44,5.46,178100,5.46
2016-03-22,5.43,5.49,5.43,5.46,266500,5.46
2016-03-21,5.46,5.48,5.43,5.48,126600,5.48
2016-03-18,5.53,5.55,5.48,5.49,227700,5.44
2016-03-17,5.41,5.51,5.41,5.49,201700,5.44
2016-03-16,5.34,5.43,5.33,5.43,160000,5.380546
2016-03-15,5.37,5.39,5.35,5.35,138100,5.301275
2016-03-14,5.39,5.42,5.38,5.41,108800,5.360728
2016-03-11,5.32,5.39,5.32,5.38,191700,5.331002
2016-03-10,5.33,5.36,5.27,5.30,120100,5.251731
2016-03-09,5.31,5.35,5.28,5.33,159100,5.281457
2016-03-08,5.28,5.31,5.27,5.30,154600,5.251731
2016-03-07,5.28,5.32,5.26,5.32,220000,5.271548
2016-03-04,5.28,5.33,5.28,5.30,265900,5.251731
2016-03-03,5.22,5.28,5.21,5.24,205500,5.192277
2016-03-02,5.18,5.25,5.18,5.24,196500,5.192277
2016-03-01,5.09,5.18,5.08,5.18,241100,5.132823
2016-02-29,5.04,5.10,5.02,5.06,322700,5.013916
2016-02-26,5.00,5.03,4.96,5.02,323800,4.97428
2016-02-25,4.91,4.99,4.89,4.99,126200,4.944553
2016-02-24,4.82,4.92,4.80,4.89,142600,4.845464
2016-02-23,4.87,4.89,4.84,4.87,314600,4.825647
2016-02-22,4.91,4.93,4.86,4.86,318000,4.815738
2016-02-19,4.84,4.93,4.84,4.91,320300,4.815738
2016-02-18,4.84,4.89,4.82,4.87,212200,4.776506
2016-02-17,4.78,4.85,4.78,4.84,206300,4.747082
2016-02-16,4.74,4.78,4.69,4.75,263300,4.658809
2016-02-12,4.68,4.72,4.64,4.69,303600,4.599961
2016-02-11,4.63,4.71,4.63,4.66,323500,4.570537
2016-02-10,4.80,4.84,4.74,4.75,450300,4.658809
2016-02-09,4.89,4.89,4.77,4.79,267900,4.698042
2016-02-08,5.05,5.05,4.90,4.95,263500,4.85497
2016-02-05,5.20,5.20,5.10,5.13,222900,5.031514
2016-02-04,5.16,5.25,5.13,5.25,285400,5.14921
2016-02-03,5.12,5.21,5.06,5.19,232400,5.090362
2016-02-02,5.02,5.13,5.02,5.12,693200,5.021706
2016-02-01,5.08,5.19,5.07,5.18,505900,5.080554
2016-01-29,5.11,5.15,5.05,5.10,449300,5.00209
2016-01-28,5.02,5.08,4.98,5.05,264100,4.95305
2016-01-27,4.97,5.03,4.94,5.00,472700,4.90401
2016-01-26,4.94,5.00,4.93,4.99,232400,4.894202
2016-01-25,4.97,4.99,4.91,4.92,222200,4.825546
2016-01-22,4.88,4.99,4.86,4.98,367000,4.884394
2016-01-21,4.83,4.88,4.75,4.85,493300,4.75689
2016-01-20,4.97,4.98,4.72,4.82,546400,4.727466
2016-01-19,5.16,5.17,5.06,5.09,325000,4.943242
2016-01-15,5.12,5.16,5.08,5.15,380400,5.001512
2016-01-14,5.26,5.28,5.15,5.25,463500,5.098629
2016-01-13,5.39,5.40,5.28,5.29,423700,5.137475
2016-01-12,5.45,5.48,5.35,5.37,367600,5.215169
2016-01-11,5.51,5.52,5.41,5.43,595300,5.273439
2016-01-08,5.63,5.63,5.50,5.50,221500,5.341421
2016-01-07,5.62,5.65,5.59,5.65,321700,5.487096
2016-01-06,5.72,5.74,5.66,5.70,368300,5.535654
2016-01-05,5.78,5.78,5.71,5.75,532800,5.584212
2016-01-04,5.71,5.76,5.65,5.75,454700,5.584212
2015-12-31,5.79,5.81,5.77,5.77,506100,5.603636
2015-12-30,5.81,5.81,5.78,5.79,259200,5.623059
2015-12-29,5.81,5.87,5.81,5.81,464400,5.642482
2015-12-28,5.86,5.86,5.78,5.81,302800,5.642482
2015-12-24,5.84,5.90,5.84,5.86,151900,5.691041
2015-12-23,5.81,5.87,5.81,5.86,297800,5.691041
2015-12-22,5.74,5.80,5.71,5.78,275400,5.613348
2015-12-21,5.73,5.78,5.69,5.72,401000,5.555077
2015-12-18,5.74,5.76,5.73,5.73,350400,5.516231
2015-12-17,5.76,5.79,5.72,5.75,376500,5.535485
2015-12-16,5.65,5.77,5.65,5.75,294100,5.535485
2015-12-15,5.58,5.64,5.58,5.63,304200,5.419962
2015-12-14,5.69,5.70,5.54,5.56,306700,5.352573
2015-12-11,5.68,5.75,5.65,5.67,301800,5.458469
2015-12-10,5.78,5.82,5.74,5.74,181300,5.525857
2015-12-09,5.82,5.85,5.77,5.80,285200,5.583619
2015-12-08,5.80,5.85,5.77,5.80,259600,5.583619
2015-12-07,5.87,5.88,5.83,5.84,232200,5.622127
2015-12-04,5.87,5.92,5.86,5.90,134700,5.679889
2015-12-03,5.91,5.92,5.83,5.86,356400,5.641381
2015-12-02,5.92,5.95,5.89,5.90,270800,5.679889
2015-12-01,5.91,5.96,5.91,5.93,463000,5.708769
2015-11-30,5.90,5.93,5.86,5.87,361300,5.651008
2015-11-27,5.90,5.92,5.87,5.92,52100,5.699142
2015-11-25,5.90,5.93,5.88,5.89,207300,5.670262
2015-11-24,5.87,5.99,5.84,5.93,506500,5.708769
2015-11-23,5.90,5.92,5.85,5.89,227300,5.670262
2015-11-20,5.87,5.89,5.85,5.89,140000,5.670262
2015-11-19,5.80,5.85,5.80,5.83,220700,5.6125
2015-11-18,5.81,5.82,5.79,5.80,397200,5.583619
2015-11-17,5.84,5.86,5.80,5.83,306900,5.564365
2015-11-16,5.75,5.82,5.74,5.82,455700,5.554821
2015-11-13,5.78,5.80,5.74,5.75,362200,5.48801
2015-11-12,5.88,5.90,5.80,5.80,341500,5.535732
2015-11-11,5.99,5.99,5.89,5.89,539700,5.621631
2015-11-10,5.96,5.99,5.94,5.97,166500,5.697986
2015-11-09,6.07,6.07,5.94,5.96,223400,5.688442
2015-11-06,6.08,6.12,6.03,6.10,351000,5.822063
2015-11-05,6.13,6.13,6.09,6.11,215500,5.831608
2015-11-04,6.18,6.21,6.05,6.09,301900,5.812519
2015-11-03,6.21,6.21,6.14,6.18,238400,5.898418
2015-11-02,6.14,6.25,6.12,6.24,241800,5.955684
2015-10-30,6.08,6.17,6.06,6.14,379200,5.860241
2015-10-29,6.09,6.10,6.01,6.03,206800,5.755253
2015-10-28,6.15,6.17,6.09,6.10,334700,5.822063
2015-10-27,6.20,6.20,6.11,6.12,196700,5.841152
2015-10-26,6.23,6.23,6.19,6.21,170400,5.927051
2015-10-23,6.24,6.24,6.20,6.22,217200,5.936595
2015-10-22,6.16,6.25,6.16,6.19,254700,5.907963
2015-10-21,6.13,6.19,6.12,6.16,286500,5.879329
2015-10-20,6.15,6.20,6.13,6.17,241600,5.841152
2015-10-19,6.05,6.16,6.05,6.15,400900,5.822218
2015-10-16,6.01,6.07,6.01,6.07,196900,5.746482
2015-10-15,5.98,6.02,5.96,6.02,278600,5.699147
2015-10-14,5.97,6.00,5.96,5.97,277100,5.651811
2015-10-13,5.95,6.01,5.95,5.98,266700,5.661279
2015-10-12,5.98,6.02,5.98,6.01,285400,5.68968
2015-10-09,6.00,6.02,5.98,5.99,177600,5.670745
2015-10-08,5.94,5.99,5.94,5.98,260400,5.661279
2015-10-07,5.91,5.96,5.89,5.95,438000,5.632877
2015-10-06,5.81,5.89,5.80,5.88,385900,5.566609
2015-10-05,5.71,5.80,5.71,5.80,327500,5.490872
2015-10-02,5.57,5.66,5.55,5.66,324100,5.358334
2015-10-01,5.63,5.63,5.57,5.61,419500,5.310999
2015-09-30,5.65,5.68,5.58,5.58,494900,5.282598
2015-09-29,5.64,5.68,5.58,5.58,271000,5.282598
2015-09-28,5.79,5.80,5.62,5.63,195800,5.329933
2015-09-25,5.81,5.84,5.80,5.82,182800,5.509807
2015-09-24,5.80,5.83,5.76,5.78,140500,5.471938
2015-09-23,5.89,5.89,5.85,5.86,136300,5.547675
2015-09-22,5.85,5.91,5.85,5.90,161300,5.585543
2015-09-21,5.94,5.95,5.90,5.90,176400,5.585543
2015-09-18,5.85,5.99,5.85,5.99,144800,5.62341
2015-09-17,5.85,5.96,5.83,5.94,250600,5.576471
2015-09-16,5.82,5.89,5.80,5.89,230500,5.52953
2015-09-15,5.75,5.82,5.75,5.80,192800,5.445039
2015-09-14,5.76,5.78,5.75,5.76,226800,5.407487
2015-09-11,5.81,5.82,5.78,5.78,163200,5.426263
2015-09-10,5.77,5.83,5.77,5.81,182300,5.454426
2015-09-09,5.88,5.90,5.80,5.81,159500,5.454426
2015-09-08,5.83,5.89,5.81,5.86,222100,5.501367
2015-09-04,5.74,5.77,5.71,5.76,210400,5.407487
2015-09-03,5.78,5.82,5.78,5.80,135500,5.445039
2015-09-02,5.77,5.80,5.72,5.78,212200,5.426263
2015-09-01,5.68,5.75,5.66,5.72,457000,5.369934
2015-08-31,5.84,5.86,5.77,5.77,519400,5.416874
2015-08-28,5.80,5.88,5.80,5.86,403600,5.501367
2015-08-27,5.77,5.88,5.76,5.81,330300,5.454426
2015-08-26,5.74,5.75,5.62,5.72,313200,5.369934
2015-08-25,5.73,5.75,5.59,5.60,642200,5.257278
2015-08-24,5.61,5.79,5.52,5.57,672400,5.229115
2015-08-21,6.08,6.08,5.95,5.95,464500,5.585858
2015-08-20,6.14,6.18,6.11,6.11,273300,5.736067
2015-08-19,6.27,6.28,6.23,6.25,282700,5.820559
2015-08-18,6.26,6.29,6.26,6.29,296100,5.85781
2015-08-17,6.26,6.29,6.24,6.27,270000,5.839184
2015-08-14,6.26,6.28,6.21,6.27,348700,5.839184
2015-08-13,6.27,6.29,6.22,6.25,287400,5.820559
2015-08-12,6.27,6.30,6.23,6.29,384600,5.85781
2015-08-11,6.28,6.31,6.27,6.28,330200,5.848497
2015-08-10,6.34,6.37,6.33,6.33,299600,5.895062
2015-08-07,6.33,6.33,6.29,6.31,179700,5.876436
2015-08-06,6.33,6.36,6.29,6.33,244100,5.895062
2015-08-05,6.35,6.39,6.32,6.35,294100,5.913687
2015-08-04,6.29,6.34,6.29,6.34,250900,5.904375
2015-08-03,6.29,6.34,6.28,6.31,349800,5.876436
2015-07-31,6.26,6.29,6.23,6.28,464200,5.848497
2015-07-30,6.23,6.24,6.22,6.22,176400,5.79262
2015-07-29,6.21,6.25,6.21,6.24,248100,5.811245
2015-07-28,6.21,6.25,6.19,6.22,253600,5.79262
2015-07-27,6.28,6.29,6.19,6.19,326500,5.764681
2015-07-24,6.35,6.36,6.30,6.31,180600,5.876436
2015-07-23,6.48,6.48,6.32,6.36,439800,5.923001
2015-07-22,6.47,6.49,6.44,6.45,157600,6.006816
2015-07-21,6.52,6.54,6.50,6.54,149700,6.044068
2015-07-20,6.55,6.55,6.51,6.51,117900,6.016343
2015-07-17,6.52,6.56,6.52,6.56,173400,6.062551
2015-07-16,6.50,6.54,6.49,6.53,209800,6.034827
2015-07-15,6.48,6.51,6.46,6.47,266000,5.979376
2015-07-14,6.49,6.52,6.48,6.51,225400,6.016343
2015-07-13,6.48,6.50,6.44,6.48,374800,5.988618
2015-07-10,6.43,6.44,6.42,6.43,160900,5.942409
2015-07-09,6.40,6.41,6.34,6.36,279000,5.877718
2015-07-08,6.42,6.44,6.29,6.34,194700,5.859234
2015-07-07,6.48,6.50,6.38,6.50,263100,6.007101
2015-07-06,6.47,6.49,6.45,6.48,232300,5.988618
2015-07-02,6.56,6.58,6.48,6.51,289800,6.016343
2015-07-01,6.52,6.56,6.50,6.56,260500,6.062551
2015-06-30,6.53,6.53,6.44,6.47,518200,5.979376
2015-06-29,6.57,6.57,6.46,6.48,371500,5.988618
2015-06-26,6.62,6.62,6.58,6.60,242900,6.099518
2015-06-25,6.63,6.65,6.58,6.62,332600,6.118001
2015-06-24,6.61,6.63,6.59,6.62,347500,6.118001
2015-06-23,6.62,6.63,6.59,6.61,256000,6.10876
2015-06-22,6.64,6.68,6.60,6.62,188100,6.118001
2015-06-19,6.67,6.68,6.60,6.61,174500,6.10876
2015-06-18,6.64,6.73,6.64,6.72,394900,6.16421
2015-06-17,6.64,6.65,6.59,6.65,232800,6.099999
2015-06-16,6.60,6.67,6.60,6.65,110000,6.099999
2015-06-15,6.61,6.65,6.61,6.63,239700,6.081654
2015-06-12,6.65,6.67,6.64,6.65,154600,6.099999
2015-06-11,6.73,6.74,6.68,6.68,183900,6.127518
2015-06-10,6.68,6.73,6.68,6.72,316100,6.16421
2015-06-09,6.70,6.70,6.66,6.68,199000,6.127518
2015-06-08,6.71,6.72,6.66,6.70,227300,6.145864
2015-06-05,6.78,6.78,6.71,6.71,241100,6.155037
2015-06-04,6.85,6.86,6.77,6.80,214300,6.237593
2015-06-03,6.90,6.90,6.83,6.87,194200,6.301804
2015-06-02,6.88,6.89,6.87,6.89,125900,6.32015
2015-06-01,6.90,6.94,6.87,6.89,347800,6.32015
2015-05-29,6.92,6.92,6.88,6.88,326700,6.310977
2015-05-28,6.91,6.93,6.88,6.91,234800,6.338495
2015-05-27,6.91,6.94,6.90,6.94,193500,6.366014
2015-05-26,6.94,6.95,6.88,6.91,264600,6.338495
2015-05-22,6.98,6.99,6.94,6.95,256200,6.375187
2015-05-21,6.99,7.01,6.97,6.99,183400,6.411879
2015-05-20,6.98,7.01,6.94,7.00,274200,6.421052
2015-05-19,6.97,6.99,6.92,6.99,173200,6.411879
2015-05-18,7.01,7.03,6.98,7.02,278000,6.393533
2015-05-15,6.98,7.02,6.97,7.02,206500,6.393533
2015-05-14,6.94,6.99,6.92,6.99,250400,6.36621
2015-05-13,6.95,6.95,6.90,6.92,281400,6.302457
2015-05-12,6.89,6.94,6.85,6.94,282500,6.320672
2015-05-11,7.00,7.01,6.93,6.93,246900,6.311564
2015-05-08,6.98,7.03,6.98,7.00,277900,6.375318
2015-05-07,6.92,6.95,6.88,6.94,187000,6.320672
