Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,15.61,15.62,15.51,15.60,32400,15.60
2016-04-18,15.64,15.68,15.60,15.63,28000,15.63
2016-04-15,15.75,15.77,15.62,15.64,20300,15.64
2016-04-14,15.70,15.88,15.67,15.69,16800,15.69
2016-04-13,15.79,15.79,15.57,15.68,23800,15.68
2016-04-12,15.71,15.83,15.66,15.77,8600,15.701
2016-04-11,15.64,15.71,15.63,15.67,15600,15.601438
2016-04-08,15.54,15.63,15.53,15.60,9700,15.531744
2016-04-07,15.57,15.63,15.50,15.55,26800,15.481963
2016-04-06,15.69,15.93,15.53,15.56,59200,15.491919
2016-04-05,15.53,15.68,15.50,15.65,39400,15.581525
2016-04-04,15.43,15.50,15.35,15.50,14900,15.432181
2016-04-01,15.30,15.41,15.30,15.41,11000,15.342575
2016-03-31,15.20,15.34,15.15,15.30,29000,15.233057
2016-03-30,15.16,15.20,15.16,15.19,17000,15.123537
2016-03-29,15.12,15.20,15.12,15.20,35000,15.133494
2016-03-28,15.12,15.18,15.08,15.15,19100,15.083712
2016-03-24,15.19,15.19,15.16,15.19,9600,15.123537
2016-03-23,15.16,15.20,15.13,15.15,19000,15.083712
2016-03-22,15.15,15.19,15.11,15.14,14000,15.073757
2016-03-21,15.11,15.16,15.09,15.11,14200,15.043887
2016-03-18,15.11,15.12,15.09,15.09,6000,15.023975
2016-03-17,15.08,15.18,14.94,15.13,10800,15.0638
2016-03-16,15.09,15.11,15.04,15.11,6100,15.043887
2016-03-15,15.09,15.12,15.06,15.06,10900,14.994107
2016-03-14,15.07,15.15,15.06,15.07,9200,15.004062
2016-03-11,15.16,15.16,15.04,15.04,9200,14.974194
2016-03-10,15.22,15.22,15.12,15.14,9800,15.005059
2016-03-09,15.14,15.25,15.12,15.18,29900,15.044702
2016-03-08,15.20,15.21,15.09,15.11,19000,14.975325
2016-03-07,15.17,15.19,15.09,15.12,25400,14.985237
2016-03-04,15.12,15.19,15.08,15.16,15400,15.02488
2016-03-03,15.10,15.19,15.10,15.19,8300,15.054612
2016-03-02,15.19,15.23,15.09,15.09,26900,14.955504
2016-03-01,15.23,15.23,15.18,15.22,14800,15.084346
2016-02-29,15.13,15.22,15.13,15.21,33600,15.074435
2016-02-26,15.11,15.14,15.09,15.10,24400,14.965415
2016-02-25,15.01,15.17,14.98,15.16,27700,15.02488
2016-02-24,14.96,15.00,14.96,15.00,22000,14.866306
2016-02-23,14.85,14.93,14.82,14.93,17300,14.79693
2016-02-22,14.86,14.90,14.85,14.87,8100,14.737465
2016-02-19,14.80,14.92,14.80,14.90,13200,14.767197
2016-02-18,14.82,14.89,14.82,14.89,10200,14.757287
2016-02-17,14.83,14.91,14.80,14.80,18800,14.668089
2016-02-16,14.92,14.96,14.84,14.86,21200,14.727554
2016-02-12,14.96,15.02,14.94,14.94,6500,14.806841
2016-02-11,15.04,15.10,14.82,15.01,22500,14.876217
2016-02-10,15.10,15.11,14.99,15.02,34000,14.817744
2016-02-09,15.16,15.16,15.05,15.05,14100,14.84734
2016-02-08,15.23,15.23,15.12,15.12,12400,14.916397
2016-02-05,15.04,15.23,14.99,15.22,28500,15.01505
2016-02-04,15.05,15.06,14.95,15.04,25500,14.837474
2016-02-03,15.00,15.03,14.96,14.97,14100,14.768417
2016-02-02,15.00,15.04,14.95,14.98,24200,14.778282
2016-02-01,15.04,15.06,14.96,14.98,6800,14.778282
2016-01-29,14.95,15.00,14.94,15.00,16500,14.798013
2016-01-28,14.87,14.95,14.87,14.91,20800,14.709224
2016-01-27,14.83,14.92,14.83,14.86,12900,14.659898
2016-01-26,14.81,14.94,14.81,14.91,12300,14.709224
2016-01-25,14.86,14.93,14.86,14.88,13800,14.679629
2016-01-22,14.73,14.86,14.70,14.81,14000,14.610572
2016-01-21,14.57,14.69,14.54,14.69,17000,14.492187
2016-01-20,14.75,14.82,14.48,14.48,40700,14.285014
2016-01-19,14.88,15.02,14.75,14.75,24200,14.551379
2016-01-15,14.95,14.96,14.88,14.90,18600,14.699359
2016-01-14,14.96,14.96,14.85,14.88,21600,14.679629
2016-01-13,14.95,14.95,14.88,14.89,12700,14.689494
2016-01-12,15.04,15.06,14.98,15.01,45100,14.739807
2016-01-11,15.02,15.05,14.95,14.96,11900,14.690707
2016-01-08,15.05,15.05,14.99,15.02,15900,14.749627
2016-01-07,15.00,15.10,14.93,15.03,25300,14.759446
2016-01-06,14.94,14.95,14.89,14.92,38700,14.651427
2016-01-05,14.80,14.83,14.72,14.83,13300,14.563047
2016-01-04,14.85,14.85,14.68,14.74,17200,14.474666
2015-12-31,14.70,14.79,14.69,14.78,16000,14.513946
2015-12-30,14.65,14.73,14.61,14.70,7400,14.435387
2015-12-29,14.65,14.70,14.65,14.66,8700,14.396107
2015-12-28,14.69,14.73,14.67,14.70,4700,14.435387
2015-12-24,14.65,14.72,14.65,14.67,3300,14.405927
2015-12-23,14.57,14.69,14.57,14.65,11300,14.386286
2015-12-22,14.58,14.58,14.56,14.57,26600,14.307727
2015-12-21,14.52,14.60,14.52,14.56,10500,14.297907
2015-12-18,14.47,14.59,14.47,14.56,12800,14.297907
2015-12-17,14.35,14.50,14.35,14.47,15700,14.209527
2015-12-16,14.23,14.34,14.22,14.34,6100,14.081867
2015-12-15,14.21,14.29,14.18,14.28,8800,14.022947
2015-12-14,14.32,14.35,14.17,14.18,14800,13.924748
2015-12-11,14.38,14.43,14.31,14.32,17700,14.062227
2015-12-10,14.36,14.43,14.31,14.32,21200,14.062227
2015-12-09,14.44,14.44,14.35,14.41,18100,14.082849
2015-12-08,14.28,14.41,14.28,14.39,16500,14.063303
2015-12-07,14.29,14.33,14.25,14.25,13700,13.926482
2015-12-04,14.28,14.30,14.21,14.28,11800,13.9558
