Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,14.25,14.36,14.21,14.34,771400,14.34
2016-04-18,14.20,14.26,14.08,14.24,746700,14.24
2016-04-15,14.09,14.29,14.05,14.18,885900,14.18
2016-04-14,14.02,14.13,13.97,14.11,1693400,14.11
2016-04-13,14.04,14.10,13.95,13.99,1569900,13.99
2016-04-12,13.88,14.18,13.83,13.99,1806400,13.99
2016-04-11,13.91,14.00,13.83,13.85,1047300,13.85
2016-04-08,13.79,14.04,13.73,13.87,1017600,13.87
2016-04-07,13.85,13.91,13.60,13.72,1374700,13.72
2016-04-06,13.95,13.95,13.77,13.92,1092800,13.92
2016-04-05,13.96,14.03,13.95,13.99,1250100,13.99
2016-04-04,14.09,14.13,13.97,14.03,1628800,14.03
2016-04-01,13.95,14.13,13.87,14.10,1444700,14.10
2016-03-31,14.01,14.10,13.92,14.03,2457400,14.03
2016-03-30,14.17,14.19,14.00,14.10,2137600,13.95
2016-03-29,13.69,14.11,13.67,14.11,1574600,13.959893
2016-03-28,13.52,13.70,13.44,13.70,1240800,13.554255
2016-03-24,13.27,13.51,13.20,13.50,1713500,13.356383
2016-03-23,13.41,13.46,13.25,13.36,2405900,13.217872
2016-03-22,13.36,13.43,13.26,13.40,792200,13.257446
2016-03-21,13.30,13.53,13.30,13.39,1345100,13.247554
2016-03-18,13.61,13.67,13.33,13.38,2126600,13.23766
2016-03-17,13.43,13.64,13.39,13.59,1049100,13.445426
2016-03-16,13.22,13.46,13.17,13.42,993500,13.277234
2016-03-15,13.01,13.31,13.01,13.26,713400,13.118936
2016-03-14,13.06,13.26,12.99,13.23,1299200,13.089255
2016-03-11,12.96,13.14,12.93,13.11,957900,12.970532
2016-03-10,13.03,13.06,12.68,12.78,939500,12.644042
2016-03-09,12.85,13.04,12.85,12.96,798400,12.822128
2016-03-08,13.21,13.29,12.83,12.83,1547100,12.693511
2016-03-07,13.06,13.30,13.00,13.19,1297100,13.04968
2016-03-04,13.11,13.17,13.06,13.14,1173800,13.000213
2016-03-03,12.99,13.15,12.93,13.14,1089700,13.000213
2016-03-02,12.77,13.00,12.76,12.99,958900,12.851808
2016-03-01,12.43,12.82,12.33,12.82,2062300,12.683617
2016-02-29,12.41,12.47,12.27,12.31,2023100,12.179043
2016-02-26,12.49,12.52,12.38,12.39,2084300,12.258192
2016-02-25,12.51,12.55,12.41,12.48,1883000,12.347234
2016-02-24,12.30,12.38,12.19,12.29,1536000,12.159255
2016-02-23,12.34,12.47,12.23,12.40,1298200,12.268085
2016-02-22,12.15,12.44,12.15,12.40,1531100,12.268085
2016-02-19,12.00,12.24,11.96,12.15,1269900,12.020744
2016-02-18,11.92,12.10,11.81,12.09,1484600,11.961383
2016-02-17,11.72,12.04,11.72,11.93,1536700,11.803085
2016-02-16,11.69,11.75,11.53,11.71,1636700,11.585426
2016-02-12,11.37,11.65,11.37,11.54,1842900,11.417234
2016-02-11,11.44,11.51,11.22,11.29,2902700,11.169894
2016-02-10,11.66,11.88,11.64,11.64,1394900,11.516171
2016-02-09,11.68,11.87,11.52,11.61,2359800,11.486489
2016-02-08,12.46,12.46,11.70,11.83,2979800,11.704149
2016-02-05,12.41,12.97,12.41,12.56,3071900,12.426383
2016-02-04,12.58,12.99,12.51,12.91,2979000,12.772659
2016-02-03,12.64,12.80,12.53,12.71,1955100,12.574787
2016-02-02,12.80,12.80,12.51,12.59,3105500,12.456064
2016-02-01,12.76,12.88,12.71,12.81,2737200,12.673724
2016-01-29,12.64,12.86,12.58,12.83,1452600,12.693511
2016-01-28,12.64,12.79,12.50,12.52,1593000,12.386809
2016-01-27,12.54,12.72,12.48,12.55,1808200,12.41649
2016-01-26,12.36,12.69,12.36,12.60,3414900,12.465958
2016-01-25,12.29,12.48,12.16,12.32,2500600,12.188936
2016-01-22,12.10,12.39,12.06,12.29,2694300,12.159255
2016-01-21,12.09,12.14,11.83,11.97,2698000,11.84266
2016-01-20,12.26,12.39,11.63,11.98,2013800,11.852553
2016-01-19,12.66,12.72,12.38,12.49,1432000,12.357127
2016-01-15,12.52,12.61,12.37,12.55,1459400,12.41649
2016-01-14,12.85,12.85,12.59,12.71,1766900,12.574787
2016-01-13,12.95,13.10,12.69,12.75,1777600,12.614362
