Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,16.42,16.42,16.129999,16.18,52500,16.18
2016-04-18,16.389999,16.41,16.33,16.35,21200,16.35
2016-04-15,16.25,16.370001,16.25,16.32,35700,16.32
2016-04-14,16.219999,16.23,16.120001,16.16,50800,16.16
2016-04-13,16.25,16.25,16.18,16.18,45700,16.18
2016-04-12,16.27,16.34,16.219999,16.280001,46900,16.208001
2016-04-11,16.309999,16.35,16.200001,16.209999,41300,16.138309
2016-04-08,16.389999,16.389999,16.200001,16.219999,63100,16.148265
2016-04-07,16.32,16.33,16.23,16.24,35400,16.168177
2016-04-06,16.24,16.32,16.24,16.32,36800,16.247823
2016-04-05,16.299999,16.379999,16.23,16.23,60900,16.158221
2016-04-04,16.25,16.280001,16.200001,16.25,25000,16.178133
2016-04-01,16.299999,16.299999,16.18,16.219999,68700,16.148265
2016-03-31,16.299999,16.35,16.139999,16.24,69300,16.168177
2016-03-30,16.379999,16.389999,16.219999,16.23,36800,16.158221
2016-03-29,16.34,16.40,16.27,16.33,87700,16.257779
2016-03-28,16.299999,16.32,16.23,16.27,35000,16.198045
2016-03-24,16.32,16.34,16.26,16.26,80300,16.188089
2016-03-23,16.24,16.299999,16.16,16.299999,76400,16.227911
2016-03-22,16.02,16.209999,15.99,16.209999,58100,16.138309
2016-03-21,15.94,16.02,15.91,15.96,25100,15.889415
2016-03-18,15.96,16.00,15.88,15.88,64400,15.809769
2016-03-17,15.94,15.96,15.85,15.90,59700,15.82968
2016-03-16,15.96,16.00,15.87,15.92,71700,15.849592
2016-03-15,16.120001,16.120001,16.00,16.040001,68500,15.969062
2016-03-14,16.08,16.10,16.040001,16.08,23100,16.008884
2016-03-11,16.00,16.02,15.98,16.00,98500,15.929238
2016-03-10,16.10,16.10,16.01,16.040001,65600,15.897381
2016-03-09,16.24,16.27,16.01,16.01,99300,15.867647
2016-03-08,16.139999,16.26,16.10,16.190001,42700,16.046047
2016-03-07,16.08,16.10,16.01,16.10,50400,15.956847
2016-03-04,16.110001,16.15,15.77,16.030001,93100,15.88747
2016-03-03,16.110001,16.129999,16.10,16.129999,36800,15.986579
2016-03-02,16.08,16.120001,16.02,16.110001,40200,15.966758
2016-03-01,16.08,16.129999,16.030001,16.129999,93400,15.986579
2016-02-29,16.01,16.059999,16.00,16.049999,91900,15.90729
2016-02-26,16.059999,16.059999,15.96,15.98,122000,15.837913
2016-02-25,16.059999,16.09,16.00,16.08,43300,15.937024
2016-02-24,15.97,16.07,15.96,16.01,57000,15.867647
2016-02-23,15.81,15.96,15.79,15.96,43900,15.818091
2016-02-22,15.78,15.84,15.76,15.79,30000,15.649603
2016-02-19,15.76,15.81,15.74,15.81,23700,15.669425
2016-02-18,15.72,15.80,15.71,15.80,53100,15.659514
2016-02-17,15.74,15.81,15.71,15.72,94400,15.580226
2016-02-16,15.89,15.89,15.77,15.77,41800,15.629781
2016-02-12,16.049999,16.049999,15.87,15.89,49900,15.748714
2016-02-11,16.07,16.08,15.98,16.02,35400,15.877558
2016-02-10,16.08,16.120001,16.040001,16.049999,39000,15.835931
2016-02-09,16.10,16.15,15.99,16.059999,68000,15.845797
2016-02-08,16.15,16.190001,16.040001,16.15,53400,15.934597
2016-02-05,16.18,16.25,16.15,16.190001,39900,15.974065
2016-02-04,16.10,16.18,16.10,16.120001,30700,15.904999
2016-02-03,16.09,16.16,16.09,16.139999,52900,15.92473
2016-02-02,16.09,16.09,15.95,16.040001,65300,15.826066
2016-02-01,15.98,16.059999,15.93,16.059999,89000,15.845797
2016-01-29,16.030001,16.059999,15.90,15.94,237900,15.727398
2016-01-28,15.94,16.00,15.87,15.97,96400,15.756999
2016-01-27,15.99,16.059999,15.92,15.92,40900,15.707665
2016-01-26,16.110001,16.120001,15.89,15.93,81100,15.717532
2016-01-25,16.129999,16.15,16.049999,16.059999,36100,15.845797
2016-01-22,16.040001,16.129999,16.00,16.110001,69100,15.895132
2016-01-21,15.97,16.09,15.95,15.95,67100,15.737265
2016-01-20,16.049999,16.049999,15.89,15.94,42300,15.727398
2016-01-19,16.09,16.09,16.00,16.040001,74200,15.826066
2016-01-15,16.049999,16.08,16.040001,16.059999,43500,15.845797
2016-01-14,15.89,16.07,15.85,16.040001,83400,15.826066
2016-01-13,15.97,15.97,15.85,15.86,49400,15.648465
2016-01-12,15.98,16.049999,15.93,15.99,64600,15.705692
2016-01-11,16.030001,16.129999,15.96,16.040001,81300,15.754804
2016-01-08,16.02,16.049999,15.92,15.96,51300,15.676225
2016-01-07,15.98,16.030001,15.92,15.99,47900,15.705692
2016-01-06,15.99,16.129999,15.92,15.98,90600,15.695869
2016-01-05,15.90,15.99,15.90,15.95,69800,15.666403
2016-01-04,15.97,15.97,15.89,15.91,44400,15.627114
2015-12-31,15.92,15.95,15.89,15.95,27100,15.666403
2015-12-30,15.85,15.90,15.85,15.90,44700,15.617292
2015-12-29,15.84,15.88,15.82,15.86,29900,15.578003
2015-12-28,15.88,15.89,15.80,15.88,45800,15.597648
2015-12-24,15.87,15.89,15.80,15.89,25100,15.60747
2015-12-23,15.81,15.87,15.78,15.87,24800,15.587826
2015-12-22,15.82,15.83,15.67,15.79,34600,15.509248
2015-12-21,15.74,15.84,15.70,15.80,38000,15.51907
2015-12-18,15.72,15.72,15.63,15.68,23800,15.401204
2015-12-17,15.64,15.72,15.60,15.68,47700,15.401204
2015-12-16,15.44,15.56,15.27,15.56,57500,15.283338
2015-12-15,15.42,15.50,15.32,15.39,95000,15.116361
2015-12-14,15.65,15.65,15.44,15.49,26700,15.214582
2015-12-11,15.66,15.86,15.61,15.65,138300,15.371737
2015-12-10,15.69,15.69,15.53,15.60,101500,15.322627
2015-12-09,15.69,15.72,15.58,15.72,38600,15.369773
