Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,13.71,13.75,13.65,13.74,408300,13.74
2016-04-18,13.61,13.72,13.61,13.70,227600,13.70
2016-04-15,13.50,13.69,13.46,13.62,483600,13.62
2016-04-14,13.90,13.92,13.60,13.64,487700,13.64
2016-04-13,13.90,13.92,13.84,13.91,156700,13.91
2016-04-12,13.84,13.90,13.77,13.87,241000,13.87
2016-04-11,13.73,13.84,13.68,13.83,246600,13.83
2016-04-08,13.67,13.67,13.61,13.63,96200,13.63
2016-04-07,13.59,13.64,13.57,13.63,135400,13.63
2016-04-06,13.41,13.63,13.41,13.61,101200,13.61
2016-04-05,13.54,13.56,13.40,13.41,198000,13.41
2016-04-04,13.67,13.67,13.49,13.59,139400,13.59
2016-04-01,13.59,13.67,13.59,13.64,184700,13.64
2016-03-31,13.58,13.64,13.57,13.63,256800,13.63
2016-03-30,13.58,13.61,13.52,13.58,208000,13.58
2016-03-29,13.45,13.55,13.39,13.50,179200,13.50
2016-03-28,13.46,13.50,13.42,13.42,123900,13.42
2016-03-24,13.54,13.58,13.44,13.46,96100,13.46
2016-03-23,13.65,13.67,13.55,13.56,180900,13.56
2016-03-22,13.57,13.69,13.56,13.61,405100,13.61
2016-03-21,13.55,13.63,13.47,13.57,130600,13.57
2016-03-18,13.72,13.77,13.60,13.63,247100,13.525
2016-03-17,13.55,13.70,13.52,13.69,292000,13.584537
2016-03-16,13.37,13.54,13.32,13.52,229500,13.415848
2016-03-15,13.27,13.36,13.27,13.35,229600,13.247157
2016-03-14,13.33,13.33,13.21,13.28,213800,13.177696
2016-03-11,13.22,13.34,13.20,13.33,254400,13.227311
2016-03-10,13.14,13.19,13.11,13.19,223100,13.088389
2016-03-09,12.95,13.12,12.94,13.10,368700,12.999083
2016-03-08,12.82,12.95,12.79,12.89,286800,12.790701
2016-03-07,12.85,12.89,12.80,12.87,289500,12.770855
2016-03-04,12.76,12.96,12.76,12.90,244300,12.800623
2016-03-03,12.68,12.77,12.68,12.74,196100,12.641856
2016-03-02,12.70,12.75,12.67,12.68,130600,12.582319
2016-03-01,12.47,12.78,12.46,12.70,443100,12.602164
2016-02-29,12.37,12.45,12.33,12.44,190000,12.344167
2016-02-26,12.37,12.41,12.33,12.34,88000,12.244938
2016-02-25,12.32,12.35,12.29,12.35,140100,12.254861
2016-02-24,12.26,12.37,12.26,12.33,185900,12.235015
2016-02-23,12.32,12.33,12.24,12.29,171200,12.195323
2016-02-22,12.33,12.33,12.26,12.32,318200,12.225091
2016-02-19,12.15,12.32,12.15,12.27,74800,12.175477
2016-02-18,12.27,12.27,12.16,12.21,191900,12.115939
2016-02-17,12.23,12.34,12.22,12.30,221000,12.101055
2016-02-16,12.36,12.37,12.19,12.20,211100,12.002672
2016-02-12,12.40,12.40,12.27,12.32,327300,12.120731
2016-02-11,12.28,12.36,12.25,12.34,193700,12.140408
2016-02-10,12.48,12.50,12.36,12.36,132500,12.160084
2016-02-09,12.40,12.46,12.31,12.43,328500,12.228952
2016-02-08,12.60,12.61,12.40,12.45,283400,12.248628
2016-02-05,12.87,12.87,12.55,12.69,235000,12.484746
2016-02-04,12.82,12.88,12.80,12.87,109100,12.661835
2016-02-03,12.85,12.89,12.75,12.88,145700,12.671673
2016-02-02,12.85,12.89,12.77,12.81,102500,12.602806
2016-02-01,12.90,12.92,12.81,12.89,219900,12.681512
2016-01-29,13.00,13.06,12.90,12.90,351600,12.691349
2016-01-28,12.72,13.02,12.71,12.99,317300,12.779894
2016-01-27,12.59,12.76,12.55,12.65,281700,12.445393
2016-01-26,12.50,12.61,12.49,12.60,111600,12.396202
2016-01-25,12.61,12.61,12.44,12.45,129700,12.248628
2016-01-22,12.50,12.65,12.40,12.64,242400,12.435555
2016-01-21,12.51,12.52,12.34,12.42,412700,12.219114
2016-01-20,12.49,12.53,12.27,12.40,517500,12.199437
2016-01-19,12.75,12.78,12.53,12.56,360400,12.35685
2016-01-15,12.77,12.81,12.66,12.74,301400,12.533937
2016-01-14,13.02,13.03,12.85,12.93,401300,12.720865
2016-01-13,13.28,13.28,13.03,13.03,220900,12.819247
2016-01-12,13.35,13.39,13.17,13.25,235600,13.035689
2016-01-11,13.52,13.52,13.26,13.32,297300,13.104556
2016-01-08,13.57,13.60,13.51,13.52,258200,13.301322
2016-01-07,13.53,13.60,13.50,13.57,320900,13.350513
2016-01-06,13.55,13.70,13.50,13.60,499000,13.380028
2016-01-05,13.41,13.56,13.40,13.56,286400,13.340675
2016-01-04,13.29,13.42,13.23,13.41,330900,13.193101
2015-12-31,13.31,13.46,13.29,13.37,395300,13.153748
2015-12-30,13.31,13.37,13.29,13.36,484600,13.143909
2015-12-29,13.40,13.47,13.34,13.35,347300,13.134072
2015-12-28,13.65,13.65,13.42,13.46,398600,13.138991
2015-12-24,13.72,13.72,13.64,13.66,174500,13.334221
2015-12-23,13.53,13.64,13.47,13.62,425100,13.295175
2015-12-22,13.45,13.49,13.40,13.45,409000,13.129229
2015-12-21,13.53,13.53,13.35,13.47,417500,13.148752
2015-12-18,13.47,13.66,13.40,13.59,259300,13.163395
2015-12-17,13.56,13.57,13.35,13.53,569200,13.105278
2015-12-16,13.14,13.42,13.13,13.33,1150500,12.911556
2015-12-15,13.01,13.27,13.01,13.10,1126100,12.688776
2015-12-14,13.13,13.19,12.90,12.96,240200,12.553171
2015-12-11,13.48,13.48,13.05,13.09,477400,12.67909
2015-12-10,13.65,13.67,13.53,13.53,110500,13.105278
2015-12-09,13.72,13.72,13.60,13.68,203200,13.250569
2015-12-08,13.58,13.71,13.51,13.66,277300,13.231197
2015-12-07,13.95,13.95,13.63,13.66,341200,13.231197
2015-12-04,13.99,14.06,13.95,13.98,200400,13.541151
2015-12-03,13.93,14.01,13.93,14.00,319500,13.560524
2015-12-02,13.94,13.97,13.93,13.93,244700,13.492722
2015-12-01,13.95,13.98,13.89,13.95,717900,13.512093
2015-11-30,13.97,14.00,13.89,13.90,386200,13.463663
2015-11-27,13.86,13.97,13.84,13.96,80800,13.52178
2015-11-25,13.77,13.89,13.77,13.89,338500,13.453977
2015-11-24,13.77,13.87,13.72,13.79,554800,13.357116
2015-11-23,13.89,13.97,13.79,13.82,566900,13.386174
2015-11-20,14.03,14.03,13.87,13.91,292200,13.473349
2015-11-19,14.09,14.10,14.03,14.06,144500,13.618641
2015-11-18,14.09,14.12,14.02,14.08,253800,13.638013
2015-11-17,14.24,14.24,14.20,14.22,195700,13.671915
2015-11-16,14.18,14.25,14.17,14.24,221700,13.691143
2015-11-13,14.23,14.26,14.17,14.21,236400,13.6623
2015-11-12,14.31,14.32,14.21,14.25,207300,13.700758
2015-11-11,14.37,14.37,14.30,14.31,160100,13.758446
2015-11-10,14.34,14.38,14.27,14.36,105300,13.806518
2015-11-09,14.48,14.50,14.30,14.35,135400,13.796904
2015-11-06,14.49,14.53,14.43,14.53,169700,13.969966
2015-11-05,14.50,14.53,14.49,14.53,134700,13.969966
2015-11-04,14.55,14.59,14.50,14.50,130100,13.941122
2015-11-03,14.53,14.55,14.47,14.55,135900,13.989195
2015-11-02,14.52,14.57,14.50,14.56,142300,13.99881
2015-10-30,14.56,14.56,14.48,14.54,116400,13.979581
2015-10-29,14.50,14.54,14.41,14.53,92100,13.969966
2015-10-28,14.47,14.56,14.46,14.50,259700,13.941122
2015-10-27,14.40,14.51,14.36,14.47,185500,13.912279
2015-10-26,14.35,14.47,14.31,14.42,238900,13.864206
2015-10-23,14.33,14.41,14.31,14.38,136300,13.825748
2015-10-22,14.30,14.33,14.29,14.30,81400,13.748831
2015-10-21,14.28,14.34,14.24,14.26,108100,13.710373
2015-10-20,14.45,14.47,14.37,14.40,208500,13.744023
2015-10-19,14.42,14.50,14.40,14.47,147100,13.810835
2015-10-16,14.43,14.52,14.40,14.48,147000,13.820379
2015-10-15,14.50,14.50,14.40,14.46,161800,13.80129
2015-10-14,14.46,14.51,14.45,14.48,135800,13.820379
2015-10-13,14.44,14.50,14.44,14.49,133000,13.829923
2015-10-12,14.51,14.54,14.49,14.52,76100,13.858557
2015-10-09,14.49,14.58,14.48,14.53,138200,13.868101
2015-10-08,14.27,14.48,14.24,14.48,470100,13.820379
2015-10-07,14.23,14.29,14.19,14.26,398900,13.610401
2015-10-06,14.16,14.19,14.11,14.18,231500,13.534046
