Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,13.62,13.86,13.60,13.81,143600,13.81
2016-04-18,13.06,13.61,13.00,13.55,120200,13.55
2016-04-15,13.32,13.38,13.25,13.26,82100,13.26
2016-04-14,13.58,13.63,13.39,13.39,154400,13.39
2016-04-13,13.53,13.75,13.43,13.59,191900,13.59
2016-04-12,13.24,13.68,13.17,13.54,216800,13.462
2016-04-11,13.09,13.21,13.08,13.17,172400,13.094131
2016-04-08,12.91,13.08,12.87,12.93,142100,12.855514
2016-04-07,12.67,12.85,12.47,12.47,82500,12.398164
2016-04-06,12.74,12.87,12.64,12.78,142100,12.706378
2016-04-05,12.63,12.70,12.53,12.58,115000,12.50753
2016-04-04,12.73,12.87,12.55,12.55,128300,12.477703
2016-04-01,12.98,13.03,12.78,12.78,111300,12.706378
2016-03-31,13.15,13.24,13.00,13.00,250800,12.925111
2016-03-30,13.02,13.26,13.00,13.13,106500,13.054362
2016-03-29,12.75,12.98,12.69,12.98,56600,12.905225
2016-03-28,12.95,12.95,12.73,12.86,61600,12.785917
2016-03-24,12.65,12.89,12.55,12.85,62300,12.775975
2016-03-23,13.04,13.05,12.78,12.80,86300,12.726263
2016-03-22,12.98,13.22,12.98,13.10,54300,13.024535
2016-03-21,13.22,13.24,13.01,13.14,57900,13.064304
2016-03-18,13.22,13.38,13.07,13.22,92700,13.143843
2016-03-17,13.04,13.27,13.00,13.20,96000,13.123958
2016-03-16,12.71,13.05,12.71,13.02,122700,12.944996
2016-03-15,12.77,12.80,12.53,12.72,107200,12.646724
2016-03-14,12.94,12.97,12.80,12.91,65600,12.835629
2016-03-11,12.76,13.06,12.76,13.04,58700,12.96488
2016-03-10,12.79,12.79,12.50,12.73,91700,12.579115
2016-03-09,12.58,12.84,12.50,12.73,68100,12.579115
2016-03-08,12.99,12.99,12.42,12.47,139800,12.322197
2016-03-07,12.78,13.13,12.78,13.12,179400,12.964493
2016-03-04,12.80,13.06,12.65,12.90,168900,12.7471
2016-03-03,12.35,12.72,12.35,12.72,145600,12.569234
2016-03-02,12.09,12.45,12.00,12.45,203700,12.302434
2016-03-01,12.04,12.25,11.89,12.25,106400,12.104805
2016-02-29,12.02,12.08,11.85,11.92,171400,11.778716
2016-02-26,11.91,11.99,11.85,11.92,121000,11.778716
2016-02-25,11.76,11.83,11.49,11.78,159500,11.640375
2016-02-24,11.62,11.88,11.47,11.86,137300,11.719427
2016-02-23,12.07,12.18,11.74,11.84,123800,11.699664
2016-02-22,12.05,12.17,11.99,12.17,134500,12.025753
2016-02-19,11.78,11.84,11.59,11.84,109100,11.699664
2016-02-18,11.97,11.99,11.73,11.88,127900,11.73919
2016-02-17,11.76,11.96,11.62,11.95,99100,11.80836
2016-02-16,11.45,11.55,11.31,11.52,83000,11.383458
2016-02-12,11.24,11.43,11.17,11.38,92300,11.245117
2016-02-11,10.89,11.16,10.76,11.13,118700,10.99808
2016-02-10,11.47,11.53,11.20,11.30,126600,11.057369
2016-02-09,11.50,11.66,11.27,11.47,103700,11.223719
2016-02-08,11.56,11.73,11.39,11.69,114400,11.438994
2016-02-05,11.99,11.99,11.74,11.79,77000,11.536847
2016-02-04,11.93,12.26,11.86,12.08,136100,11.820621
2016-02-03,11.71,11.93,11.33,11.93,165600,11.673842
2016-02-02,11.62,11.69,11.54,11.58,174200,11.331356
2016-02-01,11.82,11.96,11.77,11.89,155200,11.634701
2016-01-29,11.77,12.19,11.73,12.19,145100,11.928258
2016-01-28,11.61,11.75,11.47,11.69,182600,11.438994
2016-01-27,11.22,11.53,11.14,11.27,114600,11.028013
2016-01-26,10.97,11.34,10.91,11.34,119200,11.09651
2016-01-25,11.24,11.32,10.81,10.85,145300,10.617031
2016-01-22,10.99,11.33,10.90,11.33,139000,11.086724
2016-01-21,10.52,10.79,10.37,10.63,225100,10.401755
2016-01-20,10.50,10.57,10.04,10.41,358800,10.186478
2016-01-19,11.08,11.08,10.57,10.74,120200,10.509393
2016-01-15,11.04,11.15,10.88,10.99,264100,10.754025
2016-01-14,11.12,11.43,11.01,11.33,180100,11.086724
2016-01-13,11.45,11.53,10.93,11.05,188700,10.812737
2016-01-12,11.61,11.63,11.13,11.46,245100,11.106295
2016-01-11,11.77,11.77,11.25,11.41,273500,11.057838
2016-01-08,11.88,11.89,11.60,11.69,150600,11.329196
2016-01-07,11.98,12.15,11.70,11.75,350400,11.387344
2016-01-06,12.56,12.56,12.14,12.19,231600,11.813764
2016-01-05,12.75,12.85,12.60,12.84,202200,12.443703
2016-01-04,12.33,12.75,12.33,12.74,412000,12.346789
2015-12-31,12.33,12.75,12.28,12.53,419200,12.14327
2015-12-30,12.48,12.60,12.33,12.33,308100,11.949443
2015-12-29,12.76,12.88,12.51,12.56,505500,12.172345
2015-12-28,12.76,12.79,12.58,12.60,231200,12.21111
2015-12-24,12.82,12.90,12.77,12.86,153200,12.463085
2015-12-23,12.41,12.77,12.33,12.76,564600,12.366172
2015-12-22,12.27,12.42,12.17,12.19,772900,11.813764
2015-12-21,12.35,12.48,12.25,12.27,219700,11.891296
2015-12-18,12.54,12.58,12.35,12.35,300600,11.968826
2015-12-17,12.96,12.99,12.57,12.57,275000,12.182035
2015-12-16,13.12,13.14,12.88,13.04,265700,12.63753
2015-12-15,12.97,13.21,12.97,13.20,189200,12.685986
2015-12-14,12.84,12.99,12.76,12.87,218600,12.368837
2015-12-11,13.15,13.15,12.90,12.95,187200,12.445721
2015-12-10,13.30,13.62,13.30,13.35,176700,12.830146
2015-12-09,13.32,13.75,13.30,13.39,199000,12.868588
2015-12-08,13.26,13.53,13.12,13.37,174900,12.849366
2015-12-07,13.98,13.98,13.42,13.48,276000,12.955083
2015-12-04,14.26,14.30,14.03,14.23,170800,13.675877
2015-12-03,14.49,14.60,14.27,14.29,108400,13.733541
2015-12-02,14.87,14.87,14.43,14.47,130800,13.906532
2015-12-01,14.84,14.94,14.77,14.94,127400,14.35823
2015-11-30,14.88,15.01,14.81,14.84,138400,14.262124
2015-11-27,14.61,14.77,14.61,14.76,47600,14.185239
2015-11-25,14.68,14.84,14.56,14.77,92500,14.19485
2015-11-24,14.43,14.81,14.43,14.76,79300,14.185239
2015-11-23,14.35,14.58,14.35,14.43,126700,13.86809
2015-11-20,14.51,14.72,14.42,14.42,99700,13.858479
2015-11-19,14.81,14.84,14.50,14.54,98000,13.973806
2015-11-18,14.84,14.97,14.70,14.83,131800,14.252513
2015-11-17,14.91,14.98,14.69,14.74,141000,14.166018
2015-11-16,14.33,14.88,14.32,14.86,152400,14.281345
2015-11-13,14.20,14.37,14.03,14.34,158400,13.781594
2015-11-12,14.48,14.54,14.20,14.21,152600,13.656657
2015-11-11,15.11,15.16,14.71,14.76,155800,14.079523
2015-11-10,15.00,15.18,14.93,15.11,115000,14.413386
2015-11-09,15.27,15.40,15.01,15.05,111100,14.356153
2015-11-06,15.40,15.53,15.17,15.30,183900,14.594627
2015-11-05,15.68,15.85,15.55,15.63,191100,14.909413
2015-11-04,15.85,15.95,15.68,15.78,124600,15.052497
2015-11-03,15.64,15.99,15.64,15.85,325000,15.119271
2015-11-02,15.45,15.75,15.41,15.61,199500,14.890335
2015-10-30,15.45,15.66,15.22,15.56,161900,14.84264
2015-10-29,15.35,15.66,15.35,15.43,82400,14.718634
2015-10-28,15.32,15.63,15.22,15.46,122100,14.74725
2015-10-27,15.40,15.40,15.16,15.29,120500,14.585088
2015-10-26,15.89,15.89,15.56,15.57,110500,14.852179
2015-10-23,16.040001,16.120001,15.86,16.030001,67900,15.290972
2015-10-22,15.82,16.129999,15.82,16.10,100300,15.357745
2015-10-21,15.89,15.96,15.75,15.77,95100,15.042959
2015-10-20,15.72,16.00,15.72,15.99,98900,15.252816
2015-10-19,15.94,15.95,15.76,15.82,50900,15.090653
2015-10-16,16.219999,16.219999,15.91,16.08,77400,15.338667
2015-10-15,16.059999,16.280001,15.81,16.15,116000,15.405439
2015-10-14,15.92,16.15,15.83,16.15,110300,15.405439
2015-10-13,15.96,16.040001,15.76,15.97,116900,15.233738
2015-10-12,16.27,16.27,15.88,16.10,99600,15.252817
2015-10-09,16.209999,16.309999,16.07,16.299999,163800,15.442291
2015-10-08,15.74,16.25,15.58,16.15,131500,15.300185
2015-10-07,15.40,15.79,15.20,15.79,230500,14.959128
2015-10-06,14.79,15.29,14.74,15.24,282400,14.438069
2015-10-05,14.42,14.77,14.36,14.77,162200,13.992801
2015-10-02,13.74,14.24,13.61,14.22,185200,13.471742
2015-10-01,13.91,14.03,13.65,14.00,105700,13.263318
2015-09-30,13.54,13.78,13.46,13.78,150800,13.054895
2015-09-29,13.38,13.53,13.25,13.37,102700,12.666469
2015-09-28,13.82,13.82,13.36,13.36,123300,12.656995
2015-09-25,14.00,14.03,13.80,13.92,60500,13.187528
2015-09-24,13.73,14.00,13.70,13.93,111900,13.197002
2015-09-23,14.04,14.17,13.83,13.88,99000,13.149633
2015-09-22,13.96,14.12,13.96,14.11,61500,13.36753
2015-09-21,14.22,14.32,14.18,14.24,82200,13.490689
2015-09-18,14.13,14.29,13.72,14.18,89900,13.433847
2015-09-17,14.35,14.54,14.19,14.40,69600,13.64227
2015-09-16,14.06,14.35,13.98,14.30,80400,13.547533
2015-09-15,13.90,14.03,13.85,13.98,109100,13.24437
2015-09-14,13.91,13.97,13.80,13.87,78900,13.140159
2015-09-11,14.13,14.16,13.96,14.00,110800,13.263318
2015-09-10,14.33,14.46,14.21,14.35,140900,13.49069
2015-09-09,14.62,14.77,14.33,14.33,131700,13.471887
2015-09-08,14.76,14.81,14.48,14.51,126300,13.641108
2015-09-04,14.71,14.76,14.54,14.63,84800,13.753922
2015-09-03,15.14,15.36,14.84,14.92,173700,14.026556
2015-09-02,14.94,15.12,14.60,15.12,182400,14.21458
2015-09-01,14.73,14.87,14.43,14.64,220300,13.763324
2015-08-31,14.82,15.20,14.44,15.20,125800,14.289789
2015-08-28,14.35,14.89,14.32,14.85,129700,13.960748
2015-08-27,13.82,14.84,13.82,14.47,291000,13.603504
2015-08-26,13.93,14.00,13.46,13.69,234400,12.870211
2015-08-25,13.92,13.98,13.62,13.65,233200,12.832606
2015-08-24,13.41,13.98,13.00,13.44,238600,12.635182
2015-08-21,14.61,14.70,14.10,14.15,239400,13.302665
2015-08-20,14.78,15.01,14.70,14.76,173500,13.876138
2015-08-19,15.06,15.08,14.77,14.87,123900,13.97955
2015-08-18,15.21,15.24,15.07,15.09,81600,14.186376
2015-08-17,15.27,15.40,15.20,15.27,107900,14.355598
2015-08-14,15.40,15.55,15.31,15.40,115900,14.477812
2015-08-13,15.42,15.48,15.16,15.47,431400,14.543621
2015-08-12,14.90,15.47,14.88,15.44,181300,14.515417
2015-08-11,14.81,15.18,14.76,15.13,143600,14.120569
2015-08-10,14.75,15.17,14.75,15.01,232000,14.008575
2015-08-07,15.01,15.05,14.73,14.73,126800,13.747255
2015-08-06,14.75,15.00,14.66,14.94,164000,13.943245
2015-08-05,15.27,15.39,14.86,14.86,166400,13.868582
