Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,15.12,15.15,15.08,15.10,10700,15.10
2016-04-18,15.10,15.23,15.10,15.15,20400,15.15
2016-04-15,15.09,15.11,15.09,15.11,7400,15.11
2016-04-14,15.15,15.15,15.10,15.10,3500,15.10
2016-04-13,15.09,15.16,15.08,15.16,10600,15.16
2016-04-12,15.14,15.14,15.14,15.14,7000,15.112
2016-04-11,15.24,15.24,15.12,15.12,25100,15.092037
2016-04-08,15.12,15.15,15.10,15.14,15000,15.112
2016-04-07,15.13,15.13,15.08,15.09,8300,15.062093
2016-04-06,15.09,15.14,15.09,15.14,2600,15.112
2016-04-05,15.08,15.14,15.08,15.08,11300,15.052111
2016-04-04,15.08,15.08,15.08,15.08,000,15.052111
2016-04-01,15.10,15.10,15.06,15.08,7900,15.052111
2016-03-31,15.05,15.05,15.05,15.05,000,15.022167
2016-03-30,15.05,15.06,15.05,15.05,1400,15.022167
2016-03-29,15.13,15.13,15.04,15.04,11600,15.012185
2016-03-28,15.07,15.12,15.05,15.07,9500,15.042129
2016-03-24,15.05,15.08,15.05,15.07,6700,15.042129
2016-03-23,15.04,15.12,15.04,15.08,23200,15.052111
2016-03-22,15.03,15.04,15.03,15.03,9100,15.002203
2016-03-21,15.08,15.08,15.02,15.04,5400,15.012185
2016-03-18,15.03,15.05,15.03,15.04,17600,15.012185
2016-03-17,15.03,15.03,15.03,15.03,1400,15.002203
2016-03-16,15.03,15.05,15.02,15.02,40600,14.992222
2016-03-15,15.05,15.05,15.03,15.03,9600,15.002203
2016-03-14,15.06,15.06,15.05,15.05,14000,15.022167
2016-03-11,15.05,15.05,15.05,15.05,13300,15.022167
2016-03-10,15.06,15.06,15.05,15.05,8800,14.994218
2016-03-09,15.06,15.09,15.06,15.09,3100,15.03407
2016-03-08,15.07,15.14,15.05,15.05,9500,14.994218
2016-03-07,15.10,15.12,15.05,15.05,18500,14.994218
2016-03-04,15.10,15.10,15.07,15.09,2600,15.03407
2016-03-03,15.10,15.10,15.06,15.06,2000,15.004181
2016-03-02,15.05,15.15,15.02,15.13,17300,15.073921
2016-03-01,15.09,15.10,15.02,15.03,5700,14.974292
2016-02-29,15.05,15.08,15.05,15.05,2900,14.994218
2016-02-26,15.04,15.08,15.04,15.04,7900,14.984255
2016-02-25,15.08,15.08,15.05,15.05,4700,14.994218
2016-02-24,15.04,15.08,15.04,15.08,2800,15.024107
2016-02-23,15.03,15.05,15.03,15.05,3200,14.994218
2016-02-22,15.00,15.04,14.98,15.03,9600,14.974292
2016-02-19,14.98,15.00,14.98,14.98,7500,14.924477
2016-02-18,14.98,15.00,14.91,14.99,11100,14.93444
2016-02-17,15.04,15.04,14.92,14.99,18300,14.93444
2016-02-16,15.02,15.03,15.01,15.03,4600,14.974292
2016-02-12,15.03,15.03,15.00,15.00,5100,14.944403
2016-02-11,14.99,14.99,14.93,14.99,10000,14.93444
2016-02-10,15.02,15.02,15.02,15.02,100,14.936434
2016-02-09,15.03,15.03,15.03,15.03,500,14.946378
2016-02-08,15.02,15.03,15.02,15.03,1000,14.946378
2016-02-05,15.00,15.00,15.00,15.00,1800,14.916545
2016-02-04,15.01,15.02,15.00,15.02,1800,14.936434
2016-02-03,14.97,15.01,14.97,15.00,1400,14.916545
2016-02-02,15.01,15.01,15.01,15.01,000,14.926489
2016-02-01,14.98,15.01,14.95,15.01,2300,14.926489
2016-01-29,14.98,14.98,14.94,14.97,14000,14.886712
2016-01-28,15.00,15.00,14.93,14.97,5200,14.886712
2016-01-27,14.90,14.95,14.90,14.92,9300,14.83699
2016-01-26,15.01,15.01,14.95,14.95,3700,14.866823
2016-01-25,14.95,15.00,14.95,14.95,5400,14.866823
2016-01-22,15.08,15.08,14.94,14.98,4800,14.896656
2016-01-21,15.02,15.03,14.91,14.95,6000,14.866823
2016-01-20,14.89,14.98,14.89,14.93,11400,14.846935
