Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,66.830002,66.830002,66.032997,66.370003,2000,66.370003
2016-04-18,65.550003,66.510002,65.010002,66.309998,1900,66.309998
2016-04-15,65.519997,65.949997,65.519997,65.760002,293000,65.760002
2016-04-14,65.00,65.32,64.800003,64.800003,38800,64.800003
2016-04-13,65.580002,65.889999,65.50,65.550003,101900,65.550003
2016-04-12,66.620003,67.045998,66.620003,67.029999,179900,66.060999
2016-04-11,67.160004,67.370003,66.400002,66.400002,63000,65.440109
2016-04-08,66.019997,66.720001,66.019997,66.660004,256800,65.696352
2016-04-07,65.870003,66.206001,65.382004,65.889999,54400,64.93748
2016-04-06,66.190002,66.260002,65.529999,66.120003,3900,65.164158
2016-04-05,66.169998,66.25,65.949997,66.080002,10000,65.124735
2016-04-04,67.589996,67.609001,67.160004,67.18,1100,66.208832
2016-04-01,67.510002,68.620003,67.309998,68.620003,54600,67.628017
2016-03-31,68.323997,68.323997,68.323997,68.323997,69600,67.336291
2016-03-30,68.260002,68.699997,68.260002,68.32,1400,67.332351
2016-03-29,67.239998,68.330002,66.919998,68.330002,9300,67.342209
2016-03-28,66.117996,66.279999,66.029999,66.25,12700,65.292276
2016-03-24,66.040001,66.970001,66.040001,66.690002,52400,65.725918
2016-03-23,66.019997,66.699997,65.914001,66.389999,257000,65.430251
2016-03-22,65.720001,66.519997,65.720001,66.519997,93600,65.558369
2016-03-21,66.25,66.25,65.970001,65.970001,1000,65.016325
2016-03-18,67.099998,67.470001,67.040001,67.239998,30800,66.267962
2016-03-17,67.610001,67.610001,66.57,66.959999,1500,65.992011
2016-03-16,67.449997,67.449997,65.660004,66.279999,28200,65.321841
2016-03-15,65.699997,66.370003,65.699997,66.360001,130700,65.400686
2016-03-14,65.870003,65.870003,65.089996,65.699997,97200,64.750224
2016-03-11,66.209999,66.230003,66.029999,66.110001,101500,65.1543
2016-03-10,66.18,66.790001,65.959999,66.339996,5500,65.380971
2016-03-09,65.709999,66.449997,65.459999,66.300003,3200,65.341556
2016-03-08,64.629997,65.989998,64.629997,65.790001,4600,64.838927
2016-03-07,64.00,65.080002,64.00,64.919998,457300,63.981501
2016-03-04,63.48,63.77,62.932999,63.740002,4600,62.818563
2016-03-03,63.27,63.542,62.810001,63.490002,88500,62.572177
2016-03-02,62.990002,64.315002,62.98,64.315002,79900,63.385251
2016-03-01,63.290001,63.393002,62.709999,62.990002,390100,62.079405
2016-02-29,64.237,64.660004,63.669998,63.900002,24900,62.97625
2016-02-26,64.050003,64.32,63.341,63.779999,210000,62.857982
2016-02-25,64.584,64.720001,64.411003,64.599998,54200,63.666127
2016-02-24,63.794998,64.989998,63.790001,64.989998,203300,64.050489
2016-02-23,63.549999,64.110001,63.540001,64.00,6000,63.074802
2016-02-22,64.00,64.330002,63.801998,64.260002,175800,63.331046
2016-02-19,63.630001,64.110001,63.630001,64.080002,34000,63.153648
2016-02-18,63.490002,64.43,63.490002,63.830002,86600,62.907262
2016-02-17,63.619999,63.619999,63.130001,63.560001,235300,62.641164
2016-02-16,63.00,63.497002,62.799999,63.497002,2100,62.579075
2016-02-12,60.130001,62.169998,60.130001,62.169998,276300,61.271255
2016-02-11,60.189999,60.400002,59.57,59.57,457500,58.708843
2016-02-10,59.119999,60.619999,59.099998,60.599998,314900,59.723952
2016-02-09,59.00,59.779999,59.00,59.459999,105800,58.600433
2016-02-08,58.68,59.029999,58.571999,59.029999,26700,58.176649
2016-02-05,58.119999,59.00,58.080002,59.00,1700,58.147083
2016-02-04,58.912998,59.150002,58.779999,59.009998,114800,58.156937
2016-02-03,57.959999,58.630001,57.959999,58.439999,4200,57.595178
2016-02-02,57.338001,57.338001,57.099998,57.099998,600,56.274549
2016-02-01,57.113998,57.349998,57.029999,57.349998,1600,56.520935
2016-01-29,57.009998,57.292999,56.950001,57.241001,125300,56.413513
2016-01-28,55.560001,56.700001,55.549999,56.169998,6400,55.357993
2016-01-27,55.669998,56.169998,55.57,55.599998,13000,54.796233
2016-01-26,54.939999,55.330002,54.860001,55.07,344600,54.273896
2016-01-25,54.900002,55.119999,53.82,53.889999,4200,53.110954
2016-01-22,54.200001,55.029999,53.759998,54.990002,7400,54.195055
2016-01-21,53.419998,54.029999,52.893002,53.400002,155400,52.62804
2016-01-20,54.59,54.59,52.889999,53.959999,107400,53.179942
2016-01-19,54.50,55.450001,54.50,55.450001,10500,54.648404
2016-01-15,54.740002,54.740002,53.720001,54.009998,2500,53.229218
2016-01-14,54.34,55.029999,54.34,54.869999,7200,54.076787
2016-01-13,55.150002,55.150002,54.153999,54.220001,6400,53.436185
2016-01-12,55.080002,55.400002,55.07,55.369999,4900,53.848141
2016-01-11,56.169998,56.169998,55.529999,55.529999,116500,54.003743
2016-01-08,55.919998,56.540001,55.849998,56.200001,55500,54.65533
2016-01-07,56.200001,56.700001,56.18,56.200001,6400,54.65533
2016-01-06,56.41,56.599998,56.200001,56.599998,2900,55.044333
2016-01-05,55.779999,56.07,55.669998,56.060001,45700,54.519178
2016-01-04,55.740002,56.209999,55.290001,55.380001,10300,53.857868
2015-12-31,55.369999,55.599998,54.880001,55.43,7100,53.906493
2015-12-30,56.000999,56.189999,55.700001,56.00,34100,54.460826
2015-12-29,55.57,55.57,55.00,55.330002,4700,53.809243
2015-12-28,54.669998,54.987999,54.644001,54.849998,6700,53.342432
2015-12-24,55.029999,55.130001,54.439999,54.790001,28900,53.284084
2015-12-23,54.450001,55.049999,54.189999,55.029999,34500,53.517485
2015-12-22,53.00,53.849998,52.786999,53.784,14600,52.305734
2015-12-21,52.509998,52.98,52.099998,52.98,1400,51.523831
2015-12-18,52.310001,53.00,51.688999,52.950001,120000,51.494657
2015-12-17,52.529999,53.279999,52.529999,52.689999,76600,51.241801
2015-12-16,51.509998,52.029999,51.509998,51.75,34600,50.327638
2015-12-15,51.192001,51.48,51.192001,51.48,400,50.065059
2015-12-14,51.939999,51.939999,50.50,50.84,6500,49.44265
2015-12-11,51.150002,51.150002,50.876999,50.990002,1400,49.588529
2015-12-10,51.720001,51.720001,50.240002,50.759998,158000,49.364847
2015-12-09,52.00,52.209999,51.689999,51.689999,108500,50.269286
2015-12-08,51.00,51.599998,50.970001,51.43,115400,50.016434
