Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,12.43,12.55,12.34,12.54,497100,12.54
2016-04-18,12.32,12.54,12.26,12.44,354000,12.44
2016-04-15,12.30,12.46,12.27,12.40,478300,12.40
2016-04-14,12.41,12.54,12.32,12.34,550600,12.34
2016-04-13,11.85,12.46,11.77,12.41,745500,12.41
2016-04-12,11.68,11.93,11.46,11.81,470000,11.81
2016-04-11,11.84,11.98,11.65,11.66,499000,11.66
2016-04-08,11.80,11.98,11.65,11.76,537000,11.76
2016-04-07,11.97,12.12,11.62,11.68,893800,11.68
2016-04-06,11.90,12.19,11.68,12.05,631800,12.05
2016-04-05,12.02,12.21,11.99,12.02,736100,11.870001
2016-04-04,12.23,12.31,12.06,12.06,641800,11.909501
2016-04-01,12.24,12.30,12.05,12.20,578000,12.047754
2016-03-31,12.45,12.51,12.20,12.36,725600,12.205757
2016-03-30,12.51,12.67,12.34,12.42,808300,12.265009
2016-03-29,12.03,12.46,11.93,12.45,889900,12.294634
2016-03-28,12.25,12.26,11.92,12.08,702400,11.929251
2016-03-24,12.02,12.32,11.84,12.24,921100,12.087255
2016-03-23,12.39,12.46,11.95,11.99,912400,11.840374
2016-03-22,12.09,12.64,12.06,12.43,895300,12.274884
2016-03-21,12.37,12.37,12.04,12.17,696200,12.018128
2016-03-18,12.48,12.65,12.23,12.30,1950900,12.146506
2016-03-17,12.32,12.45,12.05,12.40,1153000,12.245258
2016-03-16,12.23,12.55,12.02,12.34,1026100,12.186007
2016-03-15,12.22,12.27,11.99,12.21,759800,12.057629
2016-03-14,12.41,12.52,12.20,12.34,1036400,12.186007
2016-03-11,12.16,12.48,12.06,12.45,1007800,12.294634
2016-03-10,12.15,12.24,11.85,12.06,1156600,11.909501
2016-03-09,12.14,12.26,11.91,12.10,1734000,11.949002
2016-03-08,12.08,12.40,11.88,12.01,1591100,11.860125
2016-03-07,11.67,12.48,11.67,12.21,2179100,12.057629
2016-03-04,11.05,11.78,11.05,11.67,2645600,11.524368
2016-03-03,10.32,11.08,10.31,10.94,2126600,10.803477
2016-03-02,10.11,10.34,10.00,10.23,1236900,10.102337
2016-03-01,9.82,10.12,9.81,10.11,1111700,9.983835
2016-02-29,9.34,9.98,9.27,9.70,1649700,9.578952
2016-02-26,9.17,9.41,9.12,9.34,780500,9.223445
2016-02-25,9.17,9.22,8.91,9.12,906200,9.00619
2016-02-24,8.83,9.15,8.58,9.13,1025700,9.016065
2016-02-23,9.04,9.04,8.76,8.93,671600,8.818561
2016-02-22,8.83,9.14,8.67,9.07,925800,8.956813
2016-02-19,9.11,9.11,8.54,8.64,1238200,8.53218
2016-02-18,9.22,9.22,8.75,9.16,1163100,9.045691
2016-02-17,8.82,9.37,8.82,9.22,1793900,9.104942
2016-02-16,8.50,8.86,8.37,8.78,1013600,8.670432
2016-02-12,8.21,8.43,8.06,8.35,985800,8.245799
2016-02-11,7.96,8.37,7.90,8.19,1119500,8.087795
2016-02-10,8.13,8.27,7.98,8.06,896800,7.959418
2016-02-09,8.18,8.27,8.06,8.09,875500,7.989044
2016-02-08,8.31,8.34,8.05,8.30,1657100,8.196423
2016-02-05,8.36,8.59,8.15,8.26,2346800,8.156922
2016-02-04,7.65,8.46,7.33,8.35,2556100,8.245799
2016-02-03,8.02,8.04,7.25,7.33,4902300,7.238527
2016-02-02,8.50,8.55,8.04,8.09,887300,7.989044
2016-02-01,8.70,8.79,8.52,8.55,975100,8.443303
2016-01-29,8.49,8.79,8.49,8.77,920700,8.660558
2016-01-28,8.51,8.59,8.34,8.41,608500,8.30505
2016-01-27,8.51,8.75,8.37,8.40,822700,8.295174
2016-01-26,8.15,8.59,8.13,8.50,1001200,8.393927
2016-01-25,8.33,8.52,8.10,8.11,677300,8.008793
2016-01-22,8.43,8.67,8.32,8.37,1176100,8.265549
2016-01-21,8.10,8.70,8.02,8.31,1386000,8.206298
2016-01-20,7.95,8.21,7.62,8.08,1402900,7.979168
2016-01-19,8.36,8.36,7.97,8.06,1431400,7.959418
2016-01-15,8.34,8.37,8.01,8.20,1477200,8.09767
2016-01-14,8.24,8.75,8.05,8.55,2278000,8.443303
2016-01-13,8.46,8.58,8.05,8.25,1367600,8.147047
2016-01-12,8.60,8.70,8.22,8.46,1222300,8.354426
2016-01-11,8.69,8.86,8.34,8.52,1349600,8.413678
2016-01-08,8.75,8.93,8.50,8.66,1550100,8.55193
2016-01-07,8.68,9.12,8.68,8.73,2214600,8.621056
2016-01-06,8.78,8.96,8.62,8.83,1498600,8.719809
2016-01-05,9.18,9.24,8.76,9.03,2694900,8.769184
2016-01-04,8.63,9.23,8.55,9.18,2211700,8.914852
2015-12-31,8.68,8.86,8.67,8.71,915600,8.458427
2015-12-30,8.77,8.87,8.64,8.72,1122700,8.468139
2015-12-29,8.70,8.88,8.63,8.79,964500,8.536116
2015-12-28,9.17,9.17,8.35,8.67,2271500,8.419583
2015-12-24,9.18,9.24,9.13,9.19,342000,8.924563
2015-12-23,8.88,9.22,8.82,9.22,993200,8.953697
2015-12-22,8.62,8.99,8.59,8.89,1107900,8.633229
2015-12-21,8.82,8.88,8.48,8.64,2649200,8.390449
2015-12-18,8.93,9.00,8.70,8.79,2636300,8.536116
2015-12-17,9.27,9.33,8.90,9.02,1175200,8.759474
2015-12-16,8.84,9.24,8.79,9.24,1065700,8.973119
2015-12-15,8.85,9.13,8.82,8.83,1478500,8.574961
2015-12-14,9.08,9.26,8.59,8.83,2079000,8.574961
2015-12-11,9.45,9.69,9.02,9.08,2388400,8.81774
2015-12-10,9.22,9.64,9.15,9.62,1818700,9.342143
2015-12-09,9.38,9.56,9.12,9.20,1880700,8.934274
2015-12-08,9.20,9.69,9.20,9.44,2175900,9.167342
2015-12-07,10.06,10.09,9.22,9.42,3796100,9.14792
2015-12-04,9.99,10.20,9.35,10.04,9465100,9.750012
2015-12-03,12.67,12.75,11.64,12.05,3598000,11.701957
2015-12-02,12.55,12.86,12.46,12.61,1835700,12.245782
2015-12-01,12.81,12.89,12.43,12.54,2070300,12.177804
2015-11-30,13.14,13.21,12.78,12.80,1645500,12.430295
2015-11-27,13.12,13.22,13.04,13.14,676500,12.760475
2015-11-25,13.05,13.30,13.04,13.11,1134400,12.731341
2015-11-24,12.76,13.04,12.73,13.01,952500,12.63423
2015-11-23,12.81,13.00,12.70,12.93,791200,12.55654
2015-11-20,12.84,13.04,12.66,12.78,1287600,12.410872
2015-11-19,12.88,12.89,12.60,12.72,906800,12.352606
2015-11-18,12.65,12.91,12.53,12.88,1034400,12.507984
2015-11-17,12.89,13.10,12.57,12.67,579900,12.30405
2015-11-16,12.29,12.89,12.29,12.84,1001200,12.46914
2015-11-13,12.62,12.71,12.08,12.33,1553900,11.97387
2015-11-12,12.94,13.28,12.74,12.78,661400,12.410872
2015-11-11,13.48,13.48,12.95,13.00,715200,12.624518
2015-11-10,13.27,13.59,13.20,13.48,525600,13.090654
2015-11-09,13.40,13.45,13.07,13.28,475400,12.896431
2015-11-06,13.49,13.52,13.30,13.46,421100,13.071232
2015-11-05,13.48,13.65,13.26,13.51,461800,13.119788
2015-11-04,13.59,13.68,13.31,13.46,689300,13.071232
2015-11-03,13.33,13.65,13.23,13.56,733100,13.168344
2015-11-02,12.98,13.35,12.75,13.31,799600,12.925565
2015-10-30,12.88,13.18,12.62,12.99,1019000,12.614807
2015-10-29,13.15,13.20,12.89,12.91,964900,12.537117
2015-10-28,12.91,13.32,12.82,13.15,1257300,12.770185
2015-10-27,13.01,13.07,12.72,12.85,631600,12.478851
2015-10-26,12.98,13.16,12.86,12.99,582300,12.614807
2015-10-23,13.29,13.29,12.75,12.96,1448900,12.585674
2015-10-22,13.29,13.42,13.02,13.17,714500,12.789608
2015-10-21,13.53,13.67,13.22,13.25,977000,12.867297
2015-10-20,13.31,13.89,13.31,13.53,1497000,13.13921
2015-10-19,13.03,13.41,12.93,13.18,962900,12.799319
2015-10-16,13.03,13.09,12.80,13.04,715800,12.663363
2015-10-15,12.60,13.21,12.60,13.15,1531200,12.624518
2015-10-14,12.78,12.93,12.53,12.66,1210900,12.154099
2015-10-13,12.83,13.05,12.55,12.65,793400,12.144499
2015-10-12,13.20,13.20,12.72,12.83,691800,12.317306
2015-10-09,12.86,12.99,12.72,12.95,731400,12.432511
2015-10-08,12.73,12.93,12.69,12.87,1190100,12.355707
