Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,15.00,15.03,14.97,14.98,8000,14.98
2016-04-18,15.00,15.01,15.00,15.01,600,15.01
2016-04-15,15.01,15.01,14.97,15.00,25000,15.00
2016-04-14,15.00,15.02,15.00,15.01,1400,15.01
2016-04-13,15.03,15.03,15.01,15.01,1300,15.01
2016-04-12,15.00,15.04,15.00,15.00,6000,14.982
2016-04-11,15.01,15.04,15.00,15.00,5600,14.982
2016-04-08,15.00,15.03,14.99,15.01,3200,14.991988
2016-04-07,15.00,15.02,15.00,15.00,7200,14.982
2016-04-06,15.01,15.03,14.99,15.02,6600,15.001976
2016-04-05,15.01,15.01,15.00,15.01,1800,14.991988
2016-04-04,14.97,15.00,14.97,14.98,7900,14.962023
2016-04-01,14.99,15.01,14.99,15.01,900,14.991988
2016-03-31,14.99,14.99,14.99,14.99,000,14.972011
2016-03-30,14.99,14.99,14.98,14.99,2300,14.972011
2016-03-29,15.01,15.01,14.99,15.01,2700,14.991988
2016-03-28,15.00,15.01,15.00,15.01,2600,14.991988
2016-03-24,15.00,15.01,14.99,15.01,3300,14.991988
2016-03-23,15.00,15.01,14.98,15.00,10500,14.982
2016-03-22,15.01,15.01,14.97,14.98,6000,14.962023
2016-03-21,15.01,15.01,15.00,15.01,3800,14.991988
2016-03-18,15.01,15.01,15.01,15.01,1200,14.991988
2016-03-17,15.00,15.03,15.00,15.03,2700,15.011963
2016-03-16,15.01,15.02,15.01,15.01,500,14.991988
2016-03-15,15.03,15.03,15.03,15.03,800,15.011963
2016-03-14,15.03,15.04,15.03,15.03,3400,15.011963
2016-03-11,15.04,15.04,15.04,15.04,2400,15.021952
2016-03-10,15.01,15.04,15.01,15.04,8800,15.003973
2016-03-09,15.00,15.02,15.00,15.00,7300,14.964069
2016-03-08,15.03,15.04,15.00,15.04,8900,15.003973
2016-03-07,15.02,15.02,15.02,15.02,200,14.984022
2016-03-04,15.01,15.05,15.01,15.01,5300,14.974045
2016-03-03,15.03,15.03,15.03,15.03,000,14.993997
2016-03-02,15.01,15.05,15.01,15.03,6200,14.993997
2016-03-01,15.08,15.09,15.01,15.01,12900,14.974045
2016-02-29,15.00,15.06,15.00,15.05,16900,15.01395
2016-02-26,15.00,15.01,15.00,15.00,2200,14.964069
2016-02-25,15.01,15.01,15.01,15.01,1200,14.974045
2016-02-24,15.02,15.03,15.00,15.01,9700,14.974045
2016-02-23,15.00,15.02,15.00,15.02,6000,14.984022
2016-02-22,15.00,15.01,15.00,15.00,4700,14.964069
2016-02-19,15.00,15.00,15.00,15.00,2100,14.964069
2016-02-18,14.98,15.01,14.98,15.01,2300,14.974045
2016-02-17,15.03,15.08,15.00,15.02,8400,14.984022
2016-02-16,15.13,15.13,15.04,15.07,1700,15.033901
2016-02-12,15.03,15.06,14.99,14.99,15600,14.954093
2016-02-11,15.04,15.10,15.03,15.09,5500,15.053854
2016-02-10,15.05,15.08,15.01,15.01,5200,14.948108
2016-02-09,15.03,15.05,15.01,15.05,3800,14.987943
2016-02-08,15.03,15.03,15.01,15.01,700,14.948108
2016-02-05,15.03,15.03,14.99,15.03,1900,14.968025
2016-02-04,15.00,15.03,15.00,15.03,2500,14.968025
2016-02-03,15.03,15.03,15.00,15.00,1200,14.938149
2016-02-02,15.00,15.03,15.00,15.03,11600,14.968025
2016-02-01,15.00,15.02,14.97,15.01,6100,14.948108
2016-01-29,15.00,15.02,14.98,15.00,6300,14.938149
2016-01-28,14.96,15.01,14.95,15.01,5200,14.948108
2016-01-27,14.95,15.00,14.95,14.96,20100,14.898314
2016-01-26,14.96,14.96,14.91,14.96,13300,14.898314
2016-01-25,14.98,15.02,14.95,14.99,9100,14.92819
2016-01-22,14.94,15.01,14.94,15.01,3300,14.948108
2016-01-21,14.94,14.96,14.94,14.96,4000,14.898314
2016-01-20,14.94,15.01,14.94,14.94,6600,14.878396
2016-01-19,14.94,14.97,14.94,14.94,3500,14.878396
2016-01-15,14.94,14.98,14.94,14.94,6100,14.878396
2016-01-14,15.02,15.02,14.93,14.94,5000,14.878396
2016-01-13,15.02,15.02,14.97,15.00,3000,14.938149
2016-01-12,15.00,15.02,15.00,15.01,25300,14.922215
2016-01-11,14.95,14.97,14.94,14.95,6600,14.862565
2016-01-08,14.96,15.07,14.90,14.95,19600,14.862565
2016-01-07,15.00,15.00,14.95,14.98,6900,14.89239
2016-01-06,15.05,15.05,14.97,14.98,8400,14.89239
2016-01-05,14.95,15.11,14.95,15.08,1300,14.991805
2016-01-04,14.94,14.94,14.94,14.94,000,14.852623
2015-12-31,14.95,14.97,14.91,14.94,5500,14.852623
2015-12-30,14.98,15.00,14.98,14.98,6800,14.89239
2015-12-29,14.94,15.00,14.93,14.95,3200,14.862565
2015-12-28,14.96,14.96,14.96,14.96,200,14.872507
2015-12-24,14.95,15.01,14.93,15.01,800,14.922215
2015-12-23,15.00,15.05,14.95,14.95,8600,14.862565
2015-12-22,15.00,15.01,15.00,15.01,5900,14.922215
2015-12-21,15.00,15.01,15.00,15.01,200,14.922215
2015-12-18,15.08,15.09,15.01,15.03,10300,14.942097
2015-12-17,15.08,15.09,14.97,14.97,5400,14.882449
2015-12-16,14.99,15.01,14.99,15.00,5900,14.912273
2015-12-15,14.97,15.01,14.90,14.91,4500,14.822799
2015-12-14,14.96,15.00,14.88,14.99,10700,14.902331
2015-12-11,14.96,15.03,14.85,14.89,25400,14.802917
2015-12-10,15.02,15.02,14.95,14.98,2800,14.89239
2015-12-09,15.09,15.10,15.01,15.04,7200,14.906308
2015-12-08,14.99,15.02,14.99,15.00,5700,14.866664
2015-12-07,15.08,15.08,14.98,14.98,1400,14.846841
2015-12-04,15.01,15.13,14.98,14.98,8700,14.846841
2015-12-03,15.05,15.05,15.00,15.00,1400,14.866664
2015-12-02,15.03,15.09,14.99,15.09,9600,14.955864
2015-12-01,15.06,15.06,15.01,15.01,500,14.876575
2015-11-30,14.96,15.00,14.96,15.00,2600,14.866664
2015-11-27,15.00,15.00,15.00,15.00,300,14.866664
2015-11-25,15.06,15.06,15.00,15.00,3800,14.866664
2015-11-24,15.03,15.03,15.03,15.03,1400,14.896397
2015-11-23,15.06,15.07,15.05,15.05,2300,14.91622
2015-11-20,15.06,15.06,15.06,15.06,000,14.926131
2015-11-19,15.06,15.06,15.06,15.06,200,14.926131
2015-11-18,15.09,15.09,15.09,15.09,1400,14.955864
2015-11-17,15.08,15.09,15.00,15.00,15800,14.866664
2015-11-16,15.00,15.01,15.00,15.01,700,14.876575
2015-11-13,14.95,15.04,14.95,15.04,4100,14.906308
2015-11-12,14.99,14.99,14.97,14.97,200,14.836931
2015-11-11,14.97,15.00,14.90,15.00,12900,14.840895
2015-11-10,14.91,14.98,14.91,14.91,6900,14.751849
2015-11-09,14.87,14.93,14.87,14.88,2000,14.722168
2015-11-06,14.90,14.91,14.89,14.89,5900,14.732062
2015-11-05,14.92,14.96,14.91,14.91,4700,14.751849
2015-11-04,14.94,14.96,14.91,14.96,3200,14.801319
2015-11-03,15.00,15.00,14.91,14.95,5000,14.791425
2015-11-02,14.89,14.99,14.89,14.90,6400,14.741955
2015-10-30,14.90,14.91,14.89,14.90,6900,14.741955
2015-10-29,14.97,14.97,14.95,14.96,5000,14.801319
2015-10-28,14.95,14.98,14.95,14.97,4000,14.811213
2015-10-27,14.96,14.96,14.95,14.95,8900,14.791425
2015-10-26,14.96,14.96,14.96,14.96,3400,14.801319
2015-10-23,14.99,14.99,14.95,14.95,4100,14.791425
2015-10-22,14.95,14.99,14.95,14.99,2700,14.831001
2015-10-21,14.89,14.96,14.89,14.95,1500,14.791425
2015-10-20,14.90,14.99,14.88,14.90,6500,14.741955
2015-10-19,14.91,14.94,14.88,14.90,3100,14.741955
2015-10-16,14.89,14.92,14.89,14.92,1300,14.761744
2015-10-15,14.94,14.97,14.88,14.88,4600,14.722168
2015-10-14,14.96,15.01,14.92,15.01,6500,14.850789
2015-10-13,14.92,14.92,14.92,14.92,900,14.761744
2015-10-12,14.98,14.98,14.98,14.98,1300,14.795383
2015-10-09,14.91,14.97,14.91,14.97,1700,14.785507
2015-10-08,14.91,14.97,14.91,14.92,3000,14.736123
2015-10-07,14.93,14.95,14.92,14.94,2500,14.755876
2015-10-06,14.98,14.99,14.95,14.95,1800,14.765753
2015-10-05,14.96,15.01,14.94,14.94,6100,14.755876
2015-10-02,14.91,15.02,14.91,14.96,2900,14.77563
2015-10-01,14.94,15.02,14.86,14.94,13600,14.755876
2015-09-30,14.84,14.94,14.84,14.89,7300,14.706493
2015-09-29,14.94,14.94,14.86,14.89,9300,14.706493
2015-09-28,14.89,14.95,14.89,14.94,6800,14.755876
2015-09-25,14.90,14.95,14.90,14.95,2900,14.765753
2015-09-24,14.96,14.96,14.93,14.95,6600,14.765753
2015-09-23,14.92,14.92,14.92,14.92,200,14.736123
2015-09-22,14.76,14.97,14.76,14.92,5200,14.736123
2015-09-21,14.84,14.86,14.75,14.80,17200,14.617602
2015-09-18,14.88,14.88,14.80,14.82,21400,14.637355
2015-09-17,14.90,14.90,14.89,14.90,2600,14.716369
2015-09-16,14.84,14.84,14.84,14.84,200,14.657109
2015-09-15,14.92,14.92,14.84,14.92,4800,14.736123
2015-09-14,14.95,15.05,14.82,14.86,12300,14.676862
2015-09-11,14.98,15.02,14.96,14.96,17500,14.77563
2015-09-10,14.92,15.01,14.92,14.99,5200,14.77958
2015-09-09,14.89,14.98,14.88,14.98,5100,14.769721
2015-09-08,14.91,14.93,14.81,14.92,6200,14.710563
2015-09-04,14.90,14.90,14.90,14.90,1000,14.690844
2015-09-03,14.80,14.81,14.79,14.81,2800,14.602108
2015-09-02,14.80,14.81,14.80,14.81,1500,14.602108
2015-09-01,14.80,14.80,14.77,14.77,1800,14.562669
2015-08-31,14.79,14.81,14.79,14.80,4800,14.592248
2015-08-28,14.81,14.81,14.79,14.81,1100,14.602108
2015-08-27,14.81,14.86,14.81,14.81,700,14.602108
2015-08-26,14.78,14.78,14.77,14.77,1500,14.562669
2015-08-25,14.79,14.79,14.79,14.79,100,14.582388
2015-08-24,14.78,14.79,14.78,14.78,4100,14.572528
2015-08-21,14.78,14.79,14.78,14.78,2100,14.572528
2015-08-20,14.78,14.79,14.76,14.78,4000,14.572528
2015-08-19,14.77,14.82,14.77,14.79,1600,14.582388
2015-08-18,14.79,14.94,14.79,14.79,14400,14.582388
2015-08-17,14.83,14.90,14.73,14.79,5600,14.582388
2015-08-14,14.88,14.88,14.88,14.88,000,14.671125
2015-08-13,14.92,15.00,14.88,14.88,9500,14.671125
2015-08-12,14.89,15.03,14.88,14.93,3500,14.720423
2015-08-11,14.96,15.00,14.91,14.98,3200,14.744085
2015-08-10,14.98,15.05,14.96,15.00,20800,14.763771
2015-08-07,15.00,15.00,14.95,14.95,10200,14.714558
2015-08-06,15.05,15.05,14.91,14.91,900,14.675188
2015-08-05,14.87,14.95,14.87,14.95,1100,14.714558
2015-08-04,14.97,15.01,14.96,14.96,6800,14.724401
2015-08-03,14.96,14.96,14.96,14.96,2200,14.724401
2015-07-31,14.91,14.95,14.85,14.95,3000,14.714558
2015-07-30,14.93,14.96,14.84,14.96,8900,14.724401
2015-07-29,14.79,14.92,14.73,14.92,8000,14.685031
2015-07-28,14.85,14.90,14.85,14.88,4500,14.645661
2015-07-27,14.78,14.92,14.76,14.90,6400,14.665345
2015-07-24,14.81,14.83,14.81,14.83,4100,14.596448
2015-07-23,14.88,14.88,14.86,14.87,1600,14.635818
2015-07-22,14.73,14.91,14.73,14.91,6400,14.675188
2015-07-21,14.73,14.77,14.73,14.76,1700,14.527551
2015-07-20,14.65,14.80,14.65,14.68,24100,14.448811
2015-07-17,14.70,14.75,14.70,14.73,7000,14.498022
2015-07-16,14.77,14.80,14.66,14.75,17700,14.517708
2015-07-15,14.73,14.97,14.73,14.86,7800,14.625975
2015-07-14,14.70,14.80,14.70,14.80,5100,14.566921
2015-07-13,14.75,14.75,14.67,14.70,7000,14.468495
2015-07-10,14.84,14.85,14.75,14.78,3900,14.521644
2015-07-09,14.75,14.80,14.75,14.80,1600,14.541295
2015-07-08,14.80,14.80,14.80,14.80,1200,14.541295
2015-07-07,14.93,14.93,14.86,14.91,2500,14.649372
2015-07-06,14.80,14.96,14.80,14.95,1800,14.688673
2015-07-02,14.88,14.88,14.80,14.80,5700,14.541295
2015-07-01,14.84,14.84,14.78,14.82,7600,14.560945
2015-06-30,14.70,14.88,14.70,14.88,3800,14.619897
2015-06-29,14.71,14.76,14.65,14.72,20300,14.462694
2015-06-26,14.83,14.85,14.74,14.75,12400,14.492169
2015-06-25,14.82,14.83,14.80,14.82,6600,14.560945
2015-06-24,14.85,14.88,14.82,14.82,2700,14.560945
2015-06-23,14.83,14.86,14.83,14.86,2000,14.600246
2015-06-22,14.88,14.88,14.84,14.84,2000,14.580596
2015-06-19,14.91,14.91,14.87,14.90,4400,14.639547
2015-06-18,14.88,14.88,14.87,14.87,2300,14.610071
2015-06-17,14.87,14.87,14.83,14.83,13300,14.57077
2015-06-16,14.95,14.96,14.90,14.92,4700,14.659197
2015-06-15,14.89,14.95,14.89,14.91,3300,14.649372
2015-06-12,14.89,14.89,14.89,14.89,800,14.629722
2015-06-11,14.88,14.88,14.85,14.85,13900,14.590421
2015-06-10,14.88,14.88,14.88,14.88,100,14.594352
2015-06-09,14.85,14.88,14.85,14.87,13000,14.584543
2015-06-08,14.84,14.86,14.84,14.86,900,14.574735
2015-06-05,14.91,14.92,14.90,14.91,4200,14.623775
2015-06-04,14.90,14.94,14.88,14.94,2300,14.653199
2015-06-03,14.94,14.99,14.85,14.85,5700,14.564928
2015-06-02,14.90,14.92,14.90,14.92,900,14.633584
2015-06-01,14.92,14.92,14.92,14.92,300,14.633584
2015-05-29,14.84,14.95,14.84,14.95,700,14.663008
2015-05-28,14.87,14.92,14.87,14.92,7000,14.633584
2015-05-27,14.85,14.85,14.83,14.85,43500,14.564928
2015-05-26,14.91,14.91,14.82,14.88,46900,14.594352
2015-05-22,14.92,14.94,14.92,14.92,1800,14.633584
2015-05-21,14.95,14.95,14.92,14.92,6000,14.633584
2015-05-20,14.94,14.94,14.93,14.93,6100,14.643392
2015-05-19,14.95,14.99,14.93,14.93,21100,14.643392
2015-05-18,14.96,14.98,14.94,14.94,12200,14.653199
2015-05-15,14.96,14.97,14.95,14.95,4200,14.663008
2015-05-14,14.94,14.99,14.94,14.95,8700,14.663008
2015-05-13,14.97,14.99,14.95,14.95,15700,14.663008
2015-05-12,14.99,14.99,14.97,14.98,8800,14.66693
2015-05-11,14.98,15.00,14.98,14.99,11100,14.676721
2015-05-08,15.00,15.01,14.98,14.98,30100,14.66693
2015-05-07,15.00,15.00,14.99,15.00,15400,14.686512
2015-05-06,15.02,15.05,15.00,15.00,21300,14.686512
2015-05-05,15.04,15.04,15.02,15.02,1600,14.706095
2015-05-04,15.05,15.08,15.02,15.05,14500,14.735468
2015-05-01,15.03,15.04,15.02,15.03,10500,14.715885
2015-04-30,15.05,15.06,15.04,15.05,800,14.735468
2015-04-29,15.05,15.05,15.04,15.04,3600,14.725676
2015-04-28,15.06,15.06,15.05,15.05,4000,14.735468
