Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,11.88,11.99,11.87,11.99,247300,11.99
2016-04-18,11.72,11.88,11.70,11.88,187700,11.88
2016-04-15,11.72,11.81,11.72,11.81,100700,11.81
2016-04-14,11.80,11.83,11.71,11.74,317200,11.74
2016-04-13,11.83,11.85,11.80,11.82,193200,11.82
2016-04-12,11.73,11.86,11.73,11.86,156000,11.762999
2016-04-11,11.76,11.79,11.70,11.72,87400,11.624145
2016-04-08,11.72,11.76,11.64,11.71,145700,11.614227
2016-04-07,11.65,11.67,11.58,11.63,170700,11.534881
2016-04-06,11.60,11.71,11.55,11.71,160700,11.614227
2016-04-05,11.71,11.71,11.55,11.58,163500,11.48529
2016-04-04,11.80,11.80,11.65,11.76,275400,11.663818
2016-04-01,11.80,11.87,11.70,11.87,206300,11.772918
2016-03-31,11.91,11.94,11.80,11.88,327100,11.782836
2016-03-30,11.77,11.91,11.75,11.88,248300,11.782836
2016-03-29,11.48,11.76,11.40,11.74,280100,11.643981
2016-03-28,11.45,11.53,11.41,11.47,200900,11.37619
2016-03-24,11.58,11.58,11.40,11.43,402800,11.336517
2016-03-23,11.68,11.69,11.59,11.63,102800,11.534881
2016-03-22,11.70,11.74,11.67,11.68,153700,11.584472
2016-03-21,11.77,11.78,11.70,11.74,133900,11.643981
2016-03-18,11.69,11.88,11.68,11.78,162400,11.683654
2016-03-17,11.64,11.72,11.62,11.69,178800,11.59439
2016-03-16,11.51,11.67,11.47,11.66,184300,11.564635
2016-03-15,11.55,11.61,11.52,11.55,160800,11.455535
2016-03-14,11.59,11.66,11.59,11.66,146200,11.564635
2016-03-11,11.56,11.63,11.50,11.60,161100,11.505127
2016-03-10,11.61,11.66,11.44,11.57,201000,11.379165
2016-03-09,11.52,11.58,11.48,11.55,145400,11.359495
2016-03-08,11.55,11.57,11.47,11.52,129100,11.329991
2016-03-07,11.53,11.62,11.50,11.59,101100,11.398836
2016-03-04,11.53,11.59,11.50,11.54,186600,11.34966
2016-03-03,11.42,11.53,11.39,11.49,137400,11.300485
2016-03-02,11.36,11.47,11.33,11.44,159700,11.251309
2016-03-01,11.15,11.37,11.15,11.37,212200,11.182464
2016-02-29,11.25,11.30,11.08,11.08,194500,10.897247
2016-02-26,11.19,11.22,11.16,11.22,133900,11.034939
2016-02-25,11.06,11.20,11.01,11.16,194700,10.975928
2016-02-24,10.94,11.04,10.82,11.00,165600,10.818567
2016-02-23,11.03,11.10,10.95,11.00,156100,10.818567
2016-02-22,11.21,11.21,11.06,11.07,207400,10.887412
2016-02-19,11.04,11.12,10.94,11.06,185200,10.877578
2016-02-18,11.13,11.13,11.03,11.07,204900,10.887412
2016-02-17,10.97,11.08,10.94,11.08,200300,10.897247
2016-02-16,10.72,10.86,10.68,10.83,237200,10.651371
2016-02-12,10.53,10.65,10.51,10.65,205500,10.474339
2016-02-11,10.41,10.55,10.36,10.53,293800,10.356319
2016-02-10,10.66,10.80,10.65,10.65,266500,10.378939
2016-02-09,10.71,10.77,10.58,10.62,429000,10.349703
2016-02-08,11.12,11.12,10.79,10.90,211400,10.622576
2016-02-05,11.44,11.44,11.13,11.20,192800,10.914941
2016-02-04,11.42,11.47,11.36,11.45,163700,11.158578
2016-02-03,11.42,11.43,11.22,11.42,180800,11.129341
2016-02-02,11.41,11.41,11.27,11.33,171900,11.041632
2016-02-01,11.38,11.48,11.32,11.48,184000,11.187814
2016-01-29,11.32,11.44,11.26,11.43,219400,11.139087
2016-01-28,11.14,11.26,11.05,11.24,295800,10.953922
2016-01-27,11.18,11.23,11.05,11.09,390400,10.807741
2016-01-26,11.09,11.26,11.09,11.24,283000,10.953922
2016-01-25,11.24,11.24,11.06,11.08,210700,10.797995
2016-01-22,11.04,11.25,11.00,11.24,245400,10.953922
2016-01-21,10.73,10.98,10.73,10.85,194700,10.573849
2016-01-20,10.94,10.98,10.62,10.75,509500,10.476394
2016-01-19,11.26,11.38,11.09,11.11,325400,10.827231
2016-01-15,11.30,11.30,11.16,11.22,311000,10.934432
2016-01-14,11.52,11.61,11.31,11.46,587100,11.168323
2016-01-13,11.81,11.84,11.51,11.54,214200,11.246287
2016-01-12,12.01,12.05,11.77,11.81,295600,11.414885
2016-01-11,12.12,12.16,11.88,11.96,182400,11.559866
2016-01-08,12.24,12.24,12.06,12.09,178800,11.685517
2016-01-07,12.33,12.36,12.20,12.22,219300,11.811168
2016-01-06,12.51,12.59,12.44,12.52,342500,12.101131
2016-01-05,12.64,12.72,12.51,12.64,325000,12.217116
2016-01-04,12.49,12.64,12.33,12.64,291400,12.217116
2015-12-31,12.81,12.84,12.67,12.76,224600,12.333101
2015-12-30,12.78,12.84,12.69,12.80,235500,12.371763
2015-12-29,12.69,12.83,12.69,12.82,228900,12.391093
2015-12-28,12.75,12.75,12.55,12.66,287400,12.236447
2015-12-24,12.77,12.78,12.68,12.75,170100,12.323436
2015-12-23,12.50,12.75,12.50,12.72,268400,12.29444
2015-12-22,12.37,12.46,12.36,12.44,241900,12.023807
2015-12-21,12.49,12.51,12.35,12.37,220300,11.956149
2015-12-18,12.50,12.51,12.41,12.45,197000,12.033472
2015-12-17,12.59,12.59,12.46,12.50,223400,12.0818
2015-12-16,12.46,12.56,12.36,12.54,209800,12.120461
2015-12-15,12.42,12.47,12.34,12.47,201700,11.959049
2015-12-14,12.32,12.40,12.20,12.30,195000,11.796015
2015-12-11,12.53,12.58,12.36,12.37,181300,11.863146
2015-12-10,12.62,12.72,12.60,12.61,121400,12.093312
2015-12-09,12.57,12.68,12.53,12.59,192100,12.074132
2015-12-08,12.55,12.62,12.53,12.57,179700,12.054951
2015-12-07,12.76,12.79,12.67,12.74,198200,12.217985
2015-12-04,12.63,12.87,12.61,12.85,168800,12.323479
2015-12-03,12.85,12.90,12.66,12.66,219400,12.141263
2015-12-02,12.88,12.97,12.86,12.87,172900,12.342659
2015-12-01,12.95,12.97,12.90,12.94,118700,12.40979
2015-11-30,12.89,13.02,12.78,12.93,289900,12.400201
2015-11-27,12.80,12.85,12.75,12.85,60900,12.323479
2015-11-25,12.68,12.79,12.67,12.77,157700,12.246757
2015-11-24,12.59,12.83,12.53,12.69,261700,12.170034
2015-11-23,12.72,12.73,12.62,12.64,193400,12.122083
2015-11-20,12.75,12.75,12.66,12.71,113900,12.189215
2015-11-19,12.60,12.72,12.60,12.69,144700,12.170034
2015-11-18,12.60,12.64,12.55,12.62,157900,12.102902
2015-11-17,12.51,12.59,12.49,12.54,166000,12.026181
2015-11-16,12.43,12.54,12.41,12.51,200900,11.99741
2015-11-13,12.56,12.58,12.41,12.43,192000,11.920688
2015-11-12,12.80,12.80,12.55,12.58,219600,12.064541
2015-11-11,12.96,13.00,12.90,12.93,209400,12.307175
2015-11-10,12.87,12.92,12.82,12.91,185400,12.288138
2015-11-09,12.93,12.94,12.79,12.87,206900,12.250065
2015-11-06,12.98,13.02,12.90,12.91,173300,12.288138
2015-11-05,13.05,13.09,12.99,13.02,154000,12.39284
2015-11-04,13.06,13.09,13.01,13.06,174000,12.430913
2015-11-03,12.99,13.08,12.94,13.08,161700,12.449949
2015-11-02,12.98,13.02,12.97,13.00,185000,12.373803
2015-10-30,12.93,12.95,12.84,12.95,196300,12.326211
2015-10-29,12.95,12.95,12.84,12.84,190600,12.22151
2015-10-28,12.86,13.00,12.86,12.97,120700,12.345248
2015-10-27,12.93,12.93,12.83,12.86,180100,12.240546
2015-10-26,13.07,13.08,12.92,12.92,131900,12.297656
2015-10-23,13.16,13.18,13.05,13.10,202500,12.468986
2015-10-22,12.97,13.08,12.94,13.04,203100,12.411876
2015-10-21,12.98,13.01,12.91,12.92,204600,12.297656
2015-10-20,12.98,12.99,12.90,12.94,116900,12.316693
2015-10-19,12.94,13.00,12.90,12.97,134500,12.345248
2015-10-16,12.82,12.97,12.76,12.96,217000,12.33573
2015-10-15,12.74,12.82,12.71,12.82,177100,12.202473
2015-10-14,12.77,12.81,12.66,12.69,129500,12.078735
2015-10-13,12.77,12.82,12.63,12.74,268900,12.126327
2015-10-12,12.74,12.94,12.74,12.92,229100,12.205329
2015-10-09,12.81,12.83,12.74,12.77,176100,12.063627
2015-10-08,12.60,12.78,12.59,12.78,220100,12.073073
2015-10-07,12.68,12.74,12.58,12.60,216300,11.90303
2015-10-06,12.55,12.62,12.52,12.62,171700,11.921924
2015-10-05,12.34,12.53,12.34,12.53,179400,11.836902
2015-10-02,11.99,12.21,11.99,12.21,255300,11.534603
2015-10-01,12.16,12.20,12.06,12.14,149900,11.468475
2015-09-30,12.13,12.19,12.03,12.10,231800,11.430688
2015-09-29,12.11,12.18,11.95,11.97,204900,11.307879
