Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,25.530001,25.73,25.16,25.68,680800,25.68
2016-04-18,25.459999,25.59,25.33,25.50,838600,25.50
2016-04-15,25.440001,25.629999,25.440001,25.49,1523200,25.49
2016-04-14,25.59,25.690001,25.280001,25.50,984400,25.50
2016-04-13,25.889999,25.889999,25.49,25.66,861700,25.66
2016-04-12,25.33,25.790001,25.280001,25.77,1540700,25.77
2016-04-11,25.219999,25.43,25.09,25.190001,880300,25.190001
2016-04-08,25.16,25.49,25.00,25.33,995600,25.33
2016-04-07,24.950001,25.200001,24.860001,25.00,472900,25.00
2016-04-06,25.25,25.299999,24.98,25.129999,695800,25.129999
2016-04-05,25.23,25.360001,25.040001,25.299999,994900,25.299999
2016-04-04,25.559999,25.719999,25.35,25.40,1003400,25.40
2016-04-01,25.190001,25.58,25.110001,25.51,1268000,25.51
2016-03-31,25.469999,25.620001,25.309999,25.620001,1171300,25.375001
2016-03-30,25.42,25.57,25.309999,25.48,947100,25.236338
2016-03-29,24.75,25.42,24.66,25.41,1020100,25.167008
2016-03-28,24.35,24.76,24.26,24.709999,1183200,24.473701
2016-03-24,24.190001,24.370001,24.00,24.280001,1290300,24.047815
2016-03-23,24.389999,24.75,24.26,24.26,1552300,24.028005
2016-03-22,24.290001,24.48,24.16,24.389999,1613300,24.156761
2016-03-21,24.59,24.83,24.379999,24.40,696200,24.166666
2016-03-18,24.83,24.93,24.540001,24.59,1363500,24.35485
2016-03-17,24.50,24.940001,24.41,24.83,1016700,24.592554
2016-03-16,24.129999,24.50,24.01,24.450001,1600800,24.216189
2016-03-15,24.16,24.52,24.10,24.35,1320700,24.117145
2016-03-14,24.51,24.60,24.08,24.27,1404100,24.03791
2016-03-11,24.43,24.59,24.18,24.559999,943700,24.325136
2016-03-10,24.379999,24.59,23.98,24.18,798400,23.948771
2016-03-09,24.030001,24.389999,24.02,24.25,941000,24.018101
2016-03-08,24.07,24.24,23.84,23.92,1422100,23.691257
2016-03-07,23.85,24.059999,23.84,24.040001,1531700,23.81011
2016-03-04,24.059999,24.110001,23.85,24.00,1849800,23.770492
2016-03-03,24.17,24.299999,24.049999,24.15,1366400,23.919057
2016-03-02,23.73,24.120001,23.030001,24.110001,3131000,23.87944
2016-03-01,23.629999,24.42,23.559999,23.799999,3605300,23.572403
2016-02-29,23.700001,23.870001,23.34,23.43,2641800,23.205943
2016-02-26,23.85,24.01,23.700001,23.700001,2020400,23.473361
2016-02-25,23.690001,24.059999,23.57,23.940001,2611600,23.711066
2016-02-24,23.379999,23.639999,23.280001,23.549999,978700,23.324794
2016-02-23,23.41,23.629999,22.709999,23.49,1517800,23.265368
2016-02-22,23.200001,23.559999,22.860001,23.469999,1321300,23.245559
2016-02-19,23.25,23.66,22.860001,23.33,1287000,23.106899
2016-02-18,23.26,23.60,23.040001,23.389999,1177500,23.166324
2016-02-17,23.27,23.49,22.83,23.16,2217100,22.938524
2016-02-16,22.860001,23.450001,22.530001,23.219999,1539400,22.99795
2016-02-12,22.43,23.049999,22.33,22.66,2013800,22.443306
2016-02-11,21.870001,22.299999,21.700001,22.219999,3232200,22.007513
2016-02-10,22.18,22.83,22.120001,22.139999,3742800,21.928278
2016-02-09,21.10,22.690001,21.030001,22.15,7200000,21.938182
2016-02-08,22.860001,23.440001,19.91,21.10,20864000,20.898224
2016-02-05,26.57,26.66,26.280001,26.42,968300,26.16735
2016-02-04,26.67,26.860001,26.559999,26.639999,933100,26.385245
2016-02-03,26.549999,26.870001,26.48,26.76,1038600,26.504098
2016-02-02,26.67,26.98,26.26,26.41,1065300,26.157445
2016-02-01,26.450001,26.93,26.17,26.700001,2210500,26.444673
2016-01-29,26.200001,26.66,25.940001,26.620001,1413300,26.365438
2016-01-28,26.02,26.219999,25.93,26.01,1480000,25.76127
2016-01-27,26.00,26.190001,25.48,25.84,1397700,25.592896
2016-01-26,25.65,26.17,25.639999,26.129999,1378200,25.880122
2016-01-25,25.75,26.049999,25.49,25.52,1003700,25.275957
2016-01-22,25.440001,25.780001,25.35,25.76,1995300,25.513661
2016-01-21,25.280001,25.83,25.110001,25.200001,1080600,24.959017
2016-01-20,25.41,25.48,24.59,25.110001,1700100,24.869877
2016-01-19,25.34,25.780001,25.34,25.629999,1052800,25.384903
2016-01-15,24.76,25.309999,24.58,25.24,2445100,24.998633
2016-01-14,25.440001,25.469999,25.059999,25.08,1295600,24.840164
2016-01-13,25.33,25.85,25.110001,25.34,1752300,25.097678
2016-01-12,25.74,25.77,25.07,25.18,1241800,24.939208
2016-01-11,25.370001,25.709999,25.370001,25.469999,1191900,25.226434
2016-01-08,25.76,25.860001,25.219999,25.26,1223000,25.018443
2016-01-07,25.639999,26.02,25.52,25.690001,1379600,25.444331
2016-01-06,25.709999,26.10,25.700001,26.049999,1716700,25.800887
2016-01-05,25.280001,26.00,25.280001,25.93,1556900,25.682036
2016-01-04,25.379999,25.459999,25.110001,25.219999,1889600,24.978824
2015-12-31,26.030001,26.139999,25.82,25.82,1253300,25.330429
2015-12-30,25.879999,26.129999,25.860001,26.040001,1147400,25.546259
2015-12-29,25.75,26.120001,25.59,25.940001,1575300,25.448155
