Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,15.35,15.36,15.27,15.31,56100,15.31
2016-04-18,15.28,15.34,15.24,15.34,67800,15.34
2016-04-15,15.19,15.23,15.17,15.22,43700,15.22
2016-04-14,15.18,15.23,15.14,15.22,52600,15.22
2016-04-13,15.28,15.28,15.17,15.25,38200,15.25
2016-04-12,15.26,15.33,15.26,15.30,49600,15.231
2016-04-11,15.26,15.29,15.21,15.25,47100,15.181225
2016-04-08,15.27,15.27,15.20,15.23,25300,15.161315
2016-04-07,15.21,15.23,15.18,15.21,38700,15.141406
2016-04-06,15.18,15.20,15.16,15.16,48800,15.091631
2016-04-05,15.06,15.19,15.05,15.18,33300,15.111541
2016-04-04,15.05,15.08,14.98,15.04,41000,14.972172
2016-04-01,15.12,15.37,15.02,15.02,50400,14.952263
2016-03-31,15.03,15.10,15.03,15.06,67400,14.992083
2016-03-30,15.04,15.10,15.04,15.05,77500,14.982128
2016-03-29,14.88,15.04,14.88,15.04,64600,14.972172
2016-03-28,14.91,14.99,14.87,14.90,46600,14.832804
2016-03-24,14.96,15.00,14.92,14.92,27700,14.852714
2016-03-23,15.01,15.01,14.95,14.95,46300,14.882578
2016-03-22,14.97,15.03,14.97,15.01,23000,14.942308
2016-03-21,14.99,15.01,14.97,14.99,16600,14.922398
2016-03-18,15.05,15.05,14.96,14.96,16900,14.892533
2016-03-17,14.90,15.04,14.90,15.03,46000,14.962217
2016-03-16,14.88,14.93,14.86,14.89,37300,14.822849
2016-03-15,14.85,14.91,14.84,14.86,23000,14.792984
2016-03-14,14.95,14.97,14.86,14.87,35500,14.802939
2016-03-11,14.95,14.95,14.90,14.90,19100,14.832804
2016-03-10,14.92,15.00,14.92,14.99,22600,14.853709
2016-03-09,14.96,14.98,14.91,14.91,45500,14.774437
2016-03-08,14.97,14.97,14.91,14.95,23200,14.814073
2016-03-07,14.93,14.98,14.87,14.98,57200,14.8438
2016-03-04,14.87,14.96,14.40,14.90,39600,14.764527
2016-03-03,14.89,14.93,14.84,14.84,49400,14.705073
2016-03-02,14.92,14.95,14.86,14.90,20400,14.764527
2016-03-01,14.92,15.30,14.90,14.96,34400,14.823982
2016-02-29,14.85,14.88,14.78,14.85,63900,14.714983
2016-02-26,14.95,14.95,14.80,14.80,31100,14.665437
2016-02-25,15.03,15.05,14.94,14.94,46600,14.804164
2016-02-24,15.01,15.05,14.99,14.99,87500,14.853709
2016-02-23,14.90,15.05,14.89,15.05,43600,14.913164
2016-02-22,14.99,14.99,14.87,14.89,36800,14.754619
2016-02-19,14.82,15.00,14.82,14.99,33400,14.853709
2016-02-18,14.91,14.99,14.82,14.86,94700,14.724891
2016-02-17,14.82,14.94,14.78,14.89,35600,14.754619
2016-02-16,14.93,14.94,14.79,14.79,59500,14.655528
2016-02-12,14.93,14.98,14.89,14.98,54300,14.8438
2016-02-11,14.94,14.98,14.91,14.97,26300,14.833892
2016-02-10,14.94,15.06,14.94,15.02,37000,14.812091
2016-02-09,14.93,15.01,14.90,15.00,30100,14.792368
2016-02-08,14.89,14.99,14.88,14.88,47600,14.674029
2016-02-05,14.87,14.92,14.83,14.84,41200,14.634582
2016-02-04,14.82,14.90,14.82,14.85,55000,14.644444
2016-02-03,14.82,14.85,14.78,14.84,67500,14.634582
2016-02-02,14.80,14.83,14.78,14.82,51500,14.614859
2016-02-01,14.80,14.86,14.78,14.80,61500,14.595136
2016-01-29,14.75,14.80,14.74,14.80,46200,14.595136
2016-01-28,14.70,14.75,14.66,14.75,58200,14.545828
2016-01-27,14.75,14.77,14.68,14.68,48600,14.476797
2016-01-26,14.70,14.75,14.66,14.75,60400,14.545828
2016-01-25,14.75,14.75,14.66,14.66,49200,14.457074
2016-01-22,14.62,14.73,14.60,14.70,33200,14.49652
2016-01-21,14.64,14.65,14.58,14.59,38900,14.388043
2016-01-20,14.68,14.68,14.47,14.61,70400,14.407766
2016-01-19,14.75,14.76,14.58,14.63,61900,14.427489
2016-01-15,14.76,14.83,14.72,14.74,57000,14.535966
2016-01-14,14.68,14.78,14.66,14.76,51800,14.55569
2016-01-13,14.66,14.69,14.60,14.65,99300,14.447212
2016-01-12,14.68,14.75,14.67,14.73,169400,14.455102
2016-01-11,14.76,14.76,14.64,14.68,61800,14.406035
2016-01-08,14.75,14.78,14.69,14.78,44800,14.504169
2016-01-07,14.81,14.83,14.76,14.80,31900,14.523796
2016-01-06,14.79,14.86,14.78,14.81,37000,14.533609
2016-01-05,14.80,14.83,14.75,14.81,38600,14.533609
2016-01-04,14.77,14.89,14.74,14.79,46800,14.513982
2015-12-31,14.68,14.90,14.64,14.88,90100,14.602303
2015-12-30,14.47,14.63,14.47,14.62,96900,14.347155
2015-12-29,14.47,14.53,14.41,14.47,51400,14.199955
2015-12-28,14.38,14.45,14.35,14.44,47700,14.170514
2015-12-24,14.34,14.39,14.34,14.38,44600,14.111634
2015-12-23,14.27,14.35,14.25,14.34,64200,14.072381
2015-12-22,14.28,14.29,14.21,14.27,49600,14.003687
2015-12-21,14.24,14.29,14.21,14.27,51100,14.003687
2015-12-18,14.23,14.23,14.17,14.20,120300,13.934993
2015-12-17,14.10,14.21,14.10,14.18,52700,13.915367
2015-12-16,14.08,14.14,14.07,14.09,36000,13.827046
