Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,8.30,9.19,8.29,9.06,5306400,9.06
2016-04-18,8.09,8.342,7.93,8.18,1786300,8.18
2016-04-15,7.55,8.15,7.55,8.13,3392200,8.13
2016-04-14,7.69,7.80,7.45,7.58,1717800,7.58
2016-04-13,7.52,7.75,7.41,7.66,1553500,7.66
2016-04-12,7.22,7.55,7.15,7.45,1799300,7.45
2016-04-11,7.27,7.52,7.15,7.21,2213300,7.21
2016-04-08,7.15,7.37,7.04,7.21,1674900,7.21
2016-04-07,7.27,7.31,6.99,7.04,1953500,7.04
2016-04-06,7.11,7.41,7.07,7.31,1485900,7.31
2016-04-05,7.15,7.35,7.07,7.13,1143300,7.13
2016-04-04,7.39,7.73,7.10,7.20,1994100,7.20
2016-04-01,7.13,7.50,7.02,7.45,3267400,7.45
2016-03-31,7.27,7.458,6.915,7.00,1915600,7.00
2016-03-30,7.22,7.50,7.04,7.23,2498600,7.23
2016-03-29,6.91,7.33,6.75,7.18,1475200,7.18
2016-03-28,7.18,7.20,6.92,7.00,1074200,7.00
2016-03-24,6.75,7.19,6.50,7.15,1853600,7.15
2016-03-23,7.00,7.19,6.70,6.78,2454300,6.78
2016-03-22,7.15,7.26,6.61,7.20,2030300,7.20
2016-03-21,7.76,7.84,7.15,7.20,2150600,7.20
2016-03-18,7.30,7.75,7.05,7.47,4704900,7.47
2016-03-17,6.70,7.25,6.63,7.22,2807600,7.22
2016-03-16,6.81,6.83,6.33,6.69,1825500,6.69
2016-03-15,6.80,6.95,6.75,6.83,2110300,6.83
2016-03-14,6.85,7.15,6.78,6.87,2986800,6.87
2016-03-11,6.45,6.54,6.32,6.52,1409400,6.52
2016-03-10,6.28,6.47,6.08,6.34,2241600,6.34
2016-03-09,6.12,6.39,5.92,6.31,1723300,6.31
2016-03-08,6.47,6.53,5.90,6.08,2292500,6.05
2016-03-07,5.83,6.63,5.80,6.58,2728800,6.547533
2016-03-04,5.99,6.14,5.75,5.79,2530600,5.761431
2016-03-03,5.72,6.005,5.70,5.96,2570800,5.930592
2016-03-02,5.49,5.75,5.36,5.71,2951300,5.681826
2016-03-01,5.22,5.46,5.20,5.40,2514200,5.373355
2016-02-29,4.90,5.30,4.86,5.13,2845900,5.104688
2016-02-26,5.01,5.19,4.75,4.90,2985200,4.875823
2016-02-25,4.76,5.15,4.60,4.91,2884600,4.885773
2016-02-24,3.82,4.97,3.80,4.79,4367500,4.766365
2016-02-23,4.16,4.35,4.02,4.05,1305700,4.030017
2016-02-22,4.19,4.47,4.16,4.19,1564400,4.169326
2016-02-19,4.05,4.25,3.88,4.13,1577700,4.109622
2016-02-18,4.18,4.18,3.96,4.13,1277200,4.109622
2016-02-17,3.74,4.28,3.73,4.16,2702700,4.139474
2016-02-16,3.84,3.86,3.52,3.69,2078000,3.671793
2016-02-12,3.98,3.99,3.64,3.88,1844400,3.860855
2016-02-11,3.59,4.06,3.50,3.87,1581100,3.850905
2016-02-10,4.01,4.02,3.60,3.60,1579000,3.582237
2016-02-09,4.03,4.12,3.80,3.98,2551600,3.960362
2016-02-08,4.06,4.16,3.95,4.14,1885000,4.119572
2016-02-05,4.39,4.40,4.05,4.17,1629100,4.149424
2016-02-04,4.02,4.43,3.98,4.40,2775800,4.37829
2016-02-03,3.71,4.09,3.70,4.00,3998500,3.980263
2016-02-02,3.87,3.96,3.55,3.66,3294400,3.641941
2016-02-01,3.97,4.49,3.70,3.91,4579500,3.890707
2016-01-29,3.17,4.00,3.16,3.94,30275800,3.920559
2016-01-28,3.16,3.28,3.12,3.14,2833600,3.124507
2016-01-27,3.36,3.40,3.06,3.12,3900500,3.104605
2016-01-26,3.50,3.51,3.25,3.33,3404800,3.313569
2016-01-25,3.79,3.85,3.48,3.49,1499800,3.47278
2016-01-22,3.73,3.86,3.53,3.80,2421500,3.78125
2016-01-21,3.64,4.124,3.602,3.62,2163900,3.602138
2016-01-20,3.48,3.74,3.22,3.65,2659600,3.63199
2016-01-19,4.03,4.17,3.50,3.59,2604000,3.572286
2016-01-15,3.44,3.99,3.40,3.98,3024900,3.960362
2016-01-14,3.30,3.85,3.22,3.51,6322600,3.492681
2016-01-13,3.97,3.97,3.24,3.30,4251000,3.283717
2016-01-12,4.44,4.465,3.82,3.91,6644100,3.890707
2016-01-11,4.80,4.82,4.29,4.38,3551900,4.358388
2016-01-08,4.83,5.02,4.61,4.80,2813200,4.776316
2016-01-07,5.00,5.22,4.64,4.75,3906000,4.726563
2016-01-06,5.28,5.31,5.05,5.12,3036300,5.094737
2016-01-05,5.48,5.49,5.27,5.42,3089500,5.393257
2016-01-04,5.20,5.49,5.20,5.48,2782300,5.452961
2015-12-31,5.21,5.51,5.19,5.36,1959300,5.333553
2015-12-30,5.38,5.44,5.21,5.25,1329500,5.224095
2015-12-29,5.43,5.50,5.311,5.48,1138600,5.452961
2015-12-28,5.70,5.70,5.385,5.40,1442800,5.373355
2015-12-24,5.71,5.85,5.71,5.74,438900,5.711678
2015-12-23,5.73,5.94,5.65,5.76,1784000,5.731579
2015-12-22,5.54,5.94,5.455,5.73,2116200,5.701727
2015-12-21,5.99,6.165,5.25,5.57,4846000,5.542517
2015-12-18,4.70,6.29,4.70,5.96,7564700,5.930592
2015-12-17,5.58,5.58,4.58,4.72,5230200,4.69671
2015-12-16,5.45,5.82,5.37,5.65,2309600,5.622122
2015-12-15,5.26,5.42,5.245,5.36,2089300,5.333553
2015-12-14,5.65,5.78,5.19,5.26,2557200,5.234046
