Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,87.699997,88.209999,87.389999,88.089996,1502900,88.089996
2016-04-18,87.190002,87.739998,87.050003,87.580002,1058600,87.580002
2016-04-15,87.129997,87.489998,86.790001,87.279999,1274000,87.279999
2016-04-14,87.889999,87.889999,87.00,87.160004,1319500,87.160004
2016-04-13,88.019997,88.169998,87.639999,87.900002,1470200,87.900002
2016-04-12,87.599998,88.029999,87.089996,87.68,1018200,87.68
2016-04-11,88.309998,88.82,87.330002,87.510002,1702200,87.510002
2016-04-08,87.220001,88.209999,86.82,88.050003,1885400,88.050003
2016-04-07,86.730003,87.040001,86.290001,86.769997,1892600,86.769997
2016-04-06,86.029999,87.160004,85.769997,86.989998,1683400,86.989998
2016-04-05,86.629997,86.989998,85.980003,86.150002,1889200,86.150002
2016-04-04,87.349998,87.50,86.949997,87.019997,1883200,87.019997
2016-04-01,86.129997,87.389999,85.980003,87.110001,4627300,87.110001
2016-03-31,86.970001,87.349998,86.480003,86.50,3037000,86.50
2016-03-30,86.779999,87.589996,86.75,86.93,2507100,86.93
2016-03-29,85.75,86.739998,85.699997,86.449997,2158100,86.449997
2016-03-28,85.699997,86.290001,85.540001,85.690002,1532700,85.690002
2016-03-24,85.629997,85.720001,85.00,85.580002,2092300,85.580002
2016-03-23,86.099998,86.209999,85.599998,85.660004,1833100,85.660004
2016-03-22,85.870003,86.269997,85.699997,86.00,2079200,86.00
2016-03-21,86.139999,86.239998,85.529999,85.919998,2050200,85.919998
2016-03-18,85.959999,86.790001,85.889999,86.419998,3630200,86.419998
2016-03-17,85.260002,86.800003,85.199997,85.980003,3872300,85.980003
2016-03-16,84.330002,85.120003,84.059998,85.010002,2969500,85.010002
2016-03-15,84.610001,85.809998,84.330002,85.300003,2969400,84.415003
2016-03-14,85.32,85.639999,84.389999,85.00,2925100,84.118113
2016-03-11,85.739998,85.860001,84.669998,85.779999,2977200,84.890019
2016-03-10,86.519997,86.760002,84.50,85.00,2293800,84.118113
2016-03-09,85.720001,86.00,84.669998,85.220001,3123400,84.335832
2016-03-08,85.910004,86.50,85.370003,85.480003,3321700,84.593136
2016-03-07,86.800003,87.120003,85.860001,86.269997,1841800,85.374933
2016-03-04,87.639999,87.900002,87.050003,87.25,2319100,86.344769
2016-03-03,88.449997,88.449997,87.120003,87.889999,2354700,86.978128
2016-03-02,87.599998,88.459999,87.260002,88.410004,1575400,87.492737
2016-03-01,87.00,87.760002,86.510002,87.739998,1936500,86.829683
2016-02-29,85.830002,87.230003,85.709999,86.50,2169100,85.60255
2016-02-26,85.290001,86.400002,84.57,85.790001,2797300,84.899917
2016-02-25,86.949997,88.260002,86.029999,86.739998,3588800,85.840058
2016-02-24,85.910004,86.919998,85.620003,86.300003,1913900,85.404628
2016-02-23,86.279999,86.68,85.839996,86.349998,2372100,85.454105
2016-02-22,86.120003,87.50,85.75,86.760002,2448300,85.859855
2016-02-19,85.599998,85.900002,84.739998,85.459999,2136300,84.573339
2016-02-18,84.720001,86.879997,84.419998,86.019997,2890700,85.127527
2016-02-17,84.169998,84.989998,83.75,84.68,2031600,83.801433
2016-02-16,84.18,84.370003,83.459999,84.00,1551600,83.128488
2016-02-12,82.849998,83.230003,82.139999,83.129997,2030000,82.267512
2016-02-11,80.040001,82.029999,79.989998,81.510002,2494700,80.664324
2016-02-10,82.449997,83.209999,81.669998,81.830002,1472700,80.981004
2016-02-09,80.75,82.720001,80.300003,82.199997,2383700,81.34716
2016-02-08,83.300003,83.419998,80.050003,81.699997,3126100,80.852348
2016-02-05,85.720001,86.129997,83.470001,84.059998,2246200,83.187863
2016-02-04,86.50,86.849998,85.650002,86.220001,1776800,85.325456
2016-02-03,86.309998,86.93,84.419998,86.769997,2453800,85.869746
