Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,50.049999,50.049999,50.049999,50.049999,000,50.049999
2016-04-18,50.049999,50.049999,50.049999,50.049999,000,50.049999
2016-04-15,50.049999,50.049999,50.049999,50.049999,200,50.049999
2016-04-14,50.00,50.00,50.00,50.00,000,50.00
2016-04-13,50.00,50.00,50.00,50.00,100,50.00
2016-04-12,57.00,57.00,57.00,57.00,000,57.00
2016-04-11,57.00,57.00,57.00,57.00,000,57.00
2016-04-08,57.00,57.00,57.00,57.00,000,57.00
2016-04-07,57.00,57.00,57.00,57.00,000,57.00
2016-04-06,57.00,57.00,57.00,57.00,000,57.00
2016-04-05,57.00,57.00,57.00,57.00,000,57.00
2016-04-04,57.00,57.00,57.00,57.00,000,56.605001
2016-04-01,57.00,57.00,57.00,57.00,000,56.605001
2016-03-31,57.00,57.00,57.00,57.00,200,56.605001
2016-03-30,52.00,52.00,52.00,52.00,000,51.63965
2016-03-29,52.990002,52.990002,52.00,52.00,300,51.63965
2016-03-28,50.110001,50.110001,50.110001,50.110001,000,49.762748
2016-03-24,50.110001,50.110001,50.110001,50.110001,000,49.762748
2016-03-23,50.110001,50.110001,50.110001,50.110001,000,49.762748
2016-03-22,50.110001,50.110001,50.110001,50.110001,000,49.762748
2016-03-21,50.110001,50.110001,50.110001,50.110001,000,49.762748
2016-03-18,50.75,50.75,50.00,50.110001,600,49.762748
2016-03-17,48.900002,48.900002,48.900002,48.900002,000,48.561134
2016-03-16,48.900002,48.900002,48.900002,48.900002,000,48.561134
2016-03-15,48.900002,48.900002,48.900002,48.900002,000,48.561134
2016-03-14,48.900002,48.900002,48.900002,48.900002,000,48.561134
2016-03-11,48.900002,48.900002,48.900002,48.900002,000,48.561134
2016-03-10,48.900002,48.900002,48.900002,48.900002,000,48.561134
2016-03-09,48.900002,48.900002,48.900002,48.900002,000,48.561134
2016-03-08,48.900002,48.900002,48.900002,48.900002,000,48.561134
2016-03-07,48.900002,48.900002,48.900002,48.900002,000,48.561134
2016-03-04,48.900002,48.900002,48.900002,48.900002,000,48.561134
2016-03-03,48.900002,48.900002,48.900002,48.900002,000,48.561134
2016-03-02,48.900002,48.900002,48.900002,48.900002,000,48.561134
2016-03-01,48.900002,48.900002,48.900002,48.900002,100,48.561134
2016-02-29,48.900002,48.900002,48.900002,48.900002,100,48.561134
2016-02-26,48.009998,48.009998,48.009998,48.009998,000,47.677298
2016-02-25,48.009998,48.009998,48.009998,48.009998,200,47.677298
2016-02-24,47.990002,47.990002,47.990002,47.990002,000,47.65744
2016-02-23,47.990002,47.990002,47.990002,47.990002,000,47.65744
2016-02-22,47.990002,47.990002,47.990002,47.990002,000,47.65744
2016-02-19,47.990002,47.990002,47.990002,47.990002,000,47.65744
2016-02-18,47.950001,47.990002,47.950001,47.990002,600,47.65744
2016-02-17,48.470001,48.470001,48.470001,48.470001,000,48.134113
2016-02-16,48.470001,48.470001,48.470001,48.470001,000,48.134113
2016-02-12,46.25,48.50,46.25,48.470001,800,48.134113
2016-02-11,46.00,46.00,46.00,46.00,000,45.681229
2016-02-10,46.00,46.00,46.00,46.00,1000,45.681229
2016-02-09,46.00,46.00,46.00,46.00,000,45.681229
2016-02-08,46.00,46.00,46.00,46.00,000,45.681229
2016-02-05,46.00,46.00,46.00,46.00,000,45.681229
2016-02-04,46.00,46.00,46.00,46.00,000,45.681229
2016-02-03,46.00,46.00,46.00,46.00,000,45.681229
2016-02-02,46.00,46.00,46.00,46.00,000,45.681229
