Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,14.14,14.28,14.03,14.27,5900,14.27
2016-04-18,14.13,14.30,14.09,14.20,9100,14.20
2016-04-15,14.13,14.25,14.01,14.24,19900,14.24
2016-04-14,14.25,14.26,14.07,14.07,15500,14.07
2016-04-13,14.23,14.25,14.17,14.24,9000,14.24
2016-04-12,14.12,14.24,14.10,14.19,14500,14.19
2016-04-11,14.18,14.19,14.05,14.12,15700,14.12
2016-04-08,14.22,14.24,14.05,14.12,2600,14.12
2016-04-07,14.15,14.22,14.05,14.14,1900,14.14
2016-04-06,14.08,14.18,14.06,14.15,3600,14.15
2016-04-05,14.07,14.19,14.01,14.18,8800,14.18
2016-04-04,14.25,14.25,14.08,14.17,18600,14.17
2016-04-01,14.12,14.25,14.07,14.23,9600,14.23
2016-03-31,14.28,14.28,14.11,14.16,24400,14.16
2016-03-30,14.20,14.29,14.20,14.24,11300,14.24
2016-03-29,14.05,14.23,14.05,14.20,11900,14.20
2016-03-28,14.50,14.63,14.33,14.50,31300,14.01
2016-03-24,14.20,14.49,14.20,14.41,13200,13.923041
2016-03-23,14.46,14.50,14.16,14.17,19100,13.691152
2016-03-22,14.45,14.56,14.41,14.41,13400,13.923041
2016-03-21,14.38,14.59,14.35,14.55,14000,14.058311
2016-03-18,14.31,14.57,14.27,14.28,59400,13.797434
2016-03-17,14.35,14.61,14.34,14.47,20100,13.981014
2016-03-16,14.23,14.40,14.20,14.29,17100,13.807097
2016-03-15,14.32,14.41,14.22,14.23,5900,13.749124
2016-03-14,14.24,14.48,14.24,14.38,10900,13.894055
2016-03-11,14.24,14.34,14.22,14.34,5400,13.855407
2016-03-10,14.26,14.46,14.00,14.13,8300,13.652504
2016-03-09,14.17,14.53,14.13,14.25,22500,13.768448
2016-03-08,14.17,14.42,14.17,14.21,13400,13.7298
2016-03-07,14.38,14.55,14.28,14.39,5600,13.903718
2016-03-04,14.31,14.56,14.31,14.45,17100,13.96169
2016-03-03,14.41,14.49,14.27,14.34,19200,13.855407
2016-03-02,14.31,14.40,14.27,14.35,25700,13.86507
2016-03-01,14.21,14.41,14.02,14.34,24600,13.855407
2016-02-29,14.20,14.25,14.02,14.23,11000,13.749124
2016-02-26,13.97,14.37,13.82,14.29,71900,13.807097
2016-02-25,13.76,13.97,13.58,13.91,19300,13.439938
2016-02-24,13.55,13.77,13.55,13.64,8700,13.179063
2016-02-23,13.62,13.70,13.55,13.55,3900,13.092104
2016-02-22,13.58,13.74,13.55,13.58,7000,13.12109
2016-02-19,13.55,13.73,13.55,13.56,6000,13.101766
2016-02-18,13.50,13.69,13.50,13.56,14900,13.101766
2016-02-17,13.59,13.82,13.47,13.53,27800,13.072779
2016-02-16,13.46,13.66,13.35,13.49,10700,13.034131
2016-02-12,13.19,13.38,13.16,13.36,23400,12.908524
2016-02-11,13.14,13.23,13.14,13.17,14400,12.724945
2016-02-10,13.13,13.44,13.13,13.33,21000,12.879538
2016-02-09,13.29,13.53,13.22,13.25,11300,12.802242
2016-02-08,13.28,13.49,13.19,13.45,146100,12.995483
2016-02-05,13.54,13.70,13.40,13.42,22700,12.966497
2016-02-04,13.70,13.70,13.45,13.59,10500,13.130752
2016-02-03,13.70,14.00,13.59,13.61,27300,13.150076
2016-02-02,13.55,13.75,13.04,13.70,49900,13.237034
2016-02-01,13.53,13.77,13.53,13.68,11500,13.217711
2016-01-29,13.44,13.70,13.28,13.61,53400,13.150076
2016-01-28,13.38,13.57,13.35,13.42,29500,12.966497
2016-01-27,13.38,13.56,13.25,13.31,31000,12.860214
2016-01-26,13.29,13.64,13.28,13.40,10700,12.947172
2016-01-25,13.91,13.91,12.95,13.15,93600,12.70562
2016-01-22,13.54,14.00,13.54,14.00,27800,13.526897
2016-01-21,13.37,14.23,13.27,13.40,70800,12.947172
2016-01-20,13.29,13.51,13.10,13.40,51600,12.947172
2016-01-19,13.36,13.54,13.30,13.44,87900,12.98582
2016-01-15,13.09,13.45,12.89,13.35,66700,12.898863
2016-01-14,12.77,13.58,12.63,13.48,180000,13.024469
2016-01-13,12.65,12.72,12.60,12.72,87400,12.290152
2016-01-12,12.84,12.84,12.65,12.66,25800,12.232179
2016-01-11,13.29,13.29,12.65,12.75,64900,12.319138
2016-01-08,12.79,12.79,12.65,12.65,8400,12.222517
2016-01-07,12.88,12.99,12.61,12.68,13400,12.251504
2016-01-06,12.96,13.12,12.96,13.00,7100,12.56069
2016-01-05,13.04,13.14,12.92,12.95,21300,12.512379
2016-01-04,12.87,13.04,12.83,12.96,24900,12.522042
2015-12-31,12.85,13.05,12.85,13.00,22100,12.56069
2015-12-30,12.93,12.99,12.82,12.95,33700,12.512379
2015-12-29,12.99,13.16,12.94,13.00,37200,12.56069
2015-12-28,13.69,13.74,13.48,13.60,9800,12.666973
2015-12-24,13.70,13.75,13.62,13.62,16500,12.685601
2015-12-23,13.72,13.86,13.63,13.71,20500,12.769426
2015-12-22,13.56,13.93,13.56,13.64,33500,12.704229
2015-12-21,13.68,13.70,13.46,13.60,27900,12.666973
2015-12-18,13.20,13.66,13.20,13.55,30400,12.620403
2015-12-17,13.42,13.72,13.25,13.27,74800,12.359613
2015-12-16,13.62,13.80,13.35,13.50,64100,12.573833
2015-12-15,13.72,13.77,13.50,13.66,61500,12.722856
2015-12-14,13.94,14.03,13.71,13.72,18800,12.77874
2015-12-11,14.30,14.43,14.00,14.00,17400,13.039531
2015-12-10,14.20,14.39,14.20,14.30,5700,13.318949
2015-12-09,14.46,14.71,14.20,14.20,118300,13.22581
2015-12-08,14.39,14.44,14.30,14.35,25000,13.365519
2015-12-07,14.66,14.66,14.44,14.47,25300,13.477287
2015-12-04,14.60,14.78,14.55,14.55,14200,13.551798
2015-12-03,14.55,14.75,14.55,14.61,14300,13.607681
2015-12-02,14.53,14.86,14.53,14.59,7800,13.589054
2015-12-01,14.73,14.95,14.61,14.63,57700,13.62631
2015-11-30,14.91,14.95,14.65,14.74,58000,13.728763
2015-11-27,14.29,14.85,14.29,14.85,4600,13.831217
2015-11-25,14.32,14.54,14.27,14.33,89100,13.346891
2015-11-24,14.54,14.64,14.28,14.44,31100,13.449344
2015-11-23,14.67,14.68,14.61,14.67,14200,13.663566
2015-11-20,14.64,14.76,14.60,14.61,10400,13.607681
2015-11-19,14.68,14.88,14.67,14.68,11800,13.67288
2015-11-18,14.70,14.87,14.59,14.68,12700,13.67288
2015-11-17,14.89,14.98,14.65,14.68,21200,13.67288
2015-11-16,14.86,14.99,14.78,14.97,37100,13.942984
2015-11-13,14.91,15.00,14.86,14.95,13300,13.924356
2015-11-12,14.84,14.97,14.75,14.87,13600,13.849844
2015-11-11,14.84,14.97,14.84,14.92,7900,13.896414
2015-11-10,14.36,14.88,14.22,14.69,30900,13.682193
2015-11-09,14.82,14.98,14.70,14.75,22600,13.738077
2015-11-06,14.84,15.29,14.52,14.75,95500,13.738077
2015-11-05,14.91,14.91,14.65,14.84,10300,13.821903
2015-11-04,14.97,15.01,14.94,14.97,2500,13.942984
2015-11-03,14.89,15.30,14.89,14.92,52000,13.896414
2015-11-02,14.66,14.77,14.50,14.50,35100,13.505228
2015-10-30,14.88,14.88,14.66,14.70,18800,13.691507
2015-10-29,14.96,15.24,14.88,14.97,26900,13.942984
2015-10-28,14.65,14.91,14.65,14.88,36400,13.859159
2015-10-27,15.00,15.01,14.66,14.66,16300,13.654251
2015-10-26,15.19,15.23,15.00,15.04,4300,14.008182
2015-10-23,15.20,15.23,15.17,15.23,4600,14.185146
2015-10-22,15.20,15.30,15.11,15.20,12800,14.157205
2015-10-21,15.31,15.38,15.20,15.26,3700,14.213089
2015-10-20,15.38,15.38,15.34,15.35,3500,14.296914
2015-10-19,15.46,15.53,15.32,15.38,9400,14.324856
2015-10-16,15.53,15.59,15.51,15.56,2500,14.492507
2015-10-15,15.41,15.61,15.41,15.59,3500,14.520449
2015-10-14,15.57,15.62,15.44,15.46,7000,14.399368
2015-10-13,15.54,15.64,15.49,15.59,6300,14.520449
2015-10-12,15.51,15.65,15.51,15.52,3100,14.455252
2015-10-09,15.48,15.65,15.48,15.53,5500,14.464565
2015-10-08,15.46,15.46,15.38,15.42,6100,14.362112
2015-10-07,15.29,15.45,15.29,15.40,3900,14.343483
2015-10-06,15.31,15.34,15.21,15.22,10800,14.175833
2015-10-05,15.04,15.37,15.04,15.18,9300,14.138577
2015-10-02,15.03,15.13,15.01,15.03,15500,13.998867
2015-10-01,15.18,15.34,15.01,15.09,16900,14.054752
2015-09-30,15.16,15.35,14.94,15.23,31300,14.185146
2015-09-29,15.40,15.46,15.10,15.13,21100,14.092007
2015-09-28,15.95,16.00,15.30,15.41,31000,14.352798
2015-09-25,16.549999,16.549999,16.219999,16.219999,15400,14.650844
2015-09-24,16.459999,16.549999,16.32,16.549999,7400,14.948919
2015-09-23,16.50,16.57,16.40,16.48,6200,14.885691
2015-09-22,16.51,16.60,16.51,16.57,6000,14.966984
2015-09-21,16.889999,16.90,16.52,16.559999,8000,14.957951
2015-09-18,16.309999,16.85,16.23,16.85,16000,15.219897
2015-09-17,16.360001,16.540001,16.24,16.379999,11400,14.795365
2015-09-16,16.09,16.59,16.09,16.40,75800,14.81343
2015-09-15,15.94,15.97,15.93,15.93,4800,14.3889
2015-09-14,15.90,16.00,15.90,15.95,6800,14.406964
2015-09-11,15.60,15.85,15.60,15.82,7900,14.289541
2015-09-10,15.69,15.74,15.58,15.60,34800,14.090825
2015-09-09,15.98,16.030001,15.70,15.80,26500,14.271476
2015-09-08,16.049999,16.049999,15.95,15.98,15500,14.434062
2015-09-04,16.00,16.00,15.96,15.99,16800,14.443095
2015-09-03,16.030001,16.16,16.00,16.00,10200,14.452127
2015-09-02,15.96,16.17,15.96,16.040001,6100,14.488259
2015-09-01,16.030001,16.129999,15.95,15.98,16100,14.434062
2015-08-31,16.00,16.27,15.96,16.16,15600,14.596649
2015-08-28,15.98,16.370001,15.98,16.16,10000,14.596649
2015-08-27,15.99,16.209999,15.95,16.09,27600,14.533421
2015-08-26,15.95,16.17,15.95,16.040001,36400,14.488259
2015-08-25,16.299999,16.299999,15.97,16.00,17000,14.452127
2015-08-24,15.65,16.120001,15.65,15.91,122200,14.370834
2015-08-21,16.860001,16.860001,16.33,16.33,24500,14.750203
2015-08-20,16.809999,16.889999,16.73,16.809999,15100,15.183766
2015-08-19,16.690001,17.10,16.690001,16.860001,12200,15.22893
2015-08-18,16.690001,16.90,16.42,16.809999,16500,15.183766
2015-08-17,16.25,16.790001,16.25,16.790001,13100,15.165702
2015-08-14,16.26,16.32,16.17,16.299999,44000,14.723104
2015-08-13,16.200001,16.370001,16.200001,16.34,7600,14.759235
2015-08-12,16.16,16.32,16.16,16.200001,14200,14.63278
2015-08-11,16.10,16.280001,16.10,16.25,28400,14.677942
2015-08-10,16.25,16.290001,16.15,16.209999,27900,14.641811
2015-08-07,16.26,16.299999,16.25,16.26,13100,14.686975
