Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,2.42,2.42,2.40,2.41,28500,2.41
2016-04-18,2.41,2.43,2.40,2.42,25200,2.399
2016-04-15,2.41,2.41,2.39,2.41,40000,2.389087
2016-04-14,2.41,2.41,2.40,2.41,16200,2.389087
2016-04-13,2.43,2.43,2.40,2.41,43400,2.389087
2016-04-12,2.39,2.41,2.38,2.41,123300,2.389087
2016-04-11,2.35,2.38,2.35,2.38,3000,2.359347
2016-04-08,2.34,2.37,2.34,2.35,92800,2.329607
2016-04-07,2.34,2.44,2.34,2.34,229600,2.319694
2016-04-06,2.35,2.37,2.33,2.34,114000,2.319694
2016-04-05,2.33,2.35,2.33,2.33,119000,2.309781
2016-04-04,2.33,2.34,2.32,2.34,48900,2.319694
2016-04-01,2.32,2.35,2.32,2.35,26100,2.329607
2016-03-31,2.33,2.35,2.32,2.34,105500,2.319694
2016-03-30,2.34,2.35,2.33,2.33,21000,2.309781
2016-03-29,2.30,2.37,2.30,2.35,56100,2.329607
2016-03-28,2.32,2.34,2.32,2.34,72600,2.319694
2016-03-24,2.37,2.37,2.32,2.34,38500,2.319694
2016-03-23,2.38,2.38,2.37,2.38,21200,2.359347
2016-03-22,2.34,2.38,2.34,2.37,48600,2.349434
2016-03-21,2.32,2.38,2.32,2.35,35200,2.329607
2016-03-18,2.33,2.38,2.31,2.34,52500,2.319694
2016-03-17,2.35,2.37,2.34,2.34,33100,2.319694
2016-03-16,2.32,2.34,2.31,2.34,5500,2.319694
2016-03-15,2.34,2.34,2.29,2.31,110000,2.289955
2016-03-14,2.37,2.37,2.35,2.37,32100,2.330599
2016-03-11,2.33,2.37,2.32,2.37,20800,2.330599
2016-03-10,2.32,2.33,2.30,2.33,25300,2.291264
2016-03-09,2.29,2.33,2.29,2.30,93000,2.261762
2016-03-08,2.31,2.32,2.27,2.29,85400,2.251929
2016-03-07,2.25,2.32,2.25,2.31,144200,2.271596
2016-03-04,2.25,2.29,2.24,2.28,90100,2.242095
2016-03-03,2.21,2.26,2.21,2.24,72600,2.20276
2016-03-02,2.19,2.23,2.19,2.22,61900,2.183093
2016-03-01,2.18,2.25,2.17,2.22,64700,2.183093
2016-02-29,2.16,2.18,2.15,2.17,69000,2.133924
2016-02-26,2.12,2.16,2.12,2.15,46500,2.114256
2016-02-25,2.12,2.14,2.12,2.14,39800,2.104423
2016-02-24,2.13,2.14,2.12,2.14,71600,2.104423
2016-02-23,2.13,2.14,2.12,2.13,61800,2.094589
2016-02-22,2.10,2.14,2.10,2.13,144100,2.094589
2016-02-19,2.07,2.12,2.07,2.11,36500,2.074921
2016-02-18,2.09,2.12,2.08,2.10,87200,2.065087
2016-02-17,2.09,2.10,2.08,2.09,174300,2.055254
2016-02-16,2.05,2.07,2.05,2.06,32800,2.025752
2016-02-12,2.08,2.09,2.07,2.07,91600,2.015919
2016-02-11,2.06,2.08,2.06,2.07,19600,2.015919
2016-02-10,2.09,2.12,2.09,2.09,56500,2.035396
2016-02-09,2.06,2.11,2.06,2.09,48900,2.035396
2016-02-08,2.13,2.14,2.11,2.11,14900,2.054874
