Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,13.93,14.00,13.91,13.98,599100,13.98
2016-04-18,13.79,13.96,13.78,13.90,673200,13.90
2016-04-15,13.83,13.91,13.79,13.88,690900,13.88
2016-04-14,13.89,13.89,13.78,13.83,559400,13.83
2016-04-13,13.81,13.90,13.81,13.89,707900,13.89
2016-04-12,13.75,13.89,13.73,13.81,912800,13.81
2016-04-11,13.54,13.80,13.54,13.73,1234200,13.73
2016-04-08,13.59,13.70,13.51,13.53,670500,13.53
2016-04-07,13.50,13.60,13.46,13.56,1236900,13.56
2016-04-06,13.50,13.56,13.44,13.56,888300,13.56
2016-04-05,13.45,13.57,13.41,13.48,1416100,13.48
2016-04-04,13.53,13.59,13.47,13.52,999600,13.52
2016-04-01,13.54,13.59,13.41,13.54,1139300,13.54
2016-03-31,13.57,13.62,13.45,13.59,1441000,13.59
2016-03-30,13.47,13.59,13.32,13.38,1144400,13.38
2016-03-29,13.28,13.50,13.18,13.45,1436300,13.45
2016-03-28,13.81,13.85,13.67,13.75,2285400,13.27
2016-03-24,13.66,13.84,13.55,13.78,1447700,13.298953
2016-03-23,13.97,14.00,13.71,13.73,1193600,13.250698
2016-03-22,13.94,14.05,13.88,14.02,1017800,13.530575
2016-03-21,13.84,14.01,13.80,13.99,2412000,13.501622
2016-03-18,13.90,14.03,13.80,13.84,3333200,13.356859
2016-03-17,13.76,14.06,13.71,13.89,1417000,13.405113
2016-03-16,13.50,13.76,13.45,13.76,1300700,13.279651
2016-03-15,13.68,13.76,13.45,13.50,1776700,13.028728
2016-03-14,14.15,14.19,13.85,14.04,3040700,13.067331
2016-03-11,14.00,14.24,13.87,14.22,2946400,13.234861
2016-03-10,13.99,14.00,13.85,13.98,1740700,13.011487
2016-03-09,13.80,13.98,13.64,13.95,1677700,12.983566
2016-03-08,13.90,13.91,13.62,13.71,1396100,12.760193
2016-03-07,13.90,13.95,13.79,13.90,1770500,12.93703
2016-03-04,13.81,13.96,13.70,13.87,1735800,12.909108
2016-03-03,13.33,13.56,13.28,13.55,1167400,12.611278
2016-03-02,13.14,13.25,13.05,13.25,1151600,12.332061
2016-03-01,13.13,13.17,13.01,13.14,1022000,12.229682
2016-02-29,13.08,13.24,13.01,13.03,1454000,12.127302
2016-02-26,13.04,13.31,13.01,13.08,1134700,12.173838
2016-02-25,12.98,13.03,12.88,13.00,1354300,12.099381
2016-02-24,12.80,12.99,12.50,12.92,935000,12.024923
2016-02-23,12.89,13.00,12.78,12.88,994900,11.987694
2016-02-22,12.80,12.94,12.77,12.90,1951500,12.006308
2016-02-19,12.56,12.79,12.50,12.73,1539400,11.848085
2016-02-18,12.85,13.16,12.55,12.68,4075200,11.80155
2016-02-17,12.27,12.54,12.25,12.51,2391600,11.643327
2016-02-16,11.81,12.19,11.80,12.18,1574000,11.336189
