Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,58.720001,59.66,58.450001,59.400002,329800,59.400002
2016-04-18,58.060001,59.080002,57.959999,58.439999,216800,58.439999
2016-04-15,57.82,58.849998,57.549999,58.439999,331600,58.439999
2016-04-14,58.00,58.23,57.610001,58.00,213600,58.00
2016-04-13,57.049999,58.07,57.049999,57.939999,316300,57.939999
2016-04-12,56.00,57.259998,56.00,56.540001,227200,56.540001
2016-04-11,56.48,57.240002,56.240002,56.25,247400,56.029999
2016-04-08,56.299999,57.200001,55.939999,56.130001,176600,55.910469
2016-04-07,55.869999,56.16,55.259998,55.77,342400,55.551876
2016-04-06,56.48,56.669998,55.759998,56.119999,203000,55.900506
2016-04-05,56.68,57.029999,56.02,56.50,232000,56.279021
2016-04-04,57.689999,57.689999,56.869999,57.07,360300,56.846791
2016-04-01,57.290001,57.77,56.720001,57.75,371500,57.524132
2016-03-31,57.889999,58.349998,57.68,57.790001,226800,57.563976
2016-03-30,58.630001,59.07,57.799999,58.029999,289200,57.803035
2016-03-29,56.880001,58.50,56.880001,58.459999,334800,58.231354
2016-03-28,57.630001,57.630001,56.380001,57.110001,337100,56.886636
2016-03-24,57.02,57.610001,56.610001,57.580002,235800,57.354799
2016-03-23,58.009998,58.34,57.279999,57.290001,296400,57.065932
2016-03-22,58.310001,58.50,57.950001,58.07,307900,57.84288
2016-03-21,58.25,58.919998,58.00,58.389999,400200,58.161628
2016-03-18,56.990002,58.689999,56.919998,58.439999,849500,58.211432
2016-03-17,53.00,57.200001,52.419998,56.700001,1366000,56.478239
2016-03-16,50.98,51.75,50.560001,51.349998,191300,51.149162
2016-03-15,50.93,51.169998,50.82,50.84,243900,50.641158
2016-03-14,51.43,51.66,50.77,51.330002,197500,51.129243
2016-03-11,50.950001,51.759998,50.830002,51.700001,271900,51.497795
2016-03-10,51.119999,51.139999,49.880001,50.560001,192600,50.362254
2016-03-09,51.82,51.82,50.84,51.040001,200800,50.840376
2016-03-08,52.490002,52.790001,51.50,51.52,283500,51.318499
2016-03-07,51.50,52.970001,51.200001,52.860001,282200,52.653258
2016-03-04,50.919998,51.889999,50.619999,51.630001,255500,51.428069
2016-03-03,50.290001,50.939999,49.82,50.91,247300,50.710884
2016-03-02,49.060001,50.540001,48.98,50.439999,348000,50.242721
2016-03-01,48.650002,49.240002,48.150002,49.220001,245500,49.027495
2016-02-29,48.23,48.50,47.98,48.139999,392300,47.951717
2016-02-26,48.25,48.290001,47.860001,48.18,374600,47.991562
2016-02-25,48.450001,48.610001,47.639999,48.00,302900,47.812265
2016-02-24,47.099998,48.41,46.509998,48.400002,331900,48.210702
2016-02-23,47.990002,48.330002,47.349998,47.66,311300,47.473595
2016-02-22,48.470001,48.84,48.060001,48.310001,264700,48.121054
2016-02-19,47.610001,47.98,47.119999,47.939999,323800,47.752499
2016-02-18,47.650002,47.91,47.110001,47.77,275100,47.583165
2016-02-17,47.810001,48.049999,47.32,47.490002,317700,47.304262
2016-02-16,46.939999,47.57,46.560001,47.450001,312200,47.264417
2016-02-12,45.639999,46.549999,45.41,46.290001,345600,46.108954
2016-02-11,45.09,45.860001,44.389999,45.099998,358200,44.923606
2016-02-10,46.380001,47.540001,45.790001,45.91,364400,45.73044
2016-02-09,46.169998,46.970001,46.009998,46.189999,400300,46.009343
2016-02-08,45.990002,46.84,45.93,46.790001,361400,46.606999
2016-02-05,47.150002,47.759998,46.529999,46.630001,434600,46.447625
2016-02-04,45.50,47.93,45.50,47.279999,483300,47.09508
2016-02-03,45.490002,45.849998,44.380001,45.619999,359600,45.441573
2016-02-02,45.77,45.869999,44.950001,45.080002,607800,44.903688
2016-02-01,46.439999,47.66,45.93,46.349998,528200,46.168717
2016-01-29,45.720001,46.860001,45.720001,46.860001,973500,46.676725
2016-01-28,45.84,46.450001,45.240002,45.509998,424400,45.332002
2016-01-27,45.860001,46.240002,45.00,45.380001,562300,45.202514
2016-01-26,45.259998,46.130001,45.09,45.990002,577700,45.810128
2016-01-25,46.139999,46.150002,44.779999,44.970001,664300,44.794117
2016-01-22,46.82,47.43,45.77,46.439999,533300,46.258365
2016-01-21,46.919998,47.580002,45.889999,46.009998,550500,45.830047
2016-01-20,45.50,47.279999,44.939999,46.740002,698200,46.557195
2016-01-19,46.66,46.990002,45.93,46.23,480100,46.049188
2016-01-15,45.310001,46.700001,45.209999,46.450001,657600,46.049191
2016-01-14,45.419998,48.049999,45.419998,46.709999,685200,46.306946
2016-01-13,44.990002,45.52,44.209999,44.290001,584600,43.907829
2016-01-12,45.18,45.790001,44.130001,44.990002,395200,44.60179
2016-01-11,45.169998,45.419998,44.740002,45.189999,296200,44.800061
2016-01-08,45.84,46.189999,44.939999,45.00,356000,44.611702
2016-01-07,46.060001,46.099998,45.52,45.82,291400,45.424626
2016-01-06,47.049999,47.369999,46.830002,46.919998,290500,46.515133
2016-01-05,48.560001,49.16,47.389999,47.669998,311100,47.258661
