Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,24.60,24.629999,24.17,24.50,530800,24.50
2016-04-18,24.370001,24.68,24.27,24.59,449600,24.59
2016-04-15,24.110001,24.92,23.959999,24.370001,912900,24.370001
2016-04-14,23.879999,24.200001,23.75,24.129999,819700,24.129999
2016-04-13,24.02,24.190001,23.530001,23.84,823700,23.84
2016-04-12,23.360001,24.040001,23.360001,23.940001,451700,23.940001
2016-04-11,23.450001,23.629999,23.01,23.309999,695100,23.309999
2016-04-08,23.040001,23.59,22.950001,23.40,383700,23.40
2016-04-07,23.129999,23.129999,22.73,22.879999,398500,22.879999
2016-04-06,23.07,23.25,22.629999,23.209999,333900,23.209999
2016-04-05,22.98,23.200001,22.950001,23.09,366900,23.09
2016-04-04,23.290001,23.40,23.01,23.120001,400800,23.120001
2016-04-01,23.190001,23.49,22.469999,23.290001,483600,23.290001
2016-03-31,23.459999,23.65,23.450001,23.50,493100,23.349999
2016-03-30,23.540001,23.709999,23.440001,23.459999,589700,23.310254
2016-03-29,22.42,23.530001,22.42,23.530001,738700,23.379809
2016-03-28,22.08,22.469999,22.08,22.42,263700,22.276893
2016-03-24,22.040001,22.07,21.85,22.030001,381800,21.889383
2016-03-23,22.889999,23.00,22.120001,22.120001,494100,21.978809
2016-03-22,22.530001,23.01,22.40,22.950001,420000,22.803511
2016-03-21,23.200001,23.379999,22.59,22.610001,702500,22.465681
2016-03-18,23.209999,23.360001,22.93,23.290001,1156300,23.141341
2016-03-17,22.59,23.139999,22.459999,23.129999,748300,22.98236
2016-03-16,21.879999,22.610001,21.879999,22.610001,539300,22.465681
2016-03-15,21.73,22.09,21.59,21.99,399900,21.849638
2016-03-14,21.790001,22.23,21.639999,21.90,401000,21.760212
2016-03-11,21.43,21.82,21.40,21.799999,478900,21.66085
2016-03-10,21.459999,21.58,20.959999,21.27,283300,21.134234
2016-03-09,21.26,21.40,21.18,21.33,704500,21.19385
2016-03-08,21.68,21.68,21.049999,21.190001,544400,21.054745
2016-03-07,21.559999,21.889999,21.530001,21.700001,511400,21.56149
2016-03-04,20.93,21.780001,20.92,21.74,650900,21.601233
2016-03-03,20.790001,20.93,20.690001,20.860001,544400,20.726851
2016-03-02,20.790001,20.83,20.309999,20.82,694700,20.687106
2016-03-01,20.030001,20.879999,19.93,20.879999,1092300,20.746722
2016-02-29,20.18,20.450001,19.90,19.90,1095900,19.772978
2016-02-26,19.93,20.33,19.73,20.24,858600,20.110808
2016-02-25,19.110001,19.98,18.629999,19.90,1180300,19.772978
2016-02-24,19.00,19.16,18.790001,19.040001,876000,18.918469
2016-02-23,18.77,19.120001,18.690001,19.08,788300,18.958212
2016-02-22,18.35,18.91,18.35,18.879999,834800,18.759488
2016-02-19,18.389999,18.530001,18.299999,18.35,1019200,18.232872
2016-02-18,18.51,18.540001,18.280001,18.52,982500,18.401787
