Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,17.459999,17.719999,17.42,17.530001,339100,17.530001
2016-04-18,17.42,17.620001,17.33,17.43,740600,17.43
2016-04-15,17.24,17.51,17.09,17.459999,1019600,17.459999
2016-04-14,17.040001,17.370001,17.040001,17.26,690500,17.26
2016-04-13,16.889999,17.08,16.809999,17.02,611500,17.02
2016-04-12,16.83,16.959999,16.77,16.84,598500,16.84
2016-04-11,16.540001,16.85,16.49,16.780001,679200,16.780001
2016-04-08,16.530001,16.629999,16.33,16.49,796700,16.49
2016-04-07,16.48,16.719999,16.290001,16.440001,771000,16.440001
2016-04-06,16.42,16.65,16.24,16.620001,530800,16.620001
2016-04-05,16.309999,16.459999,16.219999,16.370001,508700,16.370001
2016-04-04,16.57,16.639999,16.370001,16.43,633300,16.43
2016-04-01,16.610001,16.719999,16.43,16.60,532800,16.60
2016-03-31,16.51,16.809999,16.51,16.77,796200,16.77
2016-03-30,16.41,16.709999,16.41,16.549999,978900,16.549999
2016-03-29,16.139999,16.49,16.01,16.379999,798500,16.379999
2016-03-28,16.40,16.540001,16.309999,16.52,1071700,16.12
2016-03-24,16.389999,16.49,16.200001,16.43,1019500,16.032179
2016-03-23,17.209999,17.280001,16.540001,16.540001,1003100,16.139517
2016-03-22,16.959999,17.200001,16.91,17.190001,1291400,16.773778
2016-03-21,16.940001,17.35,16.940001,17.049999,1884600,16.637166
2016-03-18,16.77,16.969999,16.639999,16.959999,2140400,16.549345
2016-03-17,16.129999,16.790001,16.040001,16.66,1275100,16.25661
2016-03-16,16.09,16.24,15.80,16.10,1164300,15.71017
2016-03-15,16.200001,16.25,15.59,16.09,1641800,15.700412
2016-03-14,16.66,16.940001,16.24,16.290001,1470900,15.89557
2016-03-11,16.01,16.83,15.96,16.77,2181400,16.363947
2016-03-10,15.71,15.93,15.37,15.81,3092000,15.427192
2016-03-09,15.84,16.040001,15.66,15.87,826200,15.485738
2016-03-08,16.42,16.49,15.86,15.88,971400,15.495496
2016-03-07,16.42,16.559999,16.370001,16.450001,1109800,16.051696
2016-03-04,16.50,16.58,16.370001,16.43,989800,16.032179
2016-03-03,16.370001,16.65,16.370001,16.50,779600,16.100484
2016-03-02,16.49,16.549999,15.90,16.370001,1486600,15.973633
2016-03-01,16.50,16.82,16.42,16.790001,856400,16.383463
2016-02-29,16.35,16.58,16.200001,16.40,1097500,16.002905
2016-02-26,16.950001,17.41,16.41,16.41,927300,16.012663
2016-02-25,16.530001,16.969999,16.49,16.879999,1149800,16.471282
2016-02-24,16.190001,16.559999,15.90,16.48,520200,16.080968
2016-02-23,16.27,16.440001,16.15,16.299999,956100,15.905326
2016-02-22,16.139999,16.57,16.139999,16.360001,1352200,15.963875
2016-02-19,15.98,16.209999,15.75,16.00,1358500,15.612591
2016-02-18,15.81,16.08,15.54,16.00,867500,15.612591
2016-02-17,15.84,16.02,15.63,15.77,1080900,15.38816
2016-02-16,15.46,15.88,15.26,15.78,1118900,15.397917
2016-02-12,15.31,15.57,15.19,15.39,722200,15.017361
2016-02-11,15.50,15.62,15.00,15.17,1335600,14.802688
2016-02-10,15.97,16.16,15.73,15.74,1001800,15.358886
2016-02-09,16.110001,16.190001,15.77,15.90,1117100,15.515012
2016-02-08,16.459999,16.57,16.01,16.26,1286300,15.866296
2016-02-05,16.85,16.950001,16.58,16.58,1207600,16.178547
2016-02-04,16.82,17.280001,16.719999,16.950001,2096800,16.539589
2016-02-03,17.059999,17.09,16.73,16.889999,1351200,16.481041
2016-02-02,17.389999,17.42,16.75,16.90,1331500,16.490799
2016-02-01,17.18,17.629999,17.09,17.549999,1133100,17.12506
2016-01-29,16.93,17.35,16.799999,17.23,2160900,16.812808
2016-01-28,16.879999,17.040001,16.52,16.799999,2029900,16.39322
2016-01-27,16.90,17.10,16.559999,16.73,951400,16.324915
2016-01-26,16.209999,17.059999,16.209999,16.950001,1251700,16.539589
2016-01-25,16.84,16.860001,16.110001,16.139999,956500,15.7492
2016-01-22,16.60,17.139999,16.52,16.90,1128500,16.490799
2016-01-21,16.459999,16.93,16.290001,16.35,1198400,15.954117
2016-01-20,16.620001,16.620001,15.56,16.389999,2587800,15.993147
2016-01-19,17.370001,17.370001,16.35,16.860001,2989300,16.451768
2016-01-15,17.200001,17.42,16.75,17.280001,1402000,16.861599
2016-01-14,17.870001,17.969999,17.280001,17.620001,2066000,17.193366
2016-01-13,18.59,18.610001,17.82,17.83,1636700,17.398281
2016-01-12,18.92,18.92,18.32,18.59,1065900,18.139879
2016-01-11,18.82,18.870001,18.68,18.790001,1628400,18.335037
2016-01-08,19.110001,19.309999,18.700001,18.75,1129300,18.296005
2016-01-07,19.299999,19.450001,18.969999,18.969999,700100,18.510677
2016-01-06,19.52,19.809999,19.50,19.60,743000,19.125424
2016-01-05,19.34,19.780001,19.25,19.719999,905000,19.242517
2016-01-04,19.370001,19.51,19.209999,19.27,1110100,18.803414
2015-12-31,19.379999,19.690001,19.280001,19.48,1116700,19.008329
