Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,10.42,10.42,9.17,9.64,525300,9.64
2016-04-18,9.81,10.45,9.70,10.29,391600,10.29
2016-04-15,9.70,10.14,9.61,9.86,345300,9.86
2016-04-14,10.72,11.00,9.95,10.11,880300,9.819999
2016-04-13,10.41,10.72,10.35,10.70,251300,10.393076
2016-04-12,10.03,10.46,10.01,10.33,274900,10.033689
2016-04-11,9.54,10.17,9.54,10.00,272800,9.713155
2016-04-08,9.25,9.48,9.14,9.37,171900,9.101226
2016-04-07,9.03,9.22,9.01,9.11,135800,8.848684
2016-04-06,8.84,9.22,8.74,9.20,163400,8.936102
2016-04-05,8.80,9.04,8.63,8.90,83800,8.644708
2016-04-04,9.03,9.03,8.72,8.85,147400,8.596143
2016-04-01,8.75,8.91,8.50,8.91,167500,8.654421
2016-03-31,8.82,9.10,8.82,8.90,151900,8.644708
2016-03-30,8.88,9.00,8.66,8.91,186400,8.654421
2016-03-29,8.57,8.92,8.50,8.87,115500,8.615568
2016-03-28,9.00,9.04,8.55,8.69,136600,8.440731
2016-03-24,8.58,9.00,8.35,8.94,134800,8.68356
2016-03-23,9.26,9.30,8.55,8.73,185900,8.479584
2016-03-22,9.13,9.19,8.78,9.15,123200,8.887536
2016-03-21,9.37,9.37,9.05,9.11,117100,8.848684
2016-03-18,9.45,9.55,9.08,9.40,330600,9.130365
2016-03-17,8.92,9.50,8.92,9.38,224000,9.11094
2016-03-16,8.52,9.01,8.50,8.97,122300,8.7127
2016-03-15,8.72,8.74,8.37,8.57,147300,8.324174
2016-03-14,8.62,9.01,8.53,8.89,217300,8.634995
2016-03-11,8.31,8.73,8.31,8.72,186800,8.469871
2016-03-10,8.73,8.73,8.01,8.29,174900,8.052205
2016-03-09,8.17,8.52,8.07,8.43,125200,8.18819
2016-03-08,8.99,9.01,8.09,8.22,360700,7.984214
2016-03-07,9.01,9.42,8.83,9.17,265400,8.906963
2016-03-04,9.05,9.42,8.75,9.01,363900,8.751553
2016-03-03,8.36,8.98,8.15,8.93,516000,8.673848
2016-03-02,7.80,8.40,7.62,8.32,415800,8.081345
2016-03-01,7.49,7.72,7.36,7.62,189800,7.401424
2016-02-29,7.34,7.86,7.28,7.43,420600,7.216874
2016-02-26,7.03,7.31,7.03,7.18,176500,6.974045
2016-02-25,6.93,7.15,6.68,7.03,215700,6.828348
2016-02-24,6.74,6.96,6.52,6.94,155000,6.74093
2016-02-23,7.02,7.05,6.77,6.81,179400,6.614659
2016-02-22,6.92,7.19,6.92,7.02,152500,6.818635
2016-02-19,6.95,7.01,6.66,6.91,244600,6.71179
2016-02-18,7.06,7.08,6.85,6.98,231300,6.779782
2016-02-17,7.03,7.25,6.83,7.10,180900,6.89634
2016-02-16,6.85,7.01,6.66,6.83,222400,6.634085
2016-02-12,6.42,6.70,6.34,6.70,195200,6.507814
2016-02-11,6.27,6.34,6.03,6.24,214300,6.061009
2016-02-10,6.40,6.61,6.20,6.48,250800,6.294124
2016-02-09,6.65,6.66,6.34,6.42,313000,6.235846
2016-02-08,7.08,7.14,6.67,6.82,264000,6.624372
2016-02-05,7.42,7.49,7.18,7.22,202800,7.012898
2016-02-04,7.29,7.70,7.26,7.40,188300,7.187735
2016-02-03,7.37,7.37,6.95,7.29,236400,7.08089
2016-02-02,7.18,7.27,6.92,7.21,335600,7.003185
2016-02-01,7.38,7.49,7.05,7.36,310900,7.148882
2016-01-29,8.04,8.25,7.16,7.27,753200,7.061464
2016-01-28,7.04,8.67,6.77,8.13,1042900,7.896795
2016-01-27,6.79,6.98,6.62,6.78,329600,6.585519
2016-01-26,6.67,6.89,6.51,6.72,378000,6.52724
2016-01-25,6.61,6.86,6.50,6.53,434300,6.34269
2016-01-22,6.49,6.70,6.46,6.60,321900,6.410682
2016-01-21,6.38,6.72,6.27,6.40,403200,6.216419
2016-01-20,6.70,6.70,6.01,6.23,445400,6.051296
2016-01-19,6.84,7.04,6.63,6.73,459500,6.536953
2016-01-15,7.45,7.45,6.60,6.93,342800,6.449535
2016-01-14,7.59,7.79,7.26,7.67,399200,7.13823
2016-01-13,7.95,8.02,7.45,7.55,385000,7.02655
2016-01-12,8.23,8.35,7.61,7.81,345100,7.268524
2016-01-11,8.25,8.38,8.10,8.20,249600,7.631484
2016-01-08,8.53,8.65,8.06,8.19,371200,7.622177
2016-01-07,8.88,9.10,8.37,8.50,435900,7.910685
2016-01-06,9.39,9.39,8.93,9.10,352800,8.469087
2016-01-05,9.74,9.74,9.25,9.45,305000,8.79482
2016-01-04,10.24,10.30,9.51,9.62,423100,8.953034
2015-12-31,9.65,10.49,9.62,10.42,458100,9.697569
2015-12-30,9.40,9.70,9.31,9.64,320700,8.971648
2015-12-29,9.86,9.90,9.24,9.38,286700,8.729674
2015-12-28,9.61,10.08,9.60,9.70,486300,9.027487
2015-12-24,9.48,9.66,9.33,9.58,136000,8.915807
2015-12-23,9.10,9.82,9.10,9.48,461600,8.82274
2015-12-22,8.84,9.13,8.84,9.05,465500,8.422553
2015-12-21,8.90,9.15,8.76,8.82,480200,8.208499
2015-12-18,9.12,9.29,8.76,8.85,428100,8.23642
2015-12-17,9.76,9.88,9.20,9.31,226200,8.664527
2015-12-16,9.55,9.94,9.48,9.81,373200,9.129862
2015-12-15,9.77,9.99,9.27,9.46,869500,8.804127
2015-12-14,10.25,10.29,9.50,9.72,346100,9.046101
2015-12-11,10.43,10.49,10.11,10.25,202800,9.539356
2015-12-10,10.79,10.88,10.57,10.59,226900,9.855783
2015-12-09,10.81,11.10,10.65,10.77,206200,10.023304
2015-12-08,10.33,11.08,10.19,10.64,282200,9.902317
2015-12-07,10.66,10.84,10.44,10.47,289000,9.744103
2015-12-04,11.48,11.48,10.89,10.90,247500,10.14429
2015-12-03,11.69,11.92,11.35,11.48,161900,10.684078
2015-12-02,11.86,11.87,11.44,11.61,185900,10.805065
2015-12-01,12.22,12.27,11.80,11.91,226800,11.084266
2015-11-30,12.28,12.45,12.12,12.22,199700,11.372773
2015-11-27,12.15,12.32,12.03,12.30,55800,11.447227
2015-11-25,12.12,12.17,11.83,12.08,175000,11.242479
2015-11-24,11.92,12.24,11.80,12.18,141400,11.335547
2015-11-23,12.13,12.45,11.93,12.05,181000,11.21456
2015-11-20,12.51,12.52,12.19,12.22,98000,11.372773
2015-11-19,12.40,12.56,12.25,12.49,112600,11.624053
2015-11-18,12.61,12.67,12.27,12.47,145600,11.605441
