Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,5.33,5.33,5.22,5.24,121800,5.24
2016-04-18,5.31,5.35,5.30,5.33,72000,5.305
2016-04-15,5.29,5.32,5.26,5.32,53900,5.295047
2016-04-14,5.33,5.35,5.27,5.27,133600,5.245282
2016-04-13,5.34,5.37,5.29,5.35,109800,5.324906
2016-04-12,5.29,5.38,5.29,5.38,74100,5.354766
2016-04-11,5.32,5.32,5.24,5.27,65000,5.245282
2016-04-08,5.31,5.33,5.27,5.32,70200,5.295047
2016-04-07,5.20,5.27,5.20,5.27,64600,5.245282
2016-04-06,5.32,5.39,5.17,5.30,201100,5.275141
2016-04-05,5.20,5.32,5.20,5.32,156400,5.295047
2016-04-04,5.17,5.20,5.16,5.19,99700,5.165657
2016-04-01,5.16,5.20,5.12,5.12,181200,5.095985
2016-03-31,5.10,5.17,5.10,5.14,106500,5.115891
2016-03-30,5.09,5.11,5.08,5.09,101800,5.066126
2016-03-29,5.08,5.13,5.08,5.09,96000,5.066126
2016-03-28,5.10,5.11,5.08,5.08,83100,5.056173
2016-03-24,5.13,5.16,5.13,5.13,31400,5.105938
2016-03-23,5.10,5.16,5.10,5.11,49400,5.086032
2016-03-22,5.13,5.14,5.10,5.11,84400,5.086032
2016-03-21,5.08,5.13,5.08,5.13,34600,5.105938
2016-03-18,5.14,5.14,5.10,5.10,69400,5.076079
2016-03-17,5.16,5.16,5.10,5.12,65500,5.095985
2016-03-16,5.14,5.15,5.10,5.15,42400,5.125844
2016-03-15,5.13,5.14,5.09,5.14,43300,5.115891
2016-03-14,5.15,5.16,5.11,5.14,54200,5.090013
2016-03-11,5.09,5.15,5.09,5.11,65800,5.060305
2016-03-10,5.10,5.13,5.08,5.08,45400,5.030596
2016-03-09,5.11,5.13,5.09,5.10,57300,5.050402
2016-03-08,5.12,5.12,5.07,5.08,107200,5.030596
2016-03-07,5.04,5.14,5.04,5.10,113200,5.050402
2016-03-04,5.11,5.17,5.01,5.04,275100,4.990985
2016-03-03,5.04,5.12,5.04,5.12,74700,5.070207
2016-03-02,5.04,5.12,5.00,5.07,210200,5.020694
2016-03-01,5.01,5.06,4.98,5.01,241800,4.961278
2016-02-29,5.02,5.06,4.95,4.98,112700,4.931569
2016-02-26,5.02,5.04,4.97,4.98,158500,4.931569
2016-02-25,5.05,5.06,5.02,5.02,99900,4.97118
2016-02-24,5.00,5.03,5.00,5.03,123400,4.981083
2016-02-23,4.95,5.00,4.94,5.00,81300,4.951375
2016-02-22,5.03,5.03,4.93,4.95,88100,4.901861
2016-02-19,4.95,5.02,4.93,5.01,108000,4.961278
2016-02-18,4.95,4.99,4.92,4.99,97300,4.941472
2016-02-17,4.96,5.01,4.93,4.94,98500,4.891958
2016-02-16,5.02,5.02,4.92,4.93,104400,4.882055
2016-02-12,5.08,5.13,5.00,5.02,134300,4.946423
2016-02-11,5.08,5.14,5.05,5.06,68000,4.985837
2016-02-10,5.09,5.09,5.06,5.07,71900,4.995691
2016-02-09,5.08,5.12,5.07,5.08,55000,5.005544
2016-02-08,5.11,5.11,5.06,5.10,24300,5.025251
2016-02-05,5.00,5.11,4.97,5.08,228000,5.005544
2016-02-04,5.02,5.03,5.01,5.01,43800,4.93657
2016-02-03,5.05,5.05,5.01,5.02,70300,4.946423
2016-02-02,5.05,5.06,5.00,5.05,71300,4.975984
2016-02-01,5.06,5.08,5.01,5.04,78600,4.96613
2016-01-29,5.02,5.05,5.00,5.03,97100,4.956277
2016-01-28,4.97,5.01,4.95,5.01,58100,4.93657
2016-01-27,4.96,4.99,4.95,4.95,68900,4.877449
2016-01-26,4.95,4.97,4.91,4.97,57900,4.897156
2016-01-25,4.99,4.99,4.92,4.92,51200,4.847889
2016-01-22,4.99,5.00,4.94,4.97,128900,4.897156
2016-01-21,4.93,5.00,4.89,4.99,109100,4.916863
2016-01-20,4.99,4.99,4.84,4.89,128600,4.818328
2016-01-19,5.06,5.06,4.97,4.97,48500,4.897156
