Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,8.35,8.40,8.35,8.40,739200,8.40
2016-04-18,8.28,8.39,8.26,8.33,656100,8.33
2016-04-15,8.25,8.34,8.24,8.31,829600,8.31
2016-04-14,8.34,8.34,8.23,8.25,1438700,8.25
2016-04-13,8.26,8.34,8.24,8.33,1390100,8.33
2016-04-12,8.31,8.39,8.30,8.34,950800,8.34
2016-04-11,8.21,8.33,8.17,8.29,2234800,8.29
2016-04-08,8.14,8.24,8.09,8.16,1480400,8.16
2016-04-07,8.06,8.14,8.06,8.11,981800,8.11
2016-04-06,8.07,8.15,8.05,8.09,908100,8.09
2016-04-05,8.05,8.15,8.04,8.08,901900,8.08
2016-04-04,8.18,8.18,8.07,8.08,871800,8.08
2016-04-01,8.11,8.19,8.07,8.18,1051500,8.18
2016-03-31,8.01,8.17,8.01,8.14,1364400,8.14
2016-03-30,8.13,8.19,8.02,8.03,1382900,8.03
2016-03-29,7.91,8.12,7.85,8.12,1971000,8.12
2016-03-28,7.94,7.99,7.85,7.91,723800,7.91
2016-03-24,7.83,7.96,7.79,7.94,1303800,7.94
2016-03-23,8.03,8.08,7.84,7.87,1728400,7.87
2016-03-22,7.94,8.08,7.93,8.07,2006500,8.07
2016-03-21,7.83,7.97,7.82,7.97,2037600,7.97
2016-03-18,7.86,7.92,7.78,7.84,9169000,7.84
2016-03-17,7.92,8.12,7.88,8.11,2358100,7.85
2016-03-16,7.85,7.92,7.75,7.92,1720100,7.666091
2016-03-15,7.80,7.89,7.73,7.85,2393800,7.598335
2016-03-14,7.85,7.91,7.73,7.83,2548100,7.578976
2016-03-11,8.02,8.05,7.85,8.03,1374600,7.772564
2016-03-10,8.04,8.06,7.81,7.96,1503400,7.704809
2016-03-09,8.06,8.13,7.91,8.01,1509800,7.753206
2016-03-08,8.15,8.17,7.97,8.06,1119600,7.801603
2016-03-07,8.08,8.18,8.08,8.15,976100,7.888717
2016-03-04,8.05,8.15,8.02,8.09,1479400,7.830641
2016-03-03,7.93,8.06,7.93,8.05,962100,7.791924
2016-03-02,7.82,7.94,7.78,7.92,1185100,7.666091
2016-03-01,7.88,7.94,7.78,7.81,1384900,7.559618
2016-02-29,7.80,7.90,7.78,7.84,2168800,7.588656
2016-02-26,7.86,7.95,7.74,7.79,1262200,7.540259
2016-02-25,7.75,7.85,7.71,7.84,1471000,7.588656
2016-02-24,7.74,7.76,7.58,7.72,1072600,7.472503
2016-02-23,7.66,7.80,7.65,7.77,2842400,7.5209
2016-02-22,7.59,7.73,7.57,7.66,1242400,7.414426
2016-02-19,7.49,7.58,7.46,7.54,1171700,7.298274
2016-02-18,7.44,7.54,7.42,7.50,1030900,7.259556
2016-02-17,7.17,7.45,7.13,7.42,2546200,7.182121
2016-02-16,6.94,7.16,6.93,7.13,3582600,6.901418
2016-02-12,6.84,6.86,6.76,6.84,2463800,6.620715
2016-02-11,6.86,7.04,6.77,6.81,2152000,6.591677
2016-02-10,7.00,7.03,6.89,6.89,2779200,6.669112
2016-02-09,7.10,7.18,6.96,6.99,1513200,6.765906
2016-02-08,7.08,7.23,7.04,7.17,2358300,6.940136
2016-02-05,7.17,7.22,7.11,7.11,1113400,6.882059
2016-02-04,7.09,7.26,7.07,7.20,1347800,6.969174
2016-02-03,6.97,7.14,6.95,7.09,2171100,6.8627
2016-02-02,6.78,6.96,6.71,6.95,1742800,6.727188
2016-02-01,6.85,6.89,6.81,6.84,1603700,6.620715
2016-01-29,6.71,6.89,6.71,6.89,2171100,6.669112
2016-01-28,6.60,6.74,6.58,6.70,1389600,6.485203
2016-01-27,6.56,6.64,6.51,6.56,1971000,6.349692
2016-01-26,6.37,6.61,6.37,6.58,2005600,6.36905
2016-01-25,6.52,6.54,6.36,6.37,1486200,6.165783
2016-01-22,6.33,6.57,6.33,6.53,2206700,6.320654
2016-01-21,6.33,6.38,6.23,6.26,1521900,6.05931
2016-01-20,6.21,6.34,5.89,6.27,4292900,6.068989
2016-01-19,6.45,6.46,6.27,6.32,1990700,6.117386
2016-01-15,6.40,6.46,6.22,6.45,2321600,6.243218
2016-01-14,6.62,6.63,6.43,6.56,1960800,6.349692
2016-01-13,6.84,6.88,6.55,6.62,2115500,6.407768
2016-01-12,7.00,7.01,6.81,6.84,1583500,6.620715
2016-01-11,7.01,7.05,6.95,6.96,942200,6.736868
2016-01-08,7.09,7.10,6.99,7.00,1751000,6.775586
2016-01-07,7.17,7.21,7.06,7.08,1634100,6.853021
2016-01-06,7.20,7.32,7.20,7.24,1628300,7.007891
2016-01-05,7.19,7.31,7.15,7.26,1191200,7.02725
2016-01-04,7.11,7.23,7.05,7.17,2067700,6.940136
2015-12-31,7.19,7.25,7.13,7.13,1717800,6.901418
2015-12-30,7.34,7.34,7.18,7.19,1288200,6.959494
2015-12-29,7.34,7.36,7.25,7.30,879900,7.065968
2015-12-28,7.38,7.40,7.28,7.31,1234400,7.075647
2015-12-24,7.39,7.43,7.36,7.39,839000,7.153082
2015-12-23,7.35,7.40,7.32,7.40,1182900,7.162762
2015-12-22,7.21,7.42,7.19,7.34,1714500,7.104686
2015-12-21,7.32,7.33,7.14,7.19,1792300,6.959494
2015-12-18,7.29,7.36,7.21,7.29,5068900,7.056288
2015-12-17,7.54,7.59,7.47,7.57,1736400,7.075648
2015-12-16,7.30,7.54,7.27,7.52,2058800,7.028913
2015-12-15,7.18,7.28,7.11,7.28,1656900,6.804586
2015-12-14,7.16,7.21,7.01,7.15,2554500,6.683075
2015-12-11,7.18,7.24,7.12,7.15,1342500,6.683075
2015-12-10,7.12,7.28,7.12,7.24,1264900,6.767198
2015-12-09,7.16,7.25,7.11,7.12,1928600,6.655034
2015-12-08,7.21,7.27,7.14,7.19,1029600,6.720463
2015-12-07,7.34,7.37,7.23,7.26,1133800,6.785892
2015-12-04,7.36,7.45,7.34,7.36,942300,6.879362
2015-12-03,7.37,7.42,7.32,7.36,1231200,6.879362
2015-12-02,7.55,7.59,7.35,7.38,1430400,6.898055
2015-12-01,7.59,7.65,7.54,7.56,767700,7.0663
2015-11-30,7.58,7.62,7.53,7.58,1025700,7.084994
2015-11-27,7.54,7.63,7.53,7.57,421900,7.075648
2015-11-25,7.64,7.64,7.51,7.55,679700,7.056954
2015-11-24,7.57,7.67,7.56,7.66,1107500,7.15977
2015-11-23,7.56,7.60,7.52,7.60,1380300,7.103688
2015-11-20,7.59,7.59,7.53,7.55,775500,7.056954
2015-11-19,7.54,7.68,7.54,7.56,1297600,7.0663
2015-11-18,7.45,7.55,7.44,7.52,1480600,7.028913
2015-11-17,7.55,7.55,7.45,7.45,874900,6.963484
2015-11-16,7.48,7.56,7.43,7.56,813300,7.0663
2015-11-13,7.47,7.53,7.44,7.48,816600,6.991525
2015-11-12,7.56,7.61,7.44,7.48,1054000,6.991525
2015-11-11,7.59,7.65,7.57,7.58,506800,7.084994
2015-11-10,7.46,7.59,7.46,7.59,915400,7.094342
2015-11-09,7.50,7.55,7.44,7.45,1320300,6.963484
2015-11-06,7.57,7.58,7.45,7.53,1305700,7.03826
2015-11-05,7.72,7.73,7.60,7.63,1243900,7.131729
2015-11-04,7.75,7.78,7.70,7.72,1190800,7.215852
2015-11-03,7.77,7.79,7.72,7.75,1265600,7.243893
2015-11-02,7.71,7.79,7.71,7.78,949300,7.271934
2015-10-30,7.75,7.77,7.69,7.72,1143400,7.215852
2015-10-29,7.82,7.82,7.72,7.75,1053600,7.243893
2015-10-28,7.76,7.85,7.68,7.84,1357200,7.328016
2015-10-27,7.93,7.94,7.72,7.76,1499100,7.25324
2015-10-26,8.05,8.06,7.94,7.95,760700,7.430832
2015-10-23,8.11,8.14,8.04,8.04,1332800,7.514955
2015-10-22,7.99,8.14,7.83,8.10,2676500,7.571037
2015-10-21,7.96,8.00,7.94,7.97,1556500,7.449526
2015-10-20,7.89,7.96,7.85,7.96,873400,7.440179
2015-10-19,7.92,7.95,7.85,7.90,1245800,7.384097
2015-10-16,7.92,7.94,7.88,7.93,788800,7.412138
2015-10-15,7.83,7.93,7.73,7.91,1545300,7.393444
2015-10-14,7.82,7.88,7.79,7.84,1075000,7.328016
2015-10-13,7.84,7.89,7.79,7.81,957400,7.299974
2015-10-12,7.84,7.92,7.82,7.84,839600,7.328016
2015-10-09,7.83,7.88,7.78,7.85,1643000,7.337362
2015-10-08,7.76,7.83,7.70,7.82,1720200,7.309322
2015-10-07,7.68,7.82,7.66,7.76,1812200,7.25324
2015-10-06,7.63,7.72,7.61,7.68,1109600,7.178464
2015-10-05,7.42,7.64,7.39,7.63,1255100,7.131729
2015-10-02,7.33,7.43,7.30,7.41,1737800,6.926096
2015-10-01,7.25,7.35,7.24,7.33,1209900,6.85132
2015-09-30,7.18,7.28,7.05,7.26,2707800,6.785892
