Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,26.35,26.65,26.16,26.58,56000,26.58
2016-04-18,26.15,26.35,26.120001,26.280001,59800,26.280001
2016-04-15,26.309999,26.309999,26.08,26.200001,51500,26.200001
2016-04-14,26.02,26.17,25.969999,26.139999,75100,26.139999
2016-04-13,25.93,26.17,25.93,26.030001,48000,26.030001
2016-04-12,26.17,26.280001,26.040001,26.190001,65600,26.023
2016-04-11,26.280001,26.379999,26.15,26.299999,72900,26.132297
2016-04-08,25.98,26.190001,25.940001,26.17,66500,26.003127
2016-04-07,26.02,26.190001,25.90,26.01,46600,25.844147
2016-04-06,26.27,26.370001,25.969999,26.139999,39200,25.973318
2016-04-05,26.219999,26.440001,25.98,26.02,49500,25.854084
2016-04-04,26.73,26.790001,26.139999,26.17,132600,26.003127
2016-04-01,26.42,26.700001,26.389999,26.700001,50800,26.529748
2016-03-31,26.389999,26.74,26.33,26.60,46800,26.430385
2016-03-30,26.280001,26.34,26.219999,26.25,42300,26.082617
2016-03-29,26.77,26.77,26.219999,26.309999,83100,26.142234
2016-03-28,26.809999,26.809999,26.60,26.67,92600,26.499939
2016-03-24,26.700001,26.709999,26.200001,26.59,70500,26.420449
2016-03-23,26.370001,26.450001,26.219999,26.35,55700,26.181979
2016-03-22,25.799999,26.370001,25.799999,26.18,66000,26.013063
2016-03-21,25.889999,25.98,25.68,25.83,62600,25.665295
2016-03-18,25.77,25.99,25.700001,25.75,77100,25.585805
2016-03-17,26.309999,26.370001,25.84,25.84,111400,25.675231
2016-03-16,26.77,26.77,26.08,26.33,60100,26.162107
2016-03-15,26.65,26.93,26.59,26.75,74100,26.413494
2016-03-14,26.42,26.629999,26.280001,26.629999,71000,26.295002
2016-03-11,26.040001,26.50,25.959999,26.459999,59700,26.127141
2016-03-10,26.139999,26.35,26.030001,26.049999,39000,25.722299
2016-03-09,26.17,26.26,25.91,26.200001,72900,25.870413
2016-03-08,26.25,26.280001,26.18,26.280001,31600,25.949407
2016-03-07,26.32,26.32,25.98,26.09,70900,25.761796
2016-03-04,25.68,26.15,25.66,26.030001,101500,25.702552
2016-03-03,26.26,26.26,25.469999,25.549999,149800,25.228588
2016-03-02,26.190001,26.299999,26.07,26.10,28800,25.771671
2016-03-01,26.200001,26.41,26.059999,26.17,72800,25.84079
2016-02-29,26.450001,26.450001,26.110001,26.290001,54600,25.959281
2016-02-26,26.34,26.34,26.110001,26.209999,32000,25.880286
2016-02-25,26.620001,26.620001,25.93,26.190001,53600,25.860539
2016-02-24,26.15,26.549999,25.950001,26.290001,78200,25.959281
2016-02-23,25.860001,26.10,25.860001,26.10,56400,25.771671
2016-02-22,26.25,26.25,25.75,25.84,77800,25.514941
2016-02-19,26.16,26.309999,26.120001,26.219999,24400,25.89016
2016-02-18,26.00,26.34,25.860001,26.280001,74800,25.949407
2016-02-17,25.74,26.00,25.709999,25.959999,61600,25.633431
2016-02-16,25.90,25.959999,25.52,25.75,101100,25.426073
2016-02-12,26.00,26.040001,25.799999,25.93,41300,25.603809
2016-02-11,25.719999,26.15,25.719999,25.75,132700,25.426073
2016-02-10,25.809999,26.02,25.719999,25.860001,67600,25.53469
2016-02-09,25.870001,26.00,25.780001,25.98,117900,25.488281
2016-02-08,25.870001,25.99,25.700001,25.959999,106700,25.468659
2016-02-05,25.25,26.01,25.25,25.959999,149300,25.468659
2016-02-04,25.25,25.459999,25.190001,25.32,30200,24.840773
2016-02-03,25.48,25.49,25.049999,25.17,73000,24.693613
2016-02-02,25.27,25.49,25.25,25.49,55500,25.007556
2016-02-01,25.18,25.40,25.049999,25.370001,45900,24.889828
2016-01-29,25.280001,25.379999,25.059999,25.110001,81800,24.634749
2016-01-28,25.00,25.309999,24.92,25.120001,65800,24.64456
