Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,9.31,9.34,9.29,9.32,13200,9.32
2016-04-18,9.22,9.41,9.21,9.40,22100,9.40
2016-04-15,9.15,9.19,9.15,9.19,4300,9.19
2016-04-14,9.16,9.16,9.10,9.16,11400,9.16
2016-04-13,9.23,9.23,9.16,9.16,9700,9.16
2016-04-12,9.11,9.19,9.10,9.19,2200,9.136999
2016-04-11,9.15,9.16,9.05,9.14,5000,9.087288
2016-04-08,9.13,9.13,9.03,9.13,4300,9.077346
2016-04-07,9.07,9.07,8.85,8.98,19600,8.92821
2016-04-06,8.95,9.10,8.94,9.10,13800,9.047519
2016-04-05,8.97,8.99,8.89,8.92,7900,8.868557
2016-04-04,9.09,9.09,9.05,9.07,13700,9.017691
2016-04-01,9.05,9.15,9.03,9.08,15200,9.027634
2016-03-31,9.14,9.15,9.09,9.12,3800,9.067403
2016-03-30,9.07,9.18,9.07,9.13,7200,9.077346
2016-03-29,8.90,9.02,8.88,9.00,5400,8.948096
2016-03-28,8.94,8.99,8.85,8.91,22300,8.858614
2016-03-24,8.83,8.96,8.82,8.86,6400,8.808903
2016-03-23,8.96,8.99,8.87,8.87,10900,8.818845
2016-03-22,8.99,9.05,8.90,9.04,140900,8.987865
2016-03-21,8.99,9.00,8.93,8.97,21800,8.918269
2016-03-18,8.95,8.99,8.94,8.96,6800,8.908326
2016-03-17,8.84,8.94,8.84,8.92,4700,8.868557
2016-03-16,8.74,8.83,8.72,8.83,2300,8.779076
2016-03-15,8.73,8.74,8.71,8.74,12000,8.689595
2016-03-14,8.80,8.81,8.75,8.78,10100,8.729364
2016-03-11,8.75,8.85,8.75,8.82,12200,8.769133
2016-03-10,8.67,8.69,8.60,8.68,19900,8.629941
2016-03-09,8.55,8.62,8.55,8.61,27900,8.560344
2016-03-08,8.62,8.64,8.53,8.53,18500,8.428112
2016-03-07,8.61,8.68,8.58,8.66,14000,8.556559
2016-03-04,8.52,8.63,8.52,8.63,5300,8.526918
2016-03-03,8.45,8.50,8.45,8.50,2400,8.39847
2016-03-02,8.33,8.43,8.33,8.43,18300,8.329307
2016-03-01,8.29,8.39,8.29,8.39,13500,8.289785
2016-02-29,8.24,8.30,8.21,8.21,8300,8.111934
2016-02-26,8.25,8.29,8.23,8.24,11500,8.141576
2016-02-25,8.10,8.27,8.09,8.27,7600,8.171218
2016-02-24,7.96,8.09,7.96,8.09,12400,7.993368
2016-02-23,8.09,8.16,8.01,8.03,10700,7.934084
2016-02-22,8.13,8.21,8.12,8.14,53900,8.042771
2016-02-19,8.03,8.10,7.92,8.06,85100,7.963727
2016-02-18,7.95,8.05,7.93,8.04,29500,7.943965
2016-02-17,7.81,7.99,7.81,7.95,15200,7.85504
2016-02-16,7.73,7.85,7.73,7.79,13500,7.696951
2016-02-12,7.72,7.73,7.65,7.73,35200,7.637668
2016-02-11,7.64,7.68,7.58,7.64,20400,7.548743
2016-02-10,7.88,7.90,7.80,7.80,11400,7.654465
2016-02-09,7.81,7.87,7.78,7.85,8900,7.703531
2016-02-08,7.90,7.90,7.79,7.88,22000,7.732972
2016-02-05,8.07,8.10,7.99,7.99,13300,7.840919
2016-02-04,8.13,8.13,8.08,8.08,17200,7.92924
2016-02-03,8.05,8.12,7.97,8.11,14400,7.95868
2016-02-02,8.07,8.10,8.00,8.07,9900,7.919426
2016-02-01,8.18,8.19,8.10,8.15,55100,7.997934
2016-01-29,8.16,8.29,8.09,8.15,36700,7.997934
2016-01-28,8.01,8.11,8.00,8.10,6300,7.948867
2016-01-27,7.97,8.05,7.90,7.91,6600,7.762412
2016-01-26,7.90,8.02,7.88,7.99,10900,7.840919
2016-01-25,7.74,7.87,7.74,7.84,30000,7.693718
2016-01-22,7.68,7.89,7.68,7.85,36100,7.703531
2016-01-21,7.55,7.72,7.55,7.63,21800,7.487637
2016-01-20,7.72,7.72,7.46,7.59,39200,7.448383
2016-01-19,8.00,8.07,7.76,7.76,22300,7.615211
2016-01-15,8.15,8.16,7.95,8.01,25300,7.860546
2016-01-14,8.18,8.35,8.15,8.28,25800,8.125508
2016-01-13,8.44,8.44,8.17,8.18,35800,8.027375
2016-01-12,8.49,8.49,8.39,8.42,28300,8.210885
2016-01-11,8.52,8.52,8.30,8.44,28800,8.230388
2016-01-08,8.60,8.61,8.49,8.52,41000,8.308402
2016-01-07,8.61,8.68,8.55,8.60,56100,8.386415
2016-01-06,8.67,8.77,8.62,8.73,27800,8.513186
2016-01-05,8.68,8.79,8.68,8.71,4500,8.493683
2016-01-04,8.61,8.72,8.61,8.71,31800,8.493683
2015-12-31,8.87,8.92,8.82,8.82,15200,8.600951
2015-12-30,8.92,8.92,8.82,8.86,22500,8.639957
2015-12-29,8.88,8.88,8.83,8.87,9800,8.649709
2015-12-28,8.84,8.86,8.74,8.84,11600,8.620455
2015-12-24,8.84,8.84,8.78,8.82,3200,8.600951
2015-12-23,8.76,8.82,8.76,8.82,11700,8.600951
2015-12-22,8.65,8.70,8.62,8.69,8900,8.474179
2015-12-21,8.71,8.71,8.56,8.61,5100,8.396166
2015-12-18,8.69,8.69,8.57,8.61,20400,8.396166
2015-12-17,8.78,8.80,8.63,8.65,24800,8.435173
2015-12-16,8.55,8.75,8.55,8.73,19700,8.513186
2015-12-15,8.53,8.64,8.53,8.58,34100,8.366912
2015-12-14,8.43,8.51,8.38,8.46,36800,8.249892
2015-12-11,8.56,8.62,8.45,8.48,20900,8.269395
2015-12-10,8.64,8.72,8.62,8.62,11000,8.405918
2015-12-09,8.80,8.82,8.62,8.69,64700,8.474179
2015-12-08,8.82,8.86,8.77,8.86,12400,8.588274
2015-12-07,8.94,8.94,8.81,8.82,5200,8.5495
2015-12-04,8.81,8.96,8.81,8.94,9400,8.66582
2015-12-03,8.98,8.98,8.81,8.81,9200,8.539808
2015-12-02,9.00,9.06,8.94,8.94,14100,8.66582
2015-12-01,8.99,9.04,8.97,9.04,2700,8.762754
2015-11-30,9.02,9.02,8.97,9.00,5800,8.72398
2015-11-27,9.04,9.07,8.98,9.04,12400,8.762754
2015-11-25,8.89,9.00,8.89,8.97,8000,8.694901
2015-11-24,8.86,8.96,8.84,8.94,10200,8.66582
2015-11-23,8.93,8.96,8.91,8.93,4600,8.656127
2015-11-20,8.91,8.98,8.91,8.91,7300,8.63674
2015-11-19,8.93,8.94,8.88,8.91,10100,8.63674
2015-11-18,8.92,8.96,8.89,8.96,13400,8.685207
2015-11-17,8.85,8.89,8.81,8.82,14900,8.5495
2015-11-16,8.80,8.84,8.75,8.84,23700,8.568887
2015-11-13,8.84,8.85,8.75,8.82,32600,8.5495
2015-11-12,8.90,8.91,8.85,8.88,11800,8.607661
2015-11-11,9.09,9.09,8.96,8.99,5100,8.714287
2015-11-10,8.97,9.04,8.95,9.03,8300,8.75306
2015-11-09,9.10,9.12,9.02,9.02,8200,8.691993
2015-11-06,9.10,9.17,9.09,9.15,18000,8.817264
2015-11-05,9.18,9.22,9.18,9.19,3300,8.85581
2015-11-04,9.20,9.24,9.19,9.21,6200,8.875083
2015-11-03,9.22,9.30,9.22,9.27,15500,8.932902
2015-11-02,9.16,9.23,9.10,9.22,17000,8.88472
2015-10-30,9.17,9.17,9.05,9.13,12700,8.797992
2015-10-29,9.12,9.14,9.07,9.11,5000,8.778719
2015-10-28,9.03,9.11,9.01,9.10,41600,8.769083
2015-10-27,9.08,9.11,9.02,9.02,32500,8.691993
2015-10-26,9.20,9.21,9.17,9.17,11400,8.836538
2015-10-23,9.23,9.27,9.20,9.25,4400,8.913628
2015-10-22,9.04,9.16,9.04,9.15,26900,8.817264
2015-10-21,9.02,9.02,8.98,9.00,14300,8.67272
2015-10-20,8.98,9.04,8.94,9.02,24100,8.691993
2015-10-19,8.93,8.98,8.88,8.98,22300,8.653446
2015-10-16,8.94,8.96,8.94,8.95,3800,8.624538
2015-10-15,8.76,8.94,8.76,8.94,9600,8.614901
2015-10-14,8.85,8.88,8.77,8.78,5400,8.460719
2015-10-13,8.87,8.95,8.87,8.89,53000,8.515647
2015-10-12,8.95,8.95,8.89,8.91,5200,8.534805
2015-10-09,8.83,8.92,8.79,8.90,11100,8.525226
2015-10-08,8.70,8.83,8.70,8.83,12400,8.407405
2015-10-07,8.71,8.74,8.67,8.68,5900,8.264585
2015-10-06,8.58,8.65,8.58,8.60,22300,8.188413
2015-10-05,8.45,8.69,8.45,8.57,25900,8.159848
2015-10-02,8.29,8.45,8.26,8.39,4600,7.988464
2015-10-01,8.34,8.39,8.29,8.39,12400,7.988464
2015-09-30,8.35,8.38,8.25,8.37,30900,7.96942
2015-09-29,8.36,8.36,8.25,8.27,11300,7.874207
2015-09-28,8.48,8.50,8.30,8.30,9100,7.902771
2015-09-25,8.68,8.68,8.50,8.50,28500,8.093199
2015-09-24,8.55,8.61,8.50,8.61,12300,8.197934
2015-09-23,8.67,8.67,8.51,8.60,55000,8.188413
2015-09-22,8.67,8.67,8.59,8.65,12900,8.23602
2015-09-21,8.68,8.76,8.68,8.74,13200,8.321713
2015-09-18,8.67,8.75,8.56,8.63,52600,8.216977
2015-09-17,8.78,8.82,8.76,8.76,5700,8.340756
2015-09-16,8.72,8.77,8.70,8.75,5900,8.331234
2015-09-15,8.66,8.75,8.65,8.68,31100,8.264585
2015-09-14,8.71,8.71,8.61,8.62,17600,8.207456
2015-09-11,8.64,8.70,8.64,8.69,1600,8.274105
2015-09-10,8.61,8.72,8.61,8.65,9400,8.23602
2015-09-09,8.84,8.84,8.68,8.68,7200,8.264585
2015-09-08,8.74,8.80,8.73,8.80,10400,8.328378
2015-09-04,8.70,8.70,8.62,8.63,5300,8.167489
2015-09-03,8.77,8.89,8.73,8.75,14700,8.281057
2015-09-02,8.75,8.75,8.67,8.75,13500,8.281057
2015-09-01,8.64,8.70,8.63,8.65,26900,8.186416
2015-08-31,8.83,8.84,8.76,8.84,14900,8.366234
2015-08-28,8.81,8.87,8.79,8.82,22600,8.347305
2015-08-27,8.76,8.84,8.72,8.79,17900,8.318913
2015-08-26,8.61,8.66,8.46,8.63,36400,8.167489
2015-08-25,8.79,8.79,8.46,8.46,24000,8.006599
2015-08-24,8.38,8.76,8.38,8.52,52100,8.063384
2015-08-21,9.04,9.12,8.92,8.92,83900,8.441946
2015-08-20,9.23,9.29,9.13,9.14,69500,8.650156
2015-08-19,9.34,9.37,9.32,9.33,21400,8.829973
2015-08-18,9.41,9.41,9.38,9.38,4800,8.877293
2015-08-17,9.39,9.43,9.36,9.38,17300,8.877293
2015-08-14,9.34,9.41,9.33,9.41,2200,8.905685
2015-08-13,9.31,9.37,9.27,9.30,20700,8.801581
2015-08-12,9.32,9.38,9.24,9.34,43100,8.839437
2015-08-11,9.45,9.49,9.39,9.39,23000,8.836599
2015-08-10,9.50,9.56,9.50,9.51,15000,8.949526
2015-08-07,9.50,9.55,9.49,9.51,5900,8.949526
2015-08-06,9.58,9.58,9.47,9.54,5900,8.977758
2015-08-05,9.59,9.65,9.59,9.65,7300,9.081275
2015-08-04,9.57,9.58,9.55,9.57,7900,9.00599
2015-08-03,9.49,9.60,9.49,9.55,21400,8.987169
