Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,17.66,17.85,17.66,17.83,1993400,17.83
2016-04-18,17.690001,17.83,17.68,17.76,1507300,17.76
2016-04-15,17.40,17.879999,17.35,17.73,4235800,17.73
2016-04-14,17.209999,17.389999,17.209999,17.25,2230600,17.25
2016-04-13,17.459999,17.52,17.200001,17.280001,2111500,17.280001
2016-04-12,17.43,17.540001,17.389999,17.440001,2034000,17.440001
2016-04-11,17.40,17.48,17.35,17.360001,1264200,17.360001
2016-04-08,17.389999,17.52,17.35,17.360001,1898700,17.360001
2016-04-07,17.41,17.469999,17.280001,17.34,1282500,17.34
2016-04-06,17.32,17.51,17.290001,17.469999,1434000,17.469999
2016-04-05,17.50,17.559999,17.379999,17.389999,2369300,17.389999
2016-04-04,17.719999,17.82,17.549999,17.629999,1630000,17.629999
2016-04-01,17.66,17.82,17.610001,17.719999,3307100,17.719999
2016-03-31,17.540001,17.809999,17.50,17.790001,3775000,17.790001
2016-03-30,17.41,17.620001,17.34,17.540001,2981700,17.540001
2016-03-29,17.00,17.370001,16.940001,17.35,2572800,17.35
2016-03-28,16.73,16.99,16.68,16.969999,1233100,16.969999
2016-03-24,16.67,16.709999,16.450001,16.65,2352900,16.65
2016-03-23,16.90,16.950001,16.690001,16.700001,2950300,16.700001
2016-03-22,16.90,16.969999,16.799999,16.860001,1684500,16.860001
2016-03-21,17.15,17.23,16.84,16.91,2949100,16.91
2016-03-18,17.41,17.459999,17.17,17.190001,3250400,17.190001
2016-03-17,17.32,17.540001,17.290001,17.43,5407800,17.43
2016-03-16,17.219999,17.370001,17.07,17.290001,3374500,17.290001
2016-03-15,17.15,17.309999,17.129999,17.299999,1366100,17.299999
2016-03-14,17.24,17.299999,17.17,17.25,1025700,17.25
2016-03-11,17.18,17.280001,17.120001,17.25,2425900,17.25
2016-03-10,17.219999,17.280001,16.77,16.950001,2327300,16.950001
2016-03-09,17.10,17.27,17.030001,17.129999,1263100,17.129999
2016-03-08,17.209999,17.209999,17.02,17.049999,1340600,17.049999
2016-03-07,17.25,17.41,17.18,17.379999,1422800,17.189999
2016-03-04,17.389999,17.49,17.280001,17.370001,1261800,17.18011
2016-03-03,17.25,17.41,17.18,17.379999,1699100,17.189999
