Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,9.37,9.40,9.34,9.37,68800,9.37
2016-04-18,9.19,9.37,9.18,9.35,99300,9.35
2016-04-15,9.19,9.23,9.14,9.21,69100,9.21
2016-04-14,9.22,9.27,9.20,9.26,32700,9.26
2016-04-13,9.15,9.25,9.15,9.25,39400,9.25
2016-04-12,9.14,9.22,9.13,9.21,39100,9.135
2016-04-11,9.12,9.18,9.09,9.14,101800,9.065571
2016-04-08,9.05,9.13,9.04,9.04,46700,8.966384
2016-04-07,9.03,9.07,8.98,9.01,15900,8.936629
2016-04-06,8.95,9.09,8.95,9.09,87600,9.015978
2016-04-05,8.93,8.99,8.91,8.98,84300,8.906873
2016-04-04,9.13,9.13,9.02,9.02,37600,8.946548
2016-04-01,9.05,9.15,9.04,9.14,79000,9.065571
2016-03-31,9.24,9.25,9.15,9.15,57900,9.075488
2016-03-30,9.19,9.25,9.17,9.22,89100,9.144919
2016-03-29,9.06,9.14,9.04,9.14,42500,9.065571
2016-03-28,9.09,9.09,9.01,9.05,57300,8.976303
2016-03-24,9.01,9.08,8.95,9.07,105500,8.99614
2016-03-23,9.10,9.10,9.03,9.06,65300,8.986222
2016-03-22,9.11,9.14,9.08,9.09,79900,9.015978
2016-03-21,9.07,9.14,9.07,9.11,49900,9.035814
2016-03-18,9.09,9.12,9.07,9.09,62500,9.015978
2016-03-17,9.08,9.11,9.07,9.09,66400,9.015978
2016-03-16,9.00,9.07,8.96,9.04,30500,8.966384
2016-03-15,9.05,9.05,8.94,9.00,49800,8.92671
2016-03-14,9.11,9.11,9.02,9.08,28100,9.006059
2016-03-11,8.98,9.11,8.98,9.11,67600,9.035814
2016-03-10,8.95,8.95,8.84,8.89,38000,8.817606
2016-03-09,8.86,8.88,8.82,8.88,12800,8.807688
2016-03-08,8.93,8.94,8.88,8.91,47100,8.763053
2016-03-07,8.89,8.96,8.87,8.93,40600,8.782724
2016-03-04,8.82,8.93,8.82,8.92,33700,8.772889
2016-03-03,8.81,8.83,8.73,8.82,35800,8.674538
2016-03-02,8.69,8.79,8.69,8.79,27600,8.645033
2016-03-01,8.60,8.74,8.55,8.71,46300,8.566352
2016-02-29,8.53,8.60,8.48,8.51,50800,8.369651
2016-02-26,8.56,8.59,8.48,8.53,67900,8.38932
2016-02-25,8.42,8.48,8.38,8.46,36400,8.320475
2016-02-24,8.30,8.43,8.27,8.38,56800,8.241795
2016-02-23,8.45,8.45,8.35,8.38,48600,8.241795
2016-02-22,8.45,8.48,8.43,8.45,51000,8.31064
2016-02-19,8.34,8.41,8.28,8.39,58000,8.25163
2016-02-18,8.35,8.39,8.32,8.36,28900,8.222124
2016-02-17,8.27,8.36,8.27,8.35,44600,8.21229
2016-02-16,8.19,8.26,8.13,8.21,50600,8.074598
2016-02-12,8.04,8.15,8.01,8.15,60900,8.015587
2016-02-11,8.02,8.06,7.95,8.04,97700,7.907402
2016-02-10,8.21,8.29,8.18,8.18,42200,7.97133
2016-02-09,8.22,8.25,8.12,8.22,82700,8.01031
2016-02-08,8.33,8.33,8.20,8.27,76400,8.059035
2016-02-05,8.51,8.51,8.37,8.40,76900,8.185718
2016-02-04,8.46,8.59,8.45,8.53,104900,8.312401
2016-02-03,8.54,8.54,8.40,8.49,90900,8.273422
2016-02-02,8.42,8.52,8.42,8.46,89700,8.244187
2016-02-01,8.55,8.66,8.46,8.65,44500,8.42934
2016-01-29,8.48,8.62,8.46,8.60,59500,8.380616
2016-01-28,8.39,8.46,8.36,8.46,98200,8.244187
2016-01-27,8.40,8.45,8.33,8.34,47400,8.127249
2016-01-26,8.32,8.45,8.30,8.39,83000,8.175973
2016-01-25,8.35,8.36,8.26,8.27,30600,8.059035
2016-01-22,8.23,8.44,8.21,8.36,145500,8.146738
2016-01-21,8.10,8.25,8.08,8.16,110500,7.95184
2016-01-20,8.30,8.30,7.95,8.12,201000,7.912861
2016-01-19,8.49,8.49,8.35,8.41,116100,8.195463
2016-01-15,8.40,8.58,8.30,8.44,192900,8.224697
2016-01-14,8.54,8.65,8.38,8.61,121300,8.390361
2016-01-13,8.76,8.76,8.53,8.56,80900,8.341637
2016-01-12,8.90,8.91,8.74,8.79,72300,8.492682
2016-01-11,8.92,8.92,8.75,8.84,58600,8.540991
2016-01-08,9.04,9.04,8.88,8.91,80800,8.608623
2016-01-07,9.02,9.08,8.93,8.99,84700,8.685917
2016-01-06,9.16,9.25,9.08,9.15,60400,8.840505
2016-01-05,9.22,9.25,9.19,9.24,31000,8.927461
2016-01-04,9.28,9.28,9.04,9.21,96100,8.898476
2015-12-31,9.35,9.37,9.26,9.35,110300,9.033741
2015-12-30,9.34,9.38,9.26,9.33,102700,9.014417
2015-12-29,9.27,9.35,9.25,9.34,79400,9.024079
2015-12-28,9.17,9.26,9.17,9.23,94500,8.917799
2015-12-24,9.31,9.34,9.25,9.25,48900,8.937123
2015-12-23,9.25,9.34,9.25,9.27,78500,8.956447
2015-12-22,9.18,9.23,9.07,9.18,104700,8.869491
2015-12-21,9.21,9.21,9.06,9.12,133700,8.81152
2015-12-18,9.15,9.21,9.10,9.16,124100,8.850167
2015-12-17,9.15,9.22,9.11,9.15,165500,8.840505
2015-12-16,9.02,9.17,9.02,9.16,141900,8.850167
2015-12-15,8.94,9.07,8.94,8.99,151400,8.685917
2015-12-14,8.99,9.02,8.89,8.92,78600,8.618285
2015-12-11,9.13,9.15,9.02,9.02,80500,8.714903
2015-12-10,9.25,9.28,9.21,9.22,69300,8.908138
2015-12-09,9.28,9.32,9.22,9.23,49600,8.917799
2015-12-08,9.37,9.42,9.31,9.33,61000,8.941954
2015-12-07,9.57,9.59,9.47,9.47,45300,9.076131
2015-12-04,9.54,9.63,9.50,9.60,85400,9.200725
2015-12-03,9.67,9.67,9.49,9.53,76200,9.133635
2015-12-02,9.77,9.79,9.62,9.62,85400,9.219892
2015-12-01,9.75,9.81,9.73,9.81,65600,9.40199
2015-11-30,9.72,9.77,9.68,9.72,34900,9.315734
2015-11-27,9.75,9.77,9.67,9.74,16600,9.334901
2015-11-25,9.71,9.76,9.66,9.71,30300,9.306149
2015-11-24,9.67,9.72,9.64,9.72,34800,9.315734
2015-11-23,9.72,9.80,9.72,9.72,25100,9.315734
