Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,23.23,23.42,23.15,23.360001,72000,23.360001
2016-04-18,23.030001,23.209999,23.030001,23.209999,50200,23.209999
2016-04-15,23.059999,23.129999,23.030001,23.049999,58200,23.049999
2016-04-14,23.15,23.18,23.07,23.110001,78600,23.110001
2016-04-13,23.190001,23.290001,23.120001,23.190001,60400,23.190001
2016-04-12,23.190001,23.26,23.15,23.190001,50300,23.190001
2016-04-11,23.190001,23.24,23.139999,23.190001,43800,23.190001
2016-04-08,23.129999,23.15,23.01,23.139999,36400,23.139999
2016-04-07,23.08,23.16,22.98,23.040001,71600,23.040001
2016-04-06,23.48,23.50,23.120001,23.17,109300,23.17
2016-04-05,23.49,23.49,23.290001,23.309999,63100,23.309999
2016-04-04,23.43,23.549999,23.35,23.540001,85500,23.540001
2016-04-01,23.58,23.629999,23.360001,23.50,48800,23.50
2016-03-31,23.620001,23.690001,23.41,23.540001,72700,23.540001
2016-03-30,23.299999,23.65,23.25,23.65,70300,23.65
2016-03-29,23.10,23.24,23.07,23.24,52700,23.24
2016-03-28,23.209999,23.35,22.77,23.18,95300,23.18
2016-03-24,23.15,23.23,22.92,23.219999,84000,23.219999
2016-03-23,23.110001,23.23,23.02,23.129999,42100,23.129999
2016-03-22,23.25,23.299999,23.16,23.18,46100,23.18
2016-03-21,23.25,23.379999,23.110001,23.299999,47000,23.299999
2016-03-18,23.34,23.370001,23.08,23.27,58100,23.11
2016-03-17,23.15,23.370001,23.07,23.299999,56200,23.139793
2016-03-16,22.889999,23.18,22.83,23.15,45900,22.990825
2016-03-15,22.969999,22.969999,22.799999,22.969999,31500,22.812062
2016-03-14,22.799999,23.040001,22.799999,23.00,29800,22.841856
2016-03-11,22.799999,22.98,22.799999,22.799999,61200,22.643231
2016-03-10,22.790001,22.860001,22.690001,22.780001,45300,22.62337
2016-03-09,22.65,22.790001,22.59,22.74,46300,22.583644
2016-03-08,22.57,22.75,22.540001,22.67,33300,22.514125
2016-03-07,22.620001,22.68,22.49,22.540001,68700,22.38502
2016-03-04,22.73,22.73,22.60,22.690001,42600,22.533988
2016-03-03,22.65,22.75,22.60,22.719999,42100,22.563781
2016-03-02,22.68,22.75,22.60,22.639999,62600,22.484331
2016-03-01,22.65,22.75,22.60,22.700001,105700,22.54392
2016-02-29,22.82,22.82,22.629999,22.639999,51600,22.484331
2016-02-26,22.67,22.75,22.58,22.74,37000,22.583644
