Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,25.60,25.940001,25.60,25.83,260000,25.83
2016-04-18,25.280001,25.57,25.280001,25.57,108500,25.57
2016-04-15,25.209999,25.280001,25.15,25.280001,209000,25.280001
2016-04-14,25.15,25.25,25.15,25.209999,139200,25.209999
2016-04-13,25.24,25.290001,25.10,25.16,216900,25.16
2016-04-12,25.059999,25.16,24.98,25.16,328900,25.16
2016-04-11,25.32,25.40,25.040001,25.040001,375100,25.040001
2016-04-08,25.200001,25.290001,25.16,25.27,173300,25.27
2016-04-07,25.23,25.23,25.02,25.07,218300,25.07
2016-04-06,25.200001,25.309999,25.200001,25.290001,145900,25.290001
2016-04-05,25.15,25.209999,25.08,25.17,178500,25.17
2016-04-04,25.23,25.299999,25.10,25.24,197800,25.24
2016-04-01,25.370001,25.42,25.17,25.23,194500,25.23
2016-03-31,25.309999,25.43,25.290001,25.290001,216500,25.290001
2016-03-30,25.360001,25.41,25.32,25.34,152900,25.34
2016-03-29,25.299999,25.389999,25.27,25.360001,207500,25.360001
2016-03-28,25.35,25.379999,25.299999,25.35,247400,25.35
2016-03-24,25.24,25.440001,25.129999,25.32,469700,25.32
2016-03-23,25.700001,25.790001,25.68,25.77,128700,25.267001
2016-03-22,25.90,25.90,25.66,25.700001,187600,25.198368
2016-03-21,25.799999,25.91,25.709999,25.90,109000,25.394463
2016-03-18,25.67,25.74,25.629999,25.690001,94200,25.188563
2016-03-17,25.40,25.74,25.32,25.58,192700,25.080709
2016-03-16,25.50,25.58,25.32,25.469999,228600,24.972856
2016-03-15,25.610001,25.76,25.57,25.59,184900,25.090514
2016-03-14,25.860001,25.889999,25.66,25.690001,113600,25.188563
2016-03-11,25.50,25.950001,25.49,25.74,236600,25.237586
2016-03-10,25.32,25.459999,25.32,25.34,164000,24.845394
2016-03-09,25.24,25.32,25.200001,25.24,393200,24.747345
2016-03-08,25.309999,25.33,25.120001,25.139999,239200,24.649297
2016-03-07,25.25,25.379999,25.209999,25.290001,105200,24.796371
2016-03-04,25.25,25.35,25.200001,25.200001,129100,24.708127
2016-03-03,25.200001,25.299999,25.120001,25.200001,203200,24.708127
2016-03-02,25.190001,25.35,25.10,25.110001,539900,24.619884
2016-03-01,25.35,25.540001,25.049999,25.200001,452900,24.708127
2016-02-29,25.00,25.43,24.99,25.25,221600,24.75715
2016-02-26,24.90,25.00,24.76,25.00,198800,24.51203
2016-02-25,24.719999,24.969999,24.52,24.790001,267800,24.30613
2016-02-24,23.99,24.700001,23.90,24.629999,463200,24.149251
2016-02-23,24.52,24.52,23.90,24.200001,565300,23.727646
2016-02-22,24.90,24.90,24.370001,24.459999,413000,23.982569
2016-02-19,24.639999,24.799999,24.50,24.620001,657500,24.139448
2016-02-18,24.83,24.84,24.639999,24.719999,344100,24.237495
2016-02-17,24.559999,25.129999,24.530001,24.639999,827500,24.159056
