Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,13.39,13.41,13.30,13.35,52000,13.35
2016-04-18,13.36,13.41,13.36,13.39,31500,13.39
2016-04-15,13.30,13.37,13.29,13.37,36900,13.37
2016-04-14,13.33,13.40,13.32,13.33,46400,13.33
2016-04-13,13.39,13.43,13.36,13.43,36500,13.367
2016-04-12,13.43,13.47,13.38,13.39,33500,13.327188
2016-04-11,13.35,13.41,13.08,13.38,36700,13.317234
2016-04-08,13.33,13.42,13.32,13.38,20500,13.317234
2016-04-07,13.26,13.36,13.26,13.36,31400,13.297328
2016-04-06,13.22,13.37,13.18,13.28,26800,13.217703
2016-04-05,13.13,13.25,13.13,13.24,32100,13.177891
2016-04-04,13.13,13.18,13.09,13.09,56500,13.028595
2016-04-01,13.19,13.25,13.11,13.11,66500,13.048501
2016-03-31,13.15,13.25,13.15,13.17,31000,13.10822
2016-03-30,13.14,13.19,13.13,13.16,32500,13.098266
2016-03-29,13.11,13.20,13.11,13.14,38600,13.078361
2016-03-28,13.19,13.19,13.11,13.11,46100,13.048501
2016-03-24,13.24,13.24,13.13,13.19,27100,13.128125
2016-03-23,13.07,13.24,13.07,13.24,61600,13.177891
2016-03-22,13.04,13.11,13.03,13.09,34900,13.028595
2016-03-21,12.97,13.03,12.97,13.02,21200,12.958924
2016-03-18,13.11,13.14,12.96,12.98,47700,12.91911
2016-03-17,13.06,13.10,13.04,13.05,38500,12.988783
2016-03-16,13.01,13.04,12.95,13.02,36900,12.958924
2016-03-15,13.01,13.03,12.94,12.94,21300,12.879298
2016-03-14,12.97,13.00,12.93,13.00,19800,12.939017
2016-03-11,12.95,13.04,12.95,13.02,27100,12.896219
2016-03-10,12.94,12.99,12.93,12.98,30900,12.856599
2016-03-09,13.09,13.15,12.88,12.93,79000,12.807075
2016-03-08,13.07,13.14,13.07,13.07,38300,12.945743
2016-03-07,13.08,13.09,13.02,13.09,40600,12.965554
2016-03-04,13.02,13.11,13.01,13.07,155900,12.945743
