Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,3.49,3.51,3.48,3.50,477800,3.50
2016-04-18,3.48,3.49,3.47,3.49,477900,3.49
2016-04-15,3.44,3.48,3.43,3.48,787700,3.48
2016-04-14,3.45,3.47,3.45,3.46,383700,3.46
2016-04-13,3.46,3.47,3.45,3.46,343000,3.46
2016-04-12,3.48,3.48,3.47,3.47,368400,3.45
2016-04-11,3.46,3.49,3.45,3.49,430000,3.469885
2016-04-08,3.46,3.47,3.44,3.46,238100,3.440058
2016-04-07,3.44,3.45,3.41,3.45,849000,3.430115
2016-04-06,3.45,3.46,3.43,3.44,535100,3.420173
2016-04-05,3.44,3.45,3.42,3.44,336700,3.420173
2016-04-04,3.47,3.47,3.44,3.45,464600,3.430115
2016-04-01,3.47,3.47,3.46,3.46,250900,3.440058
2016-03-31,3.45,3.47,3.45,3.47,420500,3.45
2016-03-30,3.44,3.47,3.43,3.47,494800,3.45
2016-03-29,3.40,3.44,3.40,3.42,379000,3.400288
2016-03-28,3.46,3.46,3.39,3.42,518200,3.400288
2016-03-24,3.49,3.49,3.41,3.45,717400,3.430115
2016-03-23,3.48,3.50,3.46,3.49,667000,3.469885
2016-03-22,3.46,3.48,3.45,3.48,571300,3.459942
2016-03-21,3.47,3.47,3.45,3.46,595100,3.440058
2016-03-18,3.44,3.48,3.44,3.47,590600,3.45
2016-03-17,3.42,3.45,3.42,3.45,737800,3.430115
2016-03-16,3.43,3.44,3.41,3.43,811600,3.410231
2016-03-15,3.42,3.43,3.41,3.43,306100,3.410231
2016-03-14,3.41,3.44,3.40,3.44,492800,3.420173
2016-03-11,3.39,3.43,3.39,3.43,353500,3.410231
2016-03-10,3.42,3.43,3.38,3.40,485500,3.360519
2016-03-09,3.43,3.43,3.40,3.41,478200,3.370403
2016-03-08,3.39,3.43,3.39,3.42,351400,3.380287
2016-03-07,3.41,3.42,3.38,3.38,624300,3.340751
2016-03-04,3.40,3.43,3.39,3.42,574000,3.380287
2016-03-03,3.35,3.41,3.35,3.39,911500,3.350635
2016-03-02,3.35,3.38,3.34,3.36,1276400,3.320983
2016-03-01,3.33,3.37,3.31,3.36,1166400,3.320983
2016-02-29,3.28,3.33,3.28,3.32,553300,3.281448
2016-02-26,3.29,3.31,3.28,3.30,1413500,3.26168
2016-02-25,3.29,3.30,3.26,3.29,756900,3.251796
2016-02-24,3.23,3.29,3.23,3.28,920600,3.241912
2016-02-23,3.25,3.28,3.23,3.26,837700,3.222144
2016-02-22,3.25,3.27,3.23,3.24,526700,3.202377
2016-02-19,3.21,3.23,3.19,3.21,446900,3.172725
2016-02-18,3.20,3.22,3.19,3.19,533100,3.152957
2016-02-17,3.19,3.21,3.18,3.19,1374100,3.152957
2016-02-16,3.17,3.19,3.16,3.18,768700,3.143074
2016-02-12,3.14,3.18,3.14,3.16,931800,3.123306
2016-02-11,3.15,3.17,3.12,3.15,499600,3.113422
2016-02-10,3.17,3.21,3.17,3.20,326500,3.143074
2016-02-09,3.15,3.19,3.15,3.18,526800,3.123429
2016-02-08,3.22,3.24,3.19,3.19,653600,3.133251
2016-02-05,3.25,3.29,3.24,3.26,611100,3.202006
2016-02-04,3.26,3.28,3.24,3.27,350200,3.211828
2016-02-03,3.26,3.29,3.26,3.27,207100,3.211828
2016-02-02,3.28,3.31,3.27,3.27,468800,3.211828
2016-02-01,3.29,3.33,3.27,3.29,587500,3.231472
2016-01-29,3.31,3.32,3.28,3.31,466600,3.251117
2016-01-28,3.24,3.30,3.24,3.30,464900,3.241294
2016-01-27,3.22,3.24,3.21,3.23,391100,3.17254
2016-01-26,3.18,3.25,3.18,3.25,313300,3.192184
2016-01-25,3.16,3.20,3.16,3.19,617300,3.133251
2016-01-22,3.18,3.20,3.15,3.18,1149100,3.123429
2016-01-21,3.18,3.20,3.11,3.15,1781200,3.093963
2016-01-20,3.14,3.16,3.07,3.14,1338500,3.084141
2016-01-19,3.20,3.22,3.16,3.17,1561100,3.113607
2016-01-15,3.15,3.20,3.13,3.20,1239600,3.143074
2016-01-14,3.22,3.24,3.20,3.22,945000,3.162718
2016-01-13,3.29,3.31,3.23,3.23,861800,3.17254
2016-01-12,3.30,3.32,3.28,3.29,557300,3.231472
