Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,16.65,16.68,16.620001,16.65,13500,16.65
2016-04-18,16.549999,16.66,16.549999,16.65,31200,16.65
2016-04-15,16.49,16.58,16.450001,16.58,31000,16.58
2016-04-14,16.15,16.610001,16.10,16.530001,51000,16.530001
2016-04-13,16.030001,16.219999,16.030001,16.219999,53000,16.219999
2016-04-12,15.95,16.02,15.94,16.01,105200,15.940001
2016-04-11,15.92,15.94,15.92,15.93,15900,15.860351
2016-04-08,15.86,15.92,15.83,15.90,70400,15.830481
2016-04-07,15.80,15.83,15.80,15.80,21900,15.730919
2016-04-06,15.80,15.88,15.80,15.81,19700,15.740875
2016-04-05,15.81,15.83,15.77,15.80,36400,15.730919
2016-04-04,15.83,15.91,15.78,15.78,25000,15.711006
2016-04-01,15.84,15.90,15.83,15.86,28200,15.790656
2016-03-31,15.72,15.80,15.70,15.80,33900,15.730919
2016-03-30,15.60,15.68,15.57,15.68,20900,15.611444
2016-03-29,15.56,15.60,15.55,15.58,11800,15.51188
2016-03-28,15.55,15.56,15.51,15.56,10600,15.491968
2016-03-24,15.54,15.56,15.48,15.50,16500,15.43223
2016-03-23,15.56,15.56,15.50,15.51,13100,15.442187
2016-03-22,15.49,15.55,15.49,15.51,10300,15.442187
2016-03-21,15.53,15.53,15.49,15.50,17000,15.43223
2016-03-18,15.50,15.54,15.48,15.48,17900,15.412317
2016-03-17,15.48,15.55,15.40,15.48,25000,15.412317
2016-03-16,15.47,15.47,15.43,15.46,16200,15.392405
2016-03-15,15.47,15.47,15.41,15.45,13700,15.382449
2016-03-14,15.42,15.45,15.41,15.42,13100,15.35258
2016-03-11,15.34,15.43,15.34,15.34,14000,15.27293
2016-03-10,15.45,15.47,15.44,15.46,27300,15.322711
2016-03-09,15.49,15.50,15.42,15.42,25500,15.283067
2016-03-08,15.48,15.50,15.45,15.50,44500,15.362356
2016-03-07,15.54,15.54,15.46,15.50,35900,15.362356
2016-03-04,15.47,15.64,15.44,15.53,53300,15.392089
2016-03-03,15.40,15.49,15.36,15.49,11400,15.352445
2016-03-02,15.35,15.38,15.31,15.36,18300,15.223599
2016-03-01,15.30,15.36,15.25,15.36,28700,15.223599
2016-02-29,15.24,15.27,15.19,15.27,18300,15.134399
2016-02-26,15.26,15.28,15.20,15.20,22000,15.06502
2016-02-25,15.29,15.29,15.25,15.26,23200,15.124487
2016-02-24,15.24,15.29,15.24,15.27,16200,15.134399
2016-02-23,15.19,15.25,15.15,15.25,23300,15.114576
2016-02-22,15.28,15.28,15.16,15.16,18700,15.025375
2016-02-19,15.21,15.25,15.16,15.25,23000,15.114576
2016-02-18,15.30,15.30,15.17,15.23,17100,15.094753
2016-02-17,15.27,15.28,15.20,15.25,14200,15.114576
2016-02-16,15.40,15.40,15.25,15.25,21300,15.114576
2016-02-12,15.39,15.44,15.38,15.42,31200,15.283067
2016-02-11,15.44,15.44,15.36,15.36,22300,15.223599
2016-02-10,15.50,15.52,15.44,15.48,14900,15.273154
2016-02-09,15.44,15.46,15.39,15.46,19600,15.253422
2016-02-08,15.40,15.44,15.40,15.44,10900,15.233689
2016-02-05,15.35,15.47,15.35,15.41,18700,15.20409
2016-02-04,15.37,15.39,15.34,15.38,23900,15.174491
2016-02-03,15.36,15.43,15.29,15.34,29400,15.135025
2016-02-02,15.24,15.34,15.24,15.31,28100,15.105427
2016-02-01,15.14,15.25,15.14,15.21,27500,15.006762
2016-01-29,15.11,15.16,15.10,15.13,16400,14.927831
2016-01-28,15.03,15.09,15.02,15.09,7000,14.888366
2016-01-27,14.98,15.06,14.96,15.00,15900,14.799568
2016-01-26,14.91,15.02,14.91,15.02,20200,14.819302
2016-01-25,14.96,15.00,14.92,14.92,20600,14.720637
2016-01-22,14.93,15.03,14.93,14.96,21400,14.760103
2016-01-21,14.89,14.98,14.83,14.94,11900,14.74037
2016-01-20,15.01,15.02,14.82,14.84,20300,14.641706
2016-01-19,15.04,15.12,15.01,15.01,12000,14.809435
2016-01-15,15.01,15.14,15.01,15.05,17000,14.8489
2016-01-14,15.10,15.10,15.02,15.09,15200,14.888366
2016-01-13,15.25,15.25,15.08,15.10,13600,14.898233
2016-01-12,15.19,15.25,15.18,15.25,26400,14.977163
2016-01-11,15.24,15.29,15.18,15.22,18200,14.9477
2016-01-08,15.28,15.28,15.25,15.25,7800,14.977163
2016-01-07,15.24,15.32,15.24,15.30,20800,15.026269
2016-01-06,15.16,15.26,15.16,15.23,26100,14.957521
2016-01-05,15.13,15.27,15.11,15.19,38900,14.918236
2016-01-04,15.14,15.15,15.08,15.14,14600,14.869132
2015-12-31,15.07,15.14,15.05,15.11,12300,14.839668
2015-12-30,14.95,15.03,14.89,15.03,28700,14.761099
2015-12-29,14.98,15.08,14.94,14.96,24900,14.692352
2015-12-28,14.97,15.05,14.96,15.05,13800,14.743422
2015-12-24,14.89,15.00,14.89,15.00,6400,14.69444
2015-12-23,15.00,15.08,14.87,14.93,28400,14.625866
2015-12-22,15.01,15.03,14.91,14.98,17100,14.674847
2015-12-21,14.87,15.01,14.86,14.98,37400,14.674847
2015-12-18,14.89,14.95,14.83,14.92,20600,14.61607
2015-12-17,14.78,14.90,14.78,14.84,22500,14.5377
2015-12-16,14.67,14.80,14.67,14.73,17100,14.42994
2015-12-15,14.73,14.75,14.61,14.68,32800,14.380959
2015-12-14,14.83,14.83,14.56,14.74,32100,14.439736
2015-12-11,14.78,14.93,14.77,14.84,34100,14.5377
2015-12-10,14.86,14.96,14.84,14.86,27200,14.488718
2015-12-09,14.90,14.91,14.87,14.88,8900,14.508219
2015-12-08,14.83,14.93,14.83,14.87,20500,14.498468
2015-12-07,14.88,14.91,14.83,14.83,8900,14.459468
2015-12-04,14.80,14.92,14.80,14.83,10100,14.459468
2015-12-03,14.93,14.93,14.80,14.81,14500,14.439968
2015-12-02,14.94,14.95,14.89,14.90,7600,14.527718
2015-12-01,14.93,14.97,14.89,14.94,15200,14.566719
2015-11-30,14.93,14.98,14.88,14.88,12200,14.508219
2015-11-27,14.92,15.01,14.92,14.99,3600,14.61547
2015-11-25,14.90,15.07,14.90,14.90,19300,14.527718
2015-11-24,15.01,15.01,14.88,14.89,13700,14.517969
2015-11-23,15.00,15.00,14.96,14.96,9600,14.58622
2015-11-20,14.91,14.99,14.91,14.99,5600,14.61547
2015-11-19,14.91,14.95,14.90,14.90,4700,14.527718
2015-11-18,14.90,14.95,14.88,14.91,3600,14.537469
2015-11-17,14.90,14.90,14.87,14.89,4300,14.517969
2015-11-16,14.89,14.95,14.89,14.95,4600,14.576469
2015-11-13,14.80,14.94,14.78,14.89,10300,14.517969
2015-11-12,14.88,14.95,14.88,14.88,8200,14.508219
2015-11-11,14.95,14.98,14.89,14.90,1500,14.459467
2015-11-10,14.90,14.95,14.90,14.95,3600,14.507989
2015-11-09,15.10,15.10,14.92,14.95,13000,14.507989
2015-11-06,15.23,15.23,15.08,15.18,5100,14.731189
2015-11-05,15.24,15.25,15.19,15.24,7000,14.789415
2015-11-04,15.22,15.25,15.18,15.25,13300,14.79912
2015-11-03,15.30,15.30,15.23,15.27,14000,14.818529
2015-11-02,15.19,15.31,15.16,15.30,23200,14.847641
2015-10-30,15.17,15.17,15.11,15.13,11000,14.682668
2015-10-29,15.06,15.13,15.06,15.11,5400,14.663258
2015-10-28,15.03,15.14,15.03,15.09,11000,14.64385
2015-10-27,15.01,15.09,15.00,15.08,9400,14.634146
2015-10-26,15.03,15.04,15.01,15.04,10400,14.595328
2015-10-23,14.93,15.08,14.93,15.00,8400,14.556511
2015-10-22,14.95,14.99,14.95,14.98,5500,14.537102
2015-10-21,14.99,14.99,14.95,14.98,18600,14.537102
2015-10-20,14.86,14.99,14.82,14.98,10900,14.537102
2015-10-19,14.93,15.00,14.81,14.81,6900,14.372129
2015-10-16,14.84,14.99,14.84,14.86,10600,14.42065
2015-10-15,14.79,15.00,14.79,14.81,3100,14.372129
2015-10-14,14.76,14.95,14.76,14.83,9600,14.391537
2015-10-13,14.74,14.92,14.71,14.78,7700,14.343015
2015-10-12,14.71,14.88,14.68,14.88,13300,14.372128
2015-10-09,14.74,14.80,14.69,14.75,25300,14.246565
2015-10-08,14.74,14.80,14.68,14.79,12200,14.2852
