Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,12.32,12.32,12.23,12.28,14300,12.28
2016-04-18,12.31,12.33,12.20,12.27,23400,12.27
2016-04-15,12.32,12.40,12.29,12.31,15900,12.31
2016-04-14,12.33,12.40,12.23,12.27,9400,12.27
2016-04-13,12.15,12.33,12.15,12.32,47200,12.32
2016-04-12,12.00,12.17,11.94,12.10,48500,12.10
2016-04-11,11.80,12.00,11.80,11.98,37400,11.98
2016-04-08,11.84,11.93,11.75,11.77,16700,11.77
2016-04-07,11.76,11.84,11.72,11.79,27400,11.79
2016-04-06,11.83,11.89,11.80,11.81,13700,11.81
2016-04-05,11.86,11.93,11.80,11.86,12600,11.86
2016-04-04,11.89,11.95,11.80,11.83,26700,11.83
2016-04-01,11.84,12.00,11.84,11.92,12800,11.92
2016-03-31,11.90,11.99,11.82,11.97,29400,11.97
2016-03-30,11.95,12.08,11.90,11.90,20000,11.90
2016-03-29,11.72,12.00,11.60,11.94,37000,11.94
2016-03-28,12.20,12.23,12.02,12.16,63500,11.71
2016-03-24,12.04,12.19,11.92,12.15,54800,11.70037
2016-03-23,12.29,12.33,12.06,12.06,44200,11.613701
2016-03-22,12.19,12.34,12.16,12.30,43600,11.84482
2016-03-21,12.24,12.32,12.18,12.19,26800,11.73889
2016-03-18,12.23,12.33,12.12,12.19,63200,11.73889
2016-03-17,12.04,12.26,12.04,12.22,68100,11.76778
2016-03-16,12.00,12.12,11.97,12.00,55200,11.555921
2016-03-15,12.12,12.17,11.95,12.00,43100,11.555921
2016-03-14,12.28,12.35,12.16,12.17,30700,11.71963
2016-03-11,12.17,12.35,12.12,12.35,30400,11.892969
2016-03-10,12.36,12.36,12.02,12.06,49900,11.613701
2016-03-09,12.30,12.46,12.16,12.31,26700,11.85445
2016-03-08,12.44,12.47,12.17,12.28,26700,11.825559
2016-03-07,12.53,12.61,12.43,12.45,18900,11.989268
2016-03-04,12.42,12.74,12.41,12.49,32300,12.027788
2016-03-03,12.23,12.56,12.22,12.45,30000,11.989268
2016-03-02,12.10,12.24,12.09,12.18,14000,11.72926
2016-03-01,12.14,12.18,12.00,12.11,19500,11.66185
2016-02-29,12.06,12.16,11.99,12.08,16100,11.632961
2016-02-26,11.94,12.22,11.91,12.01,24600,11.565551
2016-02-25,11.82,11.94,11.80,11.92,8900,11.478882
2016-02-24,11.59,11.80,11.35,11.77,26400,11.334433
2016-02-23,11.72,11.84,11.70,11.71,18400,11.276653
2016-02-22,11.72,11.82,11.61,11.69,24200,11.257393
2016-02-19,11.79,11.82,11.62,11.66,19400,11.228503
2016-02-18,11.82,11.89,11.71,11.79,20800,11.353693
2016-02-17,11.53,11.80,11.53,11.80,18100,11.363323
2016-02-16,11.30,11.56,11.23,11.40,18300,10.978125
2016-02-12,10.90,11.25,10.90,11.18,36400,10.766267
2016-02-11,10.78,11.03,10.60,10.83,39400,10.429219
2016-02-10,10.87,11.07,10.78,10.92,16200,10.515888
2016-02-09,11.07,11.12,10.71,10.89,45500,10.486999
2016-02-08,11.41,11.41,11.01,11.13,61200,10.718117
2016-02-05,11.50,11.55,11.33,11.47,20600,11.045535
2016-02-04,11.50,11.71,11.46,11.52,28400,11.093685
2016-02-03,11.44,11.69,11.38,11.49,26700,11.064794
2016-02-02,11.38,11.47,11.18,11.45,23000,11.026275
2016-02-01,11.43,11.50,11.34,11.42,18500,10.997385
2016-01-29,11.04,11.50,11.04,11.46,77200,11.035905
2016-01-28,10.97,11.21,10.94,10.99,36300,10.583298
2016-01-27,10.95,11.13,10.80,10.87,27000,10.467739
2016-01-26,10.53,10.96,10.53,10.95,48300,10.544778
2016-01-25,10.76,10.79,10.45,10.51,22800,10.121061
2016-01-22,10.46,10.85,10.35,10.76,42000,10.36181
2016-01-21,10.17,10.49,9.95,10.30,40200,9.918833
2016-01-20,10.34,10.34,9.57,10.13,104100,9.755124
2016-01-19,10.90,10.90,10.39,10.47,53400,10.082542
2016-01-15,10.94,11.03,10.58,10.77,59200,10.37144
2016-01-14,11.15,11.28,10.84,11.15,39200,10.737377
2016-01-13,11.62,11.69,11.15,11.23,60000,10.814416
2016-01-12,12.08,12.08,11.58,11.79,40300,11.353693
2016-01-11,12.03,12.09,11.70,12.04,91000,11.594441
2016-01-08,12.11,12.15,11.81,12.01,36500,11.565551
2016-01-07,12.32,12.58,12.04,12.04,163700,11.594441
2016-01-06,12.21,12.90,12.12,12.28,283200,11.825559
2016-01-05,12.19,12.40,12.19,12.40,35000,11.941118
2016-01-04,12.10,12.32,12.10,12.26,23100,11.8063
2015-12-31,12.08,12.45,11.86,12.35,264900,11.892969
2015-12-30,12.11,12.22,12.02,12.06,56800,11.613701
2015-12-29,12.44,12.44,12.15,12.21,85800,11.75815
2015-12-28,12.80,12.88,12.75,12.83,33900,11.921858
2015-12-24,13.09,13.09,12.84,12.88,7800,11.968319
2015-12-23,13.30,13.30,12.92,13.04,38300,12.116994
2015-12-22,12.75,13.26,12.75,13.06,171700,12.135579
2015-12-21,12.90,12.90,12.57,12.75,44200,11.847521
2015-12-18,12.59,12.88,12.59,12.83,55600,11.921858
2015-12-17,12.34,12.60,12.31,12.53,66500,11.643093
2015-12-16,11.65,12.33,11.65,12.27,68600,11.401497
2015-12-15,11.36,11.69,11.36,11.66,21400,10.834674
2015-12-14,11.87,11.99,11.32,11.39,67300,10.583786
2015-12-11,12.16,12.28,11.87,11.94,38500,11.094855
2015-12-10,12.30,12.43,12.30,12.34,31800,11.466542
2015-12-09,12.43,12.48,12.30,12.32,25000,11.447957
2015-12-08,12.66,12.70,12.39,12.40,34800,11.522295
2015-12-07,12.73,12.85,12.71,12.75,31900,11.847521
2015-12-04,12.73,12.92,12.69,12.73,29300,11.828936
2015-12-03,12.92,13.01,12.71,12.74,43800,11.838229
2015-12-02,13.20,13.23,12.92,12.98,39500,12.061241
2015-12-01,13.38,13.38,13.20,13.24,26700,12.302837
2015-11-30,13.37,13.44,13.23,13.26,22200,12.321422
2015-11-27,13.12,13.32,13.12,13.32,10700,12.377175
2015-11-25,13.10,13.25,13.06,13.19,18600,12.256376
2015-11-24,13.03,13.21,13.00,13.14,16300,12.209916
2015-11-23,13.02,13.15,13.00,13.10,15600,12.172747
2015-11-20,13.19,13.23,13.05,13.06,25700,12.135579
2015-11-19,13.09,13.28,13.05,13.19,44500,12.256376
2015-11-18,13.06,13.09,12.96,13.04,18400,12.116994
2015-11-17,12.95,13.04,12.90,12.96,22200,12.042657
2015-11-16,12.83,13.05,12.77,13.05,22900,12.126286
2015-11-13,12.95,12.96,12.82,12.83,31000,11.921858
2015-11-12,13.05,13.19,12.89,12.89,33100,11.977612
2015-11-11,13.23,13.23,13.03,13.06,29700,12.135579
2015-11-10,12.98,13.37,12.82,13.15,70500,12.219208
2015-11-09,12.47,12.94,12.47,12.92,85000,12.005488
2015-11-06,12.43,12.68,12.15,12.54,124900,11.652385
2015-11-05,12.43,12.56,12.31,12.35,33800,11.475834
2015-11-04,12.51,12.78,12.48,12.60,49600,11.708139
2015-11-03,12.44,12.54,12.43,12.51,14000,11.624509
2015-11-02,12.25,12.47,12.24,12.44,32200,11.559463
2015-10-30,12.30,12.40,12.21,12.23,17100,11.364328
2015-10-29,12.50,12.51,12.34,12.35,21800,11.475834
2015-10-28,12.56,12.59,12.35,12.59,46800,11.698846
2015-10-27,12.82,12.82,12.40,12.53,44400,11.643093
2015-10-26,12.89,12.97,12.78,12.78,20600,11.875397
2015-10-23,12.98,13.00,12.85,13.00,53300,12.079825
2015-10-22,13.03,13.09,12.97,13.02,9500,12.09841
2015-10-21,12.96,13.08,12.76,13.02,42900,12.09841
2015-10-20,12.87,13.03,12.82,13.00,32800,12.079825
2015-10-19,13.00,13.00,12.75,12.90,19400,11.986903
2015-10-16,12.90,12.90,12.82,12.90,16200,11.986903
