Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,19.690001,20.040001,19.60,19.940001,190400,19.940001
2016-04-18,19.32,19.85,19.24,19.709999,187900,19.709999
2016-04-15,19.799999,19.90,19.51,19.530001,178800,19.530001
2016-04-14,20.01,20.129999,19.85,19.91,130200,19.91
2016-04-13,19.91,20.08,19.82,20.08,150300,20.08
2016-04-12,20.10,20.440001,20.01,20.02,187600,19.845
2016-04-11,20.26,20.450001,20.110001,20.110001,142500,19.934214
2016-04-08,20.950001,20.950001,20.25,20.26,224500,20.082902
2016-04-07,21.33,21.48,20.84,20.870001,184600,20.687571
2016-04-06,20.00,21.549999,20.00,21.50,419600,21.312063
2016-04-05,19.860001,20.209999,19.00,19.950001,568000,19.775613
2016-04-04,20.299999,20.379999,19.940001,19.950001,130000,19.775613
2016-04-01,19.459999,20.32,19.440001,20.299999,178200,20.122552
2016-03-31,19.90,20.01,19.389999,19.549999,335800,19.379108
2016-03-30,20.00,20.209999,19.709999,19.92,109100,19.745874
2016-03-29,19.50,20.120001,19.389999,19.99,109600,19.815262
2016-03-28,19.610001,19.84,19.42,19.48,147400,19.30972
2016-03-24,19.59,19.68,19.25,19.60,135200,19.428672
2016-03-23,20.620001,20.620001,19.65,19.67,230900,19.498059
2016-03-22,20.16,20.700001,20.16,20.66,116000,20.479405
2016-03-21,20.23,20.440001,20.139999,20.41,218200,20.231591
2016-03-18,20.60,20.65,19.940001,20.23,355900,20.053164
2016-03-17,20.76,20.879999,20.33,20.50,223400,20.320804
2016-03-16,20.65,20.879999,20.51,20.76,180800,20.578532
2016-03-15,20.68,20.860001,20.51,20.709999,194900,20.528968
2016-03-14,20.139999,20.90,20.049999,20.690001,265500,20.509144
2016-03-11,19.940001,20.25,19.91,20.139999,101100,19.96395
2016-03-10,19.879999,20.030001,19.709999,19.82,70700,19.646748
2016-03-09,19.52,19.92,19.52,19.870001,182100,19.696312
2016-03-08,19.75,19.75,19.469999,19.49,190100,19.319633
2016-03-07,19.58,19.879999,19.58,19.76,140000,19.587273
2016-03-04,19.610001,19.68,19.41,19.58,149200,19.408846
2016-03-03,19.68,19.85,19.459999,19.65,196100,19.478234
2016-03-02,19.719999,20.200001,19.719999,19.799999,142600,19.626922
2016-03-01,19.83,19.92,19.59,19.82,119000,19.646748
2016-02-29,19.450001,19.92,19.450001,19.74,193500,19.567447
2016-02-26,19.83,19.83,19.35,19.450001,100000,19.279983
2016-02-25,19.52,19.90,19.43,19.809999,169200,19.636835
2016-02-24,19.139999,19.440001,19.02,19.42,90600,19.250245
2016-02-23,19.07,20.00,18.889999,19.299999,236800,19.131293
2016-02-22,18.83,19.16,18.82,19.07,168200,18.903304
2016-02-19,18.90,19.129999,18.530001,18.68,128700,18.516714
2016-02-18,18.90,19.35,18.879999,18.950001,76800,18.784354
2016-02-17,18.93,19.360001,18.85,18.92,102000,18.754615
2016-02-16,18.75,18.940001,18.620001,18.809999,93200,18.645576
2016-02-12,18.48,18.639999,18.33,18.52,137700,18.358112
2016-02-11,18.27,18.549999,18.00,18.309999,104800,18.149947
2016-02-10,18.639999,18.83,18.48,18.48,83200,18.318461
2016-02-09,18.620001,18.76,18.389999,18.49,88800,18.328374
2016-02-08,18.50,18.889999,18.309999,18.780001,110000,18.61584
2016-02-05,19.059999,19.16,18.57,18.57,177700,18.407675
2016-02-04,19.60,19.82,18.98,19.059999,127300,18.893391
2016-02-03,20.10,20.200001,19.60,19.709999,115800,19.537709
2016-02-02,19.82,20.110001,19.74,20.01,92200,19.835088
2016-02-01,19.719999,20.08,19.610001,19.940001,134300,19.7657
2016-01-29,19.74,19.99,19.68,19.969999,203100,19.795436
