Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,25.200001,25.200001,25.190001,25.190001,300,25.190001
2016-04-18,25.10,25.10,25.10,25.10,000,25.10
2016-04-15,25.10,25.121,25.09,25.10,7500,25.10
2016-04-14,25.280001,25.280001,25.280001,25.280001,000,25.280001
2016-04-13,25.201,25.280001,25.190001,25.280001,3200,25.280001
2016-04-12,25.00,25.24,25.00,25.24,2700,25.24
2016-04-11,24.98,25.120001,24.85,25.00,3800,25.00
2016-04-08,24.823,24.916,24.799999,24.84,4100,24.84
2016-04-07,24.799999,24.799999,24.74,24.780001,3000,24.780001
2016-04-06,24.75,24.879999,24.700001,24.799999,3800,24.799999
2016-04-05,24.799999,24.799999,24.48,24.73,2000,24.73
2016-04-04,24.775999,24.775999,24.481001,24.74,2700,24.74
2016-04-01,24.42,24.60,24.40,24.552,3900,24.552
2016-03-31,24.120001,24.549999,24.120001,24.52,16600,24.52
2016-03-30,24.25,24.49,24.08,24.49,4300,24.49
2016-03-29,24.030001,24.450001,24.00,24.440001,16600,24.440001
2016-03-28,23.959999,24.049999,23.889999,24.049999,9800,24.049999
2016-03-24,24.00,24.00,23.879999,23.950001,12300,23.950001
2016-03-23,24.50,24.50,23.98,23.98,12100,23.98
2016-03-22,24.25,24.459999,24.25,24.459999,700,24.459999
2016-03-21,24.50,24.50,24.459999,24.459999,1000,24.459999
2016-03-18,24.01,24.139999,23.959999,24.139999,1400,24.139999
2016-03-17,24.200001,24.200001,23.99,24.00,3700,24.00
2016-03-16,24.00,24.129999,24.00,24.040001,4900,24.040001
2016-03-15,24.18,24.18,23.903999,24.00,71800,24.00
2016-03-14,24.139999,24.329,24.030001,24.030001,5300,24.030001
2016-03-11,23.84,24.389999,23.84,24.34,900,24.34
2016-03-10,24.049999,24.549999,24.00,24.549999,11900,24.549999
2016-03-09,24.10,24.166,24.00,24.110001,4300,24.110001
2016-03-08,24.15,24.15,24.02,24.02,16700,24.02
2016-03-07,24.219,24.32,24.042,24.129999,12200,24.129999
2016-03-04,24.09,24.190001,24.049999,24.049999,5300,24.049999
2016-03-03,24.25,24.25,24.030001,24.09,3300,24.09
2016-03-02,24.24,24.25,24.10,24.188999,3300,24.188999
2016-03-01,24.24,24.24,24.24,24.24,000,24.24
2016-02-29,24.40,24.450001,24.24,24.24,2200,24.24
2016-02-26,24.299999,24.299999,24.200001,24.219999,1400,24.219999
2016-02-25,24.360001,24.360001,24.325001,24.325001,300,24.325001
2016-02-24,24.32,24.32,23.860001,24.274,1500,24.274
2016-02-23,23.830999,24.35,23.830999,24.299999,21300,24.299999
2016-02-22,23.84,24.299999,23.809999,24.299999,1300,24.299999
2016-02-19,24.312,24.312,24.17,24.280001,1700,24.280001
2016-02-18,24.379999,24.379999,24.309999,24.309999,900,24.309999
2016-02-17,24.290001,24.290001,24.290001,24.290001,200,24.290001
2016-02-16,24.084999,24.084999,24.084999,24.084999,000,24.084999
2016-02-12,24.084999,24.084999,24.084999,24.084999,000,24.084999
2016-02-11,23.91,24.084999,23.90,24.084999,700,24.084999
2016-02-10,23.556,23.82,23.549999,23.82,1500,23.82
2016-02-09,24.139999,24.139999,23.530001,23.530001,800,23.530001
2016-02-08,23.309999,23.479,23.309999,23.417,1300,23.417
2016-02-05,23.392,23.392,23.35,23.370001,3400,23.370001
2016-02-04,23.75,24.00,23.09,23.09,4600,23.09
2016-02-03,24.040001,24.040001,23.122,23.74,12900,23.74
2016-02-02,24.639999,24.639999,24.639999,24.639999,1000,24.639999
2016-02-01,24.719999,24.75,24.719999,24.75,200,24.75
2016-01-29,24.462,24.693001,23.90,24.35,2900,24.35
2016-01-28,23.50,24.639999,23.450001,24.52,8200,24.52
2016-01-27,23.40,23.40,23.40,23.40,600,23.40
2016-01-26,23.26,23.26,22.879999,23.01,21500,23.01
2016-01-25,23.049999,23.50,23.049999,23.50,7700,23.50
2016-01-22,23.870001,23.870001,23.25,23.299999,9600,23.299999
2016-01-21,22.849001,23.77,22.809999,23.58,9300,23.58
2016-01-20,23.98,23.99,21.00,22.35,53800,22.35
2016-01-19,24.280001,24.440001,24.049999,24.23,13900,24.23
2016-01-15,24.08,24.719999,24.08,24.60,8600,24.60
2016-01-14,24.75,24.75,24.60,24.60,2500,24.60
2016-01-13,24.66,25.00,24.370001,24.50,4100,24.50
2016-01-12,24.85,24.85,24.35,24.42,19700,24.42
2016-01-11,24.836,24.84,24.754999,24.799999,3300,24.799999
2016-01-08,24.85,24.85,24.826,24.849001,900,24.849001
2016-01-07,24.83,24.889999,24.66,24.778999,6400,24.778999
2016-01-06,24.83,24.950001,24.83,24.83,4300,24.83
2016-01-05,24.83,24.950001,24.83,24.950001,5200,24.950001
2016-01-04,24.774,24.85,24.700001,24.745001,7700,24.745001
