Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,13.29,13.29,13.02,13.19,53800,13.19
2016-04-18,13.25,13.30,13.11,13.25,59200,13.25
2016-04-15,13.21,13.27,13.17,13.26,29400,13.26
2016-04-14,13.22,13.23,13.09,13.15,70900,13.15
2016-04-13,13.21,13.41,13.21,13.41,148300,13.229999
2016-04-12,13.12,13.22,13.06,13.20,50100,13.022818
2016-04-11,12.97,13.15,12.94,13.09,67900,12.914295
2016-04-08,12.88,12.99,12.81,12.93,43900,12.756443
2016-04-07,12.93,12.93,12.67,12.73,93500,12.559127
2016-04-06,12.80,12.98,12.76,12.88,83000,12.707114
2016-04-05,12.74,12.79,12.64,12.72,48700,12.549262
2016-04-04,12.85,12.98,12.72,12.77,89900,12.598591
2016-04-01,12.91,12.99,12.70,12.78,115600,12.608456
2016-03-31,12.79,12.90,12.74,12.78,173500,12.608456
2016-03-30,12.69,12.80,12.69,12.73,56700,12.559127
2016-03-29,12.30,12.59,12.30,12.59,55500,12.421007
2016-03-28,12.58,12.70,12.31,12.36,95300,12.194093
2016-03-24,12.90,12.94,12.58,12.58,94400,12.411141
2016-03-23,13.05,13.05,12.88,12.97,53400,12.795906
2016-03-22,13.04,13.18,12.91,13.04,93100,12.864966
2016-03-21,12.83,13.20,12.67,13.07,192200,12.894563
2016-03-18,12.35,12.75,12.35,12.69,85700,12.519664
2016-03-17,12.26,12.41,12.26,12.33,82800,12.164496
2016-03-16,11.94,12.21,11.85,12.17,77500,12.006644
2016-03-15,12.33,12.33,11.98,12.08,113000,11.740268
2016-03-14,12.40,12.40,12.26,12.37,51600,12.022112
2016-03-11,12.41,12.55,12.36,12.36,58100,12.012393
2016-03-10,12.36,12.36,12.01,12.32,69700,11.973518
2016-03-09,12.44,12.44,12.10,12.17,99900,11.827737
2016-03-08,12.39,12.50,12.30,12.33,52600,11.983237
2016-03-07,12.42,12.59,12.30,12.45,78900,12.099862
2016-03-04,12.22,12.48,12.06,12.40,80500,12.051268
2016-03-03,12.03,12.16,11.96,12.16,79300,11.818018
2016-03-02,11.92,12.24,11.85,12.06,96100,11.720831
2016-03-01,11.71,11.93,11.68,11.89,76300,11.555612
