Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,25.059999,25.280001,25.049999,25.280001,77100,25.280001
2016-04-18,24.92,24.98,24.870001,24.98,195700,24.98
2016-04-15,25.129999,25.25,24.799999,24.799999,1108900,24.799999
2016-04-14,25.23,25.23,25.07,25.07,24700,25.07
2016-04-13,25.280001,25.280001,25.040001,25.08,40700,25.08
2016-04-12,25.139999,25.27,24.950001,25.15,31500,25.15
2016-04-11,24.90,25.09,24.780001,25.09,41500,25.09
2016-04-08,24.84,24.969999,24.639999,24.809999,99800,24.809999
2016-04-07,24.860001,24.98,24.700001,24.709999,119900,24.709999
2016-04-06,25.00,25.07,24.84,24.870001,70700,24.870001
2016-04-05,25.02,25.280001,24.92,24.959999,33400,24.959999
2016-04-04,25.40,25.459999,25.110001,25.15,29500,25.15
2016-04-01,25.57,25.74,25.469999,25.48,17900,25.48
2016-03-31,26.02,26.129999,25.75,25.77,10700,25.77
2016-03-30,25.950001,26.02,25.879999,26.01,8400,26.01
2016-03-29,25.84,25.959999,25.67,25.959999,4800,25.959999
2016-03-28,25.98,26.139999,25.91,26.10,14600,25.772001
2016-03-24,26.18,26.190001,25.969999,25.98,3900,25.653508
2016-03-23,26.059999,26.129999,26.030001,26.129999,5700,25.801622
2016-03-22,26.00,26.09,25.90,26.08,11200,25.752251
2016-03-21,25.90,25.99,25.85,25.99,1300,25.663382
2016-03-18,25.959999,25.98,25.91,25.93,2000,25.604137
2016-03-17,25.860001,25.90,25.83,25.860001,4700,25.535017
2016-03-16,25.870001,25.870001,25.65,25.870001,2300,25.544891
2016-03-15,26.030001,26.10,25.690001,25.780001,14400,25.456022
2016-03-14,26.00,26.02,25.92,26.01,4700,25.683131
2016-03-11,26.10,26.15,25.99,26.00,8900,25.673257
2016-03-10,25.860001,26.08,25.860001,26.08,6600,25.752251
2016-03-09,25.870001,26.10,25.870001,26.01,8500,25.683131
2016-03-08,25.99,26.08,25.99,26.08,4800,25.752251
2016-03-07,26.01,26.09,26.00,26.00,7200,25.673257
2016-03-04,26.030001,26.07,26.030001,26.030001,2800,25.702881
2016-03-03,26.00,26.09,26.00,26.09,6600,25.762126
2016-03-02,26.09,26.09,26.01,26.049999,6500,25.722628
2016-03-01,25.82,26.10,25.75,26.10,16200,25.772001
2016-02-29,25.49,25.75,25.49,25.719999,3800,25.396775
2016-02-26,25.809999,25.889999,25.48,25.60,12300,25.278284
2016-02-25,25.639999,25.67,25.370001,25.65,5200,25.327655
2016-02-24,25.459999,25.719999,25.34,25.389999,4000,25.070922
2016-02-23,26.110001,26.110001,25.60,25.700001,10200,25.377028
2016-02-22,25.77,26.129999,25.77,26.00,5500,25.673257
2016-02-19,25.379999,25.780001,25.34,25.780001,5600,25.456022
2016-02-18,25.25,25.450001,25.25,25.33,4500,25.011677
2016-02-17,25.360001,25.549999,25.23,25.440001,6100,25.120295
2016-02-16,25.200001,25.299999,24.90,25.190001,11500,24.873437
2016-02-12,24.700001,24.889999,24.67,24.84,24700,24.527835
2016-02-11,24.959999,25.290001,24.620001,24.620001,11400,24.3106
2016-02-10,25.67,25.67,25.01,25.280001,8700,24.962306
2016-02-09,25.40,25.67,24.92,25.25,11900,24.932682
2016-02-08,25.66,25.700001,25.49,25.49,11100,25.169666
2016-02-05,25.690001,25.82,25.68,25.790001,3100,25.465897
2016-02-04,25.60,25.799999,25.60,25.790001,11000,25.465897
2016-02-03,25.77,25.959999,25.620001,25.65,8200,25.327655
2016-02-02,25.559999,25.780001,25.559999,25.66,10300,25.33753
2016-02-01,25.67,25.82,25.67,25.799999,4400,25.47577
2016-01-29,25.809999,25.99,25.77,25.83,3300,25.505393
2016-01-28,25.790001,25.84,25.639999,25.75,8700,25.426399
2016-01-27,25.690001,25.790001,25.530001,25.610001,11000,25.288159
2016-01-26,25.379999,25.50,25.309999,25.35,11300,25.031426
2016-01-25,25.33,25.42,25.15,25.32,5600,25.001802
2016-01-22,25.549999,25.57,25.40,25.469999,7200,25.149917
2016-01-21,25.59,25.59,25.120001,25.309999,9400,24.991928
2016-01-20,25.190001,25.389999,24.92,25.07,12300,24.754944
2016-01-19,25.49,25.49,25.18,25.209999,6000,24.893184
2016-01-15,25.07,25.66,25.07,25.35,12000,25.031426
2016-01-14,25.65,25.690001,25.469999,25.690001,5000,25.367153
