Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,25.549999,25.870001,25.549999,25.68,50000,25.68
2016-04-18,25.559999,25.58,25.469999,25.541,57600,25.541
2016-04-15,25.58,25.59,25.51,25.559999,38900,25.559999
2016-04-14,25.540001,25.540001,25.49,25.540001,34700,25.540001
2016-04-13,25.58,25.58,25.450001,25.459999,53500,25.459999
2016-04-12,25.530001,25.59,25.52,25.57,28900,25.57
2016-04-11,25.610001,25.629999,25.41,25.58,41700,25.58
2016-04-08,25.51,25.60,25.50,25.57,42300,25.57
2016-04-07,25.42,25.52,25.35,25.469999,44500,25.469999
2016-04-06,25.370001,25.48,25.33,25.43,38300,25.43
2016-04-05,25.24,25.34,25.200001,25.33,68000,25.33
2016-04-04,25.40,25.41,25.18,25.27,87600,25.27
2016-04-01,25.440001,25.48,25.35,25.41,50300,25.41
2016-03-31,25.549999,25.58,25.40,25.43,119400,25.43
2016-03-30,25.60,25.65,25.50,25.51,100900,25.51
2016-03-29,25.653,25.690001,25.42,25.60,210100,25.60
2016-03-28,25.889999,25.889999,25.60,25.674999,152000,25.674999
2016-03-24,25.709999,25.99,25.709999,25.709999,134800,25.709999
