Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,9.57,9.59,9.51,9.59,322600,9.59
2016-04-18,9.47,9.58,9.47,9.58,265600,9.58
2016-04-15,9.51,9.52,9.47,9.50,174500,9.50
2016-04-14,9.51,9.55,9.49,9.52,125700,9.52
2016-04-13,9.48,9.52,9.47,9.51,187200,9.51
2016-04-12,9.41,9.48,9.40,9.48,127300,9.48
2016-04-11,9.44,9.48,9.42,9.42,144000,9.42
2016-04-08,9.43,9.46,9.41,9.44,107000,9.44
2016-04-07,9.42,9.44,9.37,9.41,127400,9.41
2016-04-06,9.43,9.46,9.39,9.46,204900,9.46
2016-04-05,9.41,9.48,9.41,9.44,177900,9.44
2016-04-04,9.49,9.50,9.43,9.50,123400,9.50
2016-04-01,9.46,9.50,9.46,9.50,168200,9.50
2016-03-31,9.50,9.52,9.46,9.48,280000,9.48
2016-03-30,9.44,9.50,9.44,9.50,157700,9.50
2016-03-29,9.35,9.45,9.33,9.43,127100,9.43
2016-03-28,9.32,9.40,9.31,9.33,256600,9.33
2016-03-24,9.33,9.37,9.27,9.30,185700,9.30
2016-03-23,9.45,9.45,9.35,9.36,180700,9.36
2016-03-22,9.43,9.46,9.42,9.45,128400,9.45
2016-03-21,9.52,9.55,9.50,9.54,191000,9.447
2016-03-18,9.50,9.54,9.48,9.52,119300,9.427196
2016-03-17,9.50,9.52,9.47,9.48,219500,9.387585
2016-03-16,9.45,9.54,9.43,9.50,155300,9.40739
2016-03-15,9.45,9.48,9.41,9.43,140400,9.338073
2016-03-14,9.46,9.50,9.45,9.47,97500,9.377683
2016-03-11,9.40,9.50,9.40,9.49,141100,9.397487
2016-03-10,9.41,9.47,9.32,9.35,159400,9.258853
2016-03-09,9.36,9.44,9.35,9.37,133000,9.278657
2016-03-08,9.43,9.45,9.34,9.35,373400,9.258853
2016-03-07,9.53,9.54,9.41,9.43,188100,9.338073
2016-03-04,9.58,9.59,9.51,9.55,217300,9.456903
2016-03-03,9.55,9.60,9.53,9.60,113900,9.506416
2016-03-02,9.56,9.60,9.52,9.60,167000,9.506416
2016-03-01,9.46,9.59,9.44,9.58,220000,9.48661
2016-02-29,9.47,9.48,9.41,9.44,101800,9.347975
2016-02-26,9.42,9.46,9.38,9.46,114100,9.36778
2016-02-25,9.35,9.42,9.28,9.42,117000,9.32817
2016-02-24,9.20,9.34,9.18,9.34,212900,9.24895
2016-02-23,9.24,9.28,9.22,9.25,140000,9.159827
2016-02-22,9.30,9.32,9.21,9.24,327000,9.149925
2016-02-19,9.22,9.25,9.18,9.23,246900,9.140022
2016-02-18,9.40,9.40,9.24,9.29,240500,9.199437
2016-02-17,9.36,9.51,9.36,9.48,177000,9.295491
2016-02-16,9.34,9.38,9.26,9.33,239900,9.148411
2016-02-12,9.17,9.25,9.09,9.25,200900,9.069968
2016-02-11,9.00,9.13,8.97,9.11,355000,8.932692
2016-02-10,9.13,9.21,9.10,9.11,168900,8.932692
2016-02-09,9.21,9.30,9.07,9.07,353400,8.893471
2016-02-08,9.45,9.45,9.21,9.36,267800,9.177827
2016-02-05,9.65,9.65,9.51,9.52,157800,9.334713
2016-02-04,9.62,9.73,9.60,9.67,196000,9.481793
2016-02-03,9.64,9.68,9.53,9.67,184900,9.481793
2016-02-02,9.66,9.67,9.58,9.60,164100,9.413156
2016-02-01,9.73,9.75,9.70,9.71,237100,9.521015
2016-01-29,9.69,9.75,9.64,9.75,193600,9.560236
2016-01-28,9.53,9.65,9.39,9.63,335100,9.442572
2016-01-27,9.40,9.46,9.33,9.45,199500,9.266075
2016-01-26,9.31,9.43,9.30,9.41,229800,9.226854
2016-01-25,9.43,9.49,9.23,9.23,300600,9.050357
2016-01-22,9.45,9.54,9.40,9.49,284300,9.305296
2016-01-21,9.24,9.44,9.18,9.36,193700,9.177827
2016-01-20,9.30,9.31,8.95,9.22,600500,9.040552
2016-01-19,9.41,9.50,9.34,9.46,377800,9.184691
2016-01-15,9.37,9.40,9.30,9.32,275000,9.048765
2016-01-14,9.53,9.57,9.38,9.52,391900,9.242945
2016-01-13,9.72,9.74,9.50,9.50,237500,9.223527
2016-01-12,9.78,9.82,9.66,9.68,270500,9.398289
2016-01-11,9.72,9.75,9.57,9.70,287900,9.417706
2016-01-08,9.80,9.84,9.69,9.70,197400,9.417706
2016-01-07,9.78,9.85,9.75,9.76,279000,9.47596
2016-01-06,9.95,9.98,9.86,9.90,240500,9.611885
2016-01-05,10.06,10.11,10.01,10.03,158100,9.738102
2016-01-04,10.05,10.09,9.88,10.08,493800,9.786647
2015-12-31,10.02,10.19,10.00,10.16,390500,9.864319
2015-12-30,10.10,10.14,10.00,10.01,609700,9.718685
2015-12-29,10.05,10.13,10.04,10.13,179500,9.835192
2015-12-28,10.08,10.08,10.00,10.00,309500,9.708976
2015-12-24,10.10,10.15,10.09,10.11,113600,9.815774
2015-12-23,10.14,10.18,10.07,10.08,378500,9.786647
2015-12-22,10.13,10.15,10.04,10.09,243000,9.796356
2015-12-21,10.08,10.16,10.02,10.15,357900,9.85461
2015-12-18,10.17,10.18,10.12,10.18,159400,9.793444
2015-12-17,10.11,10.24,10.10,10.19,343000,9.803063
2015-12-16,9.99,10.19,9.97,10.11,232600,9.726101
2015-12-15,9.91,10.01,9.90,10.01,248900,9.629899
2015-12-14,9.95,9.98,9.77,9.89,300600,9.514456
2015-12-11,10.00,10.02,9.93,9.98,366600,9.601037
2015-12-10,10.06,10.08,10.04,10.06,146000,9.678001
2015-12-09,10.05,10.11,10.02,10.08,349800,9.697241
2015-12-08,10.05,10.08,10.00,10.05,175100,9.66838
2015-12-07,10.10,10.12,10.04,10.08,162200,9.697241
2015-12-04,10.04,10.12,10.02,10.12,137600,9.735722
2015-12-03,10.11,10.12,10.02,10.02,112900,9.639519
2015-12-02,10.18,10.19,10.10,10.10,254900,9.716482
2015-12-01,10.08,10.19,10.05,10.19,151600,9.803063
2015-11-30,10.09,10.11,10.02,10.04,198100,9.65876
2015-11-27,10.02,10.07,10.01,10.07,58900,9.68762
2015-11-25,10.06,10.07,10.01,10.04,108600,9.65876
2015-11-24,10.01,10.08,9.99,10.05,242600,9.66838
2015-11-23,10.05,10.11,10.03,10.08,182800,9.697241
2015-11-20,10.10,10.12,10.05,10.08,136500,9.697241
2015-11-19,10.08,10.11,10.05,10.05,165900,9.66838
2015-11-18,10.10,10.14,10.10,10.12,203200,9.646253
2015-11-17,10.11,10.13,10.08,10.10,123400,9.62719
2015-11-16,10.06,10.11,10.06,10.11,107300,9.636721
2015-11-13,10.12,10.13,10.06,10.06,127400,9.589063
2015-11-12,10.17,10.17,10.14,10.15,138100,9.674849
2015-11-11,10.23,10.26,10.20,10.22,141600,9.741572
2015-11-10,10.21,10.26,10.19,10.22,206200,9.741572
2015-11-09,10.27,10.29,10.20,10.23,232900,9.751104
2015-11-06,10.27,10.29,10.22,10.27,147000,9.789232
2015-11-05,10.28,10.30,10.25,10.27,173900,9.789232
2015-11-04,10.24,10.29,10.22,10.29,245000,9.808295
2015-11-03,10.19,10.23,10.16,10.21,173300,9.73204
2015-11-02,10.15,10.21,10.11,10.17,227200,9.693913
2015-10-30,10.21,10.26,10.14,10.15,174600,9.674849
2015-10-29,10.21,10.26,10.18,10.21,146500,9.73204
2015-10-28,10.19,10.27,10.18,10.19,117200,9.712976
2015-10-27,10.12,10.20,10.12,10.16,131400,9.684381
2015-10-26,10.32,10.33,10.12,10.12,260000,9.646253
2015-10-23,10.37,10.41,10.34,10.35,149600,9.865487
2015-10-22,10.24,10.35,10.24,10.30,153000,9.817827
2015-10-21,10.27,10.28,10.17,10.22,141500,9.741572
2015-10-20,10.30,10.34,10.28,10.32,129500,9.748244
2015-10-19,10.23,10.31,10.21,10.31,86000,9.738799
2015-10-16,10.20,10.26,10.19,10.26,146900,9.691569
2015-10-15,10.17,10.22,10.16,10.18,200800,9.616001
2015-10-14,10.20,10.23,10.11,10.21,213000,9.644339
2015-10-13,10.22,10.27,10.18,10.25,149700,9.682122
2015-10-12,10.23,10.26,10.17,10.26,165600,9.691569
2015-10-09,10.12,10.24,10.11,10.23,194400,9.66323
2015-10-08,10.02,10.15,10.00,10.08,205700,9.521541
2015-10-07,10.04,10.08,10.00,10.06,257600,9.502649
2015-10-06,10.04,10.07,9.98,10.07,187100,9.512095
2015-10-05,9.88,10.06,9.85,10.06,258900,9.502649
2015-10-02,9.60,9.88,9.57,9.88,183600,9.332621
2015-10-01,9.65,9.83,9.60,9.83,218600,9.285391
2015-09-30,9.65,9.69,9.57,9.60,324500,9.068134
2015-09-29,9.62,9.71,9.48,9.55,354100,9.020904
2015-09-28,9.84,9.93,9.58,9.62,396600,9.087026
2015-09-25,10.14,10.14,9.95,9.95,135400,9.398743
2015-09-24,9.98,10.07,9.95,10.05,286100,9.493203
2015-09-23,10.00,10.08,9.99,10.03,139200,9.474311
2015-09-22,10.04,10.08,9.96,9.99,166000,9.436527
2015-09-21,10.13,10.17,10.08,10.09,122800,9.530987
2015-09-18,10.16,10.22,10.15,10.19,200800,9.537599
2015-09-17,10.22,10.29,10.19,10.22,178300,9.565679
2015-09-16,10.20,10.26,10.16,10.22,230300,9.565679
2015-09-15,10.15,10.20,10.11,10.20,160200,9.546959
2015-09-14,10.19,10.19,10.15,10.15,52400,9.50016
2015-09-11,10.14,10.20,10.14,10.19,65400,9.537599
2015-09-10,10.17,10.21,10.14,10.14,121800,9.490801
2015-09-09,10.36,10.38,10.17,10.17,128500,9.51888
2015-09-08,10.34,10.37,10.25,10.35,130500,9.687356
2015-09-04,10.20,10.25,10.12,10.17,143000,9.51888
2015-09-03,10.33,10.39,10.28,10.29,123500,9.631197
2015-09-02,10.40,10.41,10.26,10.31,167400,9.649917
2015-09-01,10.24,10.35,10.14,10.24,181000,9.584398
2015-08-31,10.48,10.50,10.40,10.46,268900,9.790313
2015-08-28,10.43,10.56,10.42,10.51,257600,9.837112
2015-08-27,10.46,10.63,10.43,10.51,177300,9.837112
2015-08-26,10.30,10.42,10.18,10.42,192500,9.752874
2015-08-25,10.27,10.30,10.08,10.11,247800,9.462721
2015-08-24,10.04,10.14,9.67,9.95,574600,9.312965
2015-08-21,10.36,10.40,10.16,10.19,310900,9.537599
2015-08-20,10.53,10.53,10.45,10.45,155500,9.780953
2015-08-19,10.70,10.74,10.64,10.68,168400,9.909182
2015-08-18,10.64,10.76,10.64,10.76,186300,9.983408
2015-08-17,10.62,10.66,10.60,10.66,97100,9.890625
2015-08-14,10.62,10.65,10.57,10.64,88100,9.872069
2015-08-13,10.60,10.66,10.58,10.59,69100,9.825677
2015-08-12,10.53,10.65,10.50,10.62,212300,9.853512
2015-08-11,10.54,10.61,10.53,10.56,209300,9.797843
2015-08-10,10.59,10.65,10.56,10.57,147400,9.80712
2015-08-07,10.67,10.68,10.52,10.53,136400,9.770007
2015-08-06,10.77,10.78,10.66,10.69,260200,9.918459
2015-08-05,10.76,10.83,10.74,10.80,142100,10.020521
2015-08-04,10.65,10.72,10.65,10.72,110000,9.946295
2015-08-03,10.71,10.73,10.64,10.66,166300,9.890625
2015-07-31,10.73,10.76,10.70,10.71,143900,9.937016
2015-07-30,10.69,10.73,10.67,10.68,102400,9.909182
2015-07-29,10.62,10.73,10.62,10.71,97000,9.937016
2015-07-28,10.56,10.70,10.53,10.66,127400,9.890625
2015-07-27,10.52,10.55,10.51,10.51,172500,9.751451
2015-07-24,10.68,10.74,10.58,10.59,164800,9.825677
2015-07-23,10.74,10.79,10.65,10.68,160900,9.909182
2015-07-22,10.78,10.80,10.70,10.70,182200,9.927738
2015-07-21,10.92,10.95,10.84,10.85,158600,9.980625
2015-07-20,10.95,10.97,10.87,10.94,195000,10.063413
2015-07-17,10.95,10.96,10.90,10.94,193800,10.063413
2015-07-16,10.93,10.99,10.90,10.94,119100,10.063413
2015-07-15,10.90,10.91,10.87,10.88,102600,10.008221
2015-07-14,10.82,10.88,10.82,10.87,98700,9.999022
2015-07-13,10.76,10.83,10.76,10.82,168000,9.953028
2015-07-10,10.73,10.75,10.68,10.74,93100,9.879438
2015-07-09,10.74,10.74,10.61,10.62,159500,9.769054
2015-07-08,10.65,10.66,10.60,10.65,156100,9.79665
2015-07-07,10.70,10.75,10.60,10.71,161700,9.851842
2015-07-06,10.62,10.70,10.55,10.70,107500,9.842643
2015-07-02,10.80,10.81,10.70,10.72,138000,9.861041
2015-07-01,10.88,10.91,10.77,10.78,193700,9.916233
2015-06-30,10.68,10.85,10.64,10.81,279200,9.94383
2015-06-29,10.60,10.63,10.58,10.62,281900,9.769054
2015-06-26,10.75,10.76,10.61,10.70,265000,9.842643
2015-06-25,10.90,10.90,10.74,10.75,252700,9.888637
2015-06-24,10.90,10.93,10.89,10.89,158800,10.01742
2015-06-23,11.00,11.00,10.88,10.89,209100,10.01742
2015-06-22,11.00,11.00,10.97,11.00,144400,10.118606
2015-06-19,11.01,11.02,11.00,11.02,155200,10.137003
2015-06-18,10.99,11.15,10.98,11.15,326700,10.171038
2015-06-17,10.92,10.99,10.91,10.99,116900,10.025086
2015-06-16,10.90,10.94,10.87,10.92,150900,9.961232
2015-06-15,10.93,10.93,10.87,10.92,184900,9.961232
2015-06-12,11.00,11.04,10.94,10.94,180000,9.979476
2015-06-11,10.97,11.03,10.95,11.03,178600,10.061574
2015-06-10,10.92,10.97,10.92,10.96,142500,9.99772
2015-06-09,10.93,10.94,10.91,10.91,147100,9.95211
2015-06-08,10.92,10.97,10.90,10.96,170400,9.99772
2015-06-05,10.91,10.93,10.90,10.93,114500,9.970354
2015-06-04,10.91,10.94,10.91,10.92,179300,9.961232
2015-06-03,10.93,10.97,10.91,10.94,187700,9.979476
2015-06-02,10.95,10.96,10.92,10.93,219000,9.970354
2015-06-01,10.94,10.98,10.91,10.95,182800,9.988598
2015-05-29,10.95,10.96,10.90,10.94,173600,9.979476
2015-05-28,10.91,10.96,10.89,10.96,122100,9.99772
