Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,5.30,5.33,5.22,5.27,605600,5.27
2016-04-18,5.29,5.34,5.22,5.28,796700,5.28
2016-04-15,5.02,5.16,5.01,5.15,584000,5.15
2016-04-14,5.10,5.10,4.98,5.01,437700,5.01
2016-04-13,4.75,5.12,4.71,5.06,1386200,5.06
2016-04-12,4.63,4.73,4.55,4.72,789400,4.72
2016-04-11,4.62,4.68,4.55,4.60,490000,4.60
2016-04-08,4.63,4.73,4.52,4.58,571300,4.58
2016-04-07,4.64,4.71,4.55,4.60,500700,4.60
2016-04-06,4.67,4.73,4.59,4.63,412600,4.63
2016-04-05,4.76,4.79,4.64,4.65,444300,4.65
2016-04-04,4.76,4.82,4.73,4.77,432000,4.77
2016-04-01,4.75,4.79,4.70,4.78,586000,4.78
2016-03-31,4.76,4.84,4.75,4.78,730200,4.78
2016-03-30,4.79,4.89,4.75,4.77,680100,4.77
2016-03-29,4.69,4.76,4.54,4.74,490700,4.74
2016-03-28,4.65,4.71,4.58,4.69,363700,4.69
2016-03-24,4.62,4.73,4.51,4.64,465900,4.64
2016-03-23,4.77,4.81,4.62,4.66,673200,4.66
2016-03-22,4.90,4.92,4.78,4.81,1095400,4.81
2016-03-21,4.81,4.96,4.78,4.90,735200,4.90
2016-03-18,4.84,4.93,4.72,4.78,705100,4.78
2016-03-17,4.63,4.83,4.63,4.81,614800,4.81
2016-03-16,4.54,4.66,4.53,4.62,600300,4.62
2016-03-15,4.69,4.72,4.57,4.58,1892100,4.58
2016-03-14,4.82,5.00,4.71,4.72,2048800,4.72
2016-03-11,4.80,4.87,4.74,4.85,1627100,4.77
2016-03-10,4.90,4.90,4.74,4.76,1604400,4.681485
2016-03-09,4.95,4.98,4.80,4.85,306900,4.77
2016-03-08,5.00,5.05,4.87,4.88,1061100,4.799505
2016-03-07,4.80,5.11,4.80,5.02,1424800,4.937196
2016-03-04,4.77,4.85,4.74,4.75,3261000,4.671649
2016-03-03,4.76,4.80,4.72,4.75,1906500,4.671649
2016-03-02,4.77,4.80,4.70,4.75,1364000,4.671649
2016-03-01,4.79,4.82,4.72,4.78,1067300,4.701155
2016-02-29,4.71,4.76,4.65,4.75,1733700,4.671649
2016-02-26,4.54,4.85,4.54,4.74,3865000,4.661814
2016-02-25,4.47,4.54,4.32,4.50,2034700,4.425773
2016-02-24,4.35,4.46,4.28,4.35,1146600,4.278247
2016-02-23,4.30,4.36,4.27,4.36,735300,4.288082
2016-02-22,4.23,4.35,4.19,4.33,1509900,4.258577
2016-02-19,4.20,4.25,4.15,4.22,1017100,4.150391
2016-02-18,4.24,4.24,4.17,4.22,633200,4.150391
2016-02-17,4.23,4.30,4.19,4.19,1671200,4.120887
