Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,11.01,11.11,11.01,11.09,46000,11.09
2016-04-18,10.87,11.00,10.87,11.00,41700,11.00
2016-04-15,10.92,10.94,10.90,10.92,42700,10.92
2016-04-14,10.97,10.97,10.90,10.94,35100,10.94
2016-04-13,10.92,10.99,10.90,10.94,51600,10.94
2016-04-12,10.78,10.90,10.78,10.89,54400,10.89
2016-04-11,10.84,10.86,10.78,10.79,39800,10.79
2016-04-08,10.85,10.85,10.74,10.79,28300,10.79
2016-04-07,10.73,10.81,10.71,10.75,34500,10.75
2016-04-06,10.74,10.81,10.73,10.81,48100,10.81
2016-04-05,10.80,10.82,10.72,10.74,50700,10.74
2016-04-04,10.99,10.99,10.80,10.88,137800,10.88
2016-04-01,10.81,10.99,10.79,10.96,126900,10.96
2016-03-31,10.83,10.98,10.77,10.89,79500,10.89
2016-03-30,10.72,10.80,10.72,10.79,53400,10.79
2016-03-29,10.57,10.69,10.51,10.69,108300,10.69
2016-03-28,10.66,10.66,10.58,10.60,94400,10.60
2016-03-24,10.60,10.64,10.58,10.60,93700,10.60
2016-03-23,10.72,10.75,10.65,10.67,102800,10.67
2016-03-22,10.63,10.80,10.60,10.72,90000,10.72
2016-03-21,10.75,10.80,10.69,10.70,57700,10.70
2016-03-18,10.78,10.82,10.73,10.74,79700,10.74
2016-03-17,10.89,11.03,10.86,11.00,75900,10.74
2016-03-16,10.78,10.89,10.76,10.89,69400,10.632601
2016-03-15,10.77,10.81,10.74,10.76,45200,10.505673
2016-03-14,10.87,10.88,10.81,10.83,75000,10.574018
2016-03-11,10.76,10.87,10.76,10.85,42400,10.593546
2016-03-10,10.73,10.78,10.66,10.73,69600,10.476382
2016-03-09,10.72,10.74,10.69,10.72,47300,10.466619
2016-03-08,10.65,10.70,10.58,10.64,45200,10.38851
2016-03-07,10.68,10.77,10.68,10.69,56200,10.437327
2016-03-04,10.67,10.80,10.67,10.77,36400,10.515437
2016-03-03,10.59,10.74,10.59,10.70,80600,10.447091
2016-03-02,10.48,10.59,10.41,10.59,76700,10.339691
2016-03-01,10.39,10.54,10.36,10.54,59100,10.290873
2016-02-29,10.35,10.41,10.27,10.34,80000,10.0956
2016-02-26,10.40,10.40,10.25,10.32,119900,10.076073
2016-02-25,10.17,10.31,10.17,10.30,66300,10.056546
2016-02-24,10.03,10.22,10.02,10.22,52500,9.978437
2016-02-23,10.11,10.15,10.09,10.11,35100,9.871036
2016-02-22,10.10,10.19,10.08,10.18,124900,9.939382
2016-02-19,10.02,10.08,10.01,10.05,47900,9.812455
2016-02-18,10.15,10.15,10.03,10.07,55600,9.831982
2016-02-17,10.01,10.14,10.01,10.08,66400,9.841746
2016-02-16,9.89,9.99,9.86,9.98,44700,9.744109
2016-02-12,9.79,9.92,9.65,9.92,111600,9.685528
2016-02-11,9.57,9.70,9.51,9.64,68500,9.412146
2016-02-10,9.93,9.97,9.77,9.80,61600,9.568364
2016-02-09,9.85,9.96,9.82,9.91,38100,9.675764
2016-02-08,10.07,10.13,9.90,9.95,39100,9.714818
2016-02-05,10.32,10.32,10.17,10.17,39500,9.929618
