Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,12.03,12.30,12.03,12.21,142000,12.21
2016-04-18,11.50,12.04,11.44,11.99,115900,11.99
2016-04-15,11.77,11.77,11.53,11.55,52100,11.55
2016-04-14,11.95,11.99,11.69,11.71,94100,11.71
2016-04-13,11.90,11.97,11.77,11.80,147900,11.80
2016-04-12,11.67,11.94,11.63,11.89,121400,11.89
2016-04-11,11.63,11.79,11.52,11.55,97600,11.55
2016-04-08,11.84,11.95,11.44,11.58,70900,11.58
2016-04-07,11.54,11.75,11.51,11.63,65000,11.63
2016-04-06,12.11,12.11,11.47,11.67,96300,11.67
2016-04-05,11.59,11.59,11.22,11.31,50000,11.31
2016-04-04,11.64,11.69,11.37,11.38,57900,11.38
2016-04-01,11.85,11.85,11.52,11.69,91400,11.69
2016-03-31,12.12,12.12,11.95,12.00,78600,11.895
2016-03-30,11.99,12.05,11.78,11.93,122800,11.825613
2016-03-29,11.79,11.81,11.36,11.75,108200,11.647187
2016-03-28,11.95,12.03,11.83,11.92,86400,11.8157
2016-03-24,11.70,12.10,11.67,11.97,153100,11.865263
2016-03-23,12.00,12.02,11.82,11.94,133400,11.835524
2016-03-22,11.75,12.11,11.70,12.07,58000,11.964387
2016-03-21,12.07,12.11,11.76,11.86,46800,11.756224
2016-03-18,12.23,12.23,11.70,12.08,122400,11.9743
2016-03-17,12.28,12.33,12.05,12.06,149800,11.954475
2016-03-16,11.44,12.15,11.44,12.13,131200,12.023862
2016-03-15,11.46,11.53,11.25,11.32,129700,11.220949
2016-03-14,11.57,11.61,11.25,11.60,103800,11.4985
2016-03-11,11.69,11.83,11.56,11.61,101800,11.508412
2016-03-10,11.26,11.54,11.25,11.38,82400,11.280425
2016-03-09,11.33,11.45,11.09,11.30,132600,11.201125
2016-03-08,11.62,11.62,10.91,11.06,147800,10.963225
2016-03-07,11.71,11.75,11.49,11.70,67400,11.597625
2016-03-04,11.77,11.97,11.45,11.71,133500,11.607537
2016-03-03,10.94,11.73,10.94,11.68,178200,11.5778
2016-03-02,10.50,11.16,10.50,11.06,167100,10.963225
2016-03-01,10.96,11.20,10.49,10.55,281900,10.457687
2016-02-29,10.64,11.13,10.62,11.02,203800,10.819494
2016-02-26,10.33,10.66,10.30,10.51,236000,10.318774
2016-02-25,10.19,10.35,10.03,10.10,150500,9.916234
2016-02-24,9.84,10.34,9.52,10.20,308600,10.014414
2016-02-23,10.58,10.64,9.95,9.96,156200,9.77878
2016-02-22,10.35,10.86,10.35,10.52,171300,10.328592
2016-02-19,10.42,10.50,10.01,10.14,212400,9.955506
2016-02-18,10.66,10.67,10.32,10.63,148000,10.43659
2016-02-17,9.91,10.52,9.78,10.47,196000,10.279501
2016-02-16,9.20,9.87,9.09,9.67,181900,9.494057
2016-02-12,9.12,9.12,8.59,8.89,147800,8.728249
2016-02-11,8.92,9.00,8.52,8.63,161300,8.47298
2016-02-10,8.93,9.40,8.70,9.17,128600,9.003154
2016-02-09,8.80,9.22,8.80,8.87,147500,8.708613
2016-02-08,9.99,9.99,9.00,9.45,272100,9.27806
2016-02-05,10.18,10.40,9.95,10.22,112900,10.03405
2016-02-04,9.82,10.55,9.75,10.37,244900,10.18132
2016-02-03,9.56,9.77,9.20,9.72,220100,9.543147
2016-02-02,9.42,9.47,9.16,9.28,118000,9.111153
2016-02-01,9.92,9.92,9.48,9.65,96800,9.47442
2016-01-29,10.30,10.73,10.07,10.10,80300,9.813143
2016-01-28,9.82,10.15,9.77,10.01,86900,9.725699
2016-01-27,9.63,9.98,9.26,9.41,82600,9.14274
2016-01-26,9.11,9.93,8.87,9.68,162300,9.405072
2016-01-25,8.95,9.32,8.85,8.97,227700,8.715237
2016-01-22,8.26,9.05,8.26,9.02,197700,8.763817
2016-01-21,7.78,8.13,7.66,7.98,338200,7.753355
2016-01-20,8.00,8.04,7.05,7.66,418200,7.442443
2016-01-19,8.67,8.73,8.00,8.25,263500,8.015686
2016-01-15,8.97,9.04,8.64,8.67,139200,8.423758
2016-01-14,8.75,9.31,8.75,9.30,114500,9.035865
2016-01-13,9.63,9.86,8.57,8.74,151900,8.491769
2016-01-12,9.92,10.12,9.05,9.55,169200,9.278764
2016-01-11,10.34,10.46,9.64,9.71,120500,9.43422
2016-01-08,10.25,10.51,10.08,10.34,114700,10.046327
2016-01-07,10.34,10.55,10.02,10.05,113900,9.764563
2016-01-06,10.88,10.92,10.39,10.52,193100,10.221215
2016-01-05,11.05,11.20,10.91,11.07,246900,10.755593
2016-01-04,10.50,11.09,10.50,11.06,167200,10.745878
2015-12-31,10.50,11.09,10.35,10.77,447200,10.362097
2015-12-30,10.49,10.80,10.25,10.45,385000,10.054216
2015-12-29,11.21,11.28,10.57,10.77,360500,10.362097
2015-12-28,11.32,11.32,10.86,10.92,325800,10.506416
2015-12-24,11.79,12.11,11.37,11.42,134400,10.987479
2015-12-23,11.05,12.03,10.97,11.72,380400,11.276116
2015-12-22,10.25,10.94,10.22,10.78,212200,10.371718
2015-12-21,10.00,10.18,9.88,10.13,192700,9.746336
2015-12-18,9.63,10.05,9.63,10.00,469900,9.62126
2015-12-17,9.56,10.02,9.27,9.75,553700,9.380728
2015-12-16,9.06,9.59,9.03,9.50,373300,9.140197
2015-12-15,9.09,9.24,9.02,9.14,394600,8.793832
2015-12-14,9.23,9.28,8.82,8.89,249200,8.5533
2015-12-11,9.73,9.79,9.33,9.39,310200,9.034363
2015-12-10,9.97,10.21,9.76,9.90,377700,9.525047
2015-12-09,9.45,9.97,9.45,9.91,260900,9.534668
2015-12-08,9.15,9.65,8.97,9.41,511700,9.053605
2015-12-07,10.34,10.34,9.07,9.37,397900,9.01512
2015-12-04,10.87,10.87,10.39,10.50,196100,10.102323
2015-12-03,11.26,11.26,10.86,10.97,363100,10.554522
2015-12-02,11.45,11.59,11.10,11.17,156900,10.746947
2015-12-01,11.55,11.65,11.45,11.51,182300,11.07407
2015-11-30,11.81,11.92,11.62,11.71,146100,11.165471
2015-11-27,11.95,11.97,11.59,11.71,45400,11.165471
2015-11-25,11.86,12.06,11.78,11.99,92500,11.432451
2015-11-24,11.74,12.21,11.60,11.93,244500,11.375241
2015-11-23,11.95,12.06,11.59,11.65,181200,11.108261
2015-11-20,12.26,12.42,11.86,11.93,144900,11.375241
2015-11-19,12.20,12.20,12.04,12.14,89900,11.575476
2015-11-18,12.45,12.60,12.13,12.23,134900,11.66129
2015-11-17,12.53,12.74,11.86,12.18,336000,11.613616
2015-11-16,12.07,12.53,11.85,12.43,252600,11.851991
2015-11-13,12.17,12.21,11.46,12.01,430700,11.451521
2015-11-12,12.26,12.37,12.06,12.14,124900,11.575476
2015-11-11,12.72,12.72,12.30,12.36,189300,11.785245
2015-11-10,12.89,13.10,12.61,12.64,200700,12.052226
2015-11-09,13.14,13.28,12.94,12.99,91100,12.38595
2015-11-06,13.46,13.46,13.25,13.26,60100,12.643395
2015-11-05,13.75,13.82,13.34,13.53,104800,12.900839
2015-11-04,14.33,14.33,13.40,13.62,200300,12.986654
2015-11-03,14.08,14.12,13.92,14.03,207700,13.377588
2015-11-02,13.75,14.15,13.75,13.87,110400,13.225029
2015-10-30,14.01,14.16,13.77,13.86,111700,13.115377
2015-10-29,14.25,14.34,13.72,13.81,168800,13.068064
2015-10-28,13.44,14.20,13.32,14.20,141100,13.437111
2015-10-27,13.32,13.47,13.07,13.31,474400,12.594926
2015-10-26,13.68,13.68,13.42,13.46,150700,12.736867
2015-10-23,14.07,14.09,13.57,13.72,171400,12.982899
2015-10-22,14.08,14.08,13.86,13.96,96600,13.210005
2015-10-21,14.09,14.13,13.93,14.00,81400,13.247856
2015-10-20,14.10,14.26,14.07,14.10,68200,13.342484
2015-10-19,14.42,14.43,14.10,14.11,47800,13.351946
2015-10-16,14.31,14.67,14.20,14.48,87000,13.702068
2015-10-15,14.09,14.22,13.82,14.20,79000,13.437111
2015-10-14,14.13,14.25,13.67,14.03,130600,13.276244
2015-10-13,13.92,14.24,13.74,14.24,123200,13.474962
2015-10-12,14.77,14.77,13.77,14.05,251300,13.29517
2015-10-09,14.49,14.76,14.39,14.65,68500,13.862934
2015-10-08,14.07,14.41,14.07,14.34,66500,13.56959
2015-10-07,14.60,14.60,13.89,14.13,122700,13.370872
2015-10-06,13.78,14.54,13.78,14.26,306600,13.493888
2015-10-05,13.62,13.90,13.50,13.79,75800,13.049138
2015-10-02,12.65,13.45,12.57,13.41,148100,12.689553
2015-10-01,12.56,13.02,12.52,12.80,231500,12.112325
2015-09-30,12.44,12.64,12.05,12.42,243900,11.653381
2015-09-29,12.79,12.90,12.27,12.37,247800,11.606467
2015-09-28,13.24,13.33,12.55,12.85,121200,12.05684
2015-09-25,13.65,13.65,13.21,13.39,131100,12.563509
2015-09-24,13.34,13.56,13.02,13.46,163900,12.629188
2015-09-23,13.58,13.62,13.36,13.44,139000,12.610422
2015-09-22,13.70,13.80,13.43,13.48,98800,12.647953
2015-09-21,13.96,14.03,13.73,13.73,54900,12.882522
2015-09-18,13.75,13.89,13.66,13.75,41600,12.901288
2015-09-17,14.07,14.21,13.81,13.86,80200,13.004498
2015-09-16,13.69,14.20,13.69,13.99,125200,13.126473
2015-09-15,13.57,13.77,13.45,13.56,153200,12.723016
2015-09-14,13.47,13.56,13.33,13.44,57600,12.610422
2015-09-11,13.57,13.75,13.30,13.35,103200,12.525978
2015-09-10,13.96,14.00,13.68,13.71,107400,12.863757
2015-09-09,14.17,14.21,13.82,13.88,102700,13.023263
2015-09-08,14.36,14.39,14.07,14.14,97200,13.267215
2015-09-04,14.43,14.51,14.10,14.20,105200,13.323511
2015-09-03,14.76,15.11,14.56,14.59,76600,13.689439
2015-09-02,15.06,15.15,14.60,14.80,77500,13.886477
2015-09-01,14.59,14.80,14.44,14.80,89100,13.886477
2015-08-31,15.03,15.25,14.64,14.98,136200,13.958724
2015-08-28,15.18,15.33,14.73,15.07,99800,14.042588
2015-08-27,14.59,15.55,14.47,15.14,156100,14.107816
2015-08-26,13.97,14.46,13.53,14.37,211700,13.390311
2015-08-25,14.48,14.49,13.60,13.64,147000,12.71008
2015-08-24,14.07,14.40,13.75,13.88,208200,12.933718
2015-08-21,14.86,14.94,14.38,14.55,137900,13.55804
2015-08-20,15.17,15.36,14.87,14.88,172800,13.865542
2015-08-19,15.53,15.60,15.05,15.19,134400,14.154407
2015-08-18,15.35,15.55,15.05,15.43,136200,14.378045
2015-08-17,15.63,15.73,15.25,15.32,240900,14.275544
2015-08-14,15.14,15.75,15.12,15.67,143000,14.601683
2015-08-13,15.14,15.21,14.90,15.21,155800,14.173044
2015-08-12,14.53,15.16,14.37,15.11,152400,14.079861
2015-08-11,14.50,14.62,14.29,14.60,108800,13.604631
2015-08-10,14.46,14.68,14.26,14.63,98000,13.632586
2015-08-07,14.05,14.35,13.98,14.30,183100,13.325084
2015-08-06,13.99,14.14,13.46,14.01,221800,13.054855
2015-08-05,14.60,14.75,14.03,14.08,199500,13.120082
2015-08-04,15.03,15.03,14.49,14.55,265700,13.55804
2015-08-03,15.22,15.22,14.93,15.06,87100,14.03327
2015-07-31,15.43,15.50,15.17,15.50,172600,14.347295
2015-07-30,15.14,15.40,15.06,15.40,153900,14.254732
2015-07-29,14.83,15.22,14.75,15.11,144100,13.986298
2015-07-28,14.65,14.93,14.44,14.80,224000,13.699353
2015-07-27,14.64,14.76,14.50,14.61,152200,13.523482
2015-07-24,14.77,14.97,14.65,14.77,118700,13.671584
2015-07-23,14.79,14.97,14.62,14.82,143000,13.717865
2015-07-22,14.75,14.84,14.41,14.69,190000,13.597533
2015-07-21,14.80,14.91,14.60,14.79,106800,13.690096
2015-07-20,15.33,15.33,14.61,14.69,153400,13.597533
2015-07-17,15.56,15.56,15.14,15.19,100700,14.060349
2015-07-16,15.62,15.62,15.41,15.52,139300,14.365808
2015-07-15,15.77,15.86,15.50,15.51,137900,14.356552
2015-07-14,15.65,15.84,15.62,15.73,154800,14.56019
2015-07-13,15.70,15.76,15.66,15.73,62600,14.56019
2015-07-10,15.73,15.78,15.50,15.66,176200,14.495396
2015-07-09,15.77,15.85,15.53,15.69,104400,14.523165
2015-07-08,15.63,15.69,15.45,15.49,179500,14.338039
2015-07-07,15.56,15.80,15.28,15.74,124000,14.569447
2015-07-06,15.49,15.62,15.45,15.50,93000,14.347295
2015-07-02,15.50,15.70,15.42,15.64,208200,14.476884
2015-07-01,15.64,15.68,15.42,15.50,102100,14.347295
2015-06-30,15.66,15.71,15.56,15.70,161700,14.437081
2015-06-29,15.65,15.65,15.52,15.60,159100,14.345125
2015-06-26,15.75,15.75,15.55,15.66,193200,14.400298
2015-06-25,15.98,15.98,15.72,15.75,117700,14.483059
