Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,22.870001,23.040001,22.68,22.99,869800,22.99
2016-04-18,22.559999,22.780001,22.40,22.77,1214300,22.77
2016-04-15,22.450001,22.620001,22.42,22.559999,1083200,22.559999
2016-04-14,22.59,22.67,22.43,22.43,1691500,22.43
2016-04-13,22.76,22.790001,22.549999,22.629999,965100,22.629999
2016-04-12,22.719999,22.799999,22.469999,22.67,1375500,22.67
2016-04-11,22.559999,22.690001,22.450001,22.629999,1728400,22.629999
2016-04-08,22.51,22.68,22.299999,22.52,1609100,22.52
2016-04-07,22.280001,22.450001,22.219999,22.389999,1410900,22.389999
2016-04-06,22.66,22.68,22.299999,22.360001,1718500,22.360001
2016-04-05,22.58,22.75,22.51,22.690001,1359800,22.690001
2016-04-04,22.60,22.809999,22.549999,22.690001,1710700,22.690001
2016-04-01,22.639999,22.709999,22.450001,22.610001,2362000,22.610001
2016-03-31,22.809999,23.01,22.73,22.74,7265700,22.74
2016-03-30,23.00,23.120001,22.90,22.940001,2915400,22.940001
2016-03-29,22.780001,23.059999,22.74,22.98,18223600,22.98
2016-03-28,22.66,22.98,22.559999,22.889999,7585600,22.70
2016-03-24,21.90,22.059999,21.629999,22.01,493100,21.827305
2016-03-23,22.08,22.190001,21.959999,21.959999,764400,21.777719
2016-03-22,21.950001,22.09,21.879999,22.02,762000,21.837223
2016-03-21,22.280001,22.40,22.01,22.030001,675800,21.84714
2016-03-18,22.65,22.700001,22.32,22.360001,1074700,22.1744
2016-03-17,22.209999,22.73,22.110001,22.52,891300,22.333072
2016-03-16,21.809999,22.299999,21.799999,22.280001,587000,22.095065
2016-03-15,21.809999,22.00,21.809999,21.92,664800,21.738052
2016-03-14,21.870001,22.02,21.73,21.99,606500,21.807471
2016-03-11,21.91,22.01,21.790001,21.940001,947400,21.757887
2016-03-10,21.879999,21.93,21.469999,21.629999,1267600,21.450458
2016-03-09,21.790001,22.030001,21.620001,21.75,1084900,21.569463
2016-03-08,22.129999,22.129999,21.73,21.75,989600,21.569463
2016-03-07,22.02,22.209999,21.92,22.129999,672800,21.946308
2016-03-04,22.02,22.18,21.879999,22.129999,844200,21.946308
2016-03-03,21.92,22.059999,21.860001,22.040001,1057500,21.857057
2016-03-02,21.82,21.959999,21.51,21.93,892600,21.747969
2016-03-01,21.65,22.040001,21.59,21.870001,723700,21.688468
2016-02-29,21.59,21.860001,21.49,21.52,1121000,21.341373
2016-02-26,21.76,21.90,21.49,21.58,704600,21.400874
2016-02-25,21.25,21.799999,21.24,21.74,582100,21.559546
2016-02-24,21.059999,21.299999,20.959999,21.209999,741400,21.033945
2016-02-23,20.809999,21.26,20.68,21.24,819800,21.063696
2016-02-22,20.75,20.99,20.75,20.83,1086200,20.6571
2016-02-19,20.68,21.17,20.450001,20.58,1295200,20.409175
2016-02-18,20.17,20.459999,19.93,20.25,802000,20.081914
2016-02-17,20.040001,20.280001,19.90,20.16,1030100,19.992661
2016-02-16,19.860001,20.01,19.59,19.98,797600,19.814155
2016-02-12,19.48,19.74,19.42,19.700001,816300,19.53648
2016-02-11,19.43,19.450001,19.15,19.33,1450200,19.16955
2016-02-10,19.690001,20.040001,19.620001,19.709999,375200,19.546395
2016-02-09,19.43,19.83,19.34,19.610001,983400,19.447227
2016-02-08,20.01,20.09,19.27,19.629999,1343900,19.46706
2016-02-05,20.24,20.40,20.10,20.17,1031700,20.002578
2016-02-04,20.35,20.469999,20.120001,20.309999,910900,20.141415
2016-02-03,20.40,20.530001,20.09,20.40,762800,20.230669
2016-02-02,20.33,20.50,20.040001,20.290001,893800,20.121583
2016-02-01,20.440001,20.50,20.25,20.440001,1009500,20.270337
2016-01-29,19.82,20.700001,19.549999,20.59,1691500,20.419092
2016-01-28,20.26,20.309999,19.450001,19.690001,1080900,19.526563
2016-01-27,20.34,20.34,19.99,20.129999,861400,19.962909
2016-01-26,20.030001,20.43,20.030001,20.43,537900,20.26042
2016-01-25,19.91,20.24,19.700001,19.91,759400,19.744736
2016-01-22,19.879999,20.059999,19.700001,19.940001,736200,19.774488
2016-01-21,19.43,19.639999,19.27,19.48,914300,19.318305
2016-01-20,19.719999,19.719999,18.889999,19.32,759200,19.159633
2016-01-19,20.030001,20.07,19.74,19.889999,693800,19.724902
2016-01-15,19.809999,19.99,19.68,19.85,804700,19.685235
2016-01-14,20.32,20.43,19.99,20.190001,802200,20.022413
2016-01-13,20.700001,20.90,20.17,20.26,982800,20.091831
2016-01-12,21.25,21.33,20.43,20.700001,1254500,20.52818
2016-01-11,21.02,21.280001,20.99,21.10,868400,20.924859
2016-01-08,21.49,21.610001,20.940001,20.969999,427800,20.795937
2016-01-07,21.42,21.610001,21.389999,21.42,1005000,21.242202
2016-01-06,21.73,21.85,21.629999,21.83,656800,21.648799
2016-01-05,21.610001,22.00,21.57,21.92,1322900,21.738052
2016-01-04,21.85,21.92,21.459999,21.610001,748100,21.430626
2015-12-31,22.42,22.42,22.129999,22.129999,812600,21.946308
2015-12-30,22.40,22.559999,22.35,22.35,511100,22.164483
2015-12-29,22.299999,22.559999,22.290001,22.43,746700,22.243819
2015-12-28,22.129999,22.360001,22.030001,22.34,403900,22.027628
2015-12-24,22.200001,22.290001,22.040001,22.15,271500,21.840284
2015-12-23,22.040001,22.129999,21.959999,22.09,473700,21.781123
2015-12-22,21.870001,22.110001,21.77,21.969999,723100,21.6628
2015-12-21,21.860001,21.940001,21.629999,21.799999,626900,21.495177
2015-12-18,21.90,21.98,21.52,21.690001,1214500,21.386717
2015-12-17,22.280001,22.32,21.98,22.00,807400,21.692382
2015-12-16,21.799999,22.26,21.77,22.209999,1111400,21.899444
2015-12-15,21.76,21.959999,21.629999,21.719999,981800,21.416296
2015-12-14,21.68,21.74,21.309999,21.60,1335600,21.297975
2015-12-11,21.690001,21.92,21.540001,21.719999,1827000,21.416296
2015-12-10,22.219999,22.41,21.889999,21.950001,1155200,21.643082
2015-12-09,22.450001,22.57,22.08,22.23,1255500,21.919165
2015-12-08,22.49,22.629999,22.33,22.52,551800,22.205111
2015-12-07,22.610001,22.719999,22.459999,22.60,898400,22.283992
2015-12-04,22.209999,22.75,22.129999,22.67,427100,22.353013
2015-12-03,22.52,22.58,22.08,22.190001,691300,21.879725
2015-12-02,22.99,22.99,22.52,22.549999,664800,22.23469
2015-12-01,22.93,23.09,22.870001,23.08,504900,22.75728
2015-11-30,22.860001,23.02,22.68,22.85,874500,22.530497
2015-11-27,22.57,22.92,22.57,22.82,343900,22.500916
2015-11-25,22.620001,22.790001,22.540001,22.66,456900,22.343153
2015-11-24,22.440001,22.68,22.27,22.65,826900,22.333293
2015-11-23,22.34,22.57,22.34,22.559999,480900,22.244551
2015-11-20,22.09,22.49,22.01,22.370001,556000,22.057209
2015-11-19,21.84,22.01,21.75,21.940001,352400,21.633221
2015-11-18,21.68,21.85,21.459999,21.799999,484200,21.495177
2015-11-17,21.24,21.84,21.24,21.60,532200,21.297975
2015-11-16,21.24,21.459999,21.110001,21.450001,404400,21.150073
2015-11-13,21.440001,21.60,21.219999,21.219999,488700,20.923287
2015-11-12,21.66,21.74,21.43,21.459999,358300,21.159931
2015-11-11,21.74,21.879999,21.68,21.74,410900,21.436017
2015-11-10,21.51,21.77,21.49,21.709999,364500,21.406436
2015-11-09,21.66,21.76,21.33,21.51,984800,21.209233
2015-11-06,22.120001,22.209999,21.610001,21.780001,747400,21.475458
2015-11-05,22.139999,22.290001,21.889999,22.290001,552800,21.978328
2015-11-04,22.209999,22.280001,21.98,22.110001,726100,21.800844
2015-11-03,22.10,22.24,21.870001,22.209999,526300,21.899444
2015-11-02,21.75,22.209999,21.67,22.200001,967700,21.889586
2015-10-30,22.27,22.43,21.68,21.68,1386900,21.376856
2015-10-29,22.389999,22.780001,22.15,22.280001,770500,21.968467
2015-10-28,22.43,22.780001,22.10,22.620001,621500,22.303713
2015-10-27,22.41,22.59,22.209999,22.42,544400,22.106509
2015-10-26,22.389999,22.49,22.219999,22.450001,270600,22.13609
2015-10-23,22.59,22.690001,22.040001,22.41,512200,22.096649
2015-10-22,22.23,22.58,22.23,22.530001,513400,22.214971
2015-10-21,22.299999,22.34,22.110001,22.129999,392500,21.820563
2015-10-20,22.17,22.35,22.110001,22.190001,534600,21.879725
2015-10-19,21.90,22.25,21.90,22.24,412300,21.929026
2015-10-16,21.809999,21.98,21.76,21.959999,698900,21.65294
2015-10-15,21.59,21.83,21.51,21.809999,589100,21.505038
2015-10-14,21.809999,21.84,21.51,21.540001,872000,21.238815
2015-10-13,21.860001,22.08,21.700001,21.73,554700,21.426156
2015-10-12,21.889999,22.17,21.809999,21.99,562900,21.682521
2015-10-09,21.879999,21.889999,21.719999,21.82,519800,21.514898
2015-10-08,21.65,21.860001,21.610001,21.85,736700,21.544479
2015-10-07,21.41,21.709999,21.34,21.690001,1145300,21.386717
2015-10-06,21.58,21.73,21.379999,21.41,643200,21.110631
2015-10-05,21.26,21.59,21.200001,21.58,945200,21.278254
2015-10-02,21.01,21.16,20.74,21.139999,1295100,20.844406
2015-10-01,21.01,21.110001,20.780001,21.08,1017600,20.785246
2015-09-30,21.25,21.33,20.950001,20.950001,2092700,20.657064
2015-09-29,20.780001,21.24,20.65,21.110001,1982500,20.814827
2015-09-28,20.48,20.709999,20.41,20.639999,1857300,20.351397
2015-09-25,20.76,20.91,20.57,20.709999,1300700,20.294208
2015-09-24,20.790001,20.91,20.540001,20.690001,842400,20.274611
2015-09-23,20.52,20.99,20.42,20.85,1429000,20.431399
2015-09-22,20.50,20.719999,20.40,20.450001,667800,20.03943
2015-09-21,20.57,20.90,20.540001,20.74,903000,20.323607
2015-09-18,20.27,20.67,20.219999,20.559999,1581700,20.14722
2015-09-17,20.120001,20.709999,20.07,20.42,862600,20.010032
2015-09-16,19.790001,20.18,19.73,20.139999,699400,19.735652
2015-09-15,19.75,19.83,19.60,19.799999,1764600,19.402478
2015-09-14,19.74,19.82,19.51,19.73,848300,19.333884
2015-09-11,19.309999,19.700001,19.24,19.68,1021000,19.284889
2015-09-10,19.10,19.540001,19.059999,19.360001,982200,18.971314
2015-09-09,19.469999,19.50,19.120001,19.15,1037600,18.765529
2015-09-08,19.290001,19.41,19.129999,19.33,959200,18.941915
2015-09-04,19.139999,19.26,18.85,19.02,714300,18.638139
2015-09-03,19.379999,19.59,19.23,19.389999,1091900,19.00071
2015-09-02,18.959999,19.02,18.709999,19.00,1032000,18.618541
2015-09-01,19.01,19.139999,18.540001,18.690001,1016500,18.314765
2015-08-31,19.50,19.690001,19.379999,19.389999,1812300,19.00071
2015-08-28,19.610001,19.639999,19.290001,19.60,1566200,19.206495
2015-08-27,19.469999,19.82,19.32,19.639999,1366400,19.245691
2015-08-26,19.24,19.32,18.93,19.27,1268400,18.88312
2015-08-25,19.83,19.83,18.83,18.860001,1751400,18.481352
2015-08-24,19.66,19.889999,19.129999,19.200001,1425100,18.814526
2015-08-21,20.58,20.780001,20.440001,20.450001,875800,20.03943
2015-08-20,20.84,21.110001,20.780001,20.940001,737100,20.519592
2015-08-19,21.200001,21.200001,20.870001,20.92,1633700,20.499993
2015-08-18,21.40,21.40,21.16,21.24,1600700,20.813568
2015-08-17,21.200001,21.43,20.959999,21.43,1488400,20.999754
2015-08-14,20.99,21.26,20.889999,21.17,765300,20.744974
2015-08-13,21.110001,21.139999,20.809999,21.00,1025000,20.578387
2015-08-12,20.76,21.129999,20.76,21.110001,1864400,20.686179
2015-08-11,20.75,20.99,20.66,20.860001,1132700,20.441198
2015-08-10,21.110001,21.110001,20.75,20.84,624700,20.421599
2015-08-07,20.59,21.01,20.459999,20.99,628200,20.568588
2015-08-06,20.74,20.940001,20.440001,20.68,1434200,20.264812
2015-08-05,21.049999,21.129999,20.68,20.76,717900,20.343206
2015-08-04,20.99,21.24,20.90,21.049999,1080700,20.627382
2015-08-03,20.969999,21.040001,20.77,20.98,933400,20.558788
2015-07-31,20.40,21.049999,20.190001,20.940001,2291000,20.519592
2015-07-30,19.91,20.10,19.790001,20.09,707300,19.686657
2015-07-29,19.77,20.10,19.65,19.969999,469200,19.569065
2015-07-28,19.870001,19.959999,19.75,19.780001,492500,19.382881
2015-07-27,19.969999,20.15,19.84,19.860001,528200,19.461275
2015-07-24,19.690001,20.049999,19.67,19.950001,1024000,19.549468
2015-07-23,20.10,20.10,19.610001,19.77,730600,19.373082
2015-07-22,20.049999,20.24,20.02,20.049999,363300,19.647459
2015-07-21,19.99,20.190001,19.870001,20.07,605600,19.667058
2015-07-20,20.00,20.110001,19.809999,20.01,645500,19.608263
2015-07-17,20.059999,20.110001,19.889999,20.030001,492500,19.627862
2015-07-16,20.02,20.139999,20.01,20.110001,357300,19.706256
2015-07-15,19.879999,20.049999,19.83,19.950001,541900,19.549468
2015-07-14,19.940001,20.059999,19.790001,19.950001,429200,19.549468
2015-07-13,19.84,20.09,19.799999,19.92,688700,19.52007
2015-07-10,19.48,19.91,19.48,19.73,659600,19.333884
2015-07-09,19.58,19.629999,19.379999,19.41,997800,19.020309
2015-07-08,19.48,19.67,19.41,19.450001,1042900,19.059507
2015-07-07,19.459999,19.66,19.459999,19.57,1486400,19.177097
2015-07-06,19.190001,19.469999,19.190001,19.360001,1129400,18.971314
2015-07-02,19.280001,19.60,19.23,19.33,1038300,18.941915
2015-07-01,18.73,19.049999,18.67,19.049999,917200,18.667536
2015-06-30,19.01,19.01,18.66,18.73,1153500,18.353961
2015-06-29,19.17,19.41,18.82,18.83,632700,18.451954
2015-06-26,19.27,19.299999,19.08,19.24,1648200,18.853722
2015-06-25,19.51,19.629999,19.35,19.35,1945400,18.836084
2015-06-24,19.639999,19.75,19.459999,19.469999,678100,18.952896
2015-06-23,19.57,19.75,19.51,19.57,532300,19.05024
2015-06-22,19.870001,20.040001,19.639999,19.66,602800,19.13785
2015-06-19,19.84,19.969999,19.65,19.85,1681500,19.322804
2015-06-18,19.709999,20.09,19.690001,19.98,1485300,19.449351
2015-06-17,19.67,19.73,19.48,19.66,664600,19.13785
2015-06-16,19.49,19.780001,19.379999,19.60,3055300,19.079444
2015-06-15,19.60,19.60,19.35,19.49,950700,18.972365
2015-06-12,19.60,19.68,19.50,19.620001,321300,19.098913
2015-06-11,19.629999,19.690001,19.540001,19.620001,486700,19.098913
2015-06-10,19.24,19.700001,19.209999,19.51,771500,18.991834
2015-06-09,19.41,19.440001,19.15,19.23,499300,18.71927
2015-06-08,19.42,19.540001,19.25,19.41,479400,18.89449
2015-06-05,19.32,19.50,19.16,19.40,479600,18.884755
2015-06-04,19.51,19.60,19.379999,19.469999,403900,18.952896
2015-06-03,19.75,19.799999,19.43,19.58,585200,19.059975
2015-06-02,19.75,19.85,19.530001,19.74,657000,19.215725
2015-06-01,19.549999,19.889999,19.35,19.870001,849000,19.342274
2015-05-29,19.68,19.74,19.41,19.51,2014000,18.991834
2015-05-28,19.799999,19.879999,19.57,19.74,859600,19.215725
2015-05-27,19.690001,19.889999,19.60,19.860001,375900,19.332539
2015-05-26,19.90,19.90,19.610001,19.66,376600,19.13785
2015-05-22,19.959999,20.15,19.83,19.98,460800,19.449351
2015-05-21,20.35,20.35,19.870001,19.99,500200,19.459085
2015-05-20,20.379999,20.459999,20.190001,20.34,514100,19.79979
2015-05-19,20.280001,20.450001,20.209999,20.389999,573800,19.848461
2015-05-18,20.309999,20.459999,20.120001,20.42,701800,19.877665
2015-05-15,20.26,20.42,20.110001,20.40,385000,19.858196
2015-05-14,19.99,20.209999,19.879999,20.200001,488800,19.663509
2015-05-13,20.16,20.290001,19.76,19.83,431800,19.303335
2015-05-12,19.93,20.15,19.68,20.040001,552000,19.507759
2015-05-11,20.389999,20.469999,19.950001,20.09,494000,19.55643
2015-05-08,20.389999,20.719999,20.25,20.41,515700,19.867931
2015-05-07,19.799999,20.18,19.780001,20.129999,984000,19.595367
2015-05-06,19.82,19.969999,19.66,19.790001,1376200,19.264398
2015-05-05,20.00,20.08,19.700001,19.82,1494100,19.2936
2015-05-04,20.040001,20.129999,19.99,20.110001,820000,19.575899
2015-05-01,19.75,20.07,19.709999,19.959999,923100,19.429882
2015-04-30,19.780001,19.860001,19.459999,19.73,1129400,19.205991
2015-04-29,19.99,20.10,19.809999,19.98,670300,19.449351
2015-04-28,20.040001,20.209999,19.959999,20.16,388200,19.624571
2015-04-27,20.25,20.389999,19.98,20.01,922700,19.478555
2015-04-24,20.190001,20.459999,19.99,20.15,996100,19.614836
2015-04-23,20.18,20.32,19.959999,20.120001,671800,19.585634
2015-04-22,20.290001,20.41,20.040001,20.190001,564100,19.653774
2015-04-21,20.73,20.73,20.290001,20.290001,694000,19.751119
2015-04-20,20.18,20.50,20.129999,20.360001,633900,19.819259
2015-04-17,20.24,20.370001,19.879999,20.049999,401400,19.517491
2015-04-16,20.370001,20.530001,20.25,20.35,355800,19.809525
2015-04-15,20.60,20.75,20.42,20.450001,271900,19.906869
2015-04-14,20.58,20.65,20.469999,20.52,466600,19.97501
2015-04-13,20.280001,20.549999,20.25,20.469999,378500,19.926337
2015-04-10,20.629999,20.76,20.190001,20.25,705900,19.71218
2015-04-09,20.99,21.02,20.379999,20.450001,240900,19.906869
2015-04-08,21.129999,21.280001,20.90,21.00,661700,20.442261
2015-04-07,21.540001,21.67,21.10,21.139999,859800,20.578542
2015-04-06,21.389999,21.58,21.389999,21.530001,645800,20.958186
2015-04-02,21.23,21.450001,21.219999,21.379999,1167800,20.812168
2015-04-01,21.59,21.59,21.120001,21.33,363300,20.763497
2015-03-31,21.120001,21.48,21.02,21.43,957200,20.860841
2015-03-30,20.940001,21.209999,20.879999,21.200001,376700,20.63695
2015-03-27,20.73,20.870001,20.59,20.860001,448800,20.30598
2015-03-26,21.02,21.25,20.76,20.77,486900,20.09377
2015-03-25,21.700001,21.73,21.08,21.129999,545600,20.442048
2015-03-24,21.870001,21.870001,21.559999,21.65,634600,20.945118
2015-03-23,21.799999,22.059999,21.780001,21.93,423000,21.216003
2015-03-20,21.33,21.91,21.33,21.83,599600,21.119258
2015-03-19,21.280001,21.51,21.219999,21.25,306200,20.558142
2015-03-18,20.92,21.43,20.700001,21.40,299000,20.703258
2015-03-17,20.780001,21.07,20.73,20.90,343900,20.219537
2015-03-16,20.93,21.17,20.75,20.83,562100,20.151816
2015-03-13,20.76,20.84,20.58,20.799999,425600,20.122792
2015-03-12,20.35,20.75,20.26,20.73,556900,20.055072
2015-03-11,20.190001,20.360001,20.059999,20.16,665800,19.50363
2015-03-10,20.00,20.25,19.889999,20.139999,895800,19.484281
2015-03-09,20.15,20.26,19.98,20.09,455200,19.435909
2015-03-06,20.559999,20.559999,20.01,20.02,648200,19.368189
2015-03-05,20.92,21.18,20.799999,20.83,365900,20.151816
2015-03-04,21.15,21.219999,20.82,20.83,437100,20.151816
2015-03-03,21.26,21.27,21.049999,21.190001,474600,20.500096
2015-03-02,21.299999,21.66,21.24,21.299999,435700,20.606513
2015-02-27,21.35,21.40,21.129999,21.280001,936600,20.587166
2015-02-26,21.290001,21.469999,21.110001,21.290001,387000,20.596841
2015-02-25,21.370001,21.73,21.33,21.34,838800,20.645212
2015-02-24,21.92,21.92,21.34,21.379999,570300,20.683909
2015-02-23,21.76,22.040001,21.68,22.030001,398400,21.312747
2015-02-20,21.51,22.040001,21.469999,21.68,427400,20.974142
2015-02-19,21.790001,21.870001,21.299999,21.48,742500,20.780653
2015-02-18,21.799999,21.90,21.540001,21.879999,378000,21.16763
2015-02-17,21.52,21.940001,21.49,21.76,493200,21.051538
2015-02-13,21.700001,21.73,21.40,21.57,439400,20.867723
2015-02-12,21.459999,21.790001,21.34,21.700001,249600,20.993492
2015-02-11,21.50,21.60,21.23,21.33,326700,20.635537
2015-02-10,21.620001,21.66,21.209999,21.52,506600,20.819352
2015-02-09,21.68,21.940001,21.50,21.51,432800,20.809677
2015-02-06,22.15,22.17,21.68,21.700001,603600,20.993492
2015-02-05,21.950001,22.280001,21.91,22.24,494900,21.515909
2015-02-04,21.99,22.17,21.719999,21.91,444500,21.196654
2015-02-03,21.719999,22.120001,21.57,22.059999,843800,21.341769
2015-02-02,21.76,21.83,21.27,21.639999,559500,20.935444
2015-01-30,22.360001,22.459999,21.73,21.73,600100,21.022514
2015-01-29,22.360001,22.52,22.129999,22.450001,416600,21.719073
2015-01-28,22.469999,22.60,22.219999,22.25,480800,21.525584
2015-01-27,21.870001,22.549999,21.870001,22.32,825900,21.593305
2015-01-26,22.02,22.07,21.790001,22.030001,720500,21.312747
2015-01-23,22.030001,22.110001,21.860001,22.01,1107200,21.293398
2015-01-22,21.719999,22.10,21.57,21.950001,1857600,21.235352
2015-01-21,21.440001,21.620001,21.389999,21.549999,651400,20.848374
2015-01-20,21.860001,22.01,21.459999,21.51,553900,20.809677
2015-01-16,21.559999,21.860001,21.559999,21.799999,702000,21.090234
2015-01-15,22.059999,22.200001,21.57,21.67,849000,20.964468
2015-01-14,21.66,22.15,21.66,21.98,804700,21.264374
2015-01-13,22.23,22.23,21.719999,21.889999,743100,21.177304
2015-01-12,21.809999,22.07,21.709999,22.049999,410600,21.332095
2015-01-09,21.83,21.99,21.620001,21.83,402600,21.119258
2015-01-08,21.75,21.959999,21.610001,21.82,642700,21.109584
2015-01-07,21.120001,21.74,20.940001,21.73,603300,21.022514
2015-01-06,20.790001,21.049999,20.629999,21.030001,883600,20.345305
2015-01-05,20.68,20.99,20.549999,20.85,307700,20.171166
2015-01-02,20.709999,20.84,20.58,20.799999,338300,20.122792
2014-12-31,21.030001,21.209999,20.540001,20.559999,437400,19.890607
2014-12-30,21.08,21.25,20.870001,20.950001,323700,20.26791
2014-12-29,21.00,21.23,20.99,21.16,360800,20.471072
2014-12-26,21.08,21.16,20.99,21.059999,183700,20.275648
2014-12-24,21.059999,21.139999,20.92,20.98,145700,20.198627
2014-12-23,20.950001,21.10,20.799999,21.030001,317400,20.246766
2014-12-22,20.51,20.889999,20.51,20.879999,296200,20.102351
