Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,17.35,17.40,17.27,17.32,47000,17.32
2016-04-18,17.200001,17.35,17.200001,17.32,41000,17.32
2016-04-15,17.190001,17.299999,17.129999,17.280001,41200,17.280001
2016-04-14,17.17,17.200001,17.00,17.200001,34300,17.200001
2016-04-13,17.07,17.200001,16.889999,17.18,62000,17.18
2016-04-12,17.09,17.15,16.879999,17.07,109500,16.888
2016-04-11,17.17,17.200001,16.99,17.09,85900,16.907787
2016-04-08,17.190001,17.280001,16.99,17.15,50600,16.967147
2016-04-07,17.049999,17.15,17.049999,17.129999,52700,16.94736
2016-04-06,17.049999,17.190001,17.049999,17.08,43600,16.897894
2016-04-05,17.25,17.27,17.00,17.09,77100,16.907787
2016-04-04,17.27,17.290001,17.15,17.27,64900,17.085868
2016-04-01,17.040001,17.299999,17.040001,17.209999,42300,17.026507
2016-03-31,17.09,17.129999,16.950001,16.99,91300,16.808853
2016-03-30,16.99,17.10,16.959999,17.10,38200,16.917681
2016-03-29,16.790001,16.99,16.790001,16.99,55500,16.808853
2016-03-28,16.98,17.07,16.77,16.82,66800,16.640666
2016-03-24,16.969999,17.07,16.82,16.93,94200,16.749493
2016-03-23,16.75,17.00,16.629999,16.950001,36900,16.769281
2016-03-22,16.809999,16.85,16.74,16.76,43900,16.581306
2016-03-21,16.530001,16.799999,16.49,16.799999,44300,16.620878
2016-03-18,16.469999,16.58,16.42,16.559999,67000,16.383437
2016-03-17,16.51,16.65,16.35,16.42,111700,16.244931
2016-03-16,16.17,16.620001,16.129999,16.60,56900,16.423012
2016-03-15,16.129999,16.219999,16.110001,16.120001,31100,15.94813
2016-03-14,16.10,16.190001,16.059999,16.110001,65100,15.938236
2016-03-11,16.16,16.360001,15.97,16.049999,76200,15.878875
2016-03-10,16.35,16.48,16.07,16.219999,66500,15.867002
2016-03-09,16.26,16.42,16.15,16.360001,91500,16.003957
2016-03-08,16.209999,16.26,16.17,16.26,46200,15.906132
2016-03-07,16.24,16.290001,16.18,16.27,68100,15.915915
2016-03-04,16.209999,16.27,16.139999,16.26,76500,15.906132
2016-03-03,16.049999,16.200001,16.00,16.16,66700,15.808308
2016-03-02,15.95,16.10,15.89,16.059999,69400,15.710484
2016-03-01,16.00,16.15,15.83,15.99,105600,15.642008
2016-02-29,15.89,15.91,15.53,15.89,131600,15.544185
2016-02-26,15.63,15.83,15.51,15.83,66200,15.48549
2016-02-25,15.60,15.79,15.36,15.55,62900,15.211584
2016-02-24,15.44,15.62,15.40,15.59,122100,15.250714
2016-02-23,15.35,15.48,15.31,15.40,25400,15.064848
2016-02-22,15.41,15.50,15.34,15.38,42700,15.045284
2016-02-19,15.31,15.41,15.26,15.32,54600,14.986589
2016-02-18,15.24,15.43,15.17,15.36,56500,15.025719
2016-02-17,15.18,15.32,15.14,15.22,77000,14.888766
2016-02-16,15.25,15.35,15.04,15.11,86000,14.781159
2016-02-12,15.11,15.24,15.05,15.10,71400,14.771378
2016-02-11,15.20,15.32,15.06,15.06,103900,14.732248
2016-02-10,16.01,16.209999,15.46,15.46,124900,15.123543
2016-02-09,16.18,16.32,16.049999,16.049999,107300,15.522663
2016-02-08,16.200001,16.309999,16.030001,16.299999,115400,15.764449
2016-02-05,16.219999,16.32,16.139999,16.25,81600,15.716092
2016-02-04,16.309999,16.40,16.219999,16.23,41100,15.696749
2016-02-03,16.309999,16.379999,16.110001,16.32,59800,15.783792
2016-02-02,16.07,16.34,16.07,16.18,45200,15.648392
2016-02-01,16.15,16.370001,16.02,16.139999,61700,15.609706
2016-01-29,16.02,16.15,15.95,16.129999,77100,15.600034
2016-01-28,15.78,15.90,15.70,15.89,71900,15.367921
2016-01-27,15.84,15.88,15.65,15.75,45800,15.23252
2016-01-26,15.75,15.84,15.70,15.82,50600,15.30022
2016-01-25,15.82,15.84,15.63,15.66,94300,15.145477
2016-01-22,15.42,15.77,15.42,15.74,71000,15.222848
2016-01-21,15.23,15.57,15.10,15.28,74300,14.777962
2016-01-20,15.43,15.51,15.00,15.17,86800,14.671577
2016-01-19,15.56,15.75,15.47,15.68,113100,15.16482
2016-01-15,15.34,15.85,15.33,15.45,125700,14.942377
2016-01-14,16.200001,16.27,15.55,15.94,172500,15.416277
2016-01-13,16.74,16.74,16.08,16.10,72800,15.571021
2016-01-12,16.870001,17.00,16.530001,16.85,115300,16.12036
2016-01-11,16.719999,16.83,16.60,16.83,61000,16.101225
2016-01-08,17.01,17.01,16.60,16.60,46900,15.881185
2016-01-07,16.83,17.00,16.83,16.889999,74400,16.158627
2016-01-06,17.049999,17.190001,16.83,16.950001,59200,16.21603
2016-01-05,17.51,17.51,17.10,17.190001,44700,16.445637
2016-01-04,16.610001,17.530001,16.610001,17.48,124300,16.723079
2015-12-31,16.620001,16.84,16.60,16.83,90300,16.101225
2015-12-30,16.700001,16.74,16.549999,16.620001,57300,15.90032
2015-12-29,16.74,16.90,16.540001,16.74,127200,16.015122
2015-12-28,17.00,17.030001,16.610001,16.74,129300,16.015122
2015-12-24,17.00,17.049999,16.870001,17.030001,37300,16.292566
2015-12-23,16.940001,17.08,16.82,16.950001,91500,16.21603
2015-12-22,16.66,16.98,16.610001,16.82,49700,16.091658
2015-12-21,17.01,17.01,16.610001,16.76,78100,16.034257
2015-12-18,16.90,17.10,16.90,17.040001,44900,16.302133
2015-12-17,16.92,17.030001,16.92,16.99,84000,16.254297
