Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,10.05,10.15,10.05,10.10,49500,10.10
2016-04-18,9.99,10.09,9.91,10.05,48200,10.05
2016-04-15,9.99,10.00,9.90,9.98,30400,9.98
2016-04-14,10.04,10.05,10.00,10.00,36800,10.00
2016-04-13,9.98,10.08,9.98,10.04,54100,10.04
2016-04-12,9.87,9.98,9.87,9.97,41300,9.97
2016-04-11,10.02,10.05,9.89,9.91,30900,9.91
2016-04-08,10.07,10.08,9.97,9.98,31900,9.98
2016-04-07,10.02,10.07,9.98,9.98,35000,9.98
2016-04-06,9.84,10.05,9.84,10.04,39400,10.04
2016-04-05,9.95,9.95,9.86,9.86,79300,9.86
2016-04-04,9.94,10.02,9.94,9.98,27100,9.98
2016-04-01,9.78,9.96,9.78,9.96,31600,9.96
2016-03-31,9.86,9.98,9.84,9.87,57300,9.87
2016-03-30,9.89,9.94,9.85,9.86,56500,9.86
2016-03-29,9.75,9.83,9.71,9.79,40100,9.79
2016-03-28,9.76,9.83,9.72,9.73,37100,9.73
2016-03-24,9.81,9.87,9.76,9.76,69300,9.76
2016-03-23,9.82,9.89,9.77,9.81,32300,9.81
2016-03-22,9.73,9.88,9.73,9.88,40200,9.88
2016-03-21,9.74,9.84,9.73,9.79,55600,9.79
2016-03-18,9.71,9.80,9.71,9.77,73900,9.77
2016-03-17,9.76,9.76,9.67,9.70,68100,9.70
2016-03-16,9.71,9.77,9.63,9.75,41400,9.75
2016-03-15,9.82,9.85,9.76,9.80,20200,9.80
2016-03-14,9.90,9.94,9.81,9.90,44900,9.90
2016-03-11,9.98,10.03,9.98,10.02,22800,9.890001
2016-03-10,9.91,9.99,9.87,9.89,28600,9.761687
2016-03-09,9.92,9.95,9.90,9.94,24000,9.811038
2016-03-08,9.94,9.97,9.87,9.87,17400,9.741946
2016-03-07,9.87,10.00,9.83,9.94,49600,9.811038
2016-03-04,9.89,10.00,9.84,9.94,27100,9.811038
2016-03-03,9.88,9.90,9.84,9.90,31400,9.771557
2016-03-02,9.78,9.88,9.78,9.86,36000,9.732076
2016-03-01,9.70,9.83,9.67,9.77,32800,9.643244
2016-02-29,9.79,9.79,9.67,9.67,23500,9.544541
2016-02-26,9.76,9.80,9.75,9.77,22000,9.643244
2016-02-25,9.54,9.68,9.54,9.68,19100,9.554412
2016-02-24,9.45,9.56,9.42,9.54,27100,9.416228
2016-02-23,9.57,9.60,9.50,9.52,24000,9.396488
2016-02-22,9.52,9.66,9.52,9.59,45400,9.465579
2016-02-19,9.45,9.50,9.38,9.43,36700,9.307655
2016-02-18,9.45,9.51,9.42,9.47,21800,9.347136
2016-02-17,9.28,9.45,9.28,9.44,38100,9.317525
2016-02-16,9.11,9.25,9.10,9.19,54000,9.070768
2016-02-12,8.98,9.07,8.98,9.02,55300,8.902975
2016-02-11,8.95,9.01,8.89,8.96,37300,8.843753
2016-02-10,9.11,9.22,9.08,9.08,27600,8.962196
2016-02-09,8.99,9.21,8.94,9.02,54900,8.902975
2016-02-08,9.20,9.20,9.00,9.11,42200,8.991806
2016-02-05,9.47,9.52,9.24,9.26,52700,9.139861
2016-02-04,9.41,9.53,9.41,9.47,29400,9.347136
2016-02-03,9.34,9.47,9.25,9.46,42100,9.337266
2016-02-02,9.35,9.38,9.27,9.27,54500,9.149731
2016-02-01,9.21,9.39,9.21,9.35,45100,9.228693
2016-01-29,9.06,9.24,9.06,9.23,27400,9.110249
2016-01-28,9.24,9.24,9.02,9.05,47800,8.932585
2016-01-27,9.17,9.28,9.08,9.11,27200,8.991806
2016-01-26,9.13,9.22,9.11,9.18,85800,9.060899
2016-01-25,9.20,9.26,9.08,9.08,47900,8.962196
2016-01-22,9.10,9.25,9.10,9.21,51500,9.090509
2016-01-21,8.97,9.23,8.94,9.02,27200,8.902975
2016-01-20,9.06,9.06,8.68,8.98,94600,8.863493
2016-01-19,9.32,9.43,9.11,9.16,44700,9.041158
2016-01-15,9.40,9.45,9.16,9.25,62000,9.12999
2016-01-14,9.50,9.58,9.41,9.58,33100,9.455709
2016-01-13,9.71,9.71,9.39,9.46,44400,9.337266
2016-01-12,9.73,9.76,9.56,9.69,28400,9.564281
2016-01-11,9.74,9.77,9.60,9.65,72400,9.5248
2016-01-08,9.88,9.89,9.71,9.74,37400,9.613633
2016-01-07,9.84,9.95,9.80,9.80,48600,9.672855
2016-01-06,10.00,10.11,9.97,10.01,31500,9.88013
2016-01-05,10.10,10.18,10.10,10.14,12000,10.008444
2016-01-04,10.10,10.14,10.01,10.09,21900,9.959092
2015-12-31,10.22,10.31,10.21,10.25,22700,10.117016
2015-12-30,10.27,10.28,10.21,10.22,22500,10.087406
2015-12-29,10.24,10.28,10.21,10.27,24000,10.136757
2015-12-28,10.16,10.23,10.12,10.16,20000,10.028184
2015-12-24,10.27,10.28,10.16,10.24,24600,10.107146
2015-12-23,10.15,10.31,10.11,10.26,42400,10.126887
2015-12-22,10.18,10.18,10.09,10.13,34600,9.998573
2015-12-21,10.11,10.16,10.03,10.11,34500,9.978832
2015-12-18,10.16,10.16,9.98,10.02,38600,9.890001
2015-12-17,10.13,10.21,10.07,10.11,35100,9.978832
2015-12-16,10.11,10.13,9.92,10.13,45600,9.998573
2015-12-15,9.92,10.08,9.92,10.02,40700,9.890001
2015-12-14,10.00,10.01,9.82,9.90,75300,9.771557
2015-12-11,10.01,10.03,9.89,9.98,27900,9.850519
2015-12-10,10.03,10.13,10.03,10.10,27900,9.968963
2015-12-09,10.12,10.14,9.98,10.08,53400,9.949222
2015-12-08,10.16,10.23,10.10,10.23,20700,9.968961
2015-12-07,10.16,10.22,10.13,10.21,22000,9.949472
2015-12-04,10.20,10.25,10.14,10.22,30400,9.959217
2015-12-03,10.32,10.32,10.12,10.14,30000,9.881259
2015-12-02,10.33,10.40,10.25,10.27,23200,10.007942
2015-12-01,10.26,10.33,10.17,10.29,17100,10.027431
2015-11-30,10.28,10.28,10.15,10.20,16800,9.939727
2015-11-27,10.27,10.35,10.27,10.28,9200,10.017686
2015-11-25,10.17,10.20,10.15,10.20,15400,9.939727
2015-11-24,10.16,10.18,10.08,10.18,17500,9.920238
2015-11-23,10.16,10.18,10.04,10.15,31900,9.891003
2015-11-20,10.07,10.18,10.05,10.16,29000,9.900748
2015-11-19,10.23,10.23,10.02,10.04,31900,9.78381
2015-11-18,10.13,10.20,10.06,10.19,28000,9.929982
2015-11-17,10.04,10.13,9.96,10.10,30400,9.842279
2015-11-16,10.07,10.07,9.92,10.00,69200,9.744831
2015-11-13,10.07,10.12,10.01,10.03,19900,9.774065
2015-11-12,10.11,10.17,10.08,10.10,11000,9.842279
2015-11-11,10.30,10.30,10.13,10.16,21800,9.900748
2015-11-10,10.14,10.25,10.12,10.25,13700,9.988451
2015-11-09,10.27,10.27,10.10,10.12,32300,9.861769
2015-11-06,10.35,10.39,10.20,10.26,51100,9.998197
2015-11-05,10.35,10.44,10.35,10.38,35500,10.115134
2015-11-04,10.49,10.54,10.36,10.38,25900,10.115134
2015-11-03,10.38,10.64,10.30,10.48,65800,10.212582
2015-11-02,10.24,10.38,10.24,10.36,28200,10.095644
2015-10-30,10.28,10.30,10.20,10.21,42000,9.949472
2015-10-29,10.22,10.28,10.21,10.24,28700,9.978706
2015-10-28,10.22,10.23,10.10,10.20,70700,9.939727
2015-10-27,10.12,10.23,10.12,10.19,29600,9.929982
2015-10-26,10.17,10.17,10.10,10.15,39700,9.891003
2015-10-23,10.15,10.19,10.00,10.13,33400,9.871514
2015-10-22,10.02,10.07,9.96,10.03,59000,9.774065
2015-10-21,10.20,10.20,9.96,9.96,50800,9.705851
2015-10-20,10.20,10.28,10.12,10.14,30200,9.881259
2015-10-19,10.16,10.23,10.12,10.16,29800,9.900748
2015-10-16,10.08,10.16,10.08,10.15,26600,9.891003
2015-10-15,10.02,10.17,9.97,10.14,29900,9.881259
2015-10-14,10.03,10.06,9.97,9.98,20900,9.725341
2015-10-13,10.01,10.15,10.01,10.05,45700,9.793555
2015-10-12,10.10,10.10,10.02,10.06,18600,9.8033
2015-10-09,10.05,10.12,10.00,10.07,27600,9.813044
2015-10-08,10.04,10.09,9.84,9.99,63200,9.735086
2015-10-07,9.86,10.14,9.82,10.05,77100,9.793555
2015-10-06,9.92,9.93,9.70,9.79,139600,9.540189
2015-10-05,9.87,9.98,9.78,9.89,56300,9.637638
2015-10-02,9.55,9.83,9.47,9.81,32600,9.559679
2015-10-01,9.62,9.74,9.60,9.72,44900,9.471976
2015-09-30,9.76,9.86,9.64,9.69,62100,9.442741
2015-09-29,9.71,9.86,9.56,9.71,52600,9.462231
2015-09-28,10.05,10.09,9.66,9.67,108000,9.423251
2015-09-25,10.20,10.26,9.95,10.06,80800,9.8033
2015-09-24,10.26,10.32,10.20,10.24,65000,9.978706
2015-09-23,10.43,10.44,10.26,10.31,41100,10.046921
2015-09-22,10.33,10.39,10.29,10.34,30300,10.076155
2015-09-21,10.61,10.64,10.31,10.43,65000,10.163859
2015-09-18,10.52,10.67,10.15,10.58,51800,10.310031
2015-09-17,10.42,10.60,10.32,10.55,64900,10.280797
2015-09-16,10.38,10.42,10.31,10.38,29400,10.115134
2015-09-15,10.28,10.36,10.23,10.34,48800,10.076155
2015-09-14,10.34,10.41,10.25,10.29,70600,10.027431
2015-09-11,10.47,10.58,10.40,10.43,75400,10.037176
2015-09-10,10.47,10.60,10.36,10.47,71200,10.075669
2015-09-09,10.64,10.64,10.43,10.47,57700,10.075669
2015-09-08,10.49,10.69,10.41,10.52,50400,10.123786
2015-09-04,10.25,10.31,10.25,10.31,36600,9.921696
2015-09-03,10.32,10.49,10.31,10.35,66900,9.960189
2015-09-02,10.35,10.37,10.26,10.30,33000,9.912072
2015-09-01,10.25,10.38,10.22,10.23,50300,9.844708
2015-08-31,10.65,10.68,10.37,10.40,143100,10.008305
2015-08-28,10.55,10.76,10.55,10.67,62000,10.268137
2015-08-27,10.47,10.60,10.44,10.56,62500,10.16228
2015-08-26,10.58,10.58,10.18,10.37,70700,9.979435
2015-08-25,10.33,10.58,10.33,10.34,63000,9.950566
2015-08-24,10.29,10.35,9.66,10.25,214000,9.863955
2015-08-21,10.83,10.83,10.49,10.60,165400,10.200773
2015-08-20,11.04,11.15,10.93,10.97,169300,10.556838
2015-08-19,11.12,11.26,11.10,11.19,190600,10.768551
2015-08-18,11.47,11.47,11.33,11.35,17500,10.922526
2015-08-17,11.36,11.46,11.26,11.44,26500,11.009136
2015-08-14,11.35,11.37,11.29,11.35,12900,10.922526
2015-08-13,11.26,11.37,11.22,11.31,16800,10.884033
2015-08-12,11.14,11.36,11.14,11.35,51000,10.922526
2015-08-11,11.21,11.32,11.17,11.24,35200,10.816669
2015-08-10,11.37,11.50,11.28,11.29,42400,10.864786
2015-08-07,11.35,11.35,11.22,11.27,17200,10.845539
2015-08-06,11.48,11.50,11.26,11.39,31800,10.96102
2015-08-05,11.42,11.50,11.38,11.45,23100,11.018759
2015-08-04,11.25,11.50,11.25,11.40,38200,10.970642
2015-08-03,11.38,11.40,11.26,11.27,23100,10.845539
2015-07-31,11.37,11.38,11.29,11.34,18500,10.912903
2015-07-30,11.28,11.33,11.18,11.29,30700,10.864786
2015-07-29,11.24,11.37,11.20,11.27,27900,10.845539
2015-07-28,11.23,11.34,11.11,11.27,29900,10.845539
2015-07-27,11.14,11.19,11.01,11.10,53900,10.681942
2015-07-24,11.43,11.43,11.17,11.25,26100,10.826292
2015-07-23,11.54,11.56,11.42,11.42,32100,10.989889
2015-07-22,11.45,11.56,11.33,11.49,32600,11.057253
2015-07-21,11.48,11.61,11.46,11.50,23400,11.066876
2015-07-20,11.41,11.56,11.40,11.46,26600,11.028383
2015-07-17,11.57,11.67,11.35,11.42,22800,10.989889
2015-07-16,11.59,11.65,11.45,11.54,71000,11.10537
2015-07-15,11.58,11.58,11.49,11.56,38100,11.124617
2015-07-14,11.48,11.58,11.43,11.58,31600,11.143863
2015-07-13,11.38,11.48,11.36,11.48,62200,11.047629
2015-07-10,11.20,11.29,11.19,11.26,60400,10.835916
2015-07-09,11.18,11.20,11.10,11.10,44800,10.681942
2015-07-08,11.23,11.25,11.10,11.10,12500,10.681942
2015-07-07,11.37,11.38,11.19,11.24,39500,10.816669
2015-07-06,11.30,11.38,11.30,11.37,35300,10.941772
2015-07-02,11.40,11.44,11.30,11.33,20800,10.903279
2015-07-01,11.34,11.42,11.28,11.40,64800,10.970642
2015-06-30,11.28,11.30,11.24,11.25,26300,10.826292
2015-06-29,11.29,11.29,11.19,11.19,35400,10.768551
2015-06-26,11.26,11.35,11.26,11.33,34100,10.903279
2015-06-25,11.25,11.32,11.24,11.26,91100,10.835916
2015-06-24,11.33,11.33,11.26,11.29,43000,10.864786
2015-06-23,11.36,11.36,11.22,11.30,37400,10.874409
2015-06-22,11.32,11.40,11.26,11.29,43100,10.864786
2015-06-19,11.26,11.39,11.20,11.26,55800,10.835916
2015-06-18,11.14,11.24,11.06,11.23,26800,10.807045
2015-06-17,11.05,11.10,11.04,11.10,28600,10.681942
2015-06-16,10.97,11.08,10.92,11.04,27000,10.624201
2015-06-15,10.97,11.08,10.89,10.98,101100,10.566461
2015-06-12,11.05,11.15,10.97,11.01,98800,10.595331
2015-06-11,11.20,11.20,11.12,11.18,58900,10.633825
2015-06-10,11.10,11.18,11.04,11.10,60500,10.557734
2015-06-09,11.03,11.07,10.97,11.05,56000,10.510176
2015-06-08,11.13,11.13,11.01,11.04,55500,10.500664
2015-06-05,11.13,11.15,11.05,11.13,63600,10.586268
2015-06-04,11.19,11.25,11.07,11.12,51900,10.576756
2015-06-03,11.33,11.33,11.23,11.28,32100,10.728939
2015-06-02,11.24,11.29,11.15,11.24,66800,10.690894
2015-06-01,11.30,11.39,11.21,11.23,45000,10.681382
2015-05-29,11.30,11.36,11.18,11.29,97800,10.738451
2015-05-28,11.41,11.41,11.28,11.31,38200,10.757475
2015-05-27,11.30,11.42,11.30,11.42,42900,10.8621
2015-05-26,11.44,11.45,11.26,11.27,26800,10.719429
2015-05-22,11.45,11.49,11.42,11.42,65700,10.8621
2015-05-21,11.50,11.51,11.40,11.43,34200,10.871612
2015-05-20,11.51,11.53,11.41,11.50,52500,10.938192
2015-05-19,11.44,11.46,11.40,11.43,67100,10.871612
2015-05-18,11.31,11.39,11.31,11.39,32400,10.833566
2015-05-15,11.27,11.32,11.27,11.31,34000,10.757475
2015-05-14,11.12,11.25,11.08,11.21,22800,10.662359
2015-05-13,11.13,11.15,11.04,11.11,39200,10.567244
2015-05-12,11.15,11.15,11.03,11.10,46800,10.557734
2015-05-11,11.15,11.23,11.13,11.15,33100,10.60529
2015-05-08,11.14,11.30,11.10,11.13,47900,10.586268
2015-05-07,11.00,11.15,11.00,11.08,38300,10.53871
2015-05-06,11.18,11.20,10.98,11.00,40500,10.462619
2015-05-05,11.25,11.25,11.10,11.11,37000,10.567244
2015-05-04,11.20,11.34,11.19,11.25,84800,10.700405
2015-05-01,11.22,11.23,11.13,11.19,37800,10.643336
2015-04-30,11.31,11.31,11.16,11.17,41700,10.624314
2015-04-29,11.25,11.31,11.25,11.30,28700,10.747963
2015-04-28,11.36,11.42,11.27,11.33,26300,10.776497
2015-04-27,11.53,11.60,11.36,11.36,63600,10.805031
2015-04-24,11.45,11.56,11.36,11.52,60100,10.957215
2015-04-23,11.40,11.46,11.38,11.45,47800,10.890635
2015-04-22,11.54,11.55,11.40,11.44,52400,10.881123
2015-04-21,11.48,11.53,11.47,11.50,52100,10.938192
2015-04-20,11.35,11.48,11.35,11.48,49300,10.919169
2015-04-17,11.39,11.43,11.33,11.34,56100,10.786009
2015-04-16,11.53,11.54,11.42,11.43,57400,10.871612
2015-04-15,11.56,11.63,11.47,11.50,69500,10.938192
2015-04-14,11.44,11.48,11.41,11.47,25600,10.909658
2015-04-13,11.55,11.57,11.40,11.41,73100,10.852589
2015-04-10,11.51,11.53,11.46,11.50,49100,10.938192
2015-04-09,11.42,11.52,11.38,11.49,75800,10.92868
2015-04-08,11.42,11.47,11.34,11.44,59300,10.881123
2015-04-07,11.25,11.47,11.25,11.39,78800,10.833566
2015-04-06,11.16,11.31,11.16,11.24,64100,10.690894
2015-04-02,11.14,11.22,11.14,11.17,36900,10.624314
2015-04-01,11.28,11.28,11.11,11.17,63800,10.624314
2015-03-31,11.30,11.38,11.25,11.26,29800,10.709917
