Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,9.56,9.60,9.41,9.60,17700,9.60
2016-04-18,9.30,9.50,9.23,9.40,49500,9.40
2016-04-15,9.18,9.19,9.06,9.17,2200,9.17
2016-04-14,9.21,9.21,9.12,9.20,10800,9.20
2016-04-13,9.06,9.23,9.06,9.16,17900,9.16
2016-04-12,9.01,9.05,8.99,9.01,5500,8.888
2016-04-11,8.83,8.95,8.83,8.95,2400,8.828812
2016-04-08,8.84,8.90,8.72,8.72,4900,8.601927
2016-04-07,8.74,8.76,8.74,8.74,500,8.621656
2016-04-06,8.67,8.69,8.67,8.69,300,8.572333
2016-04-05,8.87,8.87,8.58,8.58,4700,8.463822
2016-04-04,9.20,9.20,9.06,9.09,7800,8.966917
2016-04-01,9.23,9.23,9.08,9.08,500,8.957052
2016-03-31,9.17,9.17,9.07,9.10,900,8.976782
2016-03-30,8.96,9.06,8.96,9.03,3000,8.907729
2016-03-29,8.89,8.98,8.80,8.98,1100,8.858406
2016-03-28,9.01,9.01,9.00,9.00,1000,8.878135
2016-03-24,8.91,9.00,8.90,8.90,7300,8.779489
2016-03-23,8.86,9.02,8.78,9.00,5700,8.878135
2016-03-22,8.84,8.87,8.69,8.85,1600,8.730167
2016-03-21,8.91,8.98,8.82,8.98,2300,8.858406
2016-03-18,9.19,9.21,9.01,9.04,2200,8.917594
2016-03-17,8.85,9.50,8.80,9.17,13600,9.045834
2016-03-16,8.44,8.49,8.40,8.46,24700,8.345447
2016-03-15,8.67,8.67,8.57,8.61,5600,8.493416
2016-03-14,8.53,8.66,8.53,8.66,6900,8.542739
2016-03-11,8.28,8.57,8.28,8.32,3800,8.207343
2016-03-10,8.17,8.49,8.06,8.23,12200,8.118561
2016-03-09,7.98,8.14,7.88,8.01,12600,7.901541
2016-03-08,7.94,7.98,7.52,7.75,9400,7.645061
2016-03-07,8.01,8.16,7.94,8.12,4300,8.010051
2016-03-04,8.25,8.27,8.20,8.26,2400,8.148156
2016-03-03,8.27,8.44,8.10,8.31,9600,8.197479
2016-03-02,8.24,8.41,8.20,8.28,6100,8.167884
2016-03-01,8.21,8.56,8.03,8.47,20300,8.355312
2016-02-29,7.83,7.89,7.77,7.78,10300,7.674655
2016-02-26,7.17,7.26,7.17,7.26,500,7.161696
2016-02-25,7.29,7.33,7.17,7.29,11000,7.19129
2016-02-24,7.15,7.28,7.15,7.27,5400,7.17156
2016-02-23,7.30,7.76,7.25,7.29,10100,7.19129
2016-02-22,7.30,7.38,7.28,7.38,8200,7.280071
2016-02-19,7.22,7.34,7.22,7.28,7300,7.181425
2016-02-18,7.35,7.35,7.19,7.34,600,7.240613
2016-02-17,7.27,7.34,7.25,7.34,3600,7.240613
2016-02-16,7.30,7.30,7.20,7.20,900,7.102508
2016-02-12,7.40,7.40,7.31,7.40,3200,7.2998
2016-02-11,7.34,7.40,7.30,7.40,2200,7.2998
2016-02-10,7.60,7.60,7.36,7.48,3700,7.378717
2016-02-09,7.58,7.70,7.51,7.70,1700,7.595738
2016-02-08,7.74,7.74,7.54,7.70,1700,7.595738
2016-02-05,7.75,7.77,7.75,7.77,2800,7.66479
2016-02-04,7.68,7.77,7.65,7.65,3500,7.546415
2016-02-03,7.51,7.60,7.41,7.56,1800,7.457634
2016-02-02,7.55,7.59,7.26,7.35,41700,7.250477
2016-02-01,7.80,7.86,7.68,7.82,9200,7.714113
2016-01-29,7.97,8.08,7.87,7.96,6600,7.852218
2016-01-28,7.76,7.95,7.62,7.86,6200,7.753572
2016-01-27,7.91,7.91,7.85,7.85,600,7.743707
2016-01-26,7.94,7.94,7.78,7.94,6100,7.832488
2016-01-25,7.76,7.92,7.76,7.90,3600,7.79303
2016-01-22,7.83,7.85,7.61,7.61,4200,7.506957
2016-01-21,7.69,7.83,7.59,7.71,9600,7.605603
2016-01-20,8.02,8.02,7.87,7.99,8000,7.881811
2016-01-19,8.34,8.35,7.93,8.15,7000,8.039644
2016-01-15,8.41,8.44,8.21,8.24,17800,8.128426
2016-01-14,8.44,8.53,8.30,8.50,4800,8.384906
2016-01-13,8.80,8.82,8.66,8.67,72200,8.552604
2016-01-12,8.99,9.09,8.96,9.04,5300,8.917594
2016-01-11,9.00,9.16,8.96,8.96,6000,8.838677
2016-01-08,8.98,9.16,8.98,9.08,1200,8.957052
2016-01-07,8.99,9.12,8.95,9.02,9000,8.897865
2016-01-06,9.08,9.27,9.08,9.18,7800,9.055698
2016-01-05,9.15,9.33,9.10,9.25,12500,9.12475
