Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,37.049999,37.360001,36.68,36.869999,389200,36.869999
2016-04-18,36.32,36.959999,36.279999,36.84,347900,36.84
2016-04-15,36.470001,36.610001,35.939999,36.400002,531600,36.400002
2016-04-14,36.00,36.549999,35.959999,36.48,485700,36.48
2016-04-13,35.73,36.259998,35.330002,36.02,593900,36.02
2016-04-12,34.98,35.759998,34.919998,35.57,428800,35.57
2016-04-11,35.73,35.900002,34.790001,35.040001,374400,35.040001
2016-04-08,36.040001,36.09,35.34,35.57,326500,35.57
2016-04-07,35.73,36.139999,35.549999,35.849998,446400,35.849998
2016-04-06,35.639999,36.040001,35.59,35.900002,464300,35.900002
2016-04-05,36.619999,36.639999,35.599998,35.650002,600800,35.650002
2016-04-04,37.50,37.630001,36.73,36.830002,499900,36.830002
2016-04-01,37.50,37.560001,37.049999,37.470001,539700,37.470001
2016-03-31,37.259998,37.84,37.200001,37.630001,418800,37.630001
2016-03-30,37.049999,37.459999,36.639999,37.32,716700,37.32
2016-03-29,35.52,37.169998,35.52,37.169998,1011000,36.939998
2016-03-28,35.43,35.84,35.25,35.549999,265400,35.330023
2016-03-24,35.669998,35.900002,35.07,35.400002,841800,35.180954
2016-03-23,35.889999,36.360001,35.599998,35.900002,449300,35.67786
2016-03-22,35.549999,36.049999,35.27,35.91,392400,35.687796
2016-03-21,36.09,36.25,35.380001,35.73,457900,35.50891
2016-03-18,35.279999,36.23,35.130001,36.130001,774200,35.906436
2016-03-17,35.279999,35.380001,34.34,35.119999,444500,34.902684
2016-03-16,35.209999,35.709999,34.900002,35.299999,569900,35.08157
2016-03-15,36.16,36.439999,35.209999,35.23,559100,35.012003
2016-03-14,36.43,36.720001,35.919998,36.299999,327600,36.075382
2016-03-11,35.610001,36.669998,35.450001,36.57,625300,36.343712
2016-03-10,36.169998,36.310001,35.110001,35.380001,666600,35.161077
2016-03-09,35.57,36.34,35.299999,36.07,679300,35.846806
2016-03-08,35.810001,35.84,35.439999,35.48,741900,35.260457
2016-03-07,35.119999,35.939999,34.779999,35.91,800700,35.687796
2016-03-04,35.73,35.939999,35.029999,35.23,878100,35.012003
2016-03-03,35.82,36.400002,35.48,35.669998,860400,35.449279
2016-03-02,35.610001,36.150002,35.369999,35.900002,491900,35.67786
2016-03-01,35.259998,36.09,35.00,35.689999,684000,35.469156
2016-02-29,34.939999,35.52,34.939999,35.23,1058800,35.012003
2016-02-26,34.849998,35.450001,34.389999,34.990002,866900,34.773491
2016-02-25,35.50,35.860001,34.689999,34.98,1375500,34.76355
2016-02-24,33.77,35.549999,32.75,35.419998,1913200,35.200826
2016-02-23,32.299999,33.189999,32.09,32.82,841900,32.616916
2016-02-22,31.549999,32.57,31.549999,32.439999,1063700,32.239267
2016-02-19,31.389999,31.48,30.85,31.32,868800,31.126198
2016-02-18,31.43,31.68,31.120001,31.42,879600,31.22558
2016-02-17,31.17,31.77,30.969999,31.33,2407400,31.136136
2016-02-16,30.719999,31.040001,30.26,30.91,1273000,30.718735
2016-02-12,31.83,32.080002,30.610001,31.049999,1266200,30.857868
2016-02-11,32.43,32.889999,31.42,31.51,1478700,31.315023
2016-02-10,33.23,34.080002,32.970001,33.139999,863300,32.934936
2016-02-09,33.50,34.419998,32.779999,32.950001,819500,32.746113
2016-02-08,35.060001,35.279999,33.509998,33.950001,729100,33.739925
2016-02-05,36.27,36.27,35.330002,35.52,1069900,35.30021
2016-02-04,35.529999,36.580002,35.369999,36.349998,475200,36.125072
2016-02-03,36.099998,36.189999,34.790001,35.77,502700,35.548663
2016-02-02,35.93,36.099998,35.389999,35.880001,415900,35.657983
2016-02-01,35.459999,36.470001,35.360001,36.25,520200,36.025692
2016-01-29,34.380001,35.799999,34.380001,35.790001,664900,35.56854
2016-01-28,35.220001,35.540001,33.849998,34.330002,499000,34.117575
2016-01-27,34.830002,35.470001,34.419998,34.959999,596600,34.743674
2016-01-26,34.119999,34.959999,33.82,34.889999,280600,34.674107
2016-01-25,34.220001,34.740002,33.959999,34.040001,404100,33.829368
2016-01-22,34.52,34.959999,33.82,34.450001,476300,34.236831
2016-01-21,34.970001,35.290001,33.959999,34.169998,757400,33.958561
2016-01-20,33.459999,35.259998,32.709999,35.00,1111100,34.783427
2016-01-19,34.07,34.619999,33.389999,33.919998,881200,33.710108
2016-01-15,32.299999,33.990002,32.299999,33.84,1147300,33.630605
