Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,31.73,31.90,31.51,31.57,107200,31.57
2016-04-18,31.49,31.52,31.27,31.51,102000,31.51
2016-04-15,31.18,31.67,31.18,31.58,142200,31.58
2016-04-14,30.950001,31.43,30.950001,31.35,201500,31.35
2016-04-13,30.870001,31.32,30.870001,30.969999,366700,30.969999
2016-04-12,30.360001,30.85,30.25,30.719999,188100,30.719999
2016-04-11,30.969999,31.280001,30.299999,30.360001,238800,30.360001
2016-04-08,30.959999,31.110001,30.60,30.790001,95200,30.790001
2016-04-07,30.57,30.92,30.440001,30.65,152000,30.65
2016-04-06,30.780001,30.91,30.49,30.82,106300,30.82
2016-04-05,30.889999,31.209999,30.73,30.73,92900,30.73
2016-04-04,31.76,31.92,31.17,31.17,165800,31.17
2016-04-01,31.469999,31.719999,31.32,31.719999,91000,31.719999
2016-03-31,31.959999,32.07,31.68,31.690001,93600,31.690001
2016-03-30,31.92,32.189999,31.860001,32.07,104100,32.07
2016-03-29,31.33,31.889999,31.33,31.879999,174100,31.879999
2016-03-28,31.139999,31.52,31.139999,31.469999,66700,31.469999
2016-03-24,31.030001,31.190001,30.75,31.00,110400,31.00
2016-03-23,31.50,31.780001,31.280001,31.290001,151800,31.290001
2016-03-22,31.469999,31.90,31.35,31.559999,137500,31.559999
2016-03-21,32.07,32.310001,31.48,31.709999,254000,31.709999
2016-03-18,32.290001,32.439999,31.950001,32.299999,275500,32.299999
2016-03-17,31.40,32.189999,30.93,32.080002,105300,32.080002
2016-03-16,31.389999,31.83,31.389999,31.58,95600,31.315
2016-03-15,31.43,31.83,31.200001,31.469999,85500,31.205923
2016-03-14,31.75,32.00,31.57,31.719999,86400,31.453825
2016-03-11,31.75,31.969999,31.34,31.940001,142800,31.67198
2016-03-10,31.059999,31.870001,30.969999,31.379999,120600,31.116678
2016-03-09,31.27,31.48,30.93,31.01,103400,30.749784
2016-03-08,31.610001,31.790001,31.01,31.110001,178700,30.848945
2016-03-07,31.360001,31.950001,31.32,31.90,124900,31.632315
