Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,13.50,13.60,13.30,13.58,346400,13.58
2016-04-18,13.77,13.86,13.47,13.50,258000,13.50
2016-04-15,14.05,14.05,13.65,13.75,218400,13.75
2016-04-14,14.16,14.333,14.07,14.09,170500,14.09
2016-04-13,13.92,14.36,13.92,14.20,448200,14.20
2016-04-12,13.73,13.92,13.551,13.79,273400,13.79
2016-04-11,14.19,14.30,13.68,13.68,465400,13.68
2016-04-08,14.86,14.93,14.08,14.17,495900,14.17
2016-04-07,14.40,15.09,14.30,14.87,264500,14.87
2016-04-06,14.76,14.865,14.34,14.45,269200,14.45
2016-04-05,15.40,15.40,14.75,14.78,343800,14.78
2016-04-04,15.73,15.84,15.41,15.42,154600,15.42
2016-04-01,15.85,15.96,15.60,15.83,130200,15.83
2016-03-31,15.90,16.049999,15.86,15.97,143500,15.97
2016-03-30,15.63,15.95,15.50,15.86,284000,15.86
2016-03-29,15.79,15.86,15.38,15.61,308000,15.61
2016-03-28,15.44,16.02,15.44,15.78,184100,15.78
2016-03-24,15.57,15.73,15.35,15.45,211200,15.45
2016-03-23,15.93,15.98,15.64,15.64,203700,15.64
2016-03-22,15.85,16.209999,15.54,15.99,253300,15.99
2016-03-21,16.00,16.157,15.715,15.98,251100,15.98
2016-03-18,15.76,16.049999,15.56,15.99,320400,15.99
2016-03-17,15.10,15.85,15.04,15.75,279700,15.75
2016-03-16,14.88,15.37,14.72,15.13,248900,15.13
2016-03-15,15.26,15.42,14.86,14.89,189300,14.89
2016-03-14,15.70,15.70,15.30,15.44,258500,15.44
2016-03-11,15.65,15.75,15.12,15.70,313100,15.70
2016-03-10,15.72,15.75,15.05,15.66,465000,15.61
2016-03-09,15.54,15.99,15.528,15.70,274600,15.649872
2016-03-08,15.56,15.99,15.51,15.52,549100,15.470448
2016-03-07,16.23,16.41,15.58,15.59,630500,15.540224
2016-03-04,17.129999,17.50,16.17,16.35,578600,16.297797
2016-03-03,20.00,20.10,17.389999,17.440001,624500,17.384317
2016-03-02,19.870001,19.940001,19.49,19.799999,204000,19.736781
2016-03-01,19.58,20.219999,19.32,19.76,281100,19.69691
2016-02-29,19.870001,19.91,19.26,19.52,217500,19.457676
2016-02-26,19.74,20.00,19.66,19.83,161000,19.766686
2016-02-25,19.559999,20.059999,19.469999,19.66,200600,19.597229
2016-02-24,19.209999,19.77,19.01,19.540001,150600,19.477613
2016-02-23,19.549999,19.57,19.27,19.34,207300,19.278251
2016-02-22,19.93,19.99,19.59,19.629999,137200,19.567324
2016-02-19,19.76,20.15,19.540001,19.68,129200,19.617165
2016-02-18,19.809999,20.17,19.629999,19.77,89100,19.706878
2016-02-17,19.65,20.18,19.60,19.780001,119600,19.716846
2016-02-16,19.540001,19.620001,19.129999,19.50,85000,19.43774
2016-02-12,19.01,19.549999,18.895,19.290001,166100,19.228411
2016-02-11,19.10,19.271999,18.370001,18.870001,139700,18.809752
2016-02-10,18.950001,19.950001,18.805,19.48,192300,19.417803
2016-02-09,18.780001,18.99,18.32,18.799999,190400,18.739974
2016-02-08,18.629999,19.23,18.27,19.110001,182900,19.048985
2016-02-05,18.84,19.00,18.540001,18.76,162600,18.700103
2016-02-04,19.129999,19.18,18.549999,18.84,147800,18.779847
2016-02-03,19.65,19.65,18.889999,19.16,118800,19.098825
2016-02-02,19.41,19.82,19.299999,19.459999,158300,19.397866
2016-02-01,19.76,19.85,19.469999,19.690001,142100,19.627133
2016-01-29,19.08,19.82,18.959999,19.82,270600,19.756718
2016-01-28,18.93,19.17,18.76,19.030001,84100,18.969241
2016-01-27,18.92,19.51,18.799999,18.82,176900,18.75991
2016-01-26,18.809999,19.17,18.701,18.889999,224900,18.829687
2016-01-25,18.93,19.139999,18.68,18.719999,205300,18.660229
2016-01-22,19.049999,19.235001,18.690001,18.90,152700,18.839655
2016-01-21,18.99,19.219999,18.809999,18.879999,205200,18.819718
2016-01-20,18.76,19.08,18.16,18.959999,225900,18.899463
2016-01-19,18.870001,19.35,18.791,19.049999,433200,18.989176
2016-01-15,19.049999,19.23,18.219999,18.780001,196300,18.720039
2016-01-14,19.34,19.860001,19.16,19.549999,204100,19.487579
2016-01-13,19.91,19.959999,19.08,19.299999,192900,19.238377
2016-01-12,19.85,20.18,19.530001,19.91,197800,19.84643
2016-01-11,19.35,19.74,19.030001,19.66,187100,19.597229
2016-01-08,20.200001,20.219999,19.35,19.41,150900,19.348027
2016-01-07,20.440001,20.68,19.98,20.01,172100,19.946111
2016-01-06,20.76,20.959999,20.58,20.76,196800,20.693717
2016-01-05,21.01,21.08,20.67,20.969999,151300,20.903045
2016-01-04,21.41,21.415001,20.58,20.889999,242200,20.823301
2015-12-31,22.07,22.209999,21.66,21.82,119900,21.750332
2015-12-30,22.33,22.530001,22.09,22.10,101300,22.029439
2015-12-29,22.16,22.76,22.125999,22.41,100300,22.338448
2015-12-28,22.15,22.32,21.68,22.129999,103100,22.009501
2015-12-24,22.00,22.41,21.809999,22.280001,171200,22.158686
2015-12-23,21.91,22.00,21.67,21.969999,100000,21.850373
2015-12-22,21.58,21.83,20.780001,21.780001,275200,21.661409
2015-12-21,21.83,21.85,21.18,21.530001,121800,21.41277
2015-12-18,21.42,21.76,21.063999,21.49,399900,21.372987
2015-12-17,21.629999,21.99,21.319,21.459999,131600,21.343149
2015-12-16,21.60,21.73,21.139999,21.610001,131800,21.492334
2015-12-15,21.66,21.799999,21.18,21.370001,177100,21.253641
2015-12-14,21.18,21.58,21.02,21.530001,206800,21.41277
2015-12-11,21.219999,21.57,20.889999,21.18,239300,21.064675
2015-12-10,21.74,22.055,21.42,21.57,155200,21.452551
2015-12-09,22.549999,22.620001,21.42,21.76,378400,21.641517
2015-12-08,22.709999,22.879999,22.389999,22.610001,128800,22.486889
2015-12-07,23.059999,23.379999,22.674999,22.809999,520200,22.685799
2015-12-04,22.370001,23.200001,22.306,23.02,187100,22.894656
2015-12-03,22.90,23.15,22.440001,22.57,129400,22.447106
2015-12-02,22.66,23.24,22.66,22.82,134100,22.695745
2015-12-01,22.57,22.969999,21.969999,22.690001,277200,22.566453
2015-11-30,22.57,22.780001,22.139999,22.459999,363900,22.337704
2015-11-27,22.98,23.139999,22.610001,22.690001,71200,22.566453
2015-11-25,23.030001,23.24,22.870001,23.01,135100,22.884711
2015-11-24,23.01,23.219999,22.450001,22.940001,165800,22.815092
2015-11-23,21.90,23.50,21.860001,23.190001,431900,23.063731
2015-11-20,22.190001,22.719999,21.58,21.790001,593300,21.671354
2015-11-19,23.27,23.468,21.40,22.07,640700,21.949828
2015-11-18,22.799999,23.200001,22.709999,23.190001,261100,23.063731
2015-11-17,22.950001,23.58,22.74,22.809999,377900,22.685799
