Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,29.280001,29.370001,29.129999,29.32,722200,29.32
2016-04-18,29.049999,29.25,28.90,29.24,417400,29.24
2016-04-15,28.83,29.139999,28.709999,29.040001,501900,29.040001
2016-04-14,28.75,28.85,28.60,28.85,522500,28.85
2016-04-13,29.00,29.00,28.52,28.77,916600,28.77
2016-04-12,28.940001,29.02,28.85,28.90,546200,28.90
2016-04-11,28.870001,29.10,28.790001,28.91,666400,28.91
2016-04-08,28.889999,29.030001,28.74,28.82,813300,28.82
2016-04-07,28.91,28.98,28.690001,28.85,1075700,28.85
2016-04-06,28.90,29.01,28.799999,28.90,3754100,28.90
2016-04-05,29.559999,29.67,29.370001,29.52,578500,29.52
2016-04-04,29.629999,29.780001,29.48,29.709999,807100,29.709999
2016-04-01,29.26,29.540001,29.120001,29.51,588400,29.51
2016-03-31,28.83,29.42,28.76,29.42,779300,29.42
2016-03-30,29.200001,29.290001,28.91,28.92,416900,28.92
2016-03-29,28.74,29.370001,28.66,29.33,702000,29.034999
2016-03-28,28.82,28.93,28.65,28.719999,488200,28.431134
2016-03-24,28.450001,28.85,28.24,28.809999,687800,28.520229
2016-03-23,28.65,28.879999,28.52,28.559999,511400,28.272743
2016-03-22,28.629999,28.809999,28.50,28.66,716800,28.371738
2016-03-21,28.68,28.889999,28.52,28.68,896300,28.391537
2016-03-18,28.879999,28.879999,28.52,28.639999,849000,28.351939
2016-03-17,28.700001,29.00,28.60,28.870001,702100,28.579627
2016-03-16,28.24,28.74,28.07,28.67,563500,28.381638
2016-03-15,28.26,28.530001,28.139999,28.389999,417200,28.104453
2016-03-14,28.24,28.379999,28.110001,28.34,393900,28.054957
2016-03-11,28.32,28.42,28.24,28.33,691700,28.045057
2016-03-10,28.07,28.309999,27.719999,28.07,705900,27.787672
2016-03-09,27.90,28.35,27.860001,27.90,494900,27.619382
2016-03-08,27.860001,28.040001,27.690001,27.85,845100,27.569885
2016-03-07,28.209999,28.25,27.709999,27.870001,881900,27.589685
2016-03-04,28.530001,28.530001,28.129999,28.27,731200,27.985661
2016-03-03,28.50,28.559999,28.27,28.52,642000,28.233147
2016-03-02,28.24,28.48,28.16,28.459999,849400,28.173749
2016-03-01,27.90,28.32,27.90,28.299999,862900,28.015358
2016-02-29,27.67,28.16,27.620001,27.809999,1221400,27.530287
2016-02-26,27.76,27.91,27.629999,27.67,1421100,27.391696
2016-02-25,27.49,27.90,27.49,27.76,1063900,27.480791
2016-02-24,27.110001,27.40,27.030001,27.360001,898300,27.084814
2016-02-23,27.07,27.48,27.02,27.15,627400,26.876925
2016-02-22,27.389999,27.49,27.030001,27.09,970100,26.817529
2016-02-19,26.799999,27.450001,26.799999,27.120001,1458200,26.847228
2016-02-18,26.58,27.129999,26.43,26.940001,993800,26.669038
2016-02-17,26.860001,26.959999,26.43,26.50,1255700,26.233463
2016-02-16,26.540001,26.76,26.33,26.73,1589900,26.46115
2016-02-12,26.709999,26.75,26.02,26.360001,1970500,26.094872
2016-02-11,26.120001,26.790001,25.90,26.629999,1046000,26.362155
2016-02-10,26.73,26.950001,26.379999,26.50,1831000,26.233463
2016-02-09,27.08,27.469999,26.49,26.549999,2524500,26.28296
2016-02-08,28.15,28.25,27.10,27.34,1468300,27.065015
2016-02-05,28.620001,28.67,28.34,28.389999,752200,28.104453
2016-02-04,28.25,28.66,28.18,28.610001,905500,28.322242
2016-02-03,28.24,28.719999,28.09,28.280001,1649300,27.995561
2016-02-02,28.059999,28.26,27.91,28.09,1123400,27.807471
2016-02-01,27.860001,28.48,27.76,28.129999,819400,27.847068
2016-01-29,27.299999,28.049999,27.139999,28.040001,1151100,27.757975
2016-01-28,27.610001,28.00,27.10,27.110001,4276500,26.837329
2016-01-27,27.799999,27.90,27.33,27.559999,798100,27.282801
2016-01-26,27.620001,28.040001,27.51,27.90,1211500,27.619382
2016-01-25,27.85,28.040001,27.459999,27.51,535700,27.233305
2016-01-22,27.299999,27.98,27.190001,27.85,690900,27.569885
2016-01-21,26.879999,27.440001,26.620001,27.02,639200,26.748234
2016-01-20,26.969999,27.290001,26.41,26.780001,1447200,26.510648
2016-01-19,26.48,27.290001,26.41,27.15,1042700,26.876925
2016-01-15,26.33,26.43,26.01,26.299999,980400,26.035474
2016-01-14,26.76,26.92,26.49,26.690001,1121600,26.421553
2016-01-13,27.17,27.360001,26.540001,26.719999,565600,26.45125
2016-01-12,27.389999,27.42,26.879999,27.07,805500,26.79773
2016-01-11,27.280001,27.67,27.190001,27.360001,1098500,27.084814
2016-01-08,27.02,27.290001,26.92,27.209999,1074300,26.936321
2016-01-07,26.940001,27.190001,26.82,26.98,785800,26.708635
2016-01-06,27.190001,27.370001,27.08,27.290001,761500,27.015518
2016-01-05,26.82,27.440001,26.60,27.32,944000,27.045216
2016-01-04,26.82,26.83,26.33,26.540001,950100,26.273062
2015-12-31,27.219999,27.24,26.93,26.969999,725400,26.698735
2015-12-30,27.129999,27.219999,26.940001,27.110001,581600,26.837329
2015-12-29,26.83,27.16,26.77,27.120001,676800,26.847228
2015-12-28,26.950001,27.07,26.889999,27.00,880800,26.436403
2015-12-24,27.040001,27.08,26.85,27.040001,400200,26.475569
2015-12-23,26.92,27.040001,26.809999,26.93,824500,26.367864
2015-12-22,26.719999,27.110001,26.719999,26.84,672600,26.279743
2015-12-21,26.959999,27.030001,26.50,26.66,488500,26.1035
2015-12-18,26.790001,26.879999,26.559999,26.82,1005900,26.26016
2015-12-17,26.790001,26.91,26.690001,26.82,591000,26.26016
2015-12-16,26.49,26.90,26.450001,26.76,688500,26.201413
2015-12-15,26.40,26.58,26.32,26.379999,587700,25.829344
2015-12-14,26.139999,26.34,26.10,26.32,705800,25.770597
2015-12-11,25.84,26.190001,25.780001,26.18,548600,25.63352
2015-12-10,26.40,26.50,25.99,26.00,917100,25.457277
2015-12-09,26.049999,26.440001,25.99,26.389999,917000,25.839135
2015-12-08,25.870001,26.43,25.82,26.27,664700,25.721641
2015-12-07,25.84,25.92,25.60,25.799999,635600,25.261451
2015-12-04,25.77,26.18,25.77,25.860001,697400,25.3202
2015-12-03,26.059999,26.059999,25.719999,25.75,550600,25.212495
2015-12-02,26.58,26.709999,26.09,26.139999,897700,25.594354
2015-12-01,26.200001,26.66,26.200001,26.629999,511800,26.074126
2015-11-30,26.120001,26.290001,25.98,26.110001,778600,25.564981
2015-11-27,25.66,26.10,25.65,26.08,322600,25.535607
2015-11-25,25.389999,25.77,25.389999,25.66,389400,25.124374
2015-11-24,25.290001,25.41,25.09,25.360001,423900,24.830637
2015-11-23,25.209999,25.49,25.209999,25.370001,292700,24.840428
2015-11-20,25.110001,25.43,25.02,25.209999,495100,24.683766
2015-11-19,24.790001,25.08,24.790001,24.950001,449700,24.429195
