Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,20.700001,21.09,20.67,21.09,30300,21.09
2016-04-18,20.60,20.809999,20.60,20.809999,21600,20.809999
2016-04-15,20.67,20.82,20.52,20.620001,32500,20.620001
2016-04-14,20.74,20.82,20.60,20.719999,44700,20.719999
2016-04-13,20.66,20.950001,20.59,20.799999,38600,20.799999
2016-04-12,20.77,20.84,20.66,20.77,16800,20.77
2016-04-11,20.85,20.879999,20.780001,20.84,20200,20.84
2016-04-08,20.90,20.90,20.76,20.82,17700,20.82
2016-04-07,20.85,21.00,20.790001,21.00,15100,21.00
2016-04-06,20.780001,20.93,20.780001,20.84,16000,20.84
2016-04-05,20.77,20.950001,20.60,20.76,31800,20.76
2016-04-04,20.75,20.75,20.559999,20.639999,15000,20.639999
2016-04-01,20.950001,20.950001,20.629999,20.690001,23500,20.690001
2016-03-31,20.700001,20.950001,20.68,20.950001,61700,20.950001
2016-03-30,20.60,20.870001,20.530001,20.860001,44800,20.860001
2016-03-29,20.43,20.639999,20.40,20.629999,36700,20.629999
2016-03-28,20.639999,20.639999,20.370001,20.440001,20100,20.440001
2016-03-24,20.49,20.639999,20.459999,20.629999,27100,20.629999
2016-03-23,20.50,20.66,20.450001,20.50,14000,20.50
2016-03-22,20.51,20.59,20.450001,20.469999,9300,20.469999
2016-03-21,20.41,20.59,20.41,20.48,26400,20.48
2016-03-18,20.58,20.60,20.370001,20.450001,22000,20.450001
2016-03-17,20.41,20.639999,20.280001,20.60,22900,20.60
2016-03-16,20.35,20.50,20.309999,20.50,11000,20.50
2016-03-15,20.280001,20.49,20.280001,20.35,30000,20.250001
2016-03-14,20.299999,20.50,20.23,20.34,38300,20.24005
2016-03-11,20.379999,20.50,20.280001,20.309999,31200,20.210196
2016-03-10,20.200001,20.299999,20.17,20.26,17500,20.160443
2016-03-09,20.23,20.379999,20.200001,20.200001,24300,20.100738
2016-03-08,20.370001,20.370001,20.129999,20.129999,12000,20.031081
2016-03-07,20.15,20.379999,20.10,20.32,46600,20.220148
2016-03-04,20.280001,20.379999,20.18,20.290001,47600,20.190296
2016-03-03,20.190001,20.299999,20.110001,20.23,23100,20.13059
2016-03-02,20.09,20.299999,20.00,20.24,24600,20.140541
2016-03-01,20.34,20.34,20.10,20.120001,20400,20.021131
2016-02-29,20.379999,20.379999,20.08,20.299999,13800,20.200245
2016-02-26,20.139999,20.379999,20.01,20.379999,12100,20.279852
2016-02-25,20.049999,20.299999,20.00,20.200001,24600,20.100738
2016-02-24,20.24,20.24,20.00,20.049999,32400,19.951474
2016-02-23,20.27,20.370001,20.23,20.24,28600,20.140541
2016-02-22,20.17,20.370001,20.17,20.370001,22300,20.269903
2016-02-19,19.809999,20.23,19.700001,20.219999,24100,20.120639
2016-02-18,19.40,19.870001,19.35,19.870001,36600,19.77236
2016-02-17,19.43,19.440001,19.09,19.40,29000,19.304668
2016-02-16,19.50,19.530001,19.33,19.42,25000,19.225062
2016-02-12,19.610001,19.620001,19.41,19.41,21800,19.215162
2016-02-11,19.33,19.58,19.33,19.43,30200,19.234962
2016-02-10,19.73,19.76,19.50,19.50,20700,19.304259
2016-02-09,19.700001,19.92,19.50,19.59,31300,19.393355
2016-02-08,20.00,20.08,19.700001,19.719999,36000,19.52205
2016-02-05,20.049999,20.139999,20.00,20.00,13000,19.79924
2016-02-04,20.10,20.200001,20.049999,20.07,15300,19.868537
2016-02-03,20.110001,20.18,20.049999,20.10,13700,19.898236
2016-02-02,20.190001,20.26,20.049999,20.049999,9200,19.848737
2016-02-01,20.15,20.370001,20.00,20.290001,12600,20.08633
2016-01-29,20.09,20.15,20.040001,20.15,32000,19.947734
2016-01-28,20.200001,20.200001,19.950001,19.99,23000,19.78934
2016-01-27,20.58,20.60,20.10,20.10,25200,19.898236
2016-01-26,20.58,20.940001,20.51,20.629999,36500,20.422915
2016-01-25,20.360001,20.690001,20.25,20.690001,27500,20.482314
2016-01-22,20.17,20.57,20.17,20.50,33600,20.294221
2016-01-21,19.780001,20.10,19.700001,20.049999,25300,19.848737
