Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,6.40,6.40,6.35,6.35,25000,6.35
2016-04-18,6.29,6.35,6.25,6.35,42900,6.35
2016-04-15,6.32,6.37,6.25,6.28,61400,6.28
2016-04-14,6.30,6.34,6.28,6.30,16100,6.30
2016-04-13,6.29,6.30,6.23,6.30,54300,6.30
2016-04-12,6.20,6.25,6.19,6.23,24200,6.23
2016-04-11,6.22,6.24,6.16,6.18,26900,6.18
2016-04-08,6.17,6.18,6.13,6.17,15300,6.17
2016-04-07,6.12,6.17,6.06,6.08,45900,6.08
2016-04-06,6.07,6.19,6.07,6.16,51700,6.16
2016-04-05,6.25,6.30,6.03,6.07,118100,6.07
2016-04-04,6.45,6.45,6.29,6.32,26700,6.32
2016-04-01,6.33,6.42,6.24,6.42,58200,6.42
2016-03-31,6.41,6.56,6.39,6.45,93900,6.381
2016-03-30,6.38,6.50,6.37,6.39,90500,6.321642
2016-03-29,6.21,6.38,6.21,6.38,95200,6.311749
2016-03-28,6.22,6.28,6.19,6.24,27800,6.173246
2016-03-24,6.24,6.27,6.17,6.19,49100,6.123782
2016-03-23,6.31,6.32,6.25,6.26,44900,6.193033
2016-03-22,6.33,6.35,6.27,6.31,32900,6.242498
2016-03-21,6.33,6.38,6.29,6.35,33700,6.28207
2016-03-18,6.27,6.36,6.24,6.31,39900,6.242498
2016-03-17,6.16,6.30,6.16,6.29,69700,6.222712
2016-03-16,6.06,6.18,6.06,6.18,25400,6.113888
2016-03-15,6.16,6.18,6.09,6.10,28700,6.034744
2016-03-14,6.18,6.20,6.14,6.18,14600,6.113888
2016-03-11,6.05,6.18,6.05,6.18,38200,6.113888
2016-03-10,6.00,6.03,5.95,6.00,26500,5.935814
2016-03-09,5.98,5.99,5.96,5.98,13700,5.916028
2016-03-08,5.97,5.98,5.93,5.97,21500,5.906135
2016-03-07,5.92,5.98,5.89,5.98,12800,5.916028
2016-03-04,5.90,5.99,5.90,5.98,30000,5.916028
2016-03-03,5.86,5.93,5.86,5.88,22100,5.817098
2016-03-02,5.83,5.86,5.78,5.85,30900,5.787419
2016-03-01,5.67,5.80,5.64,5.79,45300,5.72806
2016-02-29,5.74,5.79,5.71,5.76,63500,5.63012
2016-02-26,5.75,5.77,5.72,5.76,38100,5.63012
2016-02-25,5.66,5.73,5.65,5.71,15500,5.581247
2016-02-24,5.67,5.71,5.61,5.66,39000,5.532374
2016-02-23,5.76,5.79,5.73,5.74,18200,5.61057
2016-02-22,5.79,5.84,5.71,5.80,59500,5.669218
2016-02-19,5.70,5.75,5.67,5.73,46200,5.600796
2016-02-18,5.77,5.77,5.73,5.75,21300,5.620345
2016-02-17,5.69,5.76,5.66,5.75,50600,5.620345
2016-02-16,5.59,5.69,5.56,5.63,40500,5.503051
2016-02-12,5.46,5.55,5.46,5.54,18900,5.41508
2016-02-11,5.36,5.48,5.36,5.47,37400,5.346659
2016-02-10,5.60,5.60,5.53,5.53,39100,5.405306
2016-02-09,5.52,5.56,5.45,5.53,25300,5.405306
2016-02-08,5.62,5.62,5.50,5.56,35900,5.434629
2016-02-05,5.70,5.72,5.64,5.65,65300,5.5226
2016-02-04,5.65,5.76,5.65,5.72,19100,5.591021
2016-02-03,5.71,5.71,5.63,5.69,13200,5.561698
2016-02-02,5.74,5.75,5.67,5.67,37100,5.542149
2016-02-01,5.81,5.83,5.78,5.82,24700,5.688767
2016-01-29,5.78,5.93,5.77,5.93,44700,5.728842
2016-01-28,5.75,5.80,5.70,5.77,27600,5.57427
2016-01-27,5.71,5.77,5.70,5.70,22500,5.506644
2016-01-26,5.66,5.77,5.66,5.76,34700,5.564609
2016-01-25,5.73,5.73,5.61,5.67,42500,5.477662
2016-01-22,5.62,5.74,5.62,5.70,45500,5.506644
2016-01-21,5.51,5.59,5.48,5.51,60000,5.32309
2016-01-20,5.60,5.60,5.34,5.49,130500,5.303768
2016-01-19,5.69,5.74,5.59,5.65,76400,5.45834
2016-01-15,5.70,5.70,5.51,5.64,79400,5.448679
2016-01-14,5.75,5.84,5.74,5.81,53800,5.612913
2016-01-13,5.90,5.90,5.80,5.81,28200,5.612913
2016-01-12,5.93,5.96,5.83,5.89,49900,5.690199
2016-01-11,6.02,6.02,5.80,5.88,49300,5.680538
2016-01-08,6.00,6.02,5.93,5.94,17200,5.738503
2016-01-07,6.05,6.06,5.98,6.00,34000,5.796468
2016-01-06,6.18,6.22,6.12,6.14,39200,5.931718
2016-01-05,6.27,6.29,6.24,6.25,29300,6.037987
2016-01-04,6.21,6.30,6.19,6.29,42300,6.07663
2015-12-31,6.39,6.48,6.30,6.36,190800,6.144256
2015-12-30,6.42,6.47,6.37,6.37,40500,6.153916
2015-12-29,6.40,6.45,6.40,6.42,67500,6.20222
2015-12-28,6.40,6.49,6.37,6.40,61800,6.11624
2015-12-24,6.46,6.50,6.44,6.46,49400,6.173579
2015-12-23,6.34,6.43,6.34,6.42,64600,6.135353
2015-12-22,6.30,6.37,6.30,6.33,55300,6.049343
2015-12-21,6.34,6.37,6.30,6.31,24800,6.03023
2015-12-18,6.38,6.38,6.30,6.30,22900,6.020673
2015-12-17,6.36,6.38,6.33,6.35,13900,6.068456
2015-12-16,6.27,6.40,6.27,6.40,34900,6.11624
2015-12-15,6.20,6.26,6.20,6.25,75800,5.97289
2015-12-14,6.22,6.23,6.12,6.19,63400,5.91555
2015-12-11,6.20,6.25,6.20,6.23,42800,5.953777
2015-12-10,6.35,6.37,6.30,6.30,27600,6.020673
2015-12-09,6.36,6.38,6.28,6.31,32100,6.03023
2015-12-08,6.40,6.40,6.29,6.35,45200,6.068456
2015-12-07,6.43,6.44,6.33,6.43,83600,6.144909
2015-12-04,6.46,6.50,6.45,6.49,37100,6.202249
2015-12-03,6.48,6.50,6.46,6.46,36600,6.173579
2015-12-02,6.51,6.51,6.46,6.49,30400,6.202249
2015-12-01,6.57,6.57,6.49,6.52,77200,6.230919
2015-11-30,6.50,6.58,6.50,6.55,55500,6.193648
2015-11-27,6.53,6.53,6.50,6.50,6800,6.146368
2015-11-25,6.56,6.56,6.53,6.53,24400,6.174736
2015-11-24,6.53,6.57,6.50,6.54,26500,6.184192
2015-11-23,6.55,6.60,6.55,6.57,24200,6.21256
2015-11-20,6.61,6.63,6.57,6.58,14400,6.222016
2015-11-19,6.59,6.60,6.55,6.57,68100,6.21256
2015-11-18,6.49,6.56,6.48,6.53,47100,6.174736
2015-11-17,6.43,6.49,6.43,6.49,29400,6.136912
2015-11-16,6.39,6.42,6.34,6.40,20700,6.051809
2015-11-13,6.40,6.44,6.34,6.36,30100,6.013985
2015-11-12,6.49,6.49,6.40,6.40,26600,6.051809
2015-11-11,6.48,6.55,6.48,6.50,51200,6.146368
2015-11-10,6.50,6.53,6.45,6.52,52700,6.16528
2015-11-09,6.58,6.62,6.53,6.54,22500,6.184192
2015-11-06,6.67,6.70,6.60,6.61,29800,6.250384
2015-11-05,6.71,6.79,6.70,6.70,32100,6.335487
2015-11-04,6.77,6.85,6.73,6.73,39300,6.363855
2015-11-03,6.73,6.79,6.71,6.79,58600,6.420591
2015-11-02,6.79,6.79,6.71,6.77,46900,6.401679
2015-10-30,6.73,6.81,6.71,6.80,40500,6.364801
2015-10-29,6.74,6.74,6.71,6.71,26700,6.280561
2015-10-28,6.78,6.86,6.76,6.76,28500,6.327361
2015-10-27,6.78,6.82,6.74,6.76,35800,6.327361
2015-10-26,6.77,6.85,6.77,6.83,31500,6.392881
2015-10-23,6.82,6.85,6.81,6.83,30800,6.392881
2015-10-22,6.75,6.86,6.75,6.79,36800,6.355441
2015-10-21,6.77,6.81,6.75,6.76,22200,6.327361
2015-10-20,6.82,6.83,6.76,6.76,12800,6.327361
2015-10-19,6.79,6.87,6.76,6.82,77700,6.383521
2015-10-16,6.73,6.76,6.71,6.74,50300,6.308641
2015-10-15,6.70,6.73,6.67,6.73,23800,6.299281
2015-10-14,6.67,6.74,6.65,6.67,25200,6.243121
2015-10-13,6.71,6.75,6.70,6.70,20300,6.271201
2015-10-12,6.75,6.76,6.74,6.76,11400,6.327361
2015-10-09,6.66,6.73,6.66,6.73,21400,6.299281
2015-10-08,6.56,6.67,6.56,6.67,20300,6.243121
