Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,49.610001,50.169998,49.110001,49.939999,388400,49.939999
2016-04-18,48.330002,49.650002,48.259998,49.48,175800,49.48
2016-04-15,48.75,49.240002,48.490002,49.049999,422600,49.049999
2016-04-14,49.369999,49.48,48.869999,49.040001,302400,49.040001
2016-04-13,49.029999,49.299999,48.189999,49.259998,456300,49.259998
2016-04-12,47.09,48.990002,46.98,48.82,586400,48.82
2016-04-11,48.349998,49.48,46.709999,46.740002,656300,46.740002
2016-04-08,48.939999,49.16,47.919998,48.099998,307500,48.099998
2016-04-07,48.150002,48.470001,47.689999,48.259998,366300,48.259998
2016-04-06,47.700001,48.619999,47.369999,48.50,335300,48.50
2016-04-05,47.990002,48.32,47.48,47.560001,337300,47.560001
2016-04-04,48.48,48.950001,48.07,48.200001,321300,48.200001
2016-04-01,47.990002,48.689999,47.52,48.380001,357600,48.380001
2016-03-31,48.630001,49.50,48.48,48.580002,292900,48.580002
2016-03-30,48.400002,49.00,48.060001,48.59,277900,48.59
2016-03-29,47.509998,48.619999,47.169998,48.18,580400,48.18
2016-03-28,48.18,48.299999,47.220001,47.630001,629600,47.630001
2016-03-24,46.970001,47.939999,46.630001,47.889999,408900,47.889999
2016-03-23,48.299999,48.50,47.16,47.169998,399000,47.169998
2016-03-22,47.650002,48.650002,47.57,48.43,459100,48.43
2016-03-21,47.830002,48.330002,47.619999,47.880001,267000,47.880001
2016-03-18,48.290001,49.060001,47.689999,48.110001,1001200,48.110001
2016-03-17,49.040001,49.310001,48.43,48.490002,506500,48.490002
2016-03-16,48.310001,49.200001,48.07,48.93,545100,48.93
2016-03-15,46.810001,48.34,46.810001,48.299999,488800,48.24
2016-03-14,46.59,47.279999,46.27,47.119999,314400,47.061466
2016-03-11,47.259998,47.970001,46.139999,46.939999,493300,46.881689
2016-03-10,46.759998,46.919998,45.529999,46.919998,418900,46.861713
2016-03-09,46.709999,47.529999,46.209999,46.959999,481900,46.901664
2016-03-08,47.91,48.41,45.389999,46.16,867900,46.102659
2016-03-07,48.060001,48.48,47.470001,48.48,514600,48.419777
2016-03-04,48.450001,49.150002,47.720001,48.32,486700,48.259976
2016-03-03,47.560001,48.57,47.02,48.41,386600,48.349864
2016-03-02,47.169998,47.580002,46.57,47.50,336100,47.440995
2016-03-01,47.040001,47.50,45.939999,47.50,608100,47.440995
2016-02-29,46.509998,47.130001,46.330002,46.810001,356500,46.751853
2016-02-26,46.630001,47.040001,45.98,46.330002,483700,46.27245
2016-02-25,46.060001,46.669998,45.709999,46.139999,503400,46.082683
2016-02-24,45.099998,46.419998,44.470001,46.169998,517700,46.112645
2016-02-23,45.93,46.700001,44.860001,45.709999,686100,45.653217
2016-02-22,45.18,46.299999,45.18,46.200001,523500,46.14261
2016-02-19,44.040001,45.080002,43.91,44.630001,527500,44.574561
2016-02-18,45.450001,45.700001,44.34,44.639999,453100,44.584547
2016-02-17,43.27,45.23,42.950001,45.049999,1011200,44.994037
2016-02-16,43.049999,43.529999,42.869999,42.93,746600,42.876672
2016-02-12,42.169998,44.810001,42.040001,42.540001,1171500,42.487157
2016-02-11,37.369999,43.459999,36.509998,42.610001,1414400,42.55707
2016-02-10,36.669998,37.41,35.959999,36.50,766100,36.454659
2016-02-09,35.860001,36.880001,35.720001,36.32,642300,36.274882
2016-02-08,37.849998,38.060001,35.93,36.52,811300,36.474635
2016-02-05,38.849998,39.389999,38.32,38.59,511400,38.542063
2016-02-04,39.00,39.889999,38.529999,39.32,458800,39.271156
2016-02-03,38.549999,38.810001,37.009998,38.740002,511000,38.691878
2016-02-02,37.509998,38.150002,37.41,37.91,437500,37.862907
2016-02-01,38.619999,38.880001,37.849998,38.509998,453200,38.46216
2016-01-29,38.200001,39.099998,38.00,38.950001,521700,38.901616
