Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,12.79,12.95,12.70,12.95,59500,12.95
2016-04-18,12.68,12.78,12.60,12.78,77300,12.78
2016-04-15,12.73,12.77,12.62,12.69,95100,12.69
2016-04-14,12.75,12.75,12.68,12.71,79500,12.71
2016-04-13,12.69,12.75,12.64,12.72,66900,12.72
2016-04-12,12.64,12.74,12.60,12.74,68000,12.614999
2016-04-11,12.57,12.67,12.55,12.62,73000,12.496177
2016-04-08,12.60,12.62,12.52,12.55,60600,12.426864
2016-04-07,12.54,12.56,12.50,12.54,67000,12.416962
2016-04-06,12.57,12.64,12.49,12.58,74300,12.456569
2016-04-05,12.53,12.53,12.44,12.53,73400,12.40706
2016-04-04,12.80,12.86,12.55,12.57,72500,12.446667
2016-04-01,12.65,12.77,12.65,12.77,74800,12.644706
2016-03-31,12.65,12.73,12.61,12.73,101900,12.605097
2016-03-30,12.60,12.68,12.56,12.64,93600,12.515981
2016-03-29,12.59,12.60,12.44,12.58,92400,12.456569
2016-03-28,12.75,12.75,12.58,12.62,104100,12.496177
2016-03-24,12.80,12.80,12.65,12.72,82600,12.595196
2016-03-23,12.91,12.92,12.82,12.82,85200,12.694214
2016-03-22,12.83,12.98,12.74,12.88,126000,12.753626
2016-03-21,12.84,13.30,12.84,12.88,120800,12.753626
2016-03-18,12.67,12.84,12.67,12.79,68600,12.664509
2016-03-17,12.53,12.70,12.53,12.68,78300,12.555589
2016-03-16,12.34,12.58,12.33,12.55,64800,12.426864
2016-03-15,12.35,12.38,12.30,12.38,70200,12.258532
2016-03-14,12.44,12.44,12.35,12.41,76000,12.288237
2016-03-11,12.36,12.55,12.36,12.54,86300,12.293189
2016-03-10,12.32,12.40,12.27,12.32,118500,12.077518
2016-03-09,12.34,12.34,12.25,12.32,111600,12.077518
2016-03-08,12.39,12.40,12.27,12.33,87600,12.087322
2016-03-07,12.29,12.43,12.29,12.39,71100,12.146141
2016-03-04,12.08,12.32,12.08,12.31,77400,12.067716
2016-03-03,11.96,12.11,11.96,12.09,82900,11.852046
2016-03-02,12.02,12.06,11.96,12.02,129000,11.783424
2016-03-01,11.75,12.05,11.74,12.02,215400,11.783424
2016-02-29,11.68,11.82,11.60,11.79,108800,11.55795
2016-02-26,11.66,11.72,11.58,11.68,80100,11.450115
2016-02-25,11.44,11.58,11.43,11.58,86400,11.352083
2016-02-24,11.40,11.48,11.17,11.47,135400,11.244249
2016-02-23,11.30,11.41,11.30,11.40,103700,11.175626
2016-02-22,11.32,11.36,11.29,11.34,59500,11.116807
2016-02-19,11.22,11.30,11.17,11.28,41500,11.057988
2016-02-18,11.20,11.27,11.18,11.24,98200,11.018775
2016-02-17,11.05,11.18,11.05,11.18,74400,10.959956
2016-02-16,10.93,10.99,10.82,10.97,191100,10.754089
2016-02-12,10.71,10.84,10.71,10.82,55800,10.607041
2016-02-11,10.73,10.79,10.67,10.71,75200,10.499207
2016-02-10,10.94,11.08,10.84,10.84,160200,10.626648
2016-02-09,11.01,11.10,10.93,11.02,60900,10.680566
