Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,10.07,10.21,10.07,10.19,148600,10.19
2016-04-18,9.93,10.07,9.93,10.07,151200,10.07
2016-04-15,9.92,9.95,9.90,9.93,107400,9.93
2016-04-14,10.00,10.01,9.95,9.95,89500,9.95
2016-04-13,9.97,10.00,9.95,9.99,87800,9.99
2016-04-12,10.00,10.04,9.95,10.00,155400,9.94
2016-04-11,10.03,10.08,9.99,9.99,105100,9.93006
2016-04-08,10.02,10.06,9.99,10.04,79700,9.97976
2016-04-07,10.01,10.04,9.96,10.02,190200,9.959881
2016-04-06,10.06,10.07,10.00,10.05,147200,9.9897
2016-04-05,10.00,10.04,9.97,10.03,118500,9.96982
2016-04-04,10.09,10.09,9.99,10.03,139400,9.96982
2016-04-01,10.04,10.09,10.04,10.05,129500,9.9897
2016-03-31,10.00,10.08,10.00,10.07,106900,10.00958
2016-03-30,9.93,10.03,9.93,10.00,128200,9.94
2016-03-29,9.93,9.97,9.85,9.95,147400,9.8903
2016-03-28,9.84,9.94,9.84,9.93,124900,9.87042
2016-03-24,10.01,10.01,9.84,9.87,180400,9.81078
2016-03-23,10.05,10.10,9.99,10.01,281800,9.94994
2016-03-22,10.10,10.12,10.03,10.04,218200,9.97976
2016-03-21,9.98,10.07,9.98,10.03,156200,9.96982
2016-03-18,10.03,10.10,9.98,9.98,251900,9.92012
2016-03-17,10.04,10.05,10.00,10.03,201200,9.96982
2016-03-16,9.99,10.08,9.98,10.01,210600,9.94994
2016-03-15,9.89,9.99,9.87,9.98,144500,9.92012
2016-03-14,9.83,9.90,9.81,9.87,251700,9.81078
2016-03-11,9.84,9.87,9.79,9.83,240700,9.77102
2016-03-10,9.94,9.98,9.85,9.89,107700,9.771021
2016-03-09,9.84,9.95,9.82,9.95,180100,9.830298
2016-03-08,9.77,9.81,9.76,9.79,118800,9.672223
2016-03-07,9.76,9.81,9.71,9.79,324000,9.672223
2016-03-04,9.68,9.81,9.67,9.81,190500,9.691983
2016-03-03,9.56,9.71,9.55,9.70,181700,9.583306
2016-03-02,9.49,9.60,9.45,9.59,470500,9.47463
2016-03-01,9.41,9.48,9.39,9.48,241200,9.365952
2016-02-29,9.24,9.35,9.22,9.33,207200,9.217757
2016-02-26,9.20,9.23,9.17,9.21,196800,9.099201
2016-02-25,9.20,9.21,9.14,9.15,127500,9.039922
2016-02-24,9.10,9.18,9.06,9.16,218300,9.049802
2016-02-23,9.15,9.23,9.15,9.16,145300,9.049802
2016-02-22,9.20,9.24,9.15,9.15,130200,9.039922
2016-02-19,9.22,9.23,9.13,9.18,160000,9.069562
2016-02-18,9.24,9.24,9.16,9.22,199000,9.109081
2016-02-17,9.11,9.19,9.08,9.16,194600,9.049802
2016-02-16,9.15,9.18,9.09,9.09,341100,8.980645
2016-02-12,9.15,9.17,9.09,9.11,285900,9.000404
2016-02-11,9.24,9.27,9.15,9.15,372000,9.039922
2016-02-10,9.40,9.43,9.24,9.27,384700,9.15848
2016-02-09,9.45,9.52,9.45,9.45,349700,9.277035
2016-02-08,9.56,9.56,9.47,9.49,275300,9.316303
2016-02-05,9.66,9.76,9.57,9.58,153600,9.404656
2016-02-04,9.75,9.77,9.66,9.66,128000,9.483191
2016-02-03,9.80,9.80,9.72,9.77,174200,9.591179
2016-02-02,9.78,9.78,9.70,9.76,209400,9.581361
2016-02-01,9.86,9.87,9.74,9.78,269100,9.600995
2016-01-29,9.74,9.84,9.70,9.84,290400,9.659897
2016-01-28,9.56,9.72,9.44,9.69,662300,9.512642
2016-01-27,9.47,9.52,9.42,9.42,184800,9.247584
2016-01-26,9.39,9.53,9.39,9.49,213200,9.316303
