Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,10.13,10.15,10.08,10.11,61900,10.11
2016-04-18,10.15,10.209,10.08,10.10,94300,10.10
2016-04-15,10.18,10.23,10.15,10.15,53700,10.15
2016-04-14,10.15,10.18,10.11,10.14,78500,10.14
2016-04-13,10.06,10.14,10.06,10.14,84100,10.14
2016-04-12,10.07,10.12,10.06,10.10,24400,10.049
2016-04-11,10.09,10.14,10.06,10.09,49800,10.03905
2016-04-08,10.086,10.11,10.068,10.07,33900,10.019151
2016-04-07,10.06,10.14,10.04,10.11,68300,10.058949
2016-04-06,10.05,10.05,10.04,10.04,76900,9.989303
2016-04-05,10.14,10.14,10.05,10.06,47600,10.009202
2016-04-04,10.09,10.14,10.09,10.14,59500,10.088798
2016-04-01,10.11,10.121,10.068,10.09,55500,10.03905
2016-03-31,10.05,10.14,10.04,10.04,350300,9.989303
2016-03-30,10.06,10.08,10.04,10.08,162800,10.029101
2016-03-29,10.08,10.08,10.04,10.08,116100,10.029101
2016-03-28,10.03,10.08,10.03,10.08,104200,10.029101
2016-03-24,10.08,10.08,10.01,10.04,138300,9.989303
2016-03-23,10.03,10.07,10.02,10.05,47800,9.999252
2016-03-22,10.07,10.08,10.02,10.05,189900,9.999252
2016-03-21,10.05,10.08,10.04,10.08,57700,10.029101
2016-03-18,10.08,10.08,10.04,10.05,79700,9.999252
2016-03-17,10.035,10.05,10.03,10.05,43900,9.999252
2016-03-16,9.972,10.05,9.972,10.05,53900,9.999252
2016-03-15,9.97,10.00,9.96,9.99,66100,9.939555
2016-03-14,10.00,10.02,9.96,9.96,60300,9.909707
2016-03-11,9.97,10.01,9.95,10.00,74200,9.949505
2016-03-10,10.008,10.05,9.95,9.95,64000,9.849015
2016-03-09,10.00,10.08,9.96,9.99,165100,9.888609
2016-03-08,10.03,10.09,10.00,10.01,44700,9.908406
2016-03-07,10.011,10.03,9.987,10.00,41300,9.898508
2016-03-04,9.983,10.03,9.983,10.00,61000,9.898508
2016-03-03,10.02,10.02,9.92,10.01,81200,9.908406
2016-03-02,10.05,10.05,9.95,9.98,96500,9.87871
2016-03-01,10.00,10.09,9.94,10.03,90900,9.928203
2016-02-29,10.00,10.00,9.95,10.00,100100,9.898508
2016-02-26,10.00,10.05,9.97,10.00,37600,9.898508
2016-02-25,10.05,10.09,10.00,10.00,87300,9.898508
2016-02-24,10.00,10.05,10.00,10.05,19700,9.948
2016-02-23,10.04,10.05,10.00,10.05,34800,9.948
2016-02-22,10.04,10.09,9.98,10.01,42800,9.908406
2016-02-19,10.01,10.09,9.95,10.08,99600,9.977696
2016-02-18,9.97,10.08,9.86,10.02,53600,9.918305
2016-02-17,9.98,10.03,9.98,10.03,72300,9.928203
2016-02-16,9.869,10.10,9.85,9.97,71300,9.868812
2016-02-12,9.97,9.97,9.84,9.90,68800,9.799522
2016-02-11,9.95,9.993,9.84,9.85,124300,9.75003
2016-02-10,10.13,10.13,9.94,9.94,63600,9.839116
2016-02-09,10.10,10.14,9.99,10.04,30200,9.887619
2016-02-08,10.04,10.15,10.00,10.02,119600,9.867923
2016-02-05,10.10,10.15,10.00,10.05,95800,9.897468
2016-02-04,10.01,10.10,10.00,10.01,43400,9.858075
2016-02-03,9.98,10.08,9.98,10.00,80200,9.848226
2016-02-02,10.03,10.05,9.975,9.999,49700,9.847241
2016-02-01,10.09,10.09,9.99,10.00,53500,9.848226
2016-01-29,9.958,10.00,9.95,9.96,36000,9.808833
2016-01-28,9.92,10.00,9.91,9.97,26400,9.818682
2016-01-27,9.89,10.00,9.82,9.915,38900,9.764516
2016-01-26,9.97,10.00,9.75,9.77,122900,9.621718
2016-01-25,10.00,10.07,9.90,9.96,59800,9.808833
2016-01-22,10.07,10.07,9.91,10.00,82800,9.848226
2016-01-21,9.84,9.95,9.78,9.90,76200,9.749744
2016-01-20,9.90,10.05,9.79,9.84,146600,9.690655
2016-01-19,9.94,10.00,9.92,9.95,50600,9.798985
2016-01-15,10.10,10.10,9.95,9.97,35100,9.818682
2016-01-14,9.94,10.12,9.94,10.00,97700,9.848226
2016-01-13,10.00,10.15,9.978,10.00,51800,9.848226
2016-01-12,10.17,10.17,10.00,10.068,39900,9.864968
2016-01-11,10.08,10.15,10.06,10.10,54000,9.896323
2016-01-08,10.18,10.18,9.91,10.02,57500,9.817937
2016-01-07,10.18,10.18,9.96,9.99,44200,9.788541
2016-01-06,10.05,10.50,9.97,10.08,82200,9.876726
2016-01-05,10.20,10.25,10.014,10.018,78000,9.815976
2016-01-04,10.10,10.12,9.95,10.097,46300,9.893384
2015-12-31,10.01,10.12,9.955,10.078,65900,9.874767
2015-12-30,10.06,10.14,10.01,10.033,79000,9.830674
