Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,22.59,22.870001,22.59,22.68,27600,22.68
2016-04-18,22.57,22.719999,22.57,22.639999,17600,22.639999
2016-04-15,22.52,22.690001,22.51,22.540001,39000,22.540001
2016-04-14,22.75,22.809999,22.52,22.59,30800,22.59
2016-04-13,22.75,22.75,22.65,22.74,8800,22.74
2016-04-12,22.67,22.780001,22.67,22.709999,24000,22.583
2016-04-11,22.790001,22.790001,22.66,22.74,10400,22.612833
2016-04-08,22.549999,22.690001,22.530001,22.65,35800,22.523336
2016-04-07,22.870001,22.98,22.469999,22.549999,48400,22.423895
2016-04-06,22.74,23.09,22.700001,23.02,23900,22.891267
2016-04-05,22.73,22.799999,22.67,22.77,9500,22.642665
2016-04-04,22.799999,22.809999,22.59,22.790001,25900,22.662554
2016-04-01,22.40,22.799999,22.40,22.799999,66700,22.672496
2016-03-31,22.41,22.51,22.41,22.48,31400,22.354286
2016-03-30,22.48,22.540001,22.40,22.40,110700,22.274734
2016-03-29,22.52,22.559999,22.40,22.40,131800,22.274734
2016-03-28,22.459999,22.540001,22.450001,22.469999,27300,22.344342
2016-03-24,22.50,22.59,22.450001,22.450001,26700,22.324455
2016-03-23,22.58,22.610001,22.540001,22.59,28100,22.463672
2016-03-22,22.43,22.620001,22.43,22.58,33000,22.453727
2016-03-21,22.60,22.65,22.50,22.50,28800,22.374175
2016-03-18,22.57,22.65,22.40,22.65,31700,22.523336
2016-03-17,22.610001,22.620001,22.57,22.57,35600,22.443783
2016-03-16,22.52,22.639999,22.450001,22.610001,50000,22.48356
2016-03-15,22.379999,22.540001,22.379999,22.540001,52700,22.413952
2016-03-14,22.40,22.469999,22.389999,22.459999,21800,22.334398
2016-03-11,22.52,22.52,22.32,22.48,27800,22.354286
2016-03-10,22.620001,22.620001,22.52,22.52,6100,22.267774
2016-03-09,22.60,22.639999,22.59,22.60,15600,22.346877
2016-03-08,22.60,22.65,22.559999,22.629999,32400,22.37654
2016-03-07,22.58,22.59,22.559999,22.59,19300,22.336989
2016-03-04,22.50,22.58,22.50,22.559999,21700,22.307325
2016-03-03,22.530001,22.559999,22.50,22.559999,20500,22.307325
2016-03-02,22.559999,22.559999,22.440001,22.50,28900,22.247997
2016-03-01,22.450001,22.51,22.41,22.48,35800,22.228221
2016-02-29,22.41,22.469999,22.32,22.440001,15200,22.18867
2016-02-26,22.50,22.52,22.32,22.450001,26200,22.198558
2016-02-25,22.299999,22.49,22.26,22.48,31000,22.228221
2016-02-24,22.23,22.35,22.209999,22.27,9700,22.020574
2016-02-23,22.27,22.35,22.27,22.34,32200,22.089789
2016-02-22,22.26,22.440001,22.25,22.360001,28400,22.109566
2016-02-19,22.110001,22.379999,22.10,22.23,31500,21.981021
2016-02-18,22.10,22.25,22.02,22.219999,29600,21.971132
2016-02-17,22.049999,22.18,21.93,22.15,49400,21.901917
2016-02-16,22.40,22.40,21.959999,22.059999,39800,21.812925
2016-02-12,22.459999,22.459999,22.07,22.18,55400,21.931581
2016-02-11,22.25,22.450001,22.25,22.389999,38400,22.139228
2016-02-10,22.60,22.60,22.459999,22.50,27200,22.247997
2016-02-09,22.52,22.709999,22.52,22.57,15600,22.191635
2016-02-08,22.870001,22.90,22.629999,22.73,32200,22.348953
2016-02-05,23.049999,23.049999,22.90,22.90,90600,22.516103
2016-02-04,22.90,23.040001,22.90,23.030001,92900,22.643925
2016-02-03,22.889999,23.00,22.83,22.99,74200,22.604594
2016-02-02,22.540001,22.83,22.540001,22.809999,69900,22.427612
2016-02-01,22.73,22.73,22.549999,22.700001,76200,22.319457
2016-01-29,22.549999,22.77,22.50,22.75,62800,22.368618
2016-01-28,22.780001,22.99,22.469999,22.549999,128100,22.17197
2016-01-27,22.639999,22.700001,22.610001,22.67,22500,22.289959
2016-01-26,22.73,22.84,22.629999,22.66,23900,22.280127
2016-01-25,22.860001,22.860001,22.65,22.75,38100,22.368618
2016-01-22,22.629999,22.860001,22.620001,22.83,35900,22.447277
2016-01-21,22.27,22.700001,22.27,22.68,34600,22.299792
2016-01-20,22.309999,22.50,22.209999,22.34,59900,21.965491
2016-01-19,22.57,22.57,22.32,22.48,54200,22.103144
2016-01-15,22.040001,22.51,22.040001,22.43,40000,22.053983
2016-01-14,22.440001,22.59,22.41,22.559999,39400,22.181803
2016-01-13,22.60,22.620001,22.469999,22.51,107500,22.132642
2016-01-12,22.84,22.84,22.65,22.700001,71700,22.194586
2016-01-11,22.68,22.790001,22.65,22.700001,57200,22.194586
2016-01-08,22.780001,22.860001,22.67,22.76,41100,22.25325
2016-01-07,22.60,22.870001,22.60,22.809999,63000,22.302136
2016-01-06,22.639999,22.98,22.639999,22.90,110800,22.390132
2016-01-05,22.83,22.85,22.809999,22.85,60100,22.341246
