Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,7.08,7.41,7.06,7.41,75000,7.41
2016-04-18,6.67,7.04,6.51,7.04,61200,7.04
2016-04-15,6.82,6.85,6.74,6.79,21700,6.79
2016-04-14,7.05,7.05,6.85,6.87,19500,6.87
2016-04-13,7.02,7.03,6.86,6.94,40000,6.94
2016-04-12,6.75,7.23,6.75,7.11,65400,6.864
2016-04-11,6.78,6.89,6.72,6.75,28700,6.516456
2016-04-08,6.59,6.78,6.59,6.66,28900,6.429569
2016-04-07,6.46,6.49,6.43,6.48,28800,6.255797
2016-04-06,6.40,6.49,6.30,6.44,46400,6.217181
2016-04-05,6.35,6.35,6.20,6.25,26200,6.033755
2016-04-04,6.52,6.58,6.35,6.40,62600,6.178565
2016-04-01,6.56,6.66,6.53,6.57,27700,6.342684
2016-03-31,6.70,6.81,6.63,6.78,62200,6.545418
2016-03-30,6.60,6.77,6.55,6.67,33800,6.439224
2016-03-29,6.42,6.52,6.37,6.52,44000,6.294413
2016-03-28,6.55,6.55,6.42,6.47,44800,6.246143
2016-03-24,6.44,6.64,6.32,6.54,57000,6.313721
2016-03-23,6.71,6.75,6.50,6.58,52900,6.352337
2016-03-22,6.54,6.73,6.54,6.72,32800,6.487493
2016-03-21,6.73,6.73,6.52,6.59,47900,6.361992
2016-03-18,6.57,6.74,6.45,6.70,50400,6.468185
2016-03-17,6.48,6.58,6.39,6.50,79500,6.275105
2016-03-16,5.99,6.36,5.99,6.31,43000,6.091679
2016-03-15,6.06,6.08,5.90,5.93,42900,5.724827
2016-03-14,5.95,6.14,5.95,6.14,71600,5.927561
2016-03-11,6.03,6.22,6.01,6.04,47900,5.831021
2016-03-10,5.93,6.00,5.86,5.93,52400,5.724827
2016-03-09,6.03,6.03,5.89,5.94,73800,5.734481
2016-03-08,6.03,6.03,5.81,5.86,66700,5.657249
2016-03-07,6.00,6.13,5.98,6.12,66800,5.908253
2016-03-04,6.13,6.24,5.99,5.99,69300,5.782751
2016-03-03,5.72,6.15,5.72,6.04,82800,5.831021
2016-03-02,5.57,5.83,5.54,5.74,61300,5.5414
2016-03-01,5.52,5.64,5.40,5.56,56200,5.367628
2016-02-29,5.42,5.57,5.34,5.49,80400,5.30005
2016-02-26,5.37,5.51,5.27,5.35,53200,5.164894
2016-02-25,5.29,5.29,5.10,5.25,48400,5.068354
2016-02-24,5.06,5.32,5.03,5.26,48500,5.078009
2016-02-23,5.47,5.47,5.21,5.22,63700,5.039392
2016-02-22,5.33,5.59,5.33,5.41,40300,5.222818
2016-02-19,5.22,5.30,5.00,5.19,43800,5.01043
2016-02-18,5.30,5.41,5.13,5.34,93500,5.15524
2016-02-17,5.04,5.30,4.98,5.20,104000,5.020084
2016-02-16,4.81,5.00,4.67,4.84,174600,4.67254
2016-02-12,4.35,4.52,4.28,4.52,65200,4.363612
2016-02-11,4.50,4.58,4.15,4.28,107500,4.131916
2016-02-10,4.70,4.83,4.60,4.62,108500,4.460152
2016-02-09,4.70,4.81,4.52,4.70,140300,4.537384
2016-02-08,5.50,5.50,4.87,4.95,56200,4.778734
2016-02-05,5.78,5.84,5.58,5.62,31000,5.425552
2016-02-04,5.62,5.84,5.56,5.84,34200,5.637941
2016-02-03,5.57,5.62,5.21,5.60,30700,5.406244
2016-02-02,5.56,5.66,5.37,5.42,65200,5.232472
2016-02-01,5.55,5.71,5.34,5.71,108200,5.512439
2016-01-29,5.51,5.78,5.51,5.67,74600,5.473823
2016-01-28,5.25,5.48,5.22,5.39,118200,5.20351
2016-01-27,4.91,5.05,4.82,4.99,93600,4.81735
2016-01-26,4.75,5.06,4.61,4.97,120300,4.798042
2016-01-25,4.80,5.10,4.60,4.62,103300,4.460152
2016-01-22,4.60,4.84,4.53,4.83,118400,4.662886
2016-01-21,4.12,4.35,4.10,4.30,93600,4.151224
2016-01-20,4.33,4.58,3.90,4.07,196100,3.929181
2016-01-19,4.96,5.05,4.42,4.60,79300,4.440844
2016-01-15,5.05,5.16,4.82,4.88,140700,4.711156
2016-01-14,5.17,5.33,4.97,5.28,94300,5.097317
2016-01-13,5.55,5.66,4.97,5.10,97400,4.923544
2016-01-12,6.04,6.21,5.52,5.76,121700,5.280743
2016-01-11,6.34,6.34,5.90,5.90,73400,5.409094
2016-01-08,6.25,6.46,6.20,6.33,58200,5.803316
2016-01-07,6.57,6.58,6.20,6.23,68200,5.711637
2016-01-06,6.80,6.94,6.52,6.61,77500,6.060019
2016-01-05,7.03,7.06,6.83,6.98,40600,6.399233
2016-01-04,6.89,7.04,6.73,7.01,67100,6.426737
2015-12-31,6.33,7.00,6.32,6.97,200800,6.390065
2015-12-30,6.34,6.51,6.25,6.39,275900,5.858324
2015-12-29,6.58,6.68,6.32,6.42,201600,5.885828
2015-12-28,6.64,6.66,6.41,6.49,218800,5.950003
2015-12-24,6.66,6.91,6.66,6.74,125200,6.179202
2015-12-23,6.27,7.03,6.26,6.65,542000,6.096691
2015-12-22,5.82,6.24,5.81,6.11,327100,5.601621
2015-12-21,5.50,5.86,5.49,5.83,235700,5.344918
2015-12-18,5.80,5.93,5.52,5.58,289800,5.115719
2015-12-17,6.37,6.39,5.86,5.89,166500,5.399926
2015-12-16,6.15,6.44,6.15,6.36,146400,5.83082
2015-12-15,6.40,6.56,6.19,6.19,135900,5.674965
2015-12-14,6.45,6.62,6.27,6.34,108100,5.812484
2015-12-11,6.84,6.95,6.46,6.54,102000,5.995843
2015-12-10,7.13,7.41,6.95,6.97,116100,6.390065
2015-12-09,7.31,7.50,7.07,7.24,127600,6.6376
2015-12-08,7.10,7.48,7.03,7.14,118100,6.545921
