Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,5.19,5.24,5.12,5.18,24300,5.18
2016-04-18,5.16,5.25,5.16,5.21,25900,5.21
2016-04-15,5.18,5.22,5.18,5.18,17900,5.18
2016-04-14,5.20,5.22,5.15,5.18,10100,5.18
2016-04-13,5.15,5.22,5.14,5.21,7400,5.21
2016-04-12,5.07,5.15,5.06,5.13,38900,5.13
2016-04-11,5.06,5.08,5.02,5.03,16900,5.03
2016-04-08,5.06,5.06,5.03,5.03,13500,5.03
2016-04-07,5.05,5.06,5.03,5.04,18400,5.04
2016-04-06,5.02,5.09,5.02,5.08,21700,5.08
2016-04-05,5.05,5.11,5.03,5.06,26300,5.06
2016-04-04,5.05,5.10,5.05,5.08,46800,5.08
2016-04-01,5.15,5.20,5.13,5.13,6100,5.13
2016-03-31,5.20,5.25,5.15,5.23,24900,5.23
2016-03-30,5.05,5.24,5.05,5.18,37700,5.18
2016-03-29,5.05,5.15,4.99,5.05,53200,5.05
2016-03-28,5.05,5.22,5.00,5.08,81300,5.04
2016-03-24,5.00,5.07,4.98,5.05,86900,5.010236
2016-03-23,5.14,5.14,5.00,5.00,33200,4.96063
2016-03-22,5.19,5.25,5.16,5.16,25300,5.11937
2016-03-21,5.11,5.20,5.02,5.13,87200,5.089606
2016-03-18,5.17,5.18,5.05,5.05,88900,5.010236
2016-03-17,5.11,5.17,5.05,5.16,78200,5.11937
2016-03-16,5.05,5.08,5.03,5.04,93400,5.000315
2016-03-15,5.05,5.08,5.01,5.05,42000,5.010236
2016-03-14,5.14,5.17,5.05,5.05,95500,5.010236
2016-03-11,5.14,5.19,5.10,5.14,34500,5.099527
2016-03-10,5.14,5.17,5.05,5.17,67700,5.129291
2016-03-09,5.10,5.19,5.05,5.10,25300,5.059842
2016-03-08,5.23,5.27,5.05,5.05,23500,5.010236
2016-03-07,5.12,5.25,5.12,5.22,11800,5.178897
2016-03-04,5.16,5.23,5.11,5.12,42000,5.079685
2016-03-03,5.18,5.26,5.13,5.13,37700,5.089606
2016-03-02,5.11,5.20,5.06,5.14,20100,5.099527
2016-03-01,5.06,5.16,5.01,5.12,40900,5.079685
2016-02-29,5.07,5.12,4.98,5.00,43600,4.96063
2016-02-26,5.06,5.18,5.02,5.06,15600,5.020157
2016-02-25,5.03,5.09,5.00,5.05,20700,5.010236
2016-02-24,5.08,5.17,5.00,5.09,29000,5.010237
2016-02-23,5.29,5.29,5.10,5.14,23300,5.059453
2016-02-22,5.35,5.44,5.25,5.26,40400,5.177573
2016-02-19,5.20,5.34,5.20,5.25,35200,5.167729
2016-02-18,5.17,5.26,5.10,5.17,56900,5.088983
2016-02-17,5.14,5.33,5.05,5.10,105400,5.02008
2016-02-16,5.07,5.10,5.04,5.09,35200,5.010237
2016-02-12,5.05,5.10,4.96,4.99,62700,4.911803
2016-02-11,4.98,5.18,4.95,5.15,35400,5.069296
2016-02-10,5.00,5.22,5.00,5.02,35300,4.941333
2016-02-09,4.96,5.05,4.96,5.03,29400,4.951177
2016-02-08,5.14,5.16,4.96,5.03,51400,4.951177
2016-02-05,5.32,5.33,5.09,5.12,19500,5.039766
2016-02-04,5.19,5.31,5.18,5.29,30600,5.207102
2016-02-03,5.24,5.31,5.14,5.23,59800,5.148042
2016-02-02,5.48,5.48,5.23,5.23,49200,5.148042
2016-02-01,5.50,5.51,5.29,5.48,36900,5.394125
2016-01-29,5.61,5.65,5.51,5.51,32600,5.423655
2016-01-28,5.69,5.69,5.55,5.61,61200,5.522088
2016-01-27,5.85,5.87,5.64,5.70,79600,5.610677
2016-01-26,5.63,5.74,5.59,5.72,77000,5.59099
2016-01-25,5.59,5.73,5.44,5.63,63900,5.503021
2016-01-22,5.51,5.59,5.47,5.59,56400,5.463923
2016-01-21,5.35,5.46,5.34,5.44,42700,5.317306
2016-01-20,5.38,5.45,5.16,5.39,185300,5.268433
2016-01-19,5.35,5.51,5.34,5.42,99000,5.297757
2016-01-15,5.29,5.51,5.11,5.42,239000,5.297757
2016-01-14,5.44,5.59,5.44,5.58,50800,5.454148
2016-01-13,5.50,5.53,5.45,5.47,59000,5.346629
2016-01-12,5.50,5.50,5.40,5.46,74500,5.336855
2016-01-11,5.38,5.57,5.34,5.47,96100,5.346629
2016-01-08,5.34,5.46,5.31,5.38,62100,5.258659
2016-01-07,5.11,5.32,5.03,5.26,99300,5.141366
2016-01-06,5.25,5.46,5.10,5.14,163600,5.024072
2016-01-05,5.51,5.51,5.26,5.26,189500,5.141366
2016-01-04,5.53,5.53,5.39,5.48,75600,5.356404
2015-12-31,5.41,5.46,5.20,5.46,318700,5.336855
2015-12-30,5.11,5.67,5.11,5.44,238000,5.317306
2015-12-29,5.38,5.45,5.17,5.21,128100,5.092493
2015-12-28,5.48,5.55,4.96,5.38,93100,5.219561
2015-12-24,5.45,5.51,5.36,5.50,8200,5.335983
2015-12-23,5.51,5.55,5.50,5.54,31600,5.37479
2015-12-22,5.56,5.63,5.50,5.52,41300,5.355386
2015-12-21,5.66,5.66,5.55,5.55,20600,5.384492
2015-12-18,5.61,5.68,5.55,5.55,53000,5.384492
2015-12-17,5.72,5.73,5.55,5.55,37100,5.384492
2015-12-16,5.45,5.69,5.45,5.66,50500,5.491211
2015-12-15,5.19,5.49,5.19,5.38,52700,5.219561
2015-12-14,5.48,5.48,5.25,5.27,49000,5.112842
2015-12-11,5.56,5.62,5.46,5.48,69200,5.316579
2015-12-10,5.66,5.78,5.64,5.71,40400,5.53972
2015-12-09,5.81,5.81,5.61,5.62,48300,5.452404
2015-12-08,5.75,5.88,5.57,5.80,75500,5.627036
2015-12-07,5.92,5.92,5.67,5.72,74100,5.549422
2015-12-04,6.07,6.15,5.96,5.96,153900,5.782265
2015-12-03,6.15,6.16,6.06,6.09,25700,5.908388
2015-12-02,6.20,6.20,6.09,6.14,44200,5.956897
2015-12-01,6.21,6.24,6.16,6.19,10100,6.005406
2015-11-30,6.24,6.30,6.17,6.18,12700,5.995704
2015-11-27,6.22,6.25,6.18,6.23,10800,6.044213
2015-11-25,6.19,6.25,6.19,6.21,26000,6.02481
2015-11-24,6.23,6.27,6.20,6.24,13300,6.015108
2015-11-23,6.20,6.25,6.20,6.24,19800,6.015108
2015-11-20,6.24,6.29,6.22,6.25,20600,6.024747
2015-11-19,6.28,6.28,6.15,6.27,39000,6.044027
2015-11-18,6.29,6.29,6.25,6.25,31000,6.024747
2015-11-17,6.17,6.32,6.17,6.24,36800,6.015108
2015-11-16,6.15,6.27,6.12,6.27,28600,6.044027
2015-11-13,6.22,6.31,6.15,6.16,59600,5.937991
2015-11-12,6.29,6.29,6.17,6.20,17300,5.976549
2015-11-11,6.50,6.50,6.27,6.35,14900,6.121143
2015-11-10,6.38,6.53,6.30,6.49,54000,6.256097
2015-11-09,6.32,6.44,6.29,6.42,97400,6.188621
2015-11-06,6.19,6.36,6.18,6.32,52000,6.092225
2015-11-05,6.17,6.20,6.15,6.19,19400,5.96691
2015-11-04,6.33,6.33,6.17,6.20,32700,5.976549
2015-11-03,6.33,6.34,6.25,6.26,42200,6.034387
2015-11-02,6.22,6.35,6.18,6.32,13900,6.092225
2015-10-30,6.19,6.25,6.11,6.16,71900,5.937991
2015-10-29,6.21,6.22,6.13,6.17,64800,5.947631
2015-10-28,6.05,6.29,6.05,6.20,41200,5.976549
2015-10-27,6.23,6.23,6.10,6.15,32500,5.889793
2015-10-26,6.24,6.25,6.09,6.19,103800,5.9281
2015-10-23,6.66,6.66,6.20,6.27,123300,6.004716
2015-10-22,6.61,6.62,6.55,6.60,36800,6.320753
2015-10-21,6.50,6.56,6.45,6.51,38800,6.234561
2015-10-20,6.49,6.70,6.46,6.50,74200,6.224984
2015-10-19,6.39,6.52,6.39,6.50,69900,6.224984
2015-10-16,6.47,6.47,6.39,6.43,34300,6.157946
2015-10-15,6.45,6.45,6.36,6.40,23400,6.129215
2015-10-14,6.40,6.40,6.25,6.37,29500,6.100484
2015-10-13,6.52,6.52,6.35,6.36,32700,6.090908
2015-10-12,6.44,6.44,6.31,6.41,3700,6.138792
2015-10-09,6.43,6.44,6.33,6.40,22500,6.129215
2015-10-08,6.45,6.56,6.34,6.42,31200,6.148369
2015-10-07,6.70,6.70,6.52,6.52,25300,6.244138
2015-10-06,6.60,6.64,6.58,6.62,9500,6.339907
2015-10-05,6.65,6.72,6.65,6.68,23800,6.397368
2015-10-02,6.41,6.63,6.29,6.59,35600,6.311176
2015-10-01,6.31,6.49,6.28,6.43,44900,6.157946
2015-09-30,6.38,6.41,6.21,6.21,34000,5.947254
2015-09-29,6.22,6.34,6.22,6.29,22000,6.023869
2015-09-28,6.21,6.30,6.21,6.23,57700,5.966408
2015-09-25,6.15,6.29,6.13,6.26,214400,5.956831
2015-09-24,6.26,6.33,6.13,6.13,102100,5.833127
2015-09-23,6.40,6.41,6.29,6.30,164200,5.994894
2015-09-22,6.57,6.62,6.37,6.38,101600,6.07102
2015-09-21,6.76,6.76,6.42,6.60,63100,6.280365
2015-09-18,6.56,6.79,6.52,6.79,63700,6.461163
2015-09-17,6.67,6.70,6.64,6.64,22600,6.318428
2015-09-16,6.70,6.70,6.62,6.67,20400,6.346975
2015-09-15,6.58,6.68,6.58,6.66,26400,6.337459
2015-09-14,6.50,6.59,6.47,6.56,19600,6.242302
2015-09-11,6.68,6.68,6.40,6.54,52500,6.223271
2015-09-10,6.60,6.71,6.51,6.67,34900,6.346975
2015-09-09,6.86,6.86,6.60,6.61,57400,6.289881
2015-09-08,6.82,6.82,6.77,6.78,18500,6.451648
