Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,23.059999,23.25,23.059999,23.25,400,23.25
2016-04-18,23.299999,23.389999,23.18,23.23,7100,23.23
2016-04-15,23.34,23.370001,23.120001,23.35,21300,23.35
2016-04-14,23.219999,23.34,23.219999,23.34,500,23.34
2016-04-13,22.85,23.370001,22.77,23.370001,3100,23.370001
2016-04-12,23.190001,23.200001,22.75,23.01,14300,23.01
2016-04-11,23.190001,23.459999,22.75,22.75,4700,22.75
2016-04-08,23.00,23.280001,22.870001,22.92,16500,22.92
2016-04-07,23.41,23.41,22.75,22.889999,8400,22.889999
2016-04-06,23.00,23.299999,22.959999,23.09,10900,23.09
2016-04-05,22.459999,23.10,22.459999,22.59,10500,22.59
2016-04-04,23.299999,23.299999,22.459999,22.48,16900,22.48
2016-04-01,23.00,23.49,22.84,22.91,14000,22.91
2016-03-31,23.77,23.77,22.98,23.24,4500,23.24
2016-03-30,23.58,23.700001,22.879999,22.879999,10200,22.879999
2016-03-29,23.75,23.799999,23.299999,23.709999,11700,23.256999
2016-03-28,23.50,23.790001,23.50,23.549999,1200,23.100056
2016-03-24,23.33,23.780001,23.309999,23.49,8100,23.041203
2016-03-23,23.65,23.65,23.299999,23.48,1500,23.031394
2016-03-22,22.99,23.67,22.99,23.24,9700,22.79598
2016-03-21,22.879999,23.67,22.879999,23.41,6800,22.962732
2016-03-18,22.280001,22.940001,22.280001,22.83,7600,22.393813
2016-03-17,22.99,22.99,22.27,22.99,3700,22.550756
2016-03-16,22.709999,22.99,22.17,22.60,13800,22.168208
2016-03-15,22.42,22.76,22.23,22.549999,4800,22.119162
2016-03-14,22.370001,22.42,22.16,22.41,6500,21.981838
2016-03-11,22.299999,22.43,22.02,22.43,9400,22.001456
2016-03-10,21.790001,22.25,21.790001,22.00,16400,21.579671
2016-03-09,21.799999,21.799999,21.629999,21.700001,6300,21.285404
2016-03-08,21.91,21.969999,21.610001,21.629999,14500,21.21674
2016-03-07,22.030001,22.389999,21.559999,21.889999,35700,21.471772
2016-03-04,21.90,21.90,21.440001,21.60,7800,21.187314
2016-03-03,21.620001,22.23,21.299999,21.40,25400,20.991134
2016-03-02,21.50,21.860001,21.34,21.459999,23600,21.049988
2016-03-01,21.60,21.870001,21.299999,21.299999,18500,20.893045
2016-02-29,21.200001,21.85,21.200001,21.389999,20900,20.981325
2016-02-26,21.02,21.49,21.02,21.049999,20000,20.647821
2016-02-25,21.24,21.24,20.85,21.00,15100,20.598777
2016-02-24,20.280001,21.23,20.17,21.23,21000,20.824382
2016-02-23,20.34,20.83,20.23,20.26,10000,19.872916
2016-02-22,20.75,20.75,20.32,20.34,7100,19.951387
2016-02-19,20.40,21.09,19.969999,20.35,31500,19.961196
2016-02-18,20.700001,20.75,20.17,20.200001,10000,19.814063
2016-02-17,21.059999,21.059999,20.450001,20.93,6300,20.530115
2016-02-16,19.690001,20.50,19.65,20.059999,37100,19.676736
2016-02-12,20.049999,20.049999,19.200001,19.469999,19000,19.098008
2016-02-11,21.60,22.200001,19.15,19.65,44400,19.27457
2016-02-10,22.049999,22.049999,22.049999,22.049999,1400,21.628715
2016-02-09,21.610001,21.99,21.610001,21.99,12400,21.569862
2016-02-08,21.700001,22.02,21.700001,22.02,600,21.59929
2016-02-05,22.299999,22.50,21.60,22.120001,14000,21.697379
2016-02-04,22.120001,22.280001,21.60,22.280001,4700,21.854322
2016-02-03,22.02,22.030001,22.02,22.030001,800,21.609099
2016-02-02,22.01,22.60,22.01,22.110001,3600,21.68757
2016-02-01,21.98,23.00,21.82,22.110001,5000,21.68757
2016-01-29,22.09,22.860001,22.08,22.860001,2200,22.423241
2016-01-28,21.67,22.190001,21.67,22.190001,2700,21.766042
2016-01-27,21.549999,22.299999,21.549999,21.66,3300,21.246167
2016-01-26,20.700001,21.610001,19.540001,21.610001,7000,21.197123
2016-01-25,22.00,22.440001,21.049999,21.059999,17500,20.65763
2016-01-22,21.90,22.48,21.35,22.01,6200,21.58948
2016-01-21,22.690001,22.690001,21.26,21.799999,7000,21.383492
2016-01-20,23.040001,23.129999,20.860001,22.35,27100,21.922985
2016-01-19,23.950001,24.10,23.709999,23.73,8300,23.276618
2016-01-15,23.879999,24.559999,23.879999,24.200001,45100,23.737639
2016-01-14,24.049999,24.549999,24.00,24.40,23300,23.933817
2016-01-13,24.209999,24.51,24.139999,24.24,3700,23.776874
2016-01-12,24.57,24.57,24.15,24.41,4200,23.943626
2016-01-11,24.299999,24.50,24.299999,24.43,1000,23.963244
2016-01-08,24.620001,24.620001,24.50,24.50,800,24.031907
2016-01-07,24.51,24.73,24.50,24.549999,1500,24.080951
2016-01-06,24.65,24.799999,24.51,24.60,6600,24.129996
2016-01-05,25.00,25.00,24.93,24.950001,1100,24.47331
2016-01-04,24.66,24.98,24.66,24.98,1400,24.502735
2015-12-31,24.91,25.08,24.91,25.08,1600,24.600825
2015-12-30,25.139999,25.42,24.91,24.92,10200,24.443882
2015-12-29,25.50,25.50,25.50,25.50,000,25.012801
2015-12-28,24.950001,25.50,24.950001,25.50,2200,24.568456
2015-12-24,25.42,25.42,25.42,25.42,000,24.491378
2015-12-23,25.219999,25.450001,25.219999,25.42,1600,24.491378
2015-12-22,25.02,25.559999,24.98,25.389999,9900,24.462474
2015-12-21,25.00,25.00,25.00,25.00,500,24.086721
2015-12-18,24.790001,24.98,24.77,24.98,1800,24.067451
2015-12-17,24.629999,24.700001,24.60,24.66,2000,23.759142
2015-12-16,24.889999,24.889999,24.889999,24.889999,000,23.980739
2015-12-15,25.00,25.00,24.889999,24.889999,900,23.980739
2015-12-14,24.60,24.809999,24.549999,24.610001,6700,23.710969
2015-12-11,24.66,24.66,24.549999,24.66,800,23.759142
2015-12-10,24.75,24.75,24.73,24.73,400,23.826584
2015-12-09,24.879999,24.879999,24.700001,24.700001,7900,23.797681
2015-12-08,24.73,25.10,24.639999,24.74,9700,23.836219
2015-12-07,25.00,25.00,24.620001,24.620001,4700,23.720604
2015-12-04,25.139999,25.139999,25.139999,25.139999,000,24.221606
2015-12-03,25.25,25.25,25.139999,25.139999,1700,24.221606
2015-12-02,25.299999,25.299999,25.07,25.10,2300,24.183068
2015-12-01,25.299999,25.299999,25.200001,25.299999,900,24.375761
2015-11-30,25.00,25.00,25.00,25.00,600,24.086721
2015-11-27,25.10,25.299999,24.799999,25.299999,2700,24.375761
2015-11-25,25.219999,25.219999,25.219999,25.219999,000,24.298684
2015-11-24,25.219999,25.219999,25.219999,25.219999,300,24.298684
2015-11-23,25.40,25.40,25.26,25.32,3100,24.395031
2015-11-20,25.40,25.40,25.40,25.40,500,24.472108
2015-11-19,25.40,25.40,25.40,25.40,000,24.472108
2015-11-18,25.40,25.40,25.40,25.40,000,24.472108
2015-11-17,25.559999,25.559999,25.40,25.40,1600,24.472108
2015-11-16,25.43,25.43,25.43,25.43,100,24.501013
2015-11-13,25.629999,25.709999,25.40,25.40,4800,24.472108
2015-11-12,25.52,25.52,25.52,25.52,000,24.587725
2015-11-11,25.52,25.52,25.52,25.52,200,24.587725
2015-11-10,25.700001,25.75,25.299999,25.32,6100,24.395031
2015-11-09,25.299999,25.50,25.299999,25.50,2300,24.568456
2015-11-06,25.299999,25.299999,25.299999,25.299999,200,24.375761
2015-11-05,25.299999,25.299999,25.299999,25.299999,000,24.375761
2015-11-04,25.60,25.629999,25.299999,25.299999,4800,24.375761
2015-11-03,25.35,25.799999,25.35,25.74,9900,24.799688
2015-11-02,25.35,25.35,25.200001,25.200001,700,24.279416
2015-10-30,25.370001,25.370001,25.110001,25.34,2100,24.414301
2015-10-29,25.040001,25.209999,25.040001,25.209999,1000,24.289049
2015-10-28,25.08,25.10,25.02,25.040001,14400,24.125261
2015-10-27,25.08,25.08,25.08,25.08,000,24.163799
2015-10-26,25.08,25.08,25.08,25.08,100,24.163799
2015-10-23,25.129999,25.18,24.950001,25.18,5000,24.260146
2015-10-22,25.15,25.15,24.84,25.15,4400,24.231241
2015-10-21,25.25,25.25,25.02,25.030001,6100,24.115626
2015-10-20,25.25,25.35,25.030001,25.030001,9700,24.115626
2015-10-19,25.18,25.299999,25.129999,25.129999,7300,24.211971
2015-10-16,25.379999,25.379999,25.10,25.10,2200,24.183068
