Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,9.03,9.04,9.00,9.03,203700,9.03
2016-04-18,8.97,9.00,8.95,9.00,348700,9.00
2016-04-15,8.93,8.97,8.91,8.95,221900,8.95
2016-04-14,8.96,8.99,8.93,8.95,155200,8.95
2016-04-13,9.02,9.03,8.95,8.99,175500,8.99
2016-04-12,9.07,9.07,9.01,9.03,241100,8.972
2016-04-11,8.98,9.08,8.90,9.06,327200,9.001808
2016-04-08,8.90,8.97,8.88,8.95,172600,8.892513
2016-04-07,8.94,8.95,8.84,8.88,381500,8.822963
2016-04-06,9.00,9.02,8.95,8.95,324600,8.892513
2016-04-05,8.98,9.00,8.94,9.00,183700,8.942192
2016-04-04,8.98,8.99,8.92,8.99,246200,8.932256
2016-04-01,8.99,8.99,8.92,8.97,322300,8.912385
2016-03-31,8.99,9.00,8.95,8.99,304100,8.932256
2016-03-30,8.99,9.02,8.96,8.99,318400,8.932256
2016-03-29,8.95,9.01,8.91,8.99,275300,8.932256
2016-03-28,8.97,8.97,8.94,8.94,210000,8.882577
2016-03-24,9.04,9.04,8.97,8.98,231600,8.922321
2016-03-23,9.02,9.04,8.95,9.04,432900,8.981936
2016-03-22,9.08,9.12,9.07,9.11,178700,9.051486
2016-03-21,9.10,9.11,9.06,9.08,197500,9.021679
2016-03-18,9.10,9.13,9.05,9.09,238600,9.031615
2016-03-17,9.04,9.10,9.04,9.09,154100,9.031615
2016-03-16,9.01,9.09,9.00,9.04,183700,8.981936
2016-03-15,9.03,9.07,9.00,9.04,151300,8.981936
2016-03-14,8.99,9.05,8.98,9.04,159200,8.981936
2016-03-11,9.00,9.05,8.98,9.00,204600,8.942192
2016-03-10,9.08,9.09,8.99,9.02,228400,8.904437
2016-03-09,9.00,9.07,9.00,9.05,159700,8.934053
2016-03-08,9.00,9.02,8.98,9.02,170100,8.904437
2016-03-07,9.00,9.01,8.97,9.01,256700,8.894565
2016-03-04,8.97,9.03,8.94,9.01,300000,8.894565
2016-03-03,8.92,8.97,8.90,8.94,471500,8.825461
2016-03-02,8.98,9.03,8.92,8.94,261000,8.825461
2016-03-01,8.99,9.03,8.94,8.94,287200,8.825461
2016-02-29,8.87,8.95,8.87,8.95,264700,8.835333
2016-02-26,8.90,8.91,8.85,8.87,133500,8.756358
2016-02-25,8.81,8.93,8.81,8.87,227000,8.756358
2016-02-24,8.78,8.85,8.77,8.81,173300,8.697128
2016-02-23,8.75,8.81,8.75,8.81,167200,8.697128
2016-02-22,8.79,8.82,8.74,8.77,317900,8.65764
2016-02-19,8.70,8.79,8.70,8.76,216400,8.647768
2016-02-18,8.72,8.76,8.69,8.73,235300,8.618152
2016-02-17,8.58,8.70,8.58,8.69,299600,8.578664
2016-02-16,8.62,8.64,8.52,8.56,363700,8.450331
2016-02-12,8.38,8.59,8.36,8.59,443200,8.479946
2016-02-11,8.58,8.62,8.33,8.35,770100,8.243021
2016-02-10,8.83,8.85,8.65,8.65,275100,8.539177
2016-02-09,8.84,8.90,8.75,8.84,381500,8.669486
2016-02-08,8.97,8.99,8.85,8.92,480600,8.747943
2016-02-05,9.04,9.05,8.99,9.00,256200,8.8264
2016-02-04,9.03,9.06,9.01,9.06,254700,8.885243
2016-02-03,9.13,9.15,9.02,9.04,200000,8.865628
2016-02-02,9.12,9.15,9.06,9.14,242000,8.9637
2016-02-01,9.02,9.15,8.97,9.15,329200,8.973506
2016-01-29,8.90,9.02,8.89,9.02,320300,8.846015
2016-01-28,8.95,8.95,8.85,8.87,526500,8.698907
2016-01-27,8.89,8.99,8.89,8.91,267000,8.738136
2016-01-26,8.89,8.96,8.86,8.87,261600,8.698907
2016-01-25,8.97,8.98,8.85,8.88,243100,8.708715
2016-01-22,8.85,8.96,8.85,8.96,280800,8.787172
2016-01-21,8.72,8.83,8.66,8.80,309200,8.630258
2016-01-20,8.87,8.89,8.63,8.71,665300,8.541994
2016-01-19,8.85,8.93,8.80,8.91,382600,8.738136
2016-01-15,8.80,8.88,8.75,8.87,388200,8.698907
2016-01-14,8.89,8.98,8.83,8.89,398000,8.718522
2016-01-13,8.99,9.03,8.92,8.95,328000,8.777364
2016-01-12,9.03,9.07,8.96,9.06,333800,8.828362
2016-01-11,9.07,9.07,8.95,9.00,298400,8.769895
2016-01-08,9.05,9.05,9.00,9.03,327600,8.799128
2016-01-07,9.04,9.05,8.98,9.00,352000,8.769895
2016-01-06,9.00,9.10,8.98,9.08,317100,8.84785
2016-01-05,9.06,9.10,9.03,9.08,334500,8.84785
2016-01-04,9.04,9.06,8.95,9.02,498900,8.789385
2015-12-31,9.08,9.12,9.04,9.11,251900,8.877083
2015-12-30,9.03,9.06,9.01,9.06,308800,8.828362
2015-12-29,9.01,9.02,8.97,9.00,226600,8.769895
2015-12-28,9.04,9.06,8.98,9.01,233100,8.77964
2015-12-24,9.07,9.08,9.01,9.02,132900,8.789385
2015-12-23,9.03,9.09,9.01,9.03,260200,8.799128
2015-12-22,8.97,9.05,8.94,9.03,271500,8.799128
2015-12-21,8.90,8.99,8.88,8.98,282600,8.750406
2015-12-18,8.86,8.98,8.85,8.87,301700,8.643219
2015-12-17,8.83,8.90,8.77,8.87,326900,8.643219
2015-12-16,8.70,8.88,8.70,8.85,345500,8.623731
2015-12-15,8.64,8.77,8.63,8.68,680700,8.458077
2015-12-14,8.95,9.00,8.64,8.65,908400,8.428844
2015-12-11,9.08,9.08,8.95,9.00,297300,8.769895
2015-12-10,9.06,9.13,9.05,9.12,165500,8.83031
2015-12-09,9.13,9.18,9.07,9.09,374800,8.801263
2015-12-08,9.10,9.18,9.10,9.13,185900,8.839992
2015-12-07,9.24,9.24,9.13,9.16,215100,8.869039
2015-12-04,9.21,9.29,9.16,9.24,208700,8.946498
2015-12-03,9.29,9.32,9.21,9.21,233900,8.917451
2015-12-02,9.31,9.34,9.27,9.29,301100,8.99491
2015-12-01,9.23,9.30,9.20,9.27,292000,8.975546
2015-11-30,9.18,9.23,9.16,9.23,410000,8.936815
2015-11-27,9.16,9.19,9.13,9.17,25600,8.878722
2015-11-25,9.10,9.18,9.10,9.18,197500,8.888404
2015-11-24,9.10,9.12,9.07,9.08,187400,8.79158
2015-11-23,9.11,9.12,9.08,9.09,269300,8.801263
2015-11-20,9.10,9.15,9.08,9.11,236800,8.820627
2015-11-19,9.09,9.12,9.07,9.11,165400,8.820627
2015-11-18,9.08,9.12,9.05,9.09,195500,8.801263
2015-11-17,9.08,9.13,9.04,9.10,253100,8.810946
2015-11-16,9.04,9.10,9.04,9.08,252800,8.79158
2015-11-13,9.05,9.08,9.01,9.04,192300,8.752851
2015-11-12,9.03,9.07,9.00,9.04,261900,8.752851
2015-11-11,9.02,9.10,9.01,9.08,274200,8.79158
2015-11-10,8.96,9.03,8.96,9.01,253100,8.723804
2015-11-09,9.02,9.07,8.93,8.99,542800,8.648281
2015-11-06,9.18,9.19,9.03,9.05,335700,8.706001
2015-11-05,9.26,9.29,9.19,9.19,412500,8.840679
2015-11-04,9.26,9.30,9.22,9.29,157300,8.936878
2015-11-03,9.28,9.29,9.21,9.25,291400,8.898399
2015-11-02,9.24,9.28,9.20,9.26,304600,8.908019
2015-10-30,9.12,9.20,9.09,9.20,165100,8.850299
2015-10-29,9.07,9.12,9.06,9.10,162100,8.754101
2015-10-28,9.08,9.10,9.03,9.08,220600,8.73486
2015-10-27,9.05,9.10,9.05,9.07,140500,8.72524
2015-10-26,9.05,9.09,9.03,9.08,199600,8.73486
2015-10-23,9.03,9.09,9.03,9.07,223500,8.72524
2015-10-22,9.00,9.04,8.99,9.03,186600,8.686761
2015-10-21,9.00,9.05,8.98,9.01,177800,8.667522
2015-10-20,8.97,9.01,8.96,9.00,212700,8.657901
2015-10-19,9.05,9.05,8.95,8.96,449100,8.619422
2015-10-16,9.04,9.06,9.02,9.05,160300,8.706001
2015-10-15,9.00,9.07,8.98,9.06,179600,8.715621
2015-10-14,9.05,9.05,8.99,9.00,228100,8.657901
2015-10-13,9.03,9.07,9.00,9.06,179800,8.715621
2015-10-12,9.09,9.09,9.05,9.08,155100,8.679065
2015-10-09,9.03,9.10,9.03,9.07,186600,8.669507
2015-10-08,8.95,9.04,8.93,9.04,180500,8.640832
2015-10-07,8.97,9.01,8.95,8.98,236700,8.583481
2015-10-06,8.93,8.98,8.90,8.96,263800,8.564364
2015-10-05,8.86,8.93,8.83,8.93,352600,8.535689
2015-10-02,8.76,8.88,8.75,8.87,255900,8.478338
2015-10-01,8.77,8.83,8.75,8.76,342900,8.373196
2015-09-30,8.92,8.93,8.75,8.75,1126800,8.363637
2015-09-29,9.02,9.04,8.83,8.89,572000,8.497455
2015-09-28,9.08,9.10,9.02,9.02,275000,8.621715
2015-09-25,9.04,9.12,9.03,9.08,214900,8.679065
2015-09-24,9.09,9.12,9.00,9.01,559300,8.612157
2015-09-23,9.14,9.15,9.11,9.12,155100,8.717299
2015-09-22,9.15,9.19,9.11,9.18,234100,8.77465
2015-09-21,9.27,9.27,9.20,9.20,233900,8.793767
2015-09-18,9.17,9.24,9.13,9.23,161500,8.822442
2015-09-17,9.03,9.21,9.03,9.20,389200,8.793767
2015-09-16,9.08,9.12,9.02,9.02,589000,8.621715
2015-09-15,9.15,9.17,9.09,9.10,299100,8.698183
2015-09-14,9.31,9.31,9.15,9.15,290800,8.745974
2015-09-11,9.29,9.32,9.23,9.31,370800,8.89891
2015-09-10,9.26,9.34,9.25,9.34,361900,8.872146
2015-09-09,9.22,9.30,9.21,9.26,312100,8.796153
2015-09-08,9.24,9.24,9.21,9.22,365800,8.758157
2015-09-04,9.16,9.22,9.16,9.21,287400,8.748658
2015-09-03,9.20,9.23,9.18,9.20,336700,8.739159
