Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,15.55,15.55,15.31,15.41,80100,15.41
2016-04-18,15.19,15.46,15.16,15.40,109100,15.40
2016-04-15,15.15,15.18,15.03,15.16,31800,15.16
2016-04-14,15.25,15.31,14.97,15.15,235700,15.15
2016-04-13,15.35,15.48,15.24,15.26,78300,15.26
2016-04-12,15.46,15.61,15.44,15.46,64500,15.35
2016-04-11,15.40,15.50,15.34,15.45,49400,15.340071
2016-04-08,15.30,15.40,15.30,15.40,17300,15.290427
2016-04-07,15.25,15.27,15.21,15.23,10100,15.121636
2016-04-06,15.19,15.31,15.16,15.26,41300,15.151423
2016-04-05,15.25,15.32,15.15,15.22,21300,15.111708
2016-04-04,15.40,15.40,15.20,15.21,34100,15.101779
2016-04-01,15.37,15.40,15.22,15.37,28900,15.26064
2016-03-31,15.29,15.44,15.29,15.37,40700,15.26064
2016-03-30,15.35,15.45,15.22,15.29,39700,15.18121
2016-03-29,15.06,15.27,14.96,15.23,23000,15.121636
2016-03-28,14.95,15.12,14.95,15.08,7500,14.972704
2016-03-24,14.93,15.04,14.91,14.98,20200,14.873415
2016-03-23,15.05,15.09,14.92,15.05,25900,14.942918
2016-03-22,15.04,15.19,14.91,15.02,42800,14.913131
2016-03-21,15.05,15.16,14.95,15.02,34600,14.913131
2016-03-18,14.91,15.09,14.91,15.01,22400,14.903202
2016-03-17,14.86,15.04,14.75,14.97,37700,14.863487
2016-03-16,14.71,14.85,14.60,14.80,19700,14.694696
2016-03-15,14.70,14.75,14.65,14.72,35100,14.615266
2016-03-14,14.84,14.84,14.70,14.81,15400,14.704625
2016-03-11,14.71,14.85,14.71,14.85,32900,14.744341
2016-03-10,14.66,14.71,14.61,14.71,16600,14.496119
2016-03-09,14.57,14.66,14.56,14.63,34900,14.417282
2016-03-08,14.63,14.74,14.55,14.60,35400,14.387719
2016-03-07,14.70,14.73,14.57,14.68,15300,14.466555
2016-03-04,14.53,14.69,14.52,14.63,28100,14.417282
2016-03-03,14.39,14.59,14.36,14.53,46300,14.318736
2016-03-02,14.26,14.51,14.24,14.37,25700,14.161062
2016-03-01,14.07,14.44,14.04,14.32,62500,14.111789
2016-02-29,14.01,14.13,13.93,13.99,43800,13.786587
2016-02-26,13.97,14.10,13.97,14.01,27900,13.806297
2016-02-25,13.87,14.00,13.87,13.99,18300,13.786587
2016-02-24,13.91,13.99,13.73,13.89,40900,13.688042
2016-02-23,13.99,14.03,13.93,13.93,21200,13.72746
2016-02-22,13.84,13.98,13.84,13.93,17100,13.72746
2016-02-19,13.76,13.84,13.69,13.77,33900,13.569787
2016-02-18,13.63,13.89,13.63,13.76,37800,13.559932
